POW_SA4_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
501,10086,12571,12853,9500,8535,7038,6409,10630,1268,78895
502,2908,4962,4432,5304,3122,3984,1850,3234,443,30240
503,37735,101836,20917,25230,43609,12057,4877,10673,4333,261272
504,11572,16308,16870,12974,11580,10109,8875,10497,1685,100464
505,20918,36762,25981,25320,22238,20408,8396,17030,2801,179841
506,26595,40737,32844,28914,27952,19314,22101,20942,3753,223150
507,19965,38857,27841,23024,20184,16079,11660,16785,2772,177166
509,12696,8009,8165,5995,5797,3959,5546,8117,1007,59284
510,6022,10242,19085,5177,5484,2279,13653,7240,1583,70762
511,7951,9563,13020,6046,6249,3946,10834,6957,1215,65776
597,61,233,528,45,42,6,168,258,46,1386
599,3764,6520,18753,6741,2582,2143,7579,11109,1375,60566
