POW_SA4_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
501,0,0,3,0,0,0,0,9,7,0,4,0,0,0,0,11,35,36,37,29,12,3,0,157,39,47,46,29,11,8,3,177,116,541,1170,1324,1349,933,257,5686,1961,1574,1720,1646,1879,627,72,9477,74,79,98,87,79,38,40,489,11172,13343,16587,17777,14753,4540,722,78895
502,10,15,10,4,0,0,0,33,11,0,0,0,0,0,0,8,28,16,11,7,3,0,4,68,50,34,16,12,6,0,4,113,48,236,399,474,476,258,66,1954,1173,723,654,695,657,200,19,4121,21,25,35,23,21,10,18,153,5658,5289,5918,6432,5349,1404,185,30240
503,493,750,749,527,330,65,3,2916,35,67,57,20,12,5,0,191,180,464,370,195,104,23,8,1348,710,1271,1173,748,451,95,14,4456,803,4982,8542,7080,4003,1448,342,27206,4663,7309,6908,4338,3851,1349,157,28571,140,240,187,148,89,57,61,923,28605,63687,67220,54331,36176,9992,1247,261272
504,57,48,26,17,6,5,0,162,23,8,0,4,0,0,0,36,126,132,83,53,26,7,0,423,205,190,108,70,39,6,5,614,153,940,1554,1543,1290,636,151,6263,2845,2079,1699,1495,1420,523,71,10141,72,101,87,67,64,28,3,422,16733,20869,21189,20415,16037,4604,617,100464
505,158,91,60,44,38,11,0,404,28,13,11,3,5,0,0,57,228,200,122,72,45,15,0,683,417,298,189,124,89,29,0,1146,429,2194,4006,4002,3226,1447,293,15593,5851,3779,3309,2590,2591,965,113,19197,107,169,116,102,69,35,26,630,31836,36792,38174,36591,27550,7967,936,179841
506,188,175,86,54,50,9,0,556,35,21,18,13,6,0,0,97,277,364,247,133,87,17,4,1121,500,558,347,197,146,27,4,1773,412,2013,3486,3184,2580,1281,276,13229,5728,5229,4415,3327,3191,1121,129,23140,166,252,173,141,101,57,54,943,34432,49866,50605,44146,33535,9464,1105,223150
507,144,144,91,66,58,14,0,521,37,14,7,10,0,0,0,66,174,146,90,62,43,12,0,532,348,309,188,136,107,25,5,1121,297,1663,3013,2958,2372,1146,224,11690,5263,4304,3746,2991,2872,907,102,20185,137,173,125,93,79,45,24,675,29222,37657,38883,36134,27222,7220,829,177166
509,0,6,3,0,0,0,0,9,0,4,3,0,0,0,0,14,25,22,18,22,15,5,0,104,29,23,32,23,14,5,0,125,154,523,1090,1405,1695,1113,425,6407,974,1122,1114,1220,1465,550,96,6547,76,72,80,83,89,64,58,520,7088,9744,11144,12804,12609,4823,1066,59284
510,4,4,12,13,3,3,0,35,22,108,109,77,41,4,0,363,53,144,160,120,63,12,0,550,78,250,277,212,114,17,0,952,80,424,560,420,317,122,21,1940,1019,3397,3581,3187,2316,424,7,13932,78,169,126,108,108,28,17,629,6441,17892,18255,15433,10530,2084,135,70762
511,0,0,5,0,0,0,0,11,10,37,28,28,10,0,0,112,71,116,90,59,50,9,0,397,78,154,126,87,58,8,0,523,84,355,666,778,724,395,133,3128,1268,2283,2009,1939,1614,440,39,9605,69,78,74,96,82,40,23,451,8567,14069,13800,14113,11665,3102,463,65776
