POW_SA4_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
501,745,139,39,8408,7178,640,861,159,78,8912,7059,680,866,173,87,8865,6325,624,889,197,72,8106,4971,559,841,219,62,6647,1997,304,594,247,50,3193,539,186,351,223,42,1347,184,91,198,214,33,722,64950,4498,6953,1853,642,78895
502,255,33,17,2886,2596,241,282,49,24,3193,2615,240,318,39,25,3238,2387,235,337,50,24,3042,1737,194,297,62,21,2306,657,126,165,53,8,1005,202,58,83,44,10,398,66,27,38,38,18,185,25386,1683,2504,460,212,30240
503,990,132,56,31131,25291,1784,1070,144,79,28362,22713,1775,1211,187,78,25965,18397,1483,1087,134,61,21159,12719,1150,941,146,70,15018,5633,822,648,108,45,7247,1812,422,353,115,41,2745,591,254,206,144,63,1247,237929,12030,9112,1404,797,261272
504,774,120,44,10202,8111,892,880,152,49,10087,8159,991,974,133,73,10326,7134,934,940,133,68,9211,5124,707,806,120,60,6824,2192,470,508,127,38,3333,678,220,250,98,22,1265,236,123,143,83,23,617,84061,6813,7689,1322,575,100464
505,1742,215,98,18230,14458,1931,1816,248,101,18558,13792,1952,1958,224,110,18032,11869,1718,1762,200,90,15638,8806,1326,1450,247,73,11905,3705,799,957,177,48,5692,1178,452,462,162,26,2276,389,224,189,101,35,936,147905,13623,15271,2148,901,179841
506,1434,210,103,23562,19168,1604,1454,192,97,22512,18084,1697,1534,210,111,21634,15718,1607,1497,233,121,19175,11540,1260,1277,205,76,14362,5008,796,870,180,44,6890,1502,408,453,168,36,2570,471,204,218,159,47,1105,194031,12826,13045,2179,1066,223150
507,1348,178,72,18679,15167,1484,1471,186,77,18380,14487,1475,1487,217,86,17754,12683,1384,1367,212,93,15738,9021,1047,1139,198,73,11484,3809,606,714,150,38,5319,1043,326,364,142,25,1901,333,175,182,115,27,829,152456,10309,11803,1833,771,177166
509,612,190,60,5587,4437,569,726,252,70,6055,4890,642,822,300,93,6749,4543,655,978,366,108,6642,3960,558,945,416,83,5964,1638,379,741,390,67,3210,517,239,442,366,55,1614,197,133,321,345,67,1066,43798,4665,6894,3129,803,59284
510,153,29,54,8305,7445,227,187,40,39,7932,6990,261,171,31,49,7501,5785,249,153,32,35,6257,3892,165,145,30,35,4273,1460,91,82,24,21,1674,296,35,44,23,16,414,71,17,12,21,10,135,66775,1825,1455,313,393,70762
511,349,93,37,6605,5927,494,425,111,47,7002,5880,540,492,136,61,7108,5350,488,521,145,49,6554,3985,389,498,176,60,5109,1562,237,317,157,39,2313,400,101,154,114,22,790,119,81,111,121,25,463,56911,3411,3656,1305,494,65776
597,0,0,3,189,189,0,3,0,0,196,219,0,0,0,0,223,143,5,0,0,0,149,58,3,0,0,0,61,22,0,0,0,0,25,3,3,0,0,0,8,0,0,0,0,0,0,1334,16,17,4,11,1386
599,1844,75,58,6109,3328,697,2010,86,77,6199,3325,674,2220,95,91,6396,2818,629,2198,105,89,5847,2180,481,1846,122,83,4703,985,278,991,116,62,2433,366,135,401,93,28,1015,123,68,193,94,40,516,36070,5347,17340,1043,767,60566
