POW_SA4_CODE_2021,P_M1_Tram_or_LR_15_24,P_M1_Tram_or_LR_25_34,P_M1_Tram_or_LR_35_44,P_M1_Tram_or_LR_45_54,P_M1_Tram_or_LR_55_64,P_M1_Tram_or_LR_65_74,P_M1_Tram_or_LR_75ov,P_M1_Tram_or_LR_Tot,P_M1_Taxi_or_RSS_15_24,P_M1_Taxi_or_RSS_25_34,P_M1_Taxi_or_RSS_35_44,P_M1_Taxi_or_RSS_45_54,P_M1_Taxi_or_RSS_55_64,P_M1_Taxi_or_RSS_65_74,P_M1_Taxi_or_RSS_75ov,P_M1_Taxi_or_RSS_Tot,P_M1_CarAsDriv_15_24,P_M1_CarAsDriv_25_34,P_M1_CarAsDriv_35_44,P_M1_CarAsDriv_45_54,P_M1_CarAsDriv_55_64,P_M1_CarAsDriv_65_74,P_M1_CarAsDriv_75ov,P_M1_CarAsDriv_Tot,P_M1_CarAsPas_15_24,P_M1_CarAsPas_25_34,P_M1_CarAsPas_35_44,P_M1_CarAsPas_45_54,P_M1_CarAsPas_55_64,P_M1_CarAsPas_65_74,P_M1_CarAsPas_75ov,P_M1_CarAsPas_Tot,P_M1_Truck_15_24,P_M1_Truck_25_34,P_M1_Truck_35_44,P_M1_Truck_45_54,P_M1_Truck_55_64,P_M1_Truck_65_74,P_M1_Truck_75ov,P_M1_Truck_Tot,P_M1_MBikeScoot_15_24,P_M1_MBikeScoot_25_34,P_M1_MBikeScoot_35_44,P_M1_MBikeScoot_45_54,P_M1_MBikeScoot_55_64,P_M1_MBikeScoot_65_74,P_M1_MBikeScoot_75ov,P_M1_MBikeScoot_Tot,P_M1_Bicycle_15_24,P_M1_Bicycle_25_34,P_M1_Bicycle_35_44,P_M1_Bicycle_45_54,P_M1_Bicycle_55_64,P_M1_Bicycle_65_74,P_M1_Bicycle_75ov,P_M1_Bicycle_Tot,P_M1_Other_15_24,P_M1_Other_25_34,P_M1_Other_35_44,P_M1_Other_45_54,P_M1_Other_55_64,P_M1_Other_65_74,P_M1_Other_75ov,P_M1_Other_Tot,P_M1_WlkOnly_15_24,P_M1_WlkOnly_25_34,P_M1_WlkOnly_35_44,P_M1_WlkOnly_45_54,P_M1_WlkOnly_55_64,P_M1_WlkOnly_65_74,P_M1_WlkOnly_75ov,P_M1_WlkOnly_Tot,P_M1_Tot_M1_15_24,P_M1_Tot_M1_25_34,P_M1_Tot_M1_35_44,P_M1_Tot_M1_45_54,P_M1_Tot_M1_55_64,P_M1_Tot_M1_65_74,P_M1_Tot_M1_75ov,P_M1_Tot_M1_Tot,P_M2_TrnBus_15_24,P_M2_TrnBus_25_34,P_M2_TrnBus_35_44,P_M2_TrnBus_45_54,P_M2_TrnBus_55_64,P_M2_TrnBus_65_74,P_M2_TrnBus_75ov,P_M2_TrnBus_Tot,P_M2_TrnFer_15_24,P_M2_TrnFer_25_34,P_M2_TrnFer_35_44,P_M2_TrnFer_45_54,P_M2_TrnFer_55_64,P_M2_TrnFer_65_74,P_M2_TrnFer_75ov,P_M2_TrnFer_Tot,P_M2_TrnTrm_or_LR_15_24,P_M2_TrnTrm_or_LR_25_34,P_M2_TrnTrm_or_LR_35_44,P_M2_TrnTrm_or_LR_45_54,P_M2_TrnTrm_or_LR_55_64,P_M2_TrnTrm_or_LR_65_74,P_M2_TrnTrm_or_LR_75ov,P_M2_TrnTrm_or_LR_Tot,P_M2_TrnCarAsDriv_15_24,P_M2_TrnCarAsDriv_25_34,P_M2_TrnCarAsDriv_35_44,P_M2_TrnCarAsDriv_45_54,P_M2_TrnCarAsDriv_55_64,P_M2_TrnCarAsDriv_65_74,P_M2_TrnCarAsDriv_75ov,P_M2_TrnCarAsDriv_Tot,P_M2_TrnCarAsPas_15_24,P_M2_TrnCarAsPas_25_34,P_M2_TrnCarAsPas_35_44,P_M2_TrnCarAsPas_45_54,P_M2_TrnCarAsPas_55_64,P_M2_TrnCarAsPas_65_74,P_M2_TrnCarAsPas_75ov,P_M2_TrnCarAsPas_Tot,P_M2_TrnOth_15_24,P_M2_TrnOth_25_34,P_M2_TrnOth_35_44,P_M2_TrnOth_45_54,P_M2_TrnOth_55_64,P_M2_TrnOth_65_74,P_M2_TrnOth_75ov,P_M2_TrnOth_Tot,P_M2_Train_and_Tot_15_24,P_M2_Train_and_Tot_25_34,P_M2_Train_and_Tot_35_44,P_M2_Train_and_Tot_45_54,P_M2_Train_and_Tot_55_64,P_M2_Train_and_Tot_65_74,P_M2_Train_and_Tot_75ov,P_M2_Train_and_Tot_Tot,P_M2_BusFer_15_24,P_M2_BusFer_25_34,P_M2_BusFer_35_44,P_M2_BusFer_45_54,P_M2_BusFer_55_64,P_M2_BusFer_65_74,P_M2_BusFer_75ov,P_M2_BusFer_Tot,P_M2_BusTrm_or_LR_15_24,P_M2_BusTrm_or_LR_25_34,P_M2_BusTrm_or_LR_35_44,P_M2_BusTrm_or_LR_45_54,P_M2_BusTrm_or_LR_55_64,P_M2_BusTrm_or_LR_65_74,P_M2_BusTrm_or_LR_75ov,P_M2_BusTrm_or_LR_Tot,P_M2_BusCarAsDriv_15_24,P_M2_BusCarAsDriv_25_34,P_M2_BusCarAsDriv_35_44,P_M2_BusCarAsDriv_45_54,P_M2_BusCarAsDriv_55_64,P_M2_BusCarAsDriv_65_74,P_M2_BusCarAsDriv_75ov,P_M2_BusCarAsDriv_Tot,P_M2_BusCarAsPas_15_24,P_M2_BusCarAsPas_25_34,P_M2_BusCarAsPas_35_44,P_M2_BusCarAsPas_45_54,P_M2_BusCarAsPas_55_64,P_M2_BusCarAsPas_65_74,P_M2_BusCarAsPas_75ov,P_M2_BusCarAsPas_Tot,P_M2_BusOth_15_24,P_M2_BusOth_25_34,P_M2_BusOth_35_44,P_M2_BusOth_45_54,P_M2_BusOth_55_64,P_M2_BusOth_65_74,P_M2_BusOth_75ov,P_M2_BusOth_Tot,P_M2_BusTot_15_24,P_M2_BusTot_25_34,P_M2_BusTot_35_44,P_M2_BusTot_45_54,P_M2_BusTot_55_64,P_M2_BusTot_65_74,P_M2_BusTot_75ov,P_M2_BusTot_Tot,P_M2_Other_M2_15_24,P_M2_Other_M2_25_34,P_M2_Other_M2_35_44,P_M2_Other_M2_45_54,P_M2_Other_M2_55_64,P_M2_Other_M2_65_74,P_M2_Other_M2_75ov,P_M2_Other_M2_Tot,P_M2_Tot_M2_15_24,P_M2_Tot_M2_25_34,P_M2_Tot_M2_35_44,P_M2_Tot_M2_45_54,P_M2_Tot_M2_55_64,P_M2_Tot_M2_65_74,P_M2_Tot_M2_75ov,P_M2_Tot_M2_Tot
501,0,0,0,0,0,0,0,0,25,24,35,13,9,3,0,112,6115,9517,12164,13216,10110,2461,231,53817,2069,737,522,521,368,94,10,4318,19,60,90,91,120,28,4,412,28,27,19,45,32,12,13,171,153,85,78,115,82,30,0,548,28,73,74,80,64,40,11,374,318,305,312,346,406,226,70,1978,8863,10952,13424,14564,11311,2916,338,62374,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,4,0,13,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,3,3,0,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,59,73,51,59,3,0,264,20,3,4,6,0,0,0,39,0,5,3,0,0,0,0,14,41,69,79,63,58,9,0,317,108,111,88,88,66,14,5,481,154,188,170,155,132,25,9,827
502,0,0,0,0,0,0,0,0,21,14,9,4,6,0,4,49,3065,3824,4413,4824,3808,823,75,20837,846,198,162,158,132,29,3,1524,5,11,30,37,49,21,5,162,17,13,8,14,13,3,0,60,25,28,7,22,12,4,0,105,10,30,28,21,34,5,0,129,110,55,44,80,73,30,3,400,4258,4216,4757,5193,4159,928,88,23596,31,22,10,7,7,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,3,10,3,0,36,7,0,0,0,0,0,0,8,0,3,4,4,0,0,0,7,51,26,22,17,18,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,10,30,9,3,0,3,0,0,48,8,0,0,0,0,0,0,14,39,14,4,3,5,3,0,68,43,35,29,31,12,5,0,154,128,71,62,50,32,12,0,359
503,0,0,3,0,5,0,0,14,145,384,289,159,87,23,7,1093,11638,27108,29665,26515,17837,4911,519,118195,1998,2742,1966,1654,1288,350,32,10026,5,35,32,39,59,18,4,185,42,250,250,270,189,30,0,1021,196,747,1104,1080,574,80,0,3783,169,679,652,460,271,45,3,2278,1008,2024,1319,823,698,215,29,6119,19705,44911,44941,37765,25170,6532,656,179679,1194,2079,2255,1794,1122,270,9,8730,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,3,848,1910,2374,1801,976,167,5,8085,208,343,281,224,158,15,0,1233,40,119,141,87,60,4,0,453,2295,4450,5054,3912,2315,462,15,18505,0,7,0,0,0,0,0,13,0,0,0,4,0,0,0,3,122,261,241,172,143,23,0,966,111,166,96,62,48,11,0,498,51,136,93,44,30,6,0,367,290,570,433,280,224,42,0,1847,172,379,318,255,178,34,0,1340,2758,5406,5807,4450,2717,536,23,21695
504,3,0,0,0,0,0,0,7,93,97,64,39,20,4,0,323,9829,15632,16193,15772,11999,3033,319,72783,2334,797,524,482,392,109,29,4663,20,110,148,176,186,65,6,718,23,39,52,81,55,16,0,261,54,63,78,77,74,15,0,360,58,140,138,122,99,22,8,586,302,208,169,213,193,81,21,1181,13175,17386,17579,17104,13107,3381,386,82127,130,103,79,59,33,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,17,18,11,5,0,79,15,5,3,0,0,0,0,23,3,7,3,6,8,0,0,34,163,131,108,88,43,7,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,10,6,4,0,0,42,87,12,6,10,10,0,0,126,11,9,4,0,8,0,0,37,110,33,25,19,21,0,0,207,130,132,103,76,70,16,0,536,406,303,233,184,140,27,0,1287
505,0,0,0,3,0,0,0,8,192,157,94,52,40,12,0,552,18074,26798,27828,27256,19630,4894,435,124913,4295,1328,889,804,624,195,19,8160,33,122,196,226,233,69,12,891,47,76,63,89,76,10,0,371,111,94,130,138,110,17,0,592,110,181,210,187,149,54,5,886,613,357,304,341,277,124,21,2034,24369,29789,30145,29434,21343,5429,493,141008,422,369,229,160,114,33,0,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,61,55,45,38,0,0,249,55,30,14,9,7,0,0,108,5,17,15,6,7,4,0,61,526,476,312,220,162,39,0,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,17,16,9,4,4,93,112,25,12,21,7,0,0,175,16,20,10,0,4,0,0,47,154,72,40,33,14,6,4,319,203,207,166,158,104,27,3,858,881,749,518,413,284,69,10,2923
506,0,5,0,3,0,0,0,9,230,285,187,108,76,17,4,899,20222,36404,38275,33840,24837,6143,548,160276,4177,1969,1273,1150,868,268,21,9726,59,230,300,322,346,111,16,1376,57,111,121,119,114,13,3,546,134,157,211,190,144,28,0,874,167,526,439,301,207,75,8,1726,597,429,347,372,366,164,31,2301,26885,41212,41800,36924,27277,6911,637,181641,418,340,215,169,126,34,7,1308,0,3,0,4,0,0,0,7,0,3,0,0,0,0,0,3,52,38,34,32,34,10,0,199,40,23,24,5,8,0,0,94,17,24,8,11,8,0,0,69,525,427,278,211,172,43,5,1675,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,28,36,32,19,8,3,0,119,125,54,29,18,4,0,0,242,38,50,26,16,4,8,0,137,183,139,91,59,20,13,0,507,289,362,244,222,143,30,4,1293,1004,927,616,497,331,83,13,3474
507,3,0,0,4,0,0,0,5,133,108,63,41,31,11,0,382,16433,27103,28566,26966,19407,4496,394,123361,3748,1332,983,856,712,195,16,7838,18,91,138,176,171,43,11,641,42,89,84,130,102,24,5,468,149,191,229,201,153,19,0,945,138,299,255,200,132,26,5,1054,735,446,326,390,335,112,25,2359,22442,30531,31277,29442,21468,5019,467,140644,391,351,237,189,110,27,3,1314,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,46,55,66,78,56,10,0,304,36,22,15,18,9,5,0,107,9,14,14,5,10,5,0,53,481,446,332,289,182,43,3,1778,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,35,56,37,34,23,13,0,197,136,24,32,21,16,4,0,231,26,22,13,4,3,0,0,67,200,110,70,62,42,17,0,501,217,253,205,202,148,40,3,1061,894,807,612,553,368,97,8,3343
509,0,0,0,0,0,0,0,0,15,15,11,11,7,3,0,55,4053,6561,7458,8523,7653,2313,303,36866,1097,518,376,384,297,88,22,2773,27,78,90,106,150,66,25,542,22,17,21,30,37,9,5,137,50,37,44,52,56,18,4,266,45,78,111,138,153,91,15,636,392,412,468,575,787,437,111,3183,5785,7891,8747,9996,9278,3056,480,45237,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,3,0,12,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,4,3,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,11,18,17,0,0,65,4,4,9,0,0,0,0,18,4,7,3,4,0,0,0,17,10,21,17,21,18,0,0,95,75,105,75,70,56,27,0,405,90,132,97,97,80,31,0,521
510,0,0,0,0,0,0,0,4,30,65,74,62,28,5,0,258,2311,6995,7653,5945,3900,850,58,27706,963,1185,1015,891,521,100,11,4691,29,108,136,108,107,20,0,512,43,68,74,68,59,3,0,312,86,148,142,90,86,26,0,577,468,1644,1608,1388,827,131,0,6070,650,1315,879,852,799,193,17,4702,5055,13227,13356,11248,7498,1484,87,51951,0,0,3,3,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,0,17,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,7,4,3,10,10,8,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,43,25,19,5,0,146,16,21,19,12,3,0,0,68,47,138,119,88,58,5,0,444,65,203,177,126,75,10,0,663,104,338,309,229,141,12,0,1137,184,542,500,360,228,23,0,1836
511,0,0,0,0,0,0,0,0,37,72,49,20,29,8,0,220,4202,7263,7717,8157,6606,1642,165,35744,1397,939,670,624,454,89,13,4194,24,115,96,109,132,42,5,532,73,31,35,39,51,14,7,244,93,121,103,125,102,12,0,564,330,1008,816,698,480,95,10,3442,487,651,541,586,719,209,60,3253,6940,10948,10706,11016,9054,2204,257,51132,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,6,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,5,11,3,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,34,27,28,22,0,0,120,10,12,12,9,5,0,0,44,23,70,39,38,19,0,0,188,51,110,77,76,38,0,0,356,132,233,217,163,119,22,4,890,185,354,306,242,164,20,4,1278
