POW_SA4_CODE_2021,AgFF_Mng,AgFF_Pro,AgFF_Tech_trds_wks,AgFF_Com_persl_svce_wks,AgFF_Cler_admin_wks,AgFF_Sales_wks,AgFF_Mach_ops_dvrs,AgFF_Labourers,AgFF_IDNS,AgFF_Tot,Min_Mng,Min_Pro,Min_Tech_trds_wks,Min_Com_persl_svce_wks,Min_Cler_admin_wks,Min_Sales_wks,Min_Mach_ops_dvrs,Min_Labourers,Min_IDNS,Min_Tot,Mnf_Mng,Mnf_Pro,Mnf_Tech_trds_wks,Mnf_Com_persl_svce_wks,Mnf_Cler_admin_wks,Mnf_Sales_wks,Mnf_Mach_ops_dvrs,Mnf_Labourers,Mnf_IDNS,Mnf_Tot,EGWWS_Mng,EGWWS_Pro,EGWWS_Tech_trds_wks,EGWWS_Com_persl_svce_wks,EGWWS_Cler_admin_wks,EGWWS_Sales_wks,EGWWS_Mach_ops_dvrs,EGWWS_Labourers,EGWWS_IDNS,EGWWS_Tot,Const_Mng,Const_Pro,Const_Tech_trds_wks,Const_Com_persl_svce_wks,Const_Cler_admin_wks,Const_Sales_wks,Const_Mach_ops_dvrs,Const_Labourers,Const_IDNS,Const_Tot,WST_Mng,WST_Pro,WST_Tech_trds_wks,WST_Com_persl_svce_wks,WST_Cler_admin_wks,WST_Sales_wks,WST_Mach_ops_dvrs,WST_Labourers,WST_IDNS,WST_Tot,RetT_Mng,RetT_Pro,RetT_Tech_trds_wks,RetT_Com_persl_svce_wks,RetT_Cler_admin_wks,RetT_Sales_wks,RetT_Mach_ops_dvrs,RetT_Labourers,RetT_IDNS,RetT_Tot,AcFd_Mng,AcFd_Pro,AcFd_Tech_trds_wks,AcFd_Com_persl_svce_wks,AcFd_Cler_admin_wks,AcFd_Sales_wks,AcFd_Mach_ops_dvrs,AcFd_Labourers,AcFd_IDNS,AcFd_Tot,TPW_Mng,TPW_Pro,TPW_Tech_trds_wks,TPW_Com_persl_svce_wks,TPW_Cler_admin_wks,TPW_Sales_wks,TPW_Mach_ops_dvrs,TPW_Labourers,TPW_IDNS,TPW_Tot,IMT_Mng,IMT_Pro,IMT_Tech_trds_wks,IMT_Com_persl_svce_wks,IMT_Cler_admin_wks,IMT_Sales_wks,IMT_Mach_ops_dvrs,IMT_Labourers,IMT_IDNS,IMT_Tot,FinIns_Mng,FinIns_Pro,FinIns_Tech_trds_wks,FinIns_Com_persl_svce_wks,FinIns_Cler_admin_wks,FinIns_Sales_wks,FinIns_Mach_ops_dvrs,FinIns_Labourers,FinIns_IDNS,FinIns_Tot,RHRE_Mng,RHRE_Pro,RHRE_Tech_trds_wks,RHRE_Com_persl_svce_wks,RHRE_Cler_admin_wks,RHRE_Sales_wks,RHRE_Mach_ops_dvrs,RHRE_Labourers,RHRE_IDNS,RHRE_Tot,ProSTS_Mng,ProSTS_Pro,ProSTS_Tech_trds_wks,ProSTS_Com_persl_svce_wks,ProSTS_Cler_admin_wks,ProSTS_Sales_wks,ProSTS_Mach_ops_dvrs,ProSTS_Labourers,ProSTS_IDNS,ProSTS_Tot,AdSup_Mng,AdSup_Pro,AdSup_Tech_trds_wks,AdSup_Com_persl_svce_wks,AdSup_Cler_admin_wks,AdSup_Sales_wks,AdSup_Mach_ops_dvrs,AdSup_Labourers,AdSup_IDNS,AdSup_Tot,PubAS_Mng,PubAS_Pro,PubAS_Tech_trds_wks,PubAS_Com_persl_svce_wks,PubAS_Cler_admin_wks,PubAS_Sales_wks,PubAS_Mach_ops_dvrs,PubAS_Labourers,PubAS_IDNS,PubAS_Tot,EdTrn_Mng,EdTrn_Pro,EdTrn_Tech_trds_wks,EdTrn_Com_persl_svce_wks,EdTrn_Cler_admin_wks,EdTrn_Sales_wks,EdTrn_Mach_ops_dvrs,EdTrn_Labourers,EdTrn_IDNS,EdTrn_Tot,HltHC_SA_Mng,HltHC_SA_Pro,HltHC_SA_Tech_trds_wks,HltHC_SA_Com_persl_svce_wks,HltHC_SA_Cler_admin_wks,HltHC_SA_Sales_wks,HltHC_SA_Mach_ops_dvrs,HltHC_SA_Labourers,HltHC_SA_IDNS,HltHC_SA_Tot,ArtsR_Mng,ArtsR_Pro,ArtsR_Tech_trds_wks,ArtsR_Com_persl_svce_wks,ArtsR_Cler_admin_wks,ArtsR_Sales_wks,ArtsR_Mach_ops_dvrs,ArtsR_Labourers,ArtsR_IDNS,ArtsR_Tot,OthSvs_Mng,OthSvs_Pro,OthSvs_Tech_trds_wks,OthSvs_Com_persl_svce_wks,OthSvs_Cler_admin_wks,OthSvs_Sales_wks,OthSvs_Mach_ops_dvrs,OthSvs_Labourers,OthSvs_IDNS,OthSvs_Tot,IDNS_Mng,IDNS_Pro,IDNS_Tech_trds_wks,IDNS_Com_persl_svce_wks,IDNS_Cler_admin_wks,IDNS_Sales_wks,IDNS_Mach_ops_dvrs,IDNS_Labourers,IDNS_IDNS,IDNS_Tot
501,2507,101,241,13,227,54,289,1342,48,4826,224,379,1026,25,180,6,1068,214,61,3185,952,609,2056,150,502,309,1246,1640,90,7551,129,104,546,4,188,11,219,170,37,1404,703,251,3362,21,849,89,961,1106,75,7426,238,85,157,7,207,320,173,107,8,1299,1246,239,506,74,423,4459,245,980,30,8203,1219,42,904,1699,339,736,114,1786,40,6871,251,96,159,45,554,93,1339,131,23,2695,54,114,60,6,39,82,3,17,0,380,99,284,8,4,456,31,0,7,13,905,104,64,46,5,273,469,44,41,10,1057,176,1239,473,11,582,20,21,56,11,2596,210,172,234,175,182,23,81,1029,23,2134,427,726,314,790,939,21,129,380,61,3793,472,3565,260,1787,453,13,3,385,19,6965,416,3841,413,3800,1453,62,78,431,54,10553,132,213,125,253,91,30,9,94,18,956,224,215,1459,480,307,47,55,259,20,3064,305,226,523,146,282,152,334,451,607,3029
502,156,14,21,0,26,10,20,95,11,341,56,71,175,0,33,3,138,36,4,511,224,193,882,39,177,99,498,181,33,2335,28,3,68,0,41,3,89,49,3,290,177,41,959,8,264,18,170,324,23,1982,56,16,16,0,44,73,30,29,5,272,645,118,234,45,189,2803,119,480,16,4653,393,7,348,891,53,414,101,766,17,2999,52,15,24,31,150,36,446,34,0,801,14,39,17,0,11,28,0,10,0,120,33,121,0,0,157,11,0,0,10,339,62,26,11,3,141,260,17,21,4,533,90,384,156,0,208,7,0,18,3,871,68,74,87,83,63,7,28,459,6,876,129,233,155,360,288,10,23,104,19,1319,211,1756,104,925,221,9,4,154,5,3391,236,1660,186,2386,702,40,25,193,24,5443,57,63,88,169,60,31,3,36,4,514,98,55,701,278,137,27,14,95,0,1414,124,78,194,80,151,87,122,155,244,1230
503,171,103,18,0,75,20,4,33,9,450,4824,10089,2602,131,2592,41,1537,423,344,22584,740,692,615,210,404,300,208,269,36,3465,773,1783,332,32,725,56,82,57,71,3919,2164,2252,3201,42,1365,209,218,836,103,10385,600,537,151,31,310,314,89,67,8,2113,2085,1127,703,207,653,5888,224,775,64,11724,2638,300,2686,5784,656,910,151,2443,77,15645,899,1213,290,239,1096,189,879,201,69,5080,539,1471,449,21,481,296,11,46,32,3330,2669,6157,162,41,6834,613,7,30,285,16797,770,832,70,33,908,1891,22,82,57,4659,6568,28461,3331,162,6678,283,451,161,367,46474,1077,1741,316,711,1559,162,112,2151,91,7935,3589,7732,713,4065,7425,77,91,262,538,24492,1616,9344,590,2276,1772,55,21,334,92,16100,2799,22957,1901,8208,7400,157,397,1372,297,45484,895,1123,238,861,455,116,10,163,41,3915,928,1477,1725,1657,989,104,48,367,65,7348,1387,2447,818,516,1236,394,305,597,1678,9379
504,364,44,94,8,82,25,56,314,9,988,390,399,845,4,299,39,558,200,42,2767,1430,609,2782,115,926,329,1192,1183,97,8670,157,85,136,0,129,37,325,95,16,989,1200,463,4052,45,1188,168,919,1393,115,9546,859,509,901,9,798,560,792,271,68,4765,1648,381,601,101,584,6434,531,1265,62,11606,955,42,886,1771,133,1134,198,1694,32,6852,451,143,240,65,1199,118,2995,213,48,5479,122,191,193,10,99,83,21,25,8,743,93,262,5,7,452,29,3,8,15,872,189,80,117,8,275,452,78,76,7,1291,451,1723,872,25,655,46,64,70,21,3923,250,241,325,159,283,50,127,1089,23,2547,551,1341,464,2171,1152,26,129,529,89,6452,601,4698,303,2297,537,16,18,391,29,8899,544,3955,392,4614,1396,90,80,400,65,11532,238,314,131,371,106,81,12,117,19,1389,430,305,2497,929,546,68,94,413,31,5305,658,522,1015,263,741,314,695,769,872,5844
505,471,73,100,6,93,42,96,545,18,1442,398,466,425,19,271,22,309,161,33,2108,1410,594,2339,149,955,584,1058,1493,88,8675,196,198,355,7,376,39,226,138,38,1570,2788,1065,9277,59,2923,477,1097,2206,227,20108,949,499,352,17,673,672,550,356,30,4107,3341,884,1207,231,1208,13371,884,2453,107,23688,1887,219,1601,3828,330,2091,359,3111,82,13506,342,150,108,76,781,126,2296,152,40,4071,334,659,357,21,215,260,23,86,12,1969,319,1231,43,14,1259,111,0,8,61,3053,340,154,79,27,558,1225,37,82,43,2547,1169,5060,1533,37,1645,140,72,153,77,9885,569,571,551,413,688,65,120,2208,64,5255,1022,1949,656,2099,2130,51,198,523,173,8792,1672,11882,738,5159,1787,66,25,829,91,22255,1331,8960,1133,9960,3914,183,153,928,163,26728,522,536,187,943,323,160,33,129,37,2868,746,637,3647,1812,903,178,83,563,37,8609,1105,979,1302,441,1197,537,770,907,1371,8611
506,563,97,177,9,166,67,116,457,22,1674,1489,2094,2390,29,1105,70,1975,532,155,9844,2540,1174,3964,119,1696,801,2399,1984,159,14841,325,330,437,3,331,44,301,189,39,1998,2610,1515,7351,115,2293,249,1474,2210,211,18027,1852,1192,1382,24,1584,1198,1922,684,114,9944,3190,1055,1224,205,1431,10714,1882,2275,108,22090,1914,124,1835,3630,313,2179,380,3352,80,13796,1899,1477,1037,1040,4587,681,8408,765,245,20145,195,330,292,18,186,228,48,65,22,1383,272,900,70,110,966,85,25,29,66,2525,577,261,344,26,679,1317,154,215,36,3607,1303,5102,2092,35,1579,103,156,231,101,10696,671,846,691,435,769,125,443,2613,64,6656,968,2005,903,3299,2168,55,164,572,134,10253,1607,12228,762,4722,1790,48,61,785,97,22092,1538,7414,796,10364,3302,176,188,1094,155,25032,774,577,762,2827,524,367,55,655,72,6620,839,664,4344,1366,946,134,225,921,71,9500,1474,1340,2001,545,1540,691,1732,1294,1806,12421
507,301,117,118,5,131,47,121,455,23,1315,718,965,1276,27,473,30,692,251,64,4486,2258,1849,5111,178,1599,438,1759,1965,184,15344,331,342,586,9,409,47,404,234,71,2434,1855,805,6796,86,1787,188,1301,2134,175,15126,884,531,410,16,769,550,885,299,75,4426,2719,749,1023,145,910,10357,861,1961,79,18809,1795,109,1591,3574,278,2035,328,2805,55,12569,824,566,441,87,1496,176,3355,657,88,7693,134,317,119,3,107,121,11,55,5,882,191,608,27,15,773,36,17,24,48,1734,306,155,101,34,540,1104,73,98,36,2443,985,4053,1488,30,1371,84,110,147,74,8338,346,400,461,316,373,46,160,1794,34,3925,1515,1952,1625,3058,1686,27,217,506,162,10750,1336,10123,673,4269,1442,44,27,642,78,18615,1359,13174,1252,8397,4144,117,286,980,185,29890,424,549,182,835,246,137,15,159,23,2571,566,440,2969,1526,592,102,125,640,39,6994,1099,1053,1587,408,1070,416,935,977,1267,8808
509,7567,211,550,28,515,101,651,2484,64,12168,207,382,1122,49,171,0,1407,193,50,3588,408,147,851,41,236,132,408,883,37,3152,74,33,224,0,81,4,124,92,15,643,388,59,1554,7,382,37,684,487,35,3629,273,155,278,3,221,382,275,126,23,1743,780,133,373,37,258,2402,138,616,26,4753,718,15,432,858,144,250,36,929,21,3405,281,55,131,21,402,71,1141,101,20,2230,30,61,49,4,30,40,0,9,0,223,89,169,0,0,321,32,0,5,11,627,48,16,21,6,106,225,14,31,5,470,114,741,193,10,353,16,6,21,10,1465,55,102,157,96,82,11,49,508,4,1065,428,517,335,927,755,20,327,415,49,3777,465,2486,225,1197,352,11,20,360,24,5136,312,2376,247,2255,907,35,19,332,45,6523,74,112,59,116,28,22,0,52,5,472,136,103,1032,219,246,37,27,168,21,1977,246,125,329,122,215,131,207,307,549,2236
510,275,95,101,18,55,16,71,400,9,1041,1474,3059,10857,324,1152,38,9663,1691,473,28726,114,80,543,11,69,44,176,104,22,1162,91,51,241,3,103,8,230,118,25,862,507,342,2730,14,455,11,1177,1175,80,6491,128,91,396,0,83,101,189,52,25,1069,433,86,206,30,111,1268,76,356,12,2582,618,55,819,683,320,281,142,1134,46,4091,348,611,378,99,501,86,1113,271,47,3465,27,74,51,3,31,9,3,8,4,215,30,23,0,0,106,0,0,3,11,178,136,25,168,20,130,200,39,135,8,854,104,470,336,21,181,3,44,65,14,1238,185,196,440,151,193,28,336,734,22,2283,409,488,173,1040,584,9,50,171,40,2971,377,1971,147,1030,272,12,8,154,33,3997,363,1971,150,1299,688,40,26,160,29,4717,93,172,35,88,45,13,6,34,3,492,138,133,723,204,192,35,35,164,15,1630,180,247,580,137,221,73,270,326,664,2692
511,2210,155,177,5,246,49,243,888,37,4002,1103,2364,5180,130,745,23,6496,978,195,17226,253,163,854,19,177,76,546,176,31,2296,62,21,229,0,70,10,124,75,17,606,419,99,1910,21,467,29,657,632,49,4271,183,109,339,8,183,218,242,65,18,1364,704,119,274,50,242,2491,165,573,13,4638,716,21,596,901,254,418,101,1256,23,4300,328,195,318,73,525,85,1554,217,34,3342,24,63,44,0,24,35,0,4,3,202,58,112,5,5,216,20,4,5,3,427,71,23,98,13,149,241,36,69,12,710,132,608,517,15,361,7,43,87,18,1786,102,152,179,94,126,22,103,677,15,1456,392,452,251,1061,680,14,160,275,65,3357,415,2333,180,1190,333,8,5,274,13,4761,321,2223,213,1938,869,41,42,238,40,5928,79,99,47,109,54,18,5,54,9,466,180,100,1153,268,267,31,33,162,17,2213,204,164,447,132,257,106,269,264,596,2428
