POW_SA4_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
501,3129,934,282,40162,239,35,72,282,7,636,2572,31,201,129,16,2943,2004,44,295,165,27,2543,2099,83,392,139,42,2751,2961,100,459,164,41,3721,5025,241,669,156,51,6140,6438,288,637,137,55,7552,7972,427,746,142,73,9352,8737,511,903,138,69,10355,6427,420,650,82,45,7621,5439,555,541,96,39,6666,4475,375,368,60,36,5313,7435,659,494,55,42,8678,1325,229,129,11,15,1708,1265,469,330,52,28,2150,538,45,83,46,60,773,64950,4498,6953,1853,642,78895
502,1212,259,107,18036,116,16,20,96,0,244,1341,14,70,38,12,1479,1257,29,140,32,15,1471,1228,42,157,46,10,1489,1502,66,183,34,15,1797,2421,82,254,37,18,2811,2724,125,258,32,17,3160,3013,112,249,30,15,3416,3158,188,324,33,26,3723,2021,174,218,25,11,2443,1804,180,149,14,13,2161,1335,116,120,12,4,1589,2480,232,164,11,16,2912,393,84,58,4,3,539,378,213,108,10,8,707,218,21,24,16,30,298,25386,1683,2504,460,212,30240
503,4141,785,401,138272,537,64,51,216,10,871,3606,33,186,76,22,3926,4748,80,290,74,26,5214,4928,133,357,95,40,5546,5889,178,388,81,45,6590,9845,323,572,99,49,10885,12191,382,586,97,65,13330,17128,614,770,107,68,18688,25703,779,842,100,87,27509,25539,747,721,61,60,27126,24717,1036,690,61,42,26545,20130,802,519,52,41,21534,44169,1967,985,76,54,47242,12352,1016,354,51,19,13793,24901,3773,1732,125,50,30582,1557,102,70,30,125,1885,237929,12030,9112,1404,797,261272
504,3233,730,221,46324,310,40,74,252,10,684,3084,32,233,89,13,3444,3186,86,378,91,17,3767,3002,151,460,113,33,3749,3555,160,523,93,35,4363,5884,264,709,115,44,7022,7238,455,748,96,54,8595,10200,514,876,107,72,11766,12177,819,954,90,65,14104,9259,696,710,59,39,10768,7806,805,594,51,45,9298,5774,580,389,40,20,6803,8836,1015,562,49,28,10491,1431,388,151,13,12,1999,1540,738,267,28,8,2583,778,65,74,35,87,1035,84061,6813,7689,1322,575,100464
505,6708,1241,404,95548,548,75,134,416,16,1185,6730,71,456,131,27,7426,6483,152,757,144,40,7579,5909,275,890,184,51,7301,7116,309,903,151,44,8521,11247,525,1283,193,61,13312,13389,763,1416,148,77,15793,17676,970,1639,145,113,20539,20162,1422,1895,166,101,23734,15248,1286,1458,101,64,18147,12918,1645,1204,87,44,15907,9238,1231,848,62,41,11421,14556,2192,1177,85,46,18049,2342,805,361,30,9,3548,3006,1778,711,61,25,5575,1344,135,143,38,138,1803,147905,13623,15271,2148,901,179841
506,5318,1189,422,100543,608,78,102,413,17,1213,5876,61,426,151,29,6545,6389,139,639,174,46,7389,6020,244,787,205,56,7321,7465,327,847,152,76,8866,12263,547,1167,184,84,14247,15404,778,1232,167,98,17677,22358,1074,1525,164,99,25221,27993,1386,1667,145,93,31282,21853,1238,1132,95,76,24397,18911,1398,982,81,73,21446,13515,1064,661,55,38,15335,23109,1883,901,77,66,26034,4724,743,312,20,16,5810,5941,1734,556,66,45,8344,1583,129,109,46,157,2030,194031,12826,13045,2179,1066,223150
507,5606,1029,310,88688,526,66,117,333,17,1061,5591,58,365,127,23,6152,5468,111,599,114,25,6320,5212,175,687,143,38,6254,6223,214,698,138,45,7318,9981,395,1079,148,61,11657,12075,575,1095,138,59,13949,15814,763,1245,116,77,18022,19609,1073,1411,111,79,22288,16085,943,1065,94,54,18239,14756,1150,902,100,49,16959,11223,869,597,74,35,12801,19880,1731,878,85,46,22622,3936,613,284,30,10,4867,4838,1490,647,67,20,7062,1239,96,109,19,130,1594,152456,10309,11803,1833,771,177166
509,2554,1528,283,27520,155,38,102,470,17,785,1214,28,143,159,20,1566,1200,50,240,245,24,1749,1349,112,309,197,33,1999,1866,117,354,208,63,2602,3293,266,621,254,61,4494,4084,288,607,223,59,5262,5393,370,719,276,80,6842,6339,548,833,235,91,8050,4363,484,608,177,62,5697,3893,548,594,158,69,5257,3001,406,473,119,41,4034,5439,609,568,157,44,6820,964,243,206,57,20,1492,855,491,392,94,27,1854,401,81,117,101,83,782,43798,4665,6894,3129,803,59284
510,660,160,164,23291,211,11,12,64,6,305,740,10,29,14,7,801,783,11,59,21,10,883,660,20,61,20,17,774,714,31,62,19,10,844,1415,41,92,23,24,1595,1908,56,114,14,16,2111,2950,112,110,27,38,3239,4642,153,169,13,32,5011,5221,165,122,20,31,5563,5989,219,111,23,36,6386,6245,170,107,7,24,6554,18877,320,173,16,48,19435,7290,144,58,10,23,7511,8327,328,150,13,25,8851,793,30,19,9,49,904,66775,1825,1455,313,393,70762
511,1520,666,210,27043,182,25,52,206,12,485,1226,8,49,54,10,1351,1093,34,137,82,26,1370,1145,62,166,85,33,1490,1473,68,233,75,20,1868,2755,116,266,104,37,3283,3595,159,302,88,46,4189,4584,225,413,78,51,5356,5780,378,478,108,41,6785,4993,346,316,71,33,5758,5456,420,314,55,38,6279,5186,318,221,54,28,5811,12545,502,354,86,37,13527,3363,236,89,29,15,3730,2928,458,220,54,20,3678,607,54,47,54,46,809,56911,3411,3656,1305,494,65776
