POW_SA4_CODE_2021,Tot_150_299_A_55_64,Tot_150_299_A_65_74,Tot_150_299_A_75ov,Tot_150_299_Tot,Tot_300_399_A_15_19,Tot_300_399_A_20_24,Tot_300_399_A_25_34,Tot_300_399_A_35_44,Tot_300_399_A_45_54,Tot_300_399_A_55_64,Tot_300_399_A_65_74,Tot_300_399_A_75ov,Tot_300_399_Tot,Tot_400_499_A_15_19,Tot_400_499_A_20_24,Tot_400_499_A_25_34,Tot_400_499_A_35_44,Tot_400_499_A_45_54,Tot_400_499_A_55_64,Tot_400_499_A_65_74,Tot_400_499_A_75ov,Tot_400_499_Tot,Tot_500_649_A_15_19,Tot_500_649_A_20_24,Tot_500_649_A_25_34,Tot_500_649_A_35_44,Tot_500_649_A_45_54,Tot_500_649_A_55_64,Tot_500_649_A_65_74,Tot_500_649_A_75ov,Tot_500_649_Tot,Tot_650_799_A_15_19,Tot_650_799_A_20_24,Tot_650_799_A_25_34,Tot_650_799_A_35_44,Tot_650_799_A_45_54,Tot_650_799_A_55_64,Tot_650_799_A_65_74,Tot_650_799_A_75ov,Tot_650_799_Tot,Tot_800_999_A_15_19,Tot_800_999_A_20_24,Tot_800_999_A_25_34,Tot_800_999_A_35_44,Tot_800_999_A_45_54,Tot_800_999_A_55_64,Tot_800_999_A_65_74,Tot_800_999_A_75ov,Tot_800_999_Tot,Tot_1000_1249_A_15_19,Tot_1000_1249_A_20_24,Tot_1000_1249_A_25_34,Tot_1000_1249_A_35_44,Tot_1000_1249_A_45_54,Tot_1000_1249_A_55_64,Tot_1000_1249_A_65_74,Tot_1000_1249_A_75ov,Tot_1000_1249_Tot,Tot_1250_1499_A_15_19,Tot_1250_1499_A_20_24,Tot_1250_1499_A_25_34,Tot_1250_1499_A_35_44,Tot_1250_1499_A_45_54,Tot_1250_1499_A_55_64,Tot_1250_1499_A_65_74,Tot_1250_1499_A_75ov,Tot_1250_1499_Tot,Tot_1500_1749_A_15_19,Tot_1500_1749_A_20_24,Tot_1500_1749_A_25_34,Tot_1500_1749_A_35_44,Tot_1500_1749_A_45_54,Tot_1500_1749_A_55_64,Tot_1500_1749_A_65_74,Tot_1500_1749_A_75ov,Tot_1500_1749_Tot,Tot_1750_1999_A_15_19,Tot_1750_1999_A_20_24,Tot_1750_1999_A_25_34,Tot_1750_1999_A_35_44,Tot_1750_1999_A_45_54,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000_3499_A_15_19,Tot_3000_3499_A_20_24,Tot_3000_3499_A_25_34,Tot_3000_3499_A_35_44,Tot_3000_3499_A_45_54,Tot_3000_3499_A_55_64,Tot_3000_3499_A_65_74,Tot_3000_3499_A_75ov,Tot_3000_3499_Tot,Tot_3500mo_A_15_19,Tot_3500mo_A_20_24,Tot_3500mo_A_25_34,Tot_3500mo_A_35_44,Tot_3500mo_A_45_54,Tot_3500mo_A_55_64,Tot_3500mo_A_65_74,Tot_3500mo_A_75ov,Tot_3500mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
501,332,183,40,2543,391,234,384,519,426,488,272,48,2751,482,314,542,635,635,707,333,70,3721,635,601,907,1089,1180,1116,514,106,6140,458,909,1313,1431,1533,1323,516,65,7552,270,1165,1921,1870,1919,1634,502,83,9352,134,906,2151,2217,2415,1935,535,62,10355,35,489,1638,1747,1845,1505,330,31,7621,18,268,1265,1679,1750,1345,302,32,6666,12,139,954,1300,1511,1146,220,37,5313,4,141,1301,2344,2617,1893,346,36,8678,0,14,207,439,557,384,90,15,1708,3,9,158,533,698,528,192,34,2150,76,64,104,155,138,153,58,23,773,5669,5509,13343,16587,17777,14753,4540,722,78895
502,136,51,9,1471,288,234,241,204,213,208,94,11,1489,247,280,276,292,259,300,123,20,1797,233,415,454,485,495,506,184,34,2811,144,467,597,590,607,534,189,22,3160,67,460,705,704,759,560,156,15,3416,34,285,785,831,895,737,136,24,3723,7,183,559,511,613,475,96,12,2443,3,100,454,515,528,464,80,5,2161,0,24,321,362,519,316,49,5,1589,0,41,446,755,896,658,109,7,2912,0,0,83,166,150,123,17,0,539,0,7,58,177,221,181,50,9,707,31,33,42,49,58,58,15,7,298,2831,2828,5289,5918,6432,5349,1404,185,30240
503,340,179,36,5214,791,1665,1042,699,544,501,257,52,5546,612,1743,1493,964,700,660,336,82,6590,503,2398,2715,1883,1397,1247,622,121,10885,343,2386,3618,2671,1866,1641,700,99,13330,278,2830,5494,3918,2862,2326,860,113,18688,143,3396,8690,6055,4400,3656,1044,125,27509,67,2354,9170,6299,4700,3499,952,88,27126,42,1187,8591,6971,5114,3687,852,97,26545,12,472,6247,6176,4752,3112,711,49,21534,17,482,10675,15558,11971,7017,1413,114,47242,5,53,2185,4848,4004,2159,495,41,13793,21,60,2286,9886,10960,5829,1370,170,30582,65,198,447,405,400,255,84,38,1885,7035,21574,63687,67220,54331,36176,9992,1247,261272
504,322,128,32,3767,696,757,550,576,440,469,213,49,3749,593,838,781,622,617,590,263,58,4363,663,1211,1285,1167,1127,1018,454,86,7022,416,1432,1819,1676,1454,1245,496,57,8595,295,1596,2882,2330,2325,1752,531,51,11766,161,1284,3598,3056,2925,2435,596,54,14104,47,659,2809,2589,2384,1804,426,40,10768,16,375,2310,2278,2183,1684,396,47,9298,12,160,1561,1800,1727,1276,245,11,6803,9,131,1858,2963,2958,2119,427,37,10491,3,13,313,545,614,403,93,11,1999,5,24,240,703,872,538,164,38,2583,70,139,201,192,212,160,47,11,1035,7142,9589,20869,21189,20415,16037,4604,617,100464
505,548,248,49,7579,1378,1628,1020,1141,891,820,363,63,7301,1065,1763,1424,1323,1232,1151,503,67,8521,1045,2484,2422,2214,2241,1952,835,124,13312,640,2635,3428,2965,2768,2388,857,109,15793,393,2880,5156,4033,4018,3030,925,108,20539,154,2177,6369,5117,4932,3869,1045,74,23734,64,1108,4837,4450,3946,3025,685,41,18147,22,577,4114,4101,3765,2669,616,51,15907,8,210,2662,3129,2997,1953,427,34,11421,4,158,2933,5399,5336,3507,647,62,18049,4,23,410,1097,1096,724,175,19,3548,3,19,470,1506,1876,1249,374,82,5575,117,231,337,333,387,292,94,18,1803,13747,18088,36792,38174,36591,27550,7967,936,179841
506,540,265,58,7389,1174,1669,1230,1099,870,820,375,78,7321,1039,1841,1661,1418,1173,1090,535,114,8866,1158,2722,2987,2463,2029,1928,835,132,14247,829,3121,4016,3498,2888,2359,856,113,17677,559,3630,6682,5144,4515,3518,1046,123,25221,300,2930,8704,7264,6040,4723,1221,99,31282,98,1515,6902,5996,4979,3898,954,56,24397,52,769,5572,5617,4823,3709,848,55,21446,14,356,3606,4355,3773,2595,605,36,15335,17,397,4908,7930,7074,4703,937,74,26034,4,75,881,1796,1723,1059,243,23,5810,10,52,823,2268,2810,1854,450,78,8344,112,302,408,346,413,342,78,33,2030,12611,21823,49866,50605,44146,33535,9464,1105,223150
507,462,219,33,6320,1189,1428,923,919,716,702,331,51,6254,947,1532,1237,1137,1027,985,380,80,7318,1004,2197,2201,1989,1930,1579,650,105,11657,616,2423,3055,2687,2406,1992,698,74,13949,441,2541,4571,3705,3248,2666,774,77,18022,228,2205,5882,4917,4489,3619,855,89,22288,82,1414,4948,4337,3834,2867,695,63,18239,35,785,4592,4238,3838,2803,618,44,16959,21,296,3128,3474,3203,2178,449,40,12801,16,294,4362,6603,6350,4163,778,53,22622,0,39,754,1414,1462,1004,177,20,4867,3,45,573,2024,2402,1574,368,68,7062,116,217,315,274,315,273,69,13,1594,11991,17234,37657,38883,36134,27222,7220,829,177166
509,299,207,53,1749,228,135,241,313,312,433,261,77,1999,302,186,318,397,456,554,303,90,2602,404,386,655,725,799,858,525,138,4494,304,630,868,889,964,1052,453,103,5262,205,774,1246,1192,1394,1361,551,102,6842,120,657,1614,1523,1642,1827,570,85,8050,46,400,1134,1136,1241,1246,415,69,5697,25,241,1075,1070,1298,1179,325,45,5257,9,112,710,915,1057,911,269,56,4034,3,135,1076,1617,1960,1589,380,63,6820,3,21,192,389,408,365,93,14,1492,9,21,154,401,571,463,191,43,1854,40,51,97,102,156,187,85,62,782,3181,3910,9744,11144,12804,12609,4823,1066,59284
510,66,30,9,883,101,81,150,166,129,92,47,9,774,112,92,164,175,122,107,60,11,844,183,160,343,368,254,201,85,4,1595,167,262,539,444,346,260,84,5,2111,162,444,912,668,516,407,123,15,3239,155,609,1412,1041,879,713,178,18,5011,99,646,1573,1172,1060,814,198,14,5563,60,471,1883,1481,1295,995,184,5,6386,40,402,1804,1651,1433,1011,214,7,6554,47,787,5044,5350,4707,3025,463,9,19435,5,158,1843,2295,1883,1154,167,7,7511,5,86,1685,2962,2469,1454,181,12,8851,31,74,208,197,189,160,38,12,904,2086,4356,17892,18255,15433,10530,2084,135,70762
511,197,87,22,1370,208,131,231,242,228,280,142,31,1490,242,181,294,293,320,355,153,33,1868,374,428,547,524,556,547,263,45,3283,311,628,823,706,740,691,234,51,4189,236,728,1142,938,1032,960,279,38,5356,137,700,1501,1230,1450,1338,384,40,6785,97,567,1329,1219,1224,1015,270,35,5758,67,535,1584,1291,1413,1138,229,27,6279,37,391,1417,1339,1329,1046,233,24,5811,43,604,3315,3401,3319,2361,452,34,13527,3,79,837,1085,963,669,85,13,3730,8,45,578,1077,1076,705,165,26,3678,49,60,153,128,159,186,49,23,809,3334,5234,14069,13800,14113,11665,3102,463,65776
