POW_SA4_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
501,112,566,361,258,533,557,233,417,29,3064,130,433,267,172,396,499,162,426,541,3029,3913,12747,10014,6864,12783,14385,5133,11711,1337,78895
502,34,281,232,114,264,249,72,150,14,1414,53,205,133,80,151,184,54,131,231,1230,1292,6397,4717,2847,5652,4466,1470,2881,520,30240
503,259,1135,1045,682,1679,1365,409,700,72,7348,321,986,861,530,1442,2063,496,1049,1640,9379,11513,28848,28027,19297,55864,62752,17807,33887,3282,261272
504,152,810,653,391,1043,1086,377,740,56,5305,149,731,519,358,1092,1190,294,720,805,5844,3411,15961,12437,7669,19254,19860,6665,13561,1640,100464
505,268,1601,1251,707,1659,1639,531,873,79,8609,224,1183,843,502,1541,1733,421,923,1239,8611,6222,33334,25549,15271,34377,33325,9704,19393,2669,179841
506,245,1417,1134,655,1907,2035,694,1283,119,9500,271,1353,1051,694,2356,2843,688,1412,1760,12421,8239,32760,26598,16506,44027,46249,15059,30038,3679,223150
507,205,1297,1006,629,1262,1303,405,803,84,6994,278,1040,750,489,1487,1894,487,1185,1188,8808,7089,28669,22253,14209,32639,35614,11218,22875,2602,177166
509,86,289,204,140,327,466,150,294,25,1977,137,324,220,122,236,325,110,310,449,2236,3093,8304,6705,4426,8158,10385,4197,12803,1215,59284
510,71,189,107,86,237,249,127,546,25,1630,178,217,111,78,255,320,135,791,606,2692,6640,4272,3425,2508,7126,8217,5282,31687,1614,70762
511,84,226,196,130,339,471,158,582,24,2213,112,267,189,118,261,358,130,486,507,2428,4086,6571,5476,3665,8136,9750,4951,21722,1414,65776
597,0,0,0,0,0,0,0,6,0,3,26,4,4,0,3,6,5,110,8,167,235,39,21,17,40,63,31,905,27,1386
599,146,629,380,219,293,353,98,352,33,2503,254,515,290,196,330,456,117,433,505,3109,4409,11147,7411,4605,6534,10124,3133,11844,1359,60566
