POW_SA4_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
501,216,857,514,284,318,357,150,453,42,3193,79,467,234,103,67,143,35,172,41,1347,50,238,103,55,37,80,19,86,51,722,3913,12747,10014,6864,12783,14385,5133,11711,1337,78895
502,65,294,195,93,131,107,25,90,11,1005,13,168,67,21,33,40,7,33,10,398,7,84,32,11,6,14,0,9,17,185,1292,6397,4717,2847,5652,4466,1470,2881,520,30240
503,400,1422,1188,630,1252,1193,333,763,68,7247,147,902,492,224,319,330,80,209,44,2745,63,516,186,101,90,110,34,85,77,1247,11513,28848,28027,19297,55864,62752,17807,33887,3282,261272
504,168,712,594,291,516,492,151,375,27,3333,52,458,227,91,122,135,50,117,17,1265,34,245,112,53,42,46,21,56,14,617,3411,15961,12437,7669,19254,19860,6665,13561,1640,100464
505,283,1511,1049,525,818,746,200,503,56,5692,102,891,424,201,185,212,55,180,35,2276,40,460,166,55,55,55,17,47,41,936,6222,33334,25549,15271,34377,33325,9704,19393,2669,179841
506,338,1470,1120,535,1135,1096,382,748,69,6890,119,883,449,194,266,309,96,216,43,2570,60,468,190,70,54,100,26,80,57,1105,8239,32760,26598,16506,44027,46249,15059,30038,3679,223150
507,299,1295,901,413,756,802,252,552,68,5319,82,737,361,141,187,189,47,143,28,1901,35,381,146,53,50,70,6,45,27,829,7089,28669,22253,14209,32639,35614,11218,22875,2602,177166
509,236,645,446,268,289,454,153,646,70,3210,97,422,251,107,107,168,72,328,57,1614,68,282,174,88,45,136,37,154,73,1066,3093,8304,6705,4426,8158,10385,4197,12803,1215,59284
510,217,138,106,69,175,199,85,659,30,1674,31,60,24,36,45,52,18,130,18,414,5,31,19,5,11,18,4,32,13,135,6640,4272,3425,2508,7126,8217,5282,31687,1614,70762
511,164,335,295,142,255,312,141,629,39,2313,34,204,109,50,65,107,38,155,18,790,29,124,55,29,18,49,14,97,42,463,4086,6571,5476,3665,8136,9750,4951,21722,1414,65776
597,9,0,0,0,0,0,0,10,0,25,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,235,39,21,17,40,63,31,905,27,1386
599,247,791,399,210,150,246,75,288,31,2433,119,409,178,66,37,66,22,81,27,1015,76,232,65,23,12,32,4,27,36,516,4409,11147,7411,4605,6534,10124,3133,11844,1359,60566
