POW_SA4_CODE_2021,OIDNS_400_499_H_0,OIDNS_400_499_H_1_19,OIDNS_400_499_H_20_29,OIDNS_400_499_H_30_34,OIDNS_400_499_H_35_39,OIDNS_400_499_H_40_44,OIDNS_400_499_H_45_49,OIDNS_400_499_H_50ov,OIDNS_400_499_H_NS,OIDNS_400_499_H_Tot,OIDNS_500_649_H_0,OIDNS_500_649_H_1_19,OIDNS_500_649_H_20_29,OIDNS_500_649_H_30_34,OIDNS_500_649_H_35_39,OIDNS_500_649_H_40_44,OIDNS_500_649_H_45_49,OIDNS_500_649_H_50ov,OIDNS_500_649_H_NS,OIDNS_500_649_H_Tot,OIDNS_650_799_H_0,OIDNS_650_799_H_1_19,OIDNS_650_799_H_20_29,OIDNS_650_799_H_30_34,OIDNS_650_799_H_35_39,OIDNS_650_799_H_40_44,OIDNS_650_799_H_45_49,OIDNS_650_799_H_50ov,OIDNS_650_799_H_NS,OIDNS_650_799_H_Tot,OIDNS_800_999_H_0,OIDNS_800_999_H_1_19,OIDNS_800_999_H_20_29,OIDNS_800_999_H_30_34,OIDNS_800_999_H_35_39,OIDNS_800_999_H_40_44,OIDNS_800_999_H_45_49,OIDNS_800_999_H_50ov,OIDNS_800_999_H_NS,OIDNS_800_999_H_Tot,OIDNS_1000_1249_H_0,OIDNS_1000_1249_H_1_19,OIDNS_1000_1249_H_20_29,OIDNS_1000_1249_H_30_34,OIDNS_1000_1249_H_35_39,OIDNS_1000_1249_H_40_44,OIDNS_1000_1249_H_45_49,OIDNS_1000_1249_H_50ov,OIDNS_1000_1249_H_NS,OIDNS_1000_1249_H_Tot,OIDNS_1250_1499_H_0,OIDNS_1250_1499_H_1_19,OIDNS_1250_1499_H_20_29,OIDNS_1250_1499_H_30_34,OIDNS_1250_1499_H_35_39,OIDNS_1250_1499_H_40_44,OIDNS_1250_1499_H_45_49,OIDNS_1250_1499_H_50ov,OIDNS_1250_1499_H_NS,OIDNS_1250_1499_H_Tot,OIDNS_1500_1749_H_0,OIDNS_1500_1749_H_1_19,OIDNS_1500_1749_H_20_29,OIDNS_1500_1749_H_30_34,OIDNS_1500_1749_H_35_39,OIDNS_1500_1749_H_40_44,OIDNS_1500_1749_H_45_49,OIDNS_1500_1749_H_50ov,OIDNS_1500_1749_H_NS,OIDNS_1500_1749_H_Tot,OIDNS_1750_1999_H_0,OIDNS_1750_1999_H_1_19,OIDNS_1750_1999_H_20_29,OIDNS_1750_1999_H_30_34,OIDNS_1750_1999_H_35_39,OIDNS_1750_1999_H_40_44,OIDNS_1750_1999_H_45_49,OIDNS_1750_1999_H_50ov,OIDNS_1750_1999_H_NS,OIDNS_1750_1999_H_Tot,OIDNS_2000_2999_H_0,OIDNS_2000_2999_H_1_19,OIDNS_2000_2999_H_20_29,OIDNS_2000_2999_H_30_34,OIDNS_2000_2999_H_35_39,OIDNS_2000_2999_H_40_44,OIDNS_2000_2999_H_45_49,OIDNS_2000_2999_H_50ov,OIDNS_2000_2999_H_NS,OIDNS_2000_2999_H_Tot,OIDNS_3000_3499_H_0,OIDNS_3000_3499_H_1_19,OIDNS_3000_3499_H_20_29,OIDNS_3000_3499_H_30_34,OIDNS_3000_3499_H_35_39,OIDNS_3000_3499_H_40_44,OIDNS_3000_3499_H_45_49,OIDNS_3000_3499_H_50ov,OIDNS_3000_3499_H_NS,OIDNS_3000_3499_H_Tot,OIDNS_3500mo_H_0,OIDNS_3500mo_H_1_19,OIDNS_3500mo_H_20_29,OIDNS_3500mo_H_30_34,OIDNS_3500mo_H_35_39,OIDNS_3500mo_H_40_44,OIDNS_3500mo_H_45_49,OIDNS_3500mo_H_50ov,OIDNS_3500mo_H_NS,OIDNS_3500mo_H_Tot,OIDNS_PINS_H_0,OIDNS_PINS_H_1_19,OIDNS_PINS_H_20_29,OIDNS_PINS_H_30_34,OIDNS_PINS_H_35_39,OIDNS_PINS_H_40_44,OIDNS_PINS_H_45_49,OIDNS_PINS_H_50ov,OIDNS_PINS_H_NS,OIDNS_PINS_H_Tot,OIDNS_Tot_H_0,OIDNS_Tot_H_1_19,OIDNS_Tot_H_20_29,OIDNS_Tot_H_30_34,OIDNS_Tot_H_35_39,OIDNS_Tot_H_40_44,OIDNS_Tot_H_45_49,OIDNS_Tot_H_50ov,OIDNS_Tot_H_NS,OIDNS_Tot_H_Tot,Tot_NNI_H_0,Tot_NNI_H_1_19,Tot_NNI_H_20_29,Tot_NNI_H_30_34,Tot_NNI_H_35_39,Tot_NNI_H_40_44,Tot_NNI_H_45_49,Tot_NNI_H_50ov,Tot_NNI_H_NS,Tot_NNI_H_Tot,Tot_1_149_H_0,Tot_1_149_H_1_19,Tot_1_149_H_20_29,Tot_1_149_H_30_34,Tot_1_149_H_35_39,Tot_1_149_H_40_44,Tot_1_149_H_45_49,Tot_1_149_H_50ov,Tot_1_149_H_NS,Tot_1_149_H_Tot,Tot_150_299_H_0,Tot_150_299_H_1_19,Tot_150_299_H_20_29,Tot_150_299_H_30_34,Tot_150_299_H_35_39,Tot_150_299_H_40_44,Tot_150_299_H_45_49,Tot_150_299_H_50ov,Tot_150_299_H_NS,Tot_150_299_H_Tot,Tot_300_399_H_0,Tot_300_399_H_1_19,Tot_300_399_H_20_29,Tot_300_399_H_30_34,Tot_300_399_H_35_39,Tot_300_399_H_40_44,Tot_300_399_H_45_49,Tot_300_399_H_50ov,Tot_300_399_H_NS,Tot_300_399_H_Tot,Tot_400_499_H_0,Tot_400_499_H_1_19,Tot_400_499_H_20_29,Tot_400_499_H_30_34,Tot_400_499_H_35_39,Tot_400_499_H_40_44,Tot_400_499_H_45_49,Tot_400_499_H_50ov,Tot_400_499_H_NS,Tot_400_499_H_Tot,Tot_500_649_H_0,Tot_500_649_H_1_19,Tot_500_649_H_20_29,Tot_500_649_H_30_34,Tot_500_649_H_35_39,Tot_500_649_H_40_44,Tot_500_649_H_45_49,Tot_500_649_H_50ov,Tot_500_649_H_NS,Tot_500_649_H_Tot,Tot_650_799_H_0,Tot_650_799_H_1_19,Tot_650_799_H_20_29,Tot_650_799_H_30_34,Tot_650_799_H_35_39,Tot_650_799_H_40_44,Tot_650_799_H_45_49,Tot_650_799_H_50ov,Tot_650_799_H_NS,Tot_650_799_H_Tot
501,3,15,10,3,0,4,0,6,13,61,7,12,12,6,3,4,0,5,20,80,3,13,13,7,11,10,0,0,22,77,5,5,8,17,28,24,4,8,34,132,0,10,3,10,24,31,5,9,23,107,6,3,4,6,13,27,8,18,14,104,7,4,4,0,19,25,11,22,16,99,5,0,4,0,16,22,7,9,15,86,9,4,3,0,14,32,13,25,4,110,0,0,0,0,5,9,0,14,10,36,0,0,4,0,4,8,0,8,14,39,5,11,0,4,6,9,8,9,85,139,77,140,84,61,148,203,56,154,341,1268,95,167,67,32,30,63,16,128,39,636,242,2419,105,23,16,16,8,51,56,2943,152,1743,318,75,55,48,11,83,57,2543,129,1545,534,147,98,98,30,119,68,2751,207,1547,1046,234,194,210,50,162,67,3721,328,1558,2091,702,522,441,120,289,83,6140,376,1169,1866,1365,1286,831,168,366,118,7552
502,0,6,6,0,0,0,0,0,11,19,5,9,12,4,0,0,0,3,12,37,4,5,12,3,0,6,0,3,4,39,0,4,5,3,4,5,0,5,7,34,0,0,5,0,10,11,0,0,13,40,3,0,0,4,0,13,0,6,5,28,0,0,0,0,5,3,4,5,6,19,0,0,0,0,4,4,6,8,6,26,5,0,0,0,10,14,3,13,7,44,0,0,0,0,8,5,3,0,0,17,0,3,0,0,3,0,0,6,0,10,3,3,0,0,3,0,0,0,62,72,24,49,40,11,53,59,17,44,153,443,31,95,21,15,17,20,4,31,10,244,82,1287,59,16,5,10,0,9,13,1479,63,1146,166,29,8,11,5,3,24,1471,56,882,323,69,49,36,12,26,28,1489,74,794,552,112,109,69,16,48,31,1797,124,775,1059,318,227,150,31,78,41,2811,140,503,894,584,553,276,44,98,53,3160
503,9,39,22,6,8,0,0,3,45,125,19,35,45,23,9,10,0,5,50,187,10,26,43,23,27,13,0,6,53,215,13,19,30,34,69,58,6,16,61,303,21,23,39,34,135,71,15,27,58,420,16,16,16,23,128,100,16,24,47,390,17,13,12,22,118,100,18,29,41,382,19,8,11,11,76,73,18,46,42,302,22,22,18,17,126,159,40,81,47,535,7,6,3,5,16,43,7,32,17,141,17,32,22,13,31,79,29,103,21,348,5,19,13,6,34,57,8,34,400,575,223,377,298,229,806,773,173,419,1047,4333,166,249,93,44,46,79,22,76,93,871,280,3282,150,37,35,43,12,27,65,3926,284,4014,547,115,64,53,11,33,98,5214,274,3500,1114,186,138,96,25,71,140,5546,275,3229,2062,322,219,195,36,108,133,6590,454,3520,4189,1029,667,489,98,232,201,10885,610,2589,4360,1994,2055,979,188,322,235,13330
504,0,7,12,4,0,0,0,4,16,43,0,13,14,8,8,17,0,6,23,95,0,12,13,10,24,7,4,0,32,105,0,19,12,9,48,13,4,16,35,154,6,18,8,11,54,57,8,24,34,211,10,9,7,6,42,49,10,23,23,171,4,0,4,8,35,30,11,25,17,122,5,4,0,0,19,31,10,22,12,104,4,0,4,6,12,28,8,42,13,128,0,0,5,0,3,9,4,13,4,35,8,0,0,0,0,8,4,14,10,38,4,11,9,10,9,11,0,12,211,275,67,174,93,68,252,259,64,215,485,1685,69,234,67,43,52,55,24,86,52,684,181,2957,154,35,13,25,12,31,40,3444,149,2808,491,86,52,63,9,56,48,3767,137,2233,817,180,102,124,18,70,65,3749,126,1849,1396,276,236,204,66,128,78,4363,223,1789,2599,815,660,467,110,253,102,7022,232,1278,2328,1400,1686,964,212,372,117,8595
505,3,34,15,10,7,7,0,0,28,112,9,23,37,15,17,3,0,3,35,143,3,23,41,13,29,26,4,4,40,176,13,25,31,14,69,50,18,14,59,295,13,21,24,21,89,61,16,21,59,317,4,5,11,9,81,67,21,25,37,261,3,9,12,12,57,58,16,26,23,214,3,6,12,6,31,51,11,32,11,164,7,9,12,0,26,48,26,53,27,203,0,4,10,0,4,18,6,20,0,62,4,7,3,9,6,15,0,26,12,79,3,9,7,15,28,34,7,17,324,438,99,322,226,131,436,439,122,261,767,2801,134,445,139,77,72,117,25,105,76,1185,384,6532,271,38,39,36,10,43,65,7426,254,5812,996,155,95,92,29,53,89,7579,271,4496,1573,309,213,181,35,113,105,7301,288,3882,2772,515,404,334,64,136,124,8521,496,3709,5206,1439,1055,760,158,316,175,13312,530,2494,4652,2672,2807,1530,319,594,191,15793
506,6,30,16,3,7,5,0,3,44,122,8,45,59,12,22,14,0,6,55,224,7,22,42,18,53,22,6,9,65,236,9,24,37,33,86,62,11,25,73,356,16,23,23,20,132,108,22,44,86,470,22,11,9,20,79,96,25,35,61,349,7,8,11,3,56,81,20,50,40,279,7,6,8,6,34,47,18,49,23,206,6,3,3,0,50,69,24,80,35,288,0,3,4,0,8,16,3,17,7,61,10,14,7,4,10,16,4,39,11,113,9,13,8,11,28,42,3,27,423,568,146,397,272,159,577,584,151,399,1077,3753,173,390,122,47,86,115,30,138,109,1213,388,5510,327,69,42,57,9,44,91,6545,323,5576,906,165,100,103,31,72,116,7389,264,4392,1616,293,218,195,50,136,152,7321,307,3834,2933,558,416,388,92,181,162,8866,462,3911,5368,1592,1189,892,198,412,225,14247,609,2552,4905,2831,3479,1972,389,669,279,17677
507,5,27,22,4,5,3,0,3,31,101,8,17,34,3,23,5,3,13,37,130,4,17,35,24,25,22,0,8,29,159,12,19,16,27,62,51,3,9,46,243,8,15,26,25,90,75,11,33,52,330,10,8,7,10,56,76,26,35,33,254,8,12,7,4,47,58,24,41,30,234,7,3,5,3,36,37,21,27,16,146,8,7,4,7,48,78,29,76,24,284,3,0,0,3,3,18,3,22,11,69,0,18,7,6,0,16,0,40,11,100,13,13,4,3,20,26,3,15,288,393,106,269,191,139,429,474,131,320,717,2772,129,376,105,70,60,88,30,108,97,1061,324,5354,229,47,31,40,12,43,75,6152,243,4887,750,118,75,79,19,68,79,6320,298,3801,1341,249,165,175,38,90,96,6254,277,3237,2366,473,352,278,54,171,104,7318,463,3265,4364,1274,933,721,168,290,181,11657,532,2200,3905,2368,2501,1423,290,529,195,13949
509,4,10,9,0,3,0,0,0,18,49,4,4,16,0,6,6,0,7,22,65,6,8,9,11,12,10,0,6,18,73,11,4,8,4,21,19,10,7,31,118,10,8,9,5,22,24,4,19,30,133,12,7,0,4,14,17,10,16,6,89,7,0,0,0,4,15,0,12,7,58,0,0,0,5,6,7,4,9,9,35,4,0,0,0,3,8,7,24,8,59,3,0,0,0,0,3,0,7,7,23,3,5,3,0,3,4,0,5,7,29,6,3,4,0,3,6,0,8,80,125,95,87,70,38,90,134,53,133,306,1007,69,159,78,31,30,85,30,258,44,785,106,1142,88,23,25,35,9,87,48,1566,87,1106,205,46,27,62,29,138,42,1749,126,982,347,111,74,114,35,153,48,1999,138,965,624,206,153,172,46,223,69,2602,234,1084,1312,432,401,402,115,431,88,4494,254,717,1198,762,852,660,208,527,90,5262
510,0,3,10,0,5,5,0,0,10,30,6,5,4,5,6,3,0,8,17,48,3,3,0,0,3,7,0,6,13,38,10,5,3,8,18,12,0,11,16,81,4,4,4,5,7,18,10,19,38,107,6,4,0,0,18,20,3,24,26,109,7,10,0,5,12,27,5,33,16,106,8,0,0,0,8,8,6,43,6,82,19,13,0,0,17,28,27,149,37,287,12,3,4,0,0,8,21,82,9,134,19,5,3,0,5,14,15,106,13,185,9,5,4,0,11,0,0,16,157,213,124,99,34,31,110,151,93,505,433,1583,62,71,13,17,14,21,11,68,35,305,63,609,36,9,11,4,4,36,36,801,59,496,124,41,48,30,4,41,37,883,43,326,150,58,46,55,17,59,38,774,46,292,203,70,73,61,9,68,22,844,101,346,409,211,157,132,37,151,54,1595,106,257,421,309,375,245,78,269,50,2111
511,3,8,6,0,0,4,0,0,17,43,9,11,12,6,5,3,0,8,17,65,3,3,12,4,6,6,0,0,21,60,5,8,4,3,13,13,0,15,23,88,5,6,4,8,29,14,9,9,18,106,8,3,0,4,15,27,4,22,11,96,3,0,0,3,13,13,3,22,23,79,3,3,4,0,13,17,0,37,18,92,11,6,0,0,11,14,20,68,20,150,3,0,3,0,3,9,3,24,4,51,0,4,0,0,0,0,5,20,13,49,9,6,3,0,6,9,0,17,131,185,91,103,65,42,114,136,54,253,362,1215,54,116,48,19,17,51,17,135,33,485,88,1095,54,15,12,12,12,33,25,1351,82,868,200,50,30,27,10,67,33,1370,67,741,305,80,58,63,19,105,51,1490,79,694,521,124,119,116,37,128,50,1868,156,685,1040,379,358,278,89,238,65,3283,214,492,959,675,749,520,114,367,99,4189
