POW_SA4_CODE_2021,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE,M_Vietnam_OM_UIE,M_Vietnam_CFW,M_Vietnam_ES_NS,M_Vietnam_Tot,M_Elsewhere_E,M_Elsewhere_OM_IE,M_Elsewhere_OM_UIE,M_Elsewhere_CFW,M_Elsewhere_ES_NS,M_Elsewhere_Tot,M_COB_NS_E,M_COB_NS_OM_IE,M_COB_NS_OM_UIE,M_COB_NS_CFW,M_COB_NS_ES_NS,M_COB_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_Australia_E,F_Australia_OM_IE,F_Australia_OM_UIE,F_Australia_CFW,F_Australia_ES_NS,F_Australia_Tot,F_Afghanistan_E,F_Afghanistan_OM_IE,F_Afghanistan_OM_UIE,F_Afghanistan_CFW,F_Afghanistan_ES_NS,F_Afghanistan_Tot,F_Bangladesh_E,F_Bangladesh_OM_IE,F_Bangladesh_OM_UIE,F_Bangladesh_CFW,F_Bangladesh_ES_NS,F_Bangladesh_Tot,F_Canada_E,F_Canada_OM_IE,F_Canada_OM_UIE,F_Canada_CFW,F_Canada_ES_NS,F_Canada_Tot,F_China_E,F_China_OM_IE,F_China_OM_UIE,F_China_CFW,F_China_ES_NS,F_China_Tot,F_Croatia_E,F_Croatia_OM_IE,F_Croatia_OM_UIE,F_Croatia_CFW,F_Croatia_ES_NS,F_Croatia_Tot,F_Egypt_E,F_Egypt_OM_IE,F_Egypt_OM_UIE,F_Egypt_CFW,F_Egypt_ES_NS,F_Egypt_Tot,F_Fiji_E,F_Fiji_OM_IE,F_Fiji_OM_UIE,F_Fiji_CFW,F_Fiji_ES_NS,F_Fiji_Tot,F_Germany_E,F_Germany_OM_IE,F_Germany_OM_UIE,F_Germany_CFW,F_Germany_ES_NS,F_Germany_Tot,F_Greece_E,F_Greece_OM_IE,F_Greece_OM_UIE,F_Greece_CFW,F_Greece_ES_NS,F_Greece_Tot,F_HongKong_E,F_HongKong_OM_IE,F_HongKong_OM_UIE,F_HongKong_CFW,F_HongKong_ES_NS,F_HongKong_Tot,F_India_E,F_India_OM_IE,F_India_OM_UIE,F_India_CFW,F_India_ES_NS,F_India_Tot,F_Indonesia_E,F_Indonesia_OM_IE,F_Indonesia_OM_UIE,F_Indonesia_CFW,F_Indonesia_ES_NS,F_Indonesia_Tot,F_Iran_E,F_Iran_OM_IE,F_Iran_OM_UIE,F_Iran_CFW,F_Iran_ES_NS,F_Iran_Tot,F_Iraq_E,F_Iraq_OM_IE,F_Iraq_OM_UIE,F_Iraq_CFW,F_Iraq_ES_NS,F_Iraq_Tot,F_Ireland_E,F_Ireland_OM_IE,F_Ireland_OM_UIE,F_Ireland_CFW,F_Ireland_ES_NS,F_Ireland_Tot,F_Italy_E,F_Italy_OM_IE,F_Italy_OM_UIE,F_Italy_CFW,F_Italy_ES_NS,F_Italy_Tot,F_Japan_E,F_Japan_OM_IE,F_Japan_OM_UIE,F_Japan_CFW,F_Japan_ES_NS,F_Japan_Tot,F_KoreaSouth_E,F_KoreaSouth_OM_IE,F_KoreaSouth_OM_UIE,F_KoreaSouth_CFW,F_KoreaSouth_ES_NS,F_KoreaSouth_Tot,F_Lebanon_E,F_Lebanon_OM_IE,F_Lebanon_OM_UIE,F_Lebanon_CFW,F_Lebanon_ES_NS,F_Lebanon_Tot,F_Malaysia_E,F_Malaysia_OM_IE,F_Malaysia_OM_UIE,F_Malaysia_CFW,F_Malaysia_ES_NS,F_Malaysia_Tot,F_Nepal_E,F_Nepal_OM_IE,F_Nepal_OM_UIE,F_Nepal_CFW,F_Nepal_ES_NS,F_Nepal_Tot,F_Netherlands_E,F_Netherlands_OM_IE,F_Netherlands_OM_UIE,F_Netherlands_CFW,F_Netherlands_ES_NS,F_Netherlands_Tot,F_NZ_E,F_NZ_OM_IE,F_NZ_OM_UIE,F_NZ_CFW,F_NZ_ES_NS,F_NZ_Tot,F_Pakistan_E,F_Pakistan_OM_IE,F_Pakistan_OM_UIE,F_Pakistan_CFW,F_Pakistan_ES_NS,F_Pakistan_Tot,F_Philippines_E,F_Philippines_OM_IE,F_Philippines_OM_UIE,F_Philippines_CFW,F_Philippines_ES_NS,F_Philippines_Tot,F_Poland_E,F_Poland_OM_IE,F_Poland_OM_UIE,F_Poland_CFW,F_Poland_ES_NS,F_Poland_Tot,F_Singapore_E,F_Singapore_OM_IE,F_Singapore_OM_UIE,F_Singapore_CFW,F_Singapore_ES_NS,F_Singapore_Tot,F_SthAfrica_E,F_SthAfrica_OM_IE,F_SthAfrica_OM_UIE,F_SthAfrica_CFW
501,20,9,0,140,37,10,16,4,0,67,985,83,100,17,3,1197,203,34,36,25,20,323,30701,2925,3820,914,362,38731,25814,1196,2273,710,192,30175,7,0,0,0,0,10,15,0,0,0,0,17,131,14,21,0,0,164,116,12,14,9,0,148,4,0,0,0,0,4,4,0,0,0,0,4,16,0,0,0,0,14,205,5,25,3,0,247,4,0,0,0,0,7,34,0,4,0,0,41,222,11,12,9,0,257,110,6,0,0,0,115,13,0,0,0,0,12,6,0,0,0,0,9,173,10,11,0,0,194,87,3,9,6,4,111,62,0,12,0,3,74,75,5,0,0,6,82,12,0,0,0,0,11,112,3,8,0,0,128,36,0,0,0,0,36,88,5,14,0,0,112,1150,37,99,24,6,1324,17,0,0,3,0,24,649,6,18,8,7,690,32,0,7,0,0,41,69,0,10,3,0,85,699,24,63,14
502,5,0,0,57,20,8,8,0,0,29,288,34,40,0,6,360,64,9,7,3,8,88,9573,1030,1295,202,101,12200,10474,400,736,183,68,11859,0,0,0,0,0,0,7,0,0,0,0,7,45,7,6,0,0,60,58,16,12,0,0,84,0,0,0,0,0,8,4,0,0,0,0,3,10,0,0,0,0,10,45,0,11,0,0,57,4,0,0,0,0,4,19,0,0,0,0,23,175,14,13,0,0,203,92,4,3,0,0,107,14,0,4,0,0,22,0,0,0,0,0,0,90,3,6,5,0,103,18,0,4,0,0,18,19,0,4,0,0,21,21,0,0,0,0,25,0,0,0,0,0,3,82,4,12,0,0,96,20,0,0,0,0,20,28,3,8,0,0,40,688,26,46,3,13,777,4,0,0,0,0,4,434,10,17,0,9,468,4,0,0,0,0,7,43,6,5,0,0,49,378,26,34,8
503,26,7,0,836,711,80,77,11,7,890,8442,490,318,41,28,9328,253,19,29,5,19,329,108546,8460,4975,625,396,123004,71851,2054,2332,429,158,76830,103,0,7,7,0,115,175,0,0,0,0,183,642,21,30,0,0,690,2327,132,91,39,14,2607,200,10,8,3,0,223,102,0,0,0,0,100,88,0,6,0,0,95,681,25,27,3,0,738,62,6,6,0,0,71,609,30,27,0,0,674,4542,77,44,20,17,4699,1251,31,18,9,3,1317,512,17,23,4,4,555,91,0,0,0,0,91,1651,28,39,8,3,1725,593,19,35,6,3,656,629,15,34,8,4,691,549,48,22,6,0,627,48,0,4,0,0,53,3050,105,96,25,9,3284,544,9,3,0,0,562,262,12,13,3,0,291,3667,80,87,11,20,3852,201,0,3,5,0,215,2353,14,26,12,0,2396,448,8,24,5,0,488,1544,30,41,13,6,1632,3291,92,120,21
504,21,0,0,219,634,79,163,33,15,922,2937,344,342,47,32,3702,168,20,12,9,26,236,43854,4881,4454,590,355,54135,24631,1106,1903,411,95,28141,50,0,0,0,0,57,41,0,0,0,0,46,128,8,13,0,0,147,477,56,46,16,3,600,61,3,13,3,0,76,19,3,5,0,0,33,34,0,0,0,0,34,157,9,20,0,3,196,19,0,5,0,0,32,133,6,13,4,0,155,1401,75,88,25,14,1600,197,10,19,6,0,224,111,3,8,0,0,130,32,3,0,0,0,36,329,16,22,6,0,376,176,14,30,10,4,229,83,4,12,0,0,108,100,6,14,7,0,123,13,0,0,0,0,15,507,19,35,12,9,571,128,0,3,0,0,131,65,4,9,3,0,80,1449,52,87,20,12,1620,65,5,11,0,0,73,1046,8,28,19,5,1109,132,8,16,3,0,157,235,5,13,0,3,261,783,45,59,13
505,31,7,4,349,833,132,222,40,27,1257,4821,728,717,87,54,6404,215,31,29,11,25,304,64799,9537,8558,901,494,84297,45278,2102,3278,644,180,51489,97,8,3,3,0,114,62,3,3,0,0,63,282,17,37,0,0,334,823,130,90,39,11,1087,110,4,7,4,0,133,116,10,11,6,0,139,41,5,0,5,0,50,354,26,63,15,0,458,54,9,5,3,0,70,220,11,33,3,0,268,2286,106,98,27,8,2525,439,16,25,3,3,488,265,13,33,0,4,316,79,6,13,5,0,94,1152,65,73,19,7,1309,358,35,45,8,0,453,236,12,33,6,0,285,210,11,18,4,0,246,40,4,7,0,0,40,871,42,76,10,5,1006,200,3,3,0,3,211,149,10,20,4,0,187,2758,94,197,37,20,3110,108,5,4,0,0,123,1451,21,59,15,7,1553,276,22,52,4,0,353,490,22,39,5,3,567,3039,190,364,37
506,26,0,5,496,728,70,116,24,11,945,7523,522,565,69,56,8741,344,35,32,0,38,457,104086,9158,7725,992,640,122607,50569,1885,2707,614,169,55945,173,8,6,3,3,200,185,8,15,6,4,213,257,14,20,3,0,293,1858,195,191,72,14,2341,86,0,5,0,0,94,62,4,5,3,0,75,69,0,0,0,0,73,342,15,24,4,0,393,18,0,0,0,0,20,402,25,33,8,0,471,3883,175,216,48,39,4357,1078,47,93,25,4,1255,281,13,27,3,0,328,85,7,9,3,0,98,642,17,29,8,0,699,273,26,17,12,4,333,294,9,28,0,0,337,447,59,75,15,4,602,39,3,8,5,0,52,2311,126,187,29,11,2661,432,6,3,3,0,449,192,13,17,4,0,228,3280,106,173,27,26,3613,218,16,21,3,3,261,2612,28,68,22,13,2736,207,8,24,9,0,248,1047,67,62,12,3,1194,1827,79,103,15
507,32,4,0,409,290,36,63,13,4,402,4102,404,336,44,39,4931,220,13,15,5,23,272,74018,7003,6197,802,454,88482,46740,1865,3199,542,135,52480,32,3,3,0,0,39,76,5,4,0,0,80,256,17,38,5,0,317,1152,121,78,42,8,1400,173,18,23,5,0,222,35,0,0,0,0,39,55,0,5,0,0,61,387,24,68,8,3,487,17,0,0,6,0,21,227,16,24,6,0,281,2275,80,87,23,17,2479,661,34,65,17,0,784,206,22,18,3,0,253,31,0,0,0,0,34,591,21,34,0,5,647,301,27,42,17,6,387,231,7,29,4,0,278,268,41,43,11,4,365,25,0,0,0,0,38,1436,87,98,12,4,1638,228,4,6,0,5,240,149,14,19,4,0,192,2880,86,182,45,16,3208,83,3,8,0,0,93,2419,18,49,24,15,2531,165,9,23,0,0,196,690,44,39,11,4,785,1748,76,123,14
509,9,11,0,86,49,4,9,9,0,73,775,53,46,18,14,910,260,44,62,31,40,431,22058,3249,4335,1603,512,31762,16325,1117,1987,1262,199,20890,20,0,0,0,0,21,7,0,0,0,0,8,68,5,12,10,0,93,83,8,11,6,0,106,7,4,0,0,0,6,5,0,0,0,0,5,10,0,0,0,0,6,141,7,24,8,0,181,0,0,0,0,0,4,17,0,0,0,0,21,120,5,9,0,0,143,72,0,10,0,0,88,5,0,0,0,0,7,0,0,0,0,0,4,86,4,8,9,0,101,37,0,7,9,0,56,26,5,0,0,0,30,19,0,3,0,0,26,0,0,0,0,0,3,77,4,6,0,0,85,10,0,0,0,0,10,61,7,11,9,0,89,723,46,49,26,12,864,8,0,0,0,3,8,614,8,10,5,0,640,16,0,0,0,0,15,40,7,5,0,0,49,344,20,34,14
510,0,0,0,122,65,7,0,0,0,77,2216,54,32,0,11,2307,264,8,5,3,21,306,44982,1314,799,150,228,47469,14941,358,432,113,105,15956,3,0,0,0,0,3,12,0,0,0,0,12,77,0,11,0,0,79,195,4,7,0,0,210,11,0,0,0,0,11,4,0,0,0,0,5,38,0,0,0,0,38,119,4,12,5,0,131,7,0,0,0,0,7,30,4,0,0,0,35,212,5,6,7,0,233,131,3,6,0,0,148,15,0,0,0,0,16,0,0,0,0,0,0,179,0,4,0,3,185,50,0,5,0,0,54,43,0,6,0,4,48,36,0,0,0,0,40,0,0,0,0,0,0,93,4,6,4,0,108,22,0,0,0,0,26,61,0,6,0,0,62,1520,28,32,13,10,1594,6,0,4,0,0,12,630,10,10,0,6,654,29,0,0,0,0,29,56,4,0,0,0,61,328,3,14,4
511,8,0,0,117,50,19,30,13,0,111,1475,55,54,10,10,1595,218,16,34,13,19,303,33379,2295,2139,636,281,38730,17128,871,1132,555,140,19826,0,0,0,0,0,4,7,0,0,0,0,7,84,3,4,5,0,97,92,9,11,3,0,115,14,0,4,0,0,16,6,0,0,0,0,7,56,7,0,0,0,63,120,10,24,6,0,158,7,0,0,0,0,4,11,4,3,0,0,18,200,4,4,0,3,214,96,4,8,6,0,108,20,0,0,0,0,21,7,0,0,0,0,7,123,7,3,0,0,131,35,0,9,5,0,52,22,0,4,0,0,24,26,0,0,0,4,31,0,0,0,0,0,3,97,0,0,0,0,103,16,0,0,0,0,16,41,4,5,4,0,45,1410,39,38,8,8,1512,17,0,0,0,0,15,620,11,14,5,4,654,24,0,3,0,0,27,37,0,0,0,0,36,467,15,30,3
