POW_SA4_CODE_2021,M_15_19_E,M_15_19_OM_IE,M_15_19_OM_UIE,M_15_19_CFW,M_15_19_SE_NS,M_15_19_Total,M_20_24_E,M_20_24_OM_IE,M_20_24_OM_UIE,M_20_24_CFW,M_20_24_ES_NS,M_20_24_Total,M_25_29_E,M_25_29_OM_IE,M_25_29_OM_UIE,M_25_29_CFW,M_25_29_ES_NS,M_25_29_Total,M_30_34_E,M_30_34_OM_IE,M_30_34_OM_UIE,M_30_34_CFW,M_30_34_ES_NS,M_30_34_Total,M_35_39_E,M_35_39_OM_IE,M_35_39_OM_UIE,M_35_39_CFW,M_35_39_ES_NS,M_35_39_Total,M_40_44_E,M_40_44_OM_IE,M_40_44_OM_UIE,M_40_44_CFW,M_40_44_ES_NS,M_40_44_Total,M_45_49_E,M_45_49_OM_IE,M_45_49_OM_UIE,M_45_49_CFW,M_45_49_ES_NS,M_45_49_Total,M_50_54_E,M_50_54_OM_IE,M_50_54_OM_UIE,M_50_54_CFW,M_50_54_ES_NS,M_50_54_Total,M_55_59_E,M_55_59_OM_IE,M_55_59_OM_UIE,M_55_59_CFW,M_55_59_ES_NS,M_55_59_Total,M_60_64_E,M_60_64_OM_IE,M_60_64_OM_UIE,M_60_64_CFW,M_60_64_ES_NS,M_60_64_Total,M_65_69_E,M_65_69_OM_IE,M_65_69_OM_UIE,M_65_69_CFW,M_65_69_ES_NS,M_65_69_Total,M_70_74_E,M_70_74_OM_IE,M_70_74_OM_UIE,M_70_74_CFW,M_70_74_ES_NS,M_70_74_Total,M_75ov_E,M_75ov_OM_IE,M_75ov_OM_UIE,M_75ov_CFW,M_75ov_ES_NS,M_75ov_Total,M_Total_E,M_Total_OM_IE,M_Total_OM_UIE,M_Total_CFW,M_Total_ES_NS,M_Total_Total,F_15_19_E,F_15_19_OM_IE,F_15_19_OM_UIE,F_15_19_CFW,F_15_19_ES_NS,F_15_19_Total,F_20_24_E,F_20_24_OM_IE,F_20_24_OM_UIE,F_20_24_CFW,F_20_24_ES_NS,F_20_24_Total,F_25_29_E,F_25_29_OM_IE,F_25_29_OM_UIE,F_25_29_CFW,F_25_29_ES_NS,F_25_29_Total,F_30_34_E,F_30_34_OM_IE,F_30_34_OM_UIE,F_30_34_CFW,F_30_34_ES_NS,F_30_34_Total,F_35_39_E,F_35_39_OM_IE,F_35_39_OM_UIE,F_35_39_CFW,F_35_39_ES_NS,F_35_39_Total,F_40_44_E,F_40_44_OM_IE,F_40_44_OM_UIE,F_40_44_CFW,F_40_44_ES_NS,F_40_44_Total,F_45_49_E,F_45_49_OM_IE,F_45_49_OM_UIE,F_45_49_CFW,F_45_49_ES_NS,F_45_49_Total,F_50_54_E,F_50_54_OM_IE,F_50_54_OM_UIE,F_50_54_CFW,F_50_54_ES_NS,F_50_54_Total,F_55_59_E,F_55_59_OM_IE,F_55_59_OM_UIE,F_55_59_CFW,F_55_59_ES_NS,F_55_59_Total,F_60_64_E,F_60_64_OM_IE,F_60_64_OM_UIE,F_60_64_CFW,F_60_64_ES_NS,F_60_64_Total,F_65_69_E,F_65_69_OM_IE,F_65_69_OM_UIE,F_65_69_CFW,F_65_69_ES_NS,F_65_69_Total,F_70_74_E,F_70_74_OM_IE,F_70_74_OM_UIE,F_70_74_CFW,F_70_74_ES_NS,F_70_74_Total,F_75ov_E,F_75ov_OM_IE,F_75ov_OM_UIE,F_75ov_CFW,F_75ov_ES_NS,F_75ov_Total,F_Total_E,F_Total_OM_IE,F_Total_OM_UIE,F_Total_CFW,F_Total_ES_NS,F_Total_Total,P_15_19_E,P_15_19_OM_IE,P_15_19_OM_UIE,P_15_19_CFW,P_15_19_ES_NS,P_15_19_Total,P_20_24_E,P_20_24_OM_IE,P_20_24_OM_UIE,P_20_24_CFW,P_20_24_ES_NS,P_20_24_Total,P_25_29_E,P_25_29_OM_IE,P_25_29_OM_UIE,P_25_29_CFW,P_25_29_ES_NS,P_25_29_Total,P_30_34_E,P_30_34_OM_IE,P_30_34_OM_UIE,P_30_34_CFW,P_30_34_ES_NS,P_30_34_Total,P_35_39_E,P_35_39_OM_IE,P_35_39_OM_UIE,P_35_39_CFW,P_35_39_ES_NS,P_35_39_Total,P_40_44_E,P_40_44_OM_IE
501,2663,4,24,22,12,2726,2812,11,56,17,5,2902,2847,61,150,19,19,3097,3116,175,232,15,25,3565,3114,294,313,47,19,3790,3123,339,379,54,25,3926,3159,391,441,75,43,4100,3110,447,477,78,41,4151,2915,414,505,87,43,3956,2363,388,502,103,35,3394,1059,202,377,133,36,1811,298,137,235,130,31,825,117,65,134,146,20,482,30701,2925,3820,914,362,38731,2916,0,14,6,4,2942,2537,8,43,7,13,2608,2853,22,141,25,17,3060,3179,100,255,57,25,3617,3732,189,367,80,26,4392,3801,223,365,80,17,4481,4018,245,426,84,39,4808,3945,234,388,101,42,4712,3412,211,384,113,32,4147,2609,167,340,110,29,3256,938,100,213,117,12,1383,240,52,123,89,7,515,68,24,68,64,11,239,34249,1573,3129,934,282,40162,5579,4,32,30,18,5669,5354,14,100,26,20,5509,5702,81,291,43,38,6154,6295,276,492,72,48,7181,6845,481,686,124,46,8180,6928,556
502,1243,0,6,6,5,1261,1150,6,33,3,7,1198,978,35,70,4,5,1091,875,60,106,6,5,1059,882,107,131,17,8,1138,825,108,119,5,4,1065,847,145,146,19,7,1174,817,141,165,9,18,1146,852,151,182,26,8,1223,656,119,163,31,13,982,281,84,102,22,3,500,119,47,56,20,10,244,44,22,27,29,3,121,9573,1030,1295,202,101,12200,1555,0,3,0,11,1571,1574,8,36,0,9,1628,1362,31,80,13,11,1487,1451,55,116,29,5,1650,1663,76,137,15,9,1894,1566,77,140,26,10,1818,1745,94,141,33,13,2024,1790,101,155,27,9,2090,1536,83,157,23,18,1822,1079,74,135,29,10,1329,381,35,70,25,0,514,82,13,32,21,4,151,25,3,9,12,12,63,15809,653,1212,259,107,18036,2795,0,9,7,11,2831,2724,10,70,3,10,2828,2345,64,152,13,20,2587,2326,114,221,36,9,2710,2542,182,265,32,12,3029,2387,189
503,2955,4,34,20,10,3015,8849,39,146,18,21,9075,12344,192,263,23,43,12858,14006,580,352,36,35,15004,15825,1001,471,46,33,17378,13683,1145,507,52,36,15429,12124,1223,550,45,48,13988,10755,1230,606,80,42,12715,8401,1036,647,60,26,10174,5785,857,577,66,28,7311,2582,617,435,50,20,3710,929,320,232,49,19,1558,312,214,146,87,29,790,108546,8460,4975,625,396,123004,3944,10,41,11,13,4018,12293,16,146,14,27,12501,16340,97,284,15,30,16767,18274,295,393,57,48,19063,17644,448,483,88,45,18715,14619,507,476,81,24,15708,13169,557,517,97,33,14372,11961,552,610,107,32,13250,9993,450,436,78,35,10987,6935,298,358,78,34,7708,3048,205,214,51,23,3541,884,96,122,58,18,1188,272,41,59,49,30,455,129383,3560,4141,785,401,138272,6900,15,73,27,16,7035,21141,58,295,29,49,21574,28683,287,546,34,74,29621,32281,871,742,86,80,34068,33470,1455,956,131,84,36086,28304,1648
504,3453,6,26,22,14,3522,4971,44,132,21,14,5178,5058,166,269,17,22,5534,4979,397,391,36,28,5826,4828,580,470,44,34,5962,4401,570,417,37,30,5458,4039,626,465,62,35,5227,4110,704,552,54,47,5470,3657,661,576,54,42,4990,2624,505,527,55,37,3751,1180,350,361,67,25,1979,401,167,174,56,19,817,153,97,98,60,15,419,43854,4881,4454,590,355,54135,3565,0,28,10,8,3628,4287,15,91,7,10,4411,4206,53,206,30,17,4509,4367,159,391,65,19,5003,4268,235,415,87,33,5025,4042,249,357,75,20,4745,4075,268,417,93,18,4862,4048,287,419,77,27,4859,3472,273,368,80,27,4222,2497,200,276,70,24,3069,1013,124,142,62,18,1352,272,50,73,45,6,450,88,26,47,24,7,193,40210,1928,3233,730,221,46324,7022,13,56,34,23,7142,9256,56,226,29,24,9589,9262,222,471,47,42,10038,9345,549,783,103,44,10829,9101,811,879,127,66,10989,8449,817
505,6264,17,64,28,13,6386,8435,75,261,32,37,8837,7696,302,513,22,35,8568,7554,823,789,52,44,9258,7201,1241,913,73,49,9478,6054,1182,897,70,49,8249,5703,1290,941,88,63,8088,5263,1362,1080,98,59,7860,4636,1197,1096,77,53,7062,3533,956,910,118,35,5546,1640,573,640,79,31,2969,579,340,327,96,17,1350,247,176,142,61,15,639,64799,9537,8558,901,494,84297,7241,10,54,34,17,7361,8969,21,225,16,19,9255,8453,114,418,41,25,9053,8713,311,741,111,42,9913,8779,530,946,170,42,10469,8348,587,851,145,47,9976,8753,639,876,161,39,10472,8529,594,882,124,48,10173,7237,517,665,126,37,8584,5273,377,545,129,40,6357,2065,226,319,96,18,2720,604,111,135,63,10,928,141,57,46,38,15,295,83104,4088,6708,1241,404,95548,13505,27,118,58,32,13747,17405,101,480,48,60,18088,16149,414,938,65,61,17626,16266,1127,1529,164,81,19170,15979,1771,1858,238,86,19949,14395,1773
506,6189,14,50,40,12,6314,11226,83,256,34,25,11633,11885,355,542,26,61,12871,12822,883,713,69,78,14566,12993,1219,886,100,78,15279,10859,1195,770,79,67,12969,10075,1101,791,75,56,12106,9515,1170,852,89,71,11701,8395,1132,939,99,66,10624,6255,917,836,93,48,8152,2707,610,586,82,25,4008,862,307,331,99,25,1624,303,168,165,108,33,770,104086,9158,7725,992,640,122607,6203,8,52,22,18,6301,9936,36,170,18,29,10190,10209,118,335,52,33,10744,10597,331,583,120,49,11684,10352,489,718,151,47,11763,9258,506,665,128,40,10598,9093,503,656,114,38,10408,8569,525,677,124,37,9935,7325,481,560,134,53,8555,5283,347,439,106,28,6208,2300,186,286,92,23,2889,647,103,118,71,9,943,167,41,57,55,21,338,89947,3668,5318,1189,422,100543,12391,24,103,62,34,12611,21164,115,430,57,54,21823,22091,474,881,77,95,23614,23419,1218,1300,192,122,26253,23348,1711,1606,245,128,27041,20119,1706
507,5530,10,54,25,13,5635,8391,43,174,26,20,8661,8374,206,387,17,39,9027,8585,570,547,32,32,9770,8570,803,628,61,50,10120,7491,916,625,49,39,9124,7093,986,698,68,47,8894,6777,986,785,91,46,8692,6046,931,777,97,48,7904,4428,743,689,94,50,6000,1943,446,461,78,30,2951,579,239,227,87,18,1150,209,139,129,82,8,566,74018,7003,6197,802,454,88482,6259,11,53,17,11,6354,8348,19,182,16,10,8576,8590,83,331,29,27,9058,8782,288,619,94,32,9809,8779,406,743,123,32,10082,8207,469,717,126,33,9554,8080,494,769,117,28,9491,7707,490,704,124,44,9057,6641,453,593,116,42,7835,4594,309,449,111,28,5487,1868,162,260,70,13,2370,468,90,135,57,9,752,124,38,48,39,17,264,78436,3303,5606,1029,310,88688,11794,20,111,42,26,11991,16743,60,358,43,31,17234,16962,284,719,47,67,18083,17364,855,1171,125,63,19579,17350,1208,1377,188,90,20200,15698,1386
509,1575,3,10,62,18,1667,2023,33,56,25,21,2162,2270,97,139,31,23,2557,2226,213,255,47,21,2766,2141,319,339,63,36,2906,1978,401,361,79,40,2864,2113,376,417,111,44,3067,2315,441,512,145,58,3473,2229,437,588,159,72,3485,1946,383,612,220,55,3209,828,275,489,208,37,1841,294,178,304,216,37,1023,121,98,245,230,49,748,22058,3249,4335,1603,512,31762,1474,3,3,31,0,1515,1703,6,15,13,13,1754,1985,26,82,35,18,2148,1910,87,166,90,21,2274,2157,137,223,122,24,2659,2182,163,249,107,17,2723,2324,186,311,137,27,2993,2572,200,311,153,33,3276,2314,214,385,213,32,3157,2012,185,328,196,30,2758,807,102,248,178,27,1368,223,60,148,150,15,591,76,39,73,115,19,322,21740,1412,2554,1528,283,27520,3048,7,15,83,22,3181,3721,38,75,41,35,3910,4259,125,221,60,40,4711,4137,302,425,135,41,5042,4298,452,561,185,57,5564,4157,567
510,1074,7,4,6,8,1095,2404,11,18,9,12,2448,4609,38,28,6,14,4701,6265,135,66,5,28,6495,6469,183,98,14,23,6782,5525,181,81,16,37,5834,5309,165,112,20,19,5628,5006,197,98,11,25,5346,4210,182,105,19,25,4535,2792,120,82,13,18,3029,1061,60,57,10,14,1191,209,29,37,7,10,290,44,14,8,14,9,91,44982,1314,799,150,228,47469,972,0,0,0,12,986,1873,4,12,4,10,1905,3088,7,46,9,12,3166,3335,58,111,13,17,3524,2923,95,117,23,13,3163,2294,70,72,16,19,2471,2136,58,76,20,14,2305,1985,65,73,16,15,2153,1575,70,52,14,15,1722,1106,44,57,14,17,1235,401,30,27,17,5,481,92,9,6,11,9,126,27,7,3,4,3,46,21791,511,660,160,164,23291,2049,4,8,8,17,2086,4275,17,31,8,27,4356,7695,52,76,17,28,7864,9600,186,180,22,41,10023,9391,278,215,33,36,9947,7820,246
511,1668,3,0,20,7,1709,2848,18,36,7,14,2921,3968,56,81,15,21,4136,4038,153,113,17,22,4339,3945,246,173,43,23,4428,3404,238,177,33,19,3875,3422,328,232,49,29,4062,3379,376,287,60,39,4147,3052,323,309,66,26,3780,2421,257,318,99,27,3120,922,168,210,74,25,1401,243,78,108,59,13,503,73,55,83,82,16,304,33379,2295,2139,636,281,38730,1601,0,4,11,4,1629,2257,10,33,5,13,2311,2579,29,62,21,24,2708,2622,66,134,42,12,2883,2407,132,148,61,15,2762,2348,137,171,58,19,2732,2506,160,193,56,21,2941,2499,164,206,76,22,2961,2298,166,207,85,20,2776,1567,128,177,80,31,1984,642,71,104,74,15,912,154,26,45,53,7,284,46,24,33,36,13,151,23532,1117,1520,666,210,27043,3269,6,12,34,14,3334,5102,26,66,9,22,5234,6543,84,148,34,41,6847,6657,216,248,62,37,7218,6348,380,325,103,41,7192,5753,383
