POW_SA4_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
501,5,805,40,0,0,0,0,43,156,0,0,0,0,160,144,6,9,3,4,164,2498,134,317,93,16,3055,102,13,14,4,0,140,79,12,20,3,0,111,1048,45,122,22,9,1241,235,15,26,19,14,304,34249,1573,3129,934,282,40162,49059,3449,5208,1406,461,59584,65,7,16,6,0,89,29,0,0,0,0,32,196,23,34,0,3,256,216,21,19,10,0,266,12,0,4,0,0,15,22,0,0,0,0,20,39,3,0,0,0,41,292,29,46,15,0,381,7,3,0,0,0,14,56,5,8,0,0,72,547,54,34,8,5,653,151,3,9,0,0,166,36,0,3,0,0,42,20,4,0,0,0,26,324,27,37,4,5,397,208,18,25,22,9,283,90,5,10,0,6,110,151,7,3,0,6,168,20,8,5,0,0,29,193,11,25,6,0,236,67,0,0,0,0,67,162,13,32,8,6,219,2282,117,195,49,21,2661
502,0,452,18,0,3,0,0,25,7,0,0,0,0,11,126,3,5,0,3,140,2186,92,201,30,11,2518,61,4,5,3,0,67,46,3,8,3,0,70,474,17,50,0,3,548,90,6,9,5,6,109,15809,653,1212,259,107,18036,16868,1039,1535,316,135,19889,14,5,3,0,0,19,19,0,5,0,0,23,69,3,12,0,3,84,69,26,20,3,0,126,6,0,3,0,0,10,15,0,0,0,0,19,25,0,0,0,0,25,62,3,17,3,0,88,4,0,0,0,0,4,28,3,0,0,3,40,386,41,40,3,4,480,120,4,11,0,0,137,31,0,10,0,0,39,3,3,0,0,0,6,143,9,18,5,3,178,37,5,8,3,0,51,23,3,4,0,0,33,43,11,6,0,0,57,4,0,0,0,0,4,146,13,23,0,0,180,39,0,0,0,0,43,52,11,10,0,0,73,1086,65,97,12,11,1267
503,3,3531,692,15,13,0,0,714,379,12,16,4,4,412,724,16,33,8,9,792,12734,311,406,67,37,13560,786,27,41,0,0,859,1043,72,103,20,11,1248,10668,222,346,58,51,11347,290,21,13,7,20,348,129383,3560,4141,785,401,138272,129687,7056,5160,746,345,142983,265,15,23,10,3,321,490,12,7,3,4,504,1117,62,50,3,0,1232,3830,305,158,77,21,4388,336,20,20,10,8,391,252,16,13,5,0,291,161,3,4,0,0,165,1176,73,57,3,5,1305,115,19,19,0,0,159,1153,74,53,12,0,1285,9631,316,156,32,35,10170,2130,71,34,14,9,2259,1114,55,61,13,4,1247,188,12,8,0,4,215,2917,139,98,10,4,3170,1249,112,100,31,13,1502,981,35,51,7,4,1086,938,95,40,4,3,1084,90,11,6,0,4,113,5679,300,188,38,18,6226,1101,15,11,0,5,1132,604,41,35,5,0,691,6621,263,222,19,32,7159
504,0,900,143,8,17,0,0,169,111,7,11,0,0,125,301,8,29,8,0,345,3356,206,336,58,23,3977,140,16,20,0,0,175,702,61,150,32,11,957,2741,136,205,47,27,3151,123,5,11,9,17,165,40210,1928,3233,730,221,46324,50621,3855,4298,718,272,59754,228,41,41,10,4,323,103,9,8,0,3,118,198,22,25,4,0,241,914,149,104,34,7,1211,118,11,29,14,0,167,56,10,11,0,0,75,55,0,4,0,0,62,318,33,39,7,4,402,51,10,9,8,0,74,263,32,31,3,0,330,3334,359,267,52,35,4050,352,23,24,6,0,406,238,28,33,4,0,308,89,35,31,7,6,168,743,85,60,7,0,902,455,82,97,27,5,665,118,6,17,0,0,143,213,30,29,8,0,285,29,10,5,0,0,47,996,78,73,12,11,1174,270,9,7,0,3,290,140,17,31,9,3,202,3226,214,238,43,17,3728
505,12,3640,225,12,16,0,0,261,229,6,13,6,0,251,521,22,60,3,3,607,12146,562,1085,189,34,14012,359,26,40,7,0,424,1203,113,233,39,24,1617,6331,332,548,86,54,7350,241,15,20,6,17,299,83104,4088,6708,1241,404,95548,81275,7057,7337,1064,386,97127,280,69,76,3,12,432,144,9,14,0,3,168,436,49,52,4,0,539,1396,278,176,69,13,1926,189,13,36,13,4,254,202,34,30,10,4,281,67,7,5,5,0,78,595,73,116,15,0,809,105,15,23,3,4,149,412,33,64,4,6,510,4668,414,319,73,32,5508,663,45,53,3,6,772,492,48,98,7,4,653,196,19,52,7,0,272,2022,274,201,20,14,2528,723,155,145,36,8,1072,302,13,43,5,0,369,373,39,40,7,0,471,66,16,13,4,0,96,1614,137,177,25,13,1964,430,9,14,0,0,451,270,48,56,12,6,388,4999,407,467,59,25,5957
506,4,2028,614,37,44,5,0,700,385,8,25,6,3,431,727,21,56,12,5,827,7487,334,499,102,30,8463,344,14,29,0,0,396,772,58,133,21,13,999,6157,223,341,65,39,6829,275,5,17,3,13,315,89947,3668,5318,1189,422,100543,108241,6634,6349,1062,454,122740,664,138,159,21,25,1003,478,33,48,3,9,573,526,35,33,5,0,601,3482,527,364,149,30,4549,208,22,28,0,6,259,168,14,19,3,0,206,151,6,4,0,0,165,690,44,52,6,0,793,47,7,9,0,0,72,790,75,75,15,0,961,9573,860,756,102,95,11390,1906,136,174,34,13,2263,661,63,80,9,5,829,244,29,49,3,5,325,1569,106,87,19,4,1785,725,123,74,30,4,963,430,10,33,6,0,484,858,175,138,23,13,1198,119,21,30,4,0,166,4372,398,414,66,17,5274,941,22,24,11,6,1003,411,52,47,12,5,521,7746,351,398,34,48,8584
507,5,1970,305,6,30,6,3,356,173,10,14,4,0,197,562,16,58,14,5,654,8286,337,703,107,30,9467,318,25,39,4,0,393,380,40,87,21,3,533,4642,209,359,61,21,5298,206,14,9,0,18,242,78436,3303,5606,1029,310,88688,90837,5907,6686,968,374,104777,156,30,35,0,5,221,181,10,16,0,0,211,447,29,56,7,3,544,2051,249,174,77,16,2574,354,47,52,4,0,461,102,14,9,6,0,124,107,3,3,0,0,114,640,63,114,14,7,830,32,5,0,5,0,48,436,37,40,18,0,531,4984,315,232,53,40,5618,1061,96,100,29,7,1285,437,56,46,14,5,559,92,6,14,0,3,121,1275,113,80,3,13,1483,693,116,132,41,14,987,306,21,31,9,0,373,539,114,89,15,6,765,61,14,8,0,0,75,2381,242,218,35,4,2869,431,9,15,0,7,459,321,38,58,10,0,431,5949,329,422,61,39,6802
509,4,412,22,0,0,0,0,22,78,0,4,0,0,82,99,0,12,4,0,118,1568,98,231,95,23,2018,86,3,15,12,0,116,43,8,12,8,3,68,633,33,62,23,15,766,247,16,27,30,22,348,21740,1412,2554,1528,283,27520,32952,3921,5667,2643,603,45780,83,4,4,3,4,91,21,0,0,0,0,22,110,6,15,10,0,146,149,16,28,6,0,193,5,3,0,0,0,12,10,0,5,0,0,14,38,0,0,0,0,42,211,17,41,12,3,282,6,0,0,0,0,6,38,0,4,0,0,44,325,19,16,11,7,380,124,0,10,0,0,134,23,0,3,3,0,28,10,0,3,0,0,12,168,12,14,10,0,210,82,18,21,17,3,149,33,9,0,5,0,46,46,6,3,0,0,54,0,4,0,0,0,3,179,12,10,0,0,198,31,0,0,0,0,34,121,18,26,15,5,179,1632,119,149,54,20,1983
510,0,349,57,0,3,0,0,60,66,0,3,0,0,70,276,8,20,0,5,304,1153,41,41,6,7,1252,101,3,0,0,0,108,66,6,7,3,0,85,1057,28,33,8,5,1127,177,8,5,0,10,199,21791,511,660,160,164,23291,45618,1304,1001,241,266,48430,34,0,0,0,0,30,40,0,0,0,0,40,162,3,11,0,0,173,484,10,19,4,4,509,58,0,4,0,0,65,25,0,0,0,0,31,136,0,0,0,0,137,257,7,13,6,0,287,17,4,0,0,0,23,63,3,0,0,0,69,828,24,17,3,0,877,282,3,10,0,0,301,83,5,0,0,0,86,10,0,0,0,0,15,696,35,14,0,3,754,158,0,10,0,0,163,54,0,6,0,4,53,89,5,0,0,4,99,10,0,0,0,0,16,302,11,6,4,3,325,62,0,0,0,0,64,150,0,8,0,0,156,4957,99,81,11,27,5175
511,3,520,30,0,3,0,0,34,40,0,4,0,0,44,212,3,17,11,0,239,1154,51,91,30,15,1341,103,3,0,6,0,107,70,24,31,9,3,134,939,30,66,18,11,1060,205,8,14,7,10,243,23532,1117,1520,666,210,27043,40903,2760,2874,1081,353,47972,19,3,6,0,0,32,21,0,0,0,0,27,144,8,8,5,0,163,266,18,15,6,0,301,30,3,9,4,0,48,17,0,0,0,0,18,122,5,0,0,3,128,226,13,35,10,0,282,9,5,0,0,0,14,38,4,5,0,0,40,616,17,15,3,11,660,170,4,9,9,6,192,70,3,0,0,0,73,14,0,0,0,0,14,347,27,12,0,0,384,106,4,12,9,5,139,35,0,4,0,0,40,56,0,0,0,0,62,5,0,0,0,0,9,195,9,7,0,0,216,55,0,0,0,0,56,97,10,10,3,0,123,3829,122,96,20,23,4099
