POW_SA4_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
501,74,5,4,3,0,87,1159,6,24,8,11,1213,56,3,12,0,0,74,115,3,16,4,0,145,1346,91,125,22,0,1585,73,8,6,0,0,92,235,7,0,0,0,240,180,5,9,3,4,200,4709,338,677,165,50,5928,194,27,35,17,4,278,110,20,32,5,0,178,2028,133,223,39,10,2434,439,48,59,49,32,627,64950,4498,6953,1853,642,78895
502,31,3,0,0,0,32,625,19,16,4,7,675,10,3,0,0,0,17,64,8,10,0,0,81,598,68,69,14,0,755,42,7,3,0,0,52,18,0,0,0,0,25,149,4,11,0,3,165,3455,240,444,59,28,4230,102,5,12,3,0,118,71,11,17,5,0,99,760,48,85,10,4,912,153,17,12,3,10,196,25386,1683,2504,460,212,30240
503,1020,39,26,8,8,1093,3646,28,39,8,0,3721,744,20,52,3,7,829,2712,112,79,13,9,2932,6705,340,268,38,18,7361,1553,53,28,4,7,1646,563,23,25,7,4,617,959,35,46,8,15,1060,25261,1278,1020,123,78,27762,1528,81,68,5,3,1699,1755,150,181,34,23,2137,19111,713,665,99,77,20670,549,35,45,13,41,680,237929,12030,9112,1404,797,261272
504,252,18,53,3,3,326,2101,27,52,31,3,2213,214,34,45,4,3,291,511,31,46,8,0,601,1744,175,141,22,4,2078,341,24,40,0,0,410,190,19,11,0,0,221,412,17,32,8,4,471,7520,667,842,113,41,9191,316,38,38,0,3,395,1340,138,311,65,25,1881,5674,476,550,89,58,6851,289,32,25,17,39,404,84061,6813,7689,1322,575,100464
505,455,34,66,6,0,555,2495,45,91,21,7,2659,412,58,94,5,9,582,857,62,92,10,7,1018,5030,672,678,62,25,6461,532,38,44,8,3,624,326,14,16,12,0,362,716,38,66,5,3,830,20883,2015,2686,288,91,25966,632,59,75,12,4,773,2042,244,455,80,52,2874,11154,1055,1264,173,107,13759,459,42,47,18,43,608,147905,13623,15271,2148,901,179841
506,939,100,172,11,10,1231,4956,59,132,31,14,5195,416,23,59,8,3,501,1951,164,151,29,13,2310,4257,260,218,37,7,4792,1412,129,130,14,8,1703,585,30,41,7,6,667,1057,34,70,12,11,1193,16899,1184,1332,200,76,19682,780,37,56,5,5,888,1497,127,249,48,24,1944,13681,747,909,139,94,15568,618,47,51,9,53,772,194031,12826,13045,2179,1066,223150
507,369,21,34,8,0,438,4536,42,82,38,25,4729,278,19,44,3,0,342,1261,110,87,15,3,1481,3392,249,248,31,9,3926,662,42,63,12,9,778,292,21,14,4,0,335,711,33,61,14,7,818,16584,1146,1597,185,66,19580,654,59,75,5,0,793,670,76,148,30,12,938,8746,612,698,112,65,10226,428,29,30,4,36,520,152456,10309,11803,1833,771,177166
509,28,3,3,0,7,39,1159,8,11,5,5,1189,31,4,0,4,0,33,72,5,13,3,4,97,703,55,79,25,8,865,48,8,0,0,0,62,112,0,4,0,0,116,146,6,12,4,0,170,2939,224,493,181,41,3865,151,13,20,18,0,201,91,8,21,13,3,141,1408,85,113,39,25,1673,504,59,93,60,59,775,43798,4665,6894,3129,803,59284
510,82,0,3,0,0,93,1587,14,16,0,9,1625,70,3,0,0,0,77,166,4,3,0,0,172,1119,30,27,4,5,1176,187,4,4,0,0,196,91,0,3,3,0,98,372,8,20,0,5,397,4450,132,109,15,22,4720,216,7,0,3,0,230,128,8,12,4,0,158,3277,77,59,13,15,3435,443,11,18,4,34,507,66775,1825,1455,313,393,70762
511,67,6,5,0,0,77,1269,13,24,6,10,1315,51,0,3,0,0,55,102,9,0,0,0,114,1240,48,47,7,0,1345,107,3,3,0,0,116,65,8,4,0,0,74,264,3,17,11,0,301,3187,149,187,62,24,3605,199,12,8,5,0,224,117,42,57,20,11,244,2409,86,119,30,20,2656,426,30,49,16,31,548,56911,3411,3656,1305,494,65776
