POW_SA4_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
501,932,148,197,324,664,580,356,13,49,3252,84,10,18,9,23,30,14,0,3,202,181,39,27,81,119,96,48,0,12,608,196,22,37,63,127,107,79,10,51,697,5710,773,1135,1745,3490,3102,2186,77,465,18683
502,509,111,128,265,626,585,186,4,21,2441,35,3,11,21,29,28,11,0,0,134,92,17,22,42,123,107,48,0,9,452,94,18,19,38,101,81,47,0,21,425,2511,378,521,1040,2516,2151,879,14,146,10153
503,5564,1318,1730,2499,4422,3818,2335,100,196,21978,302,57,88,166,208,230,148,0,13,1219,673,177,229,318,651,670,461,0,46,3216,726,193,301,527,960,940,842,25,224,4746,26398,6449,9217,13623,23539,21046,15720,397,1229,117606
504,1194,304,345,583,1353,1156,771,17,57,5782,111,18,26,44,62,62,35,0,0,364,535,122,129,182,451,396,242,0,40,2098,556,164,173,241,614,473,323,11,122,2692,10082,2254,2771,3857,8838,7358,4502,97,536,40304
505,2996,796,1036,1801,3468,2762,1699,25,125,14696,228,57,70,124,240,157,81,5,5,967,833,223,271,429,981,912,473,0,41,4156,819,236,302,513,919,784,577,10,174,4329,18313,4603,6050,9678,18587,14954,8859,143,912,82115
506,2719,625,798,1321,3311,2796,1728,23,116,13438,682,159,199,313,612,488,283,4,36,2774,874,180,254,339,886,869,520,5,49,3983,1073,241,366,584,1482,1171,855,14,249,6039,22009,4849,6395,9921,23009,19142,12957,187,1169,99640
507,3186,785,1019,1636,3418,2996,1554,59,135,14789,186,30,58,78,134,116,50,0,10,654,659,114,190,256,629,594,324,8,32,2801,785,157,229,360,874,752,512,8,165,3848,17192,3597,4866,7312,16319,13881,7700,174,826,71871
509,645,103,128,193,357,331,233,0,37,2022,45,3,10,8,14,13,3,0,0,86,136,12,17,30,65,50,37,3,6,357,161,19,32,53,86,77,77,0,38,539,4265,560,779,1110,2122,1829,1557,164,335,12725
510,295,65,91,123,357,342,218,3,26,1521,31,4,4,10,18,15,11,0,0,95,90,15,19,32,99,107,64,6,13,445,129,25,45,71,185,175,147,11,58,845,4668,964,1459,1951,4904,4332,2974,136,435,21829
511,399,69,129,181,414,423,273,7,23,1917,29,4,3,10,13,19,11,0,0,88,100,18,24,36,89,100,58,3,6,437,129,15,35,63,112,102,108,4,44,608,3882,684,1156,1590,3710,3252,2511,98,376,17260
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,4,11,6,4,0,0,64,116,31,45,56,97,76,47,0,14,480
599,688,119,195,269,448,370,266,9,30,2388,54,10,21,19,42,29,21,0,4,192,283,46,71,97,200,143,83,0,7,933,284,49,73,132,241,190,165,9,66,1211,6105,1200,1702,2320,4460,3800,2728,65,414,22790
