POW_SA4_CODE_2021,CoPSW_1250_1499_H_0,CoPSW_1250_1499_H_1_19,CoPSW_1250_1499_H_20_29,CoPSW_1250_1499_H_30_34,CoPSW_1250_1499_H_35_39,CoPSW_1250_1499_H_40_44,CoPSW_1250_1499_H_45_49,CoPSW_1250_1499_H_50ov,CoPSW_1250_1499_H_NS,CoPSW_1250_1499_H_Tot,CoPSW_1500_1749_H_0,CoPSW_1500_1749_H_1_19,CoPSW_1500_1749_H_20_29,CoPSW_1500_1749_H_30_34,CoPSW_1500_1749_H_35_39,CoPSW_1500_1749_H_40_44,CoPSW_1500_1749_H_45_49,CoPSW_1500_1749_H_50ov,CoPSW_1500_1749_H_NS,CoPSW_1500_1749_H_Tot,CoPSW_1750_1999_H_0,CoPSW_1750_1999_H_1_19,CoPSW_1750_1999_H_20_29,CoPSW_1750_1999_H_30_34,CoPSW_1750_1999_H_35_39,CoPSW_1750_1999_H_40_44,CoPSW_1750_1999_H_45_49,CoPSW_1750_1999_H_50ov,CoPSW_1750_1999_H_NS,CoPSW_1750_1999_H_Tot,CoPSW_2000_2999_H_0,CoPSW_2000_2999_H_1_19,CoPSW_2000_2999_H_20_29,CoPSW_2000_2999_H_30_34,CoPSW_2000_2999_H_35_39,CoPSW_2000_2999_H_40_44,CoPSW_2000_2999_H_45_49,CoPSW_2000_2999_H_50ov,CoPSW_2000_2999_H_NS,CoPSW_2000_2999_H_Tot,CoPSW_3000_3499_H_0,CoPSW_3000_3499_H_1_19,CoPSW_3000_3499_H_20_29,CoPSW_3000_3499_H_30_34,CoPSW_3000_3499_H_35_39,CoPSW_3000_3499_H_40_44,CoPSW_3000_3499_H_45_49,CoPSW_3000_3499_H_50ov,CoPSW_3000_3499_H_NS,CoPSW_3000_3499_H_Tot,CoPSW_3500mo_H_0,CoPSW_3500mo_H_1_19,CoPSW_3500mo_H_20_29,CoPSW_3500mo_H_30_34,CoPSW_3500mo_H_35_39,CoPSW_3500mo_H_40_44,CoPSW_3500mo_H_45_49,CoPSW_3500mo_H_50ov,CoPSW_3500mo_H_NS,CoPSW_3500mo_H_Tot,CoPSW_PINS_H_0,CoPSW_PINS_H_1_19,CoPSW_PINS_H_20_29,CoPSW_PINS_H_30_34,CoPSW_PINS_H_35_39,CoPSW_PINS_H_40_44,CoPSW_PINS_H_45_49,CoPSW_PINS_H_50ov,CoPSW_PINS_H_NS,CoPSW_PINS_H_Tot,CoPSW_Tot_H_0,CoPSW_Tot_H_1_19,CoPSW_Tot_H_20_29,CoPSW_Tot_H_30_34,CoPSW_Tot_H_35_39,CoPSW_Tot_H_40_44,CoPSW_Tot_H_45_49,CoPSW_Tot_H_50ov,CoPSW_Tot_H_NS,CoPSW_Tot_H_Tot,ClAW_NNI_H_0,ClAW_NNI_H_1_19,ClAW_NNI_H_20_29,ClAW_NNI_H_30_34,ClAW_NNI_H_35_39,ClAW_NNI_H_40_44,ClAW_NNI_H_45_49,ClAW_NNI_H_50ov,ClAW_NNI_H_NS,ClAW_NNI_H_Tot,ClAW_1_149_H_0,ClAW_1_149_H_1_19,ClAW_1_149_H_20_29,ClAW_1_149_H_30_34,ClAW_1_149_H_35_39,ClAW_1_149_H_40_44,ClAW_1_149_H_45_49,ClAW_1_149_H_50ov,ClAW_1_149_H_NS,ClAW_1_149_H_Tot,ClAW_150_299_H_0,ClAW_150_299_H_1_19,ClAW_150_299_H_20_29,ClAW_150_299_H_30_34,ClAW_150_299_H_35_39,ClAW_150_299_H_40_44,ClAW_150_299_H_45_49,ClAW_150_299_H_50ov,ClAW_150_299_H_NS,ClAW_150_299_H_Tot,ClAW_300_399_H_0,ClAW_300_399_H_1_19,ClAW_300_399_H_20_29,ClAW_300_399_H_30_34,ClAW_300_399_H_35_39,ClAW_300_399_H_40_44,ClAW_300_399_H_45_49,ClAW_300_399_H_50ov,ClAW_300_399_H_NS,ClAW_300_399_H_Tot,ClAW_400_499_H_0,ClAW_400_499_H_1_19,ClAW_400_499_H_20_29,ClAW_400_499_H_30_34,ClAW_400_499_H_35_39,ClAW_400_499_H_40_44,ClAW_400_499_H_45_49,ClAW_400_499_H_50ov,ClAW_400_499_H_NS,ClAW_400_499_H_Tot,ClAW_500_649_H_0,ClAW_500_649_H_1_19,ClAW_500_649_H_20_29,ClAW_500_649_H_30_34,ClAW_500_649_H_35_39,ClAW_500_649_H_40_44,ClAW_500_649_H_45_49,ClAW_500_649_H_50ov,ClAW_500_649_H_NS,ClAW_500_649_H_Tot,ClAW_650_799_H_0,ClAW_650_799_H_1_19,ClAW_650_799_H_20_29,ClAW_650_799_H_30_34,ClAW_650_799_H_35_39,ClAW_650_799_H_40_44,ClAW_650_799_H_45_49,ClAW_650_799_H_50ov,ClAW_650_799_H_NS,ClAW_650_799_H_Tot,ClAW_800_999_H_0,ClAW_800_999_H_1_19,ClAW_800_999_H_20_29,ClAW_800_999_H_30_34,ClAW_800_999_H_35_39,ClAW_800_999_H_40_44,ClAW_800_999_H_45_49,ClAW_800_999_H_50ov,ClAW_800_999_H_NS,ClAW_800_999_H_Tot,ClAW_1000_1249_H_0,ClAW_1000_1249_H_1_19,ClAW_1000_1249_H_20_29,ClAW_1000_1249_H_30_34,ClAW_1000_1249_H_35_39,ClAW_1000_1249_H_40_44,ClAW_1000_1249_H_45_49,ClAW_1000_1249_H_50ov,ClAW_1000_1249_H_NS,ClAW_1000_1249_H_Tot,ClAW_1250_1499_H_0,ClAW_1250_1499_H_1_19,ClAW_1250_1499_H_20_29,ClAW_1250_1499_H_30_34,ClAW_1250_1499_H_35_39,ClAW_1250_1499_H_40_44,ClAW_1250_1499_H_45_49,ClAW_1250_1499_H_50ov,ClAW_1250_1499_H_NS,ClAW_1250_1499_H_Tot,ClAW_1500_1749_H_0,ClAW_1500_1749_H_1_19,ClAW_1500_1749_H_20_29,ClAW_1500_1749_H_30_34,ClAW_1500_1749_H_35_39,ClAW_1500_1749_H_40_44,ClAW_1500_1749_H_45_49,ClAW_1500_1749_H_50ov,ClAW_1500_1749_H_NS,ClAW_1500_1749_H_Tot,ClAW_1750_1999_H_0,ClAW_1750_1999_H_1_19,ClAW_1750_1999_H_20_29,ClAW_1750_1999_H_30_34,ClAW_1750_1999_H_35_39,ClAW_1750_1999_H_40_44,ClAW_1750_1999_H_45_49,ClAW_1750_1999_H_50ov,ClAW_1750_1999_H_NS,ClAW_1750_1999_H_Tot
501,21,28,77,92,156,108,27,77,9,584,25,10,35,26,90,136,32,46,5,406,19,12,14,9,32,104,32,55,0,275,19,10,18,3,28,129,44,74,0,336,0,0,0,0,0,7,4,10,0,34,0,3,0,0,9,3,0,8,0,19,0,13,10,18,0,8,0,6,27,81,538,2331,2006,1345,1357,999,256,520,142,9500,6,21,9,4,4,3,0,0,0,52,14,88,9,0,0,0,0,3,5,117,16,161,18,4,7,0,0,7,0,209,19,198,46,9,9,5,0,8,3,299,36,236,125,18,25,11,0,10,4,448,43,252,304,64,69,34,0,9,3,780,43,166,334,167,151,81,15,19,8,990,65,129,270,236,362,198,42,33,9,1338,65,109,168,193,562,362,53,76,15,1611,49,49,71,96,403,254,65,84,4,1083,26,58,52,49,186,185,41,61,3,662,18,25,18,21,74,90,26,78,4,344
502,11,21,33,24,83,47,19,37,5,287,5,7,18,16,60,37,16,40,0,203,6,0,3,12,18,45,16,24,0,133,6,5,7,3,14,59,21,22,0,138,0,0,0,0,0,3,0,0,0,6,0,0,6,0,0,6,0,4,3,15,0,7,11,5,6,0,0,0,14,49,226,1494,1239,656,805,443,124,253,73,5304,0,24,5,0,3,4,0,6,0,42,5,55,8,3,0,0,0,0,0,67,8,70,11,6,6,0,0,0,3,93,9,93,28,9,0,0,0,0,4,155,7,98,57,10,5,3,0,0,4,193,14,88,132,30,18,8,0,9,0,304,18,75,136,81,47,22,3,5,8,397,13,39,94,79,153,75,7,14,0,467,27,30,62,80,213,95,22,27,0,553,11,14,22,31,143,74,10,25,3,341,9,17,8,9,78,38,15,19,0,198,7,8,4,3,27,25,13,13,0,105
503,74,63,163,191,585,484,181,268,24,2026,73,48,79,129,317,365,142,254,16,1425,83,33,49,46,198,404,121,214,13,1157,126,48,53,50,155,720,224,424,11,1807,14,10,15,3,8,59,14,79,0,206,3,17,25,13,12,38,9,48,0,172,3,22,18,6,17,18,6,10,61,160,1168,6370,4782,2551,3720,3456,1035,1792,361,25230,25,40,19,5,7,6,3,5,4,116,37,214,21,8,9,4,3,0,4,297,39,499,72,15,5,10,0,0,5,650,44,508,130,21,28,9,4,0,8,757,41,625,290,43,33,22,0,3,15,1071,101,720,872,148,114,52,4,18,18,2048,154,542,1210,400,455,193,21,30,28,3041,170,442,1089,732,1468,652,101,92,30,4786,316,335,799,894,3148,1708,259,211,49,7710,298,224,405,587,3388,1842,341,327,28,7444,268,150,239,365,2248,1627,309,347,19,5573,153,94,134,194,1060,986,242,251,10,3125
504,41,43,90,99,247,196,48,134,10,914,40,23,40,62,184,265,79,115,0,807,54,12,14,26,92,239,90,103,8,621,80,20,20,18,72,363,155,140,6,861,4,0,3,0,5,17,14,20,0,68,3,3,0,3,8,11,4,9,0,45,4,6,12,6,15,10,4,4,31,92,583,3044,2476,1449,2106,1728,534,858,190,12974,11,36,12,8,3,3,5,6,0,83,15,124,4,0,0,0,0,0,0,156,15,198,32,4,3,0,0,0,3,258,13,261,79,18,7,5,0,4,5,390,15,248,139,23,13,12,3,3,3,467,39,261,399,79,66,35,3,11,7,899,27,205,408,180,178,87,13,18,8,1129,51,140,298,256,515,301,64,45,13,1679,74,103,190,225,899,613,110,110,12,2349,59,55,81,119,629,490,137,127,10,1705,40,44,59,55,304,346,89,127,5,1066,17,10,38,24,117,172,55,91,3,531
505,61,83,176,214,512,350,95,203,19,1704,50,45,84,77,267,267,81,168,14,1047,43,22,32,48,116,257,66,126,6,713,52,33,27,23,75,331,72,163,7,790,0,0,7,0,9,16,6,25,0,62,5,5,3,3,6,13,4,14,0,54,0,40,23,20,16,15,5,10,75,200,1034,6850,5636,3077,3986,2572,586,1233,336,25320,11,90,21,8,15,10,0,10,0,160,23,255,23,4,0,0,0,0,0,304,39,464,64,14,9,6,0,0,3,607,29,572,137,20,16,4,0,3,11,789,32,567,298,51,24,14,0,4,5,1003,66,579,784,161,88,51,5,12,14,1762,84,392,883,365,351,129,28,27,18,2267,107,314,639,522,967,525,84,72,17,3242,122,232,429,544,1599,997,147,172,22,4267,123,138,205,249,1238,829,182,159,17,3141,61,93,122,146,728,546,150,152,6,2001,27,55,63,54,262,261,75,141,6,950
506,114,92,205,264,658,494,180,232,13,2253,112,54,106,94,428,514,194,285,20,1810,94,33,46,48,176,341,156,181,12,1090,114,29,53,27,118,432,190,289,11,1261,7,7,4,4,17,18,4,38,3,103,0,6,13,11,10,22,4,23,4,96,4,32,19,10,14,15,6,15,72,183,1438,6862,5756,3530,4832,3333,1057,1699,412,28914,21,60,20,7,12,13,0,4,10,155,21,285,20,7,0,5,0,0,4,347,33,487,73,13,4,6,8,3,9,632,34,504,130,29,13,14,4,9,14,746,31,496,289,48,26,26,9,16,3,937,81,543,829,161,127,76,13,16,14,1873,97,400,943,377,388,246,32,62,23,2567,113,309,657,558,1220,757,125,102,25,3860,157,226,423,498,2092,1599,292,284,32,5607,135,102,199,278,1572,1343,372,365,22,4391,107,107,106,124,889,838,302,362,17,2854,54,63,58,50,361,433,173,248,8,1450
507,79,78,154,175,424,372,101,217,16,1611,71,46,77,91,263,379,101,194,13,1231,60,15,28,41,138,273,87,152,13,818,66,27,35,32,128,357,120,267,5,1035,0,3,5,4,16,33,16,37,0,127,0,8,15,11,9,22,5,25,3,105,4,27,21,13,14,18,4,6,65,176,1118,5849,4683,2777,3525,2654,677,1407,341,23024,19,72,21,12,11,14,0,4,3,153,14,221,21,0,7,7,0,0,0,269,18,392,40,5,8,4,0,4,0,476,38,424,115,21,12,3,0,3,4,623,38,482,250,35,16,15,4,5,0,843,52,448,691,109,106,45,10,13,15,1483,68,331,718,340,265,142,19,22,12,1926,91,228,517,439,713,432,56,60,15,2543,117,172,346,436,1361,923,150,157,19,3676,121,120,173,232,1124,864,176,180,13,2993,69,83,116,110,673,598,173,194,11,2027,37,48,50,60,280,317,121,126,5,1049
509,23,22,41,55,101,112,37,58,4,443,30,13,24,28,72,116,40,52,7,386,25,5,8,11,27,105,26,39,4,238,21,12,11,6,22,151,44,83,0,341,5,0,0,0,0,11,4,20,0,37,0,7,5,9,6,4,4,8,0,30,0,10,7,0,4,4,0,5,15,41,350,1242,1146,778,831,861,246,451,91,5995,4,21,13,4,0,6,0,5,0,55,6,79,12,5,3,3,0,0,0,106,6,135,21,4,0,3,0,3,0,174,15,153,38,9,3,11,0,3,7,243,22,148,84,14,14,3,7,9,6,299,28,173,221,63,46,23,4,6,0,567,35,106,179,110,99,48,5,19,0,616,44,104,156,150,197,138,27,34,13,855,52,59,103,120,359,287,43,53,11,1085,41,48,57,52,242,172,26,57,6,687,19,58,32,33,110,93,24,50,3,426,15,19,17,13,51,44,22,40,4,234
510,30,29,22,38,145,122,31,156,8,583,45,17,18,18,101,135,41,103,5,473,38,13,6,4,61,90,29,111,6,353,77,23,13,13,66,191,61,278,3,717,14,0,0,0,9,25,13,55,0,108,10,0,0,0,0,3,23,34,0,71,4,5,13,6,0,4,0,8,17,59,362,681,514,452,944,885,279,961,105,5177,4,0,0,0,4,0,0,0,0,22,9,21,0,0,0,0,0,0,0,34,3,38,7,0,3,3,0,0,0,65,3,34,5,5,9,9,0,0,0,67,7,43,23,12,4,11,0,8,0,105,12,56,59,19,21,11,6,13,0,197,11,42,89,45,55,31,6,11,4,302,24,31,87,61,123,83,20,32,7,460,36,28,54,60,259,188,58,80,11,776,42,29,35,51,271,191,49,153,10,828,48,25,32,31,195,151,68,173,10,725,37,6,11,17,96,116,41,178,6,505
511,34,18,24,54,127,100,33,75,11,474,28,14,20,24,98,115,50,91,11,444,31,10,10,7,39,106,41,73,3,314,37,8,11,9,31,160,54,154,7,465,5,0,0,0,4,14,3,40,0,66,4,7,0,0,0,10,3,14,0,48,3,9,10,4,3,6,0,5,15,49,353,993,970,710,1001,935,294,666,122,6046,5,20,6,0,3,4,0,3,0,42,0,48,4,3,0,3,0,0,3,60,10,94,16,6,0,0,0,4,0,132,11,106,28,9,8,4,0,3,3,178,4,103,60,4,16,18,0,6,4,215,24,133,185,36,46,21,10,14,0,461,36,89,174,109,108,66,9,20,9,609,26,47,102,148,264,150,25,29,5,804,59,47,81,113,385,322,75,80,3,1156,33,27,43,56,282,223,60,109,11,838,40,34,34,35,178,144,86,141,3,701,23,17,15,26,64,76,47,114,0,370
