POW_SA4_CODE_2021,LE_IDNS_PINS_Mng,LE_IDNS_PINS_Pro,LE_IDNS_PINS_TecTW,LE_IDNS_PINS_CoPSW,LE_IDNS_PINS_ClAW,LE_IDNS_PINS_SWks,LE_IDNS_PINS_MaOpDv,LE_IDNS_PINS_Lab,LE_IDNS_PINS_IDNS,LE_IDNS_PINS_Tot,LE_IDNS_Tot_Mng,LE_IDNS_Tot_Pro,LE_IDNS_Tot_TecTW,LE_IDNS_Tot_CoPSW,LE_IDNS_Tot_ClAW,LE_IDNS_Tot_SWks,LE_IDNS_Tot_MaOpDv,LE_IDNS_Tot_Lab,LE_IDNS_Tot_IDNS,LE_IDNS_Tot_Tot,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
501,17,3,12,14,6,10,0,16,52,130,271,232,218,248,193,190,187,324,176,2042,125,39,35,24,37,18,9,28,30,340,61,83,69,152,50,108,19,113,16,664,122,132,110,221,117,174,31,200,24,1138,137,185,165,304,162,166,41,222,24,1400,152,243,273,494,274,234,58,296,35,2056,307,392,453,905,487,415,109,493,35,3599,337,583,595,1159,600,499,146,582,46,4549,554,858,910,1193,792,436,240,773,76,5835,800,1237,1444,1024,950,330,364,619,62,6821,659,1410,1255,507,690,151,362,346,60,5427,637,1643,1099,335,432,127,376,247,68,4961,579,1457,948,214,233,75,377,165,54,4114,1199,2420,1945,278,297,96,607,206,90,7145,361,416,425,29,63,33,65,27,28,1443,569,718,300,16,64,54,32,19,22,1802,63,58,91,58,25,22,22,48,95,479,6668,11874,10117,6912,5273,2944,2860,4370,765,51782
502,3,4,7,9,6,7,0,6,28,66,77,94,97,153,106,99,48,87,78,852,17,14,20,16,24,12,3,10,9,120,15,35,18,87,33,73,14,42,0,319,33,59,53,169,55,122,31,87,9,613,52,59,83,210,99,140,23,73,5,749,36,108,98,275,110,168,19,129,5,947,81,145,226,491,187,220,50,168,22,1588,105,215,246,642,231,222,60,168,19,1904,164,355,314,661,269,176,61,168,21,2185,239,522,549,573,325,135,85,153,24,2602,194,522,357,235,196,67,91,67,15,1747,196,683,309,163,136,45,98,47,16,1702,157,555,227,108,67,27,83,31,14,1271,360,959,556,112,91,38,194,43,32,2396,109,153,115,6,14,14,20,7,14,453,178,262,66,8,22,43,9,6,12,603,15,25,31,42,17,9,6,11,43,196,1953,4674,3261,3796,1861,1507,852,1221,267,19386
503,24,64,30,36,35,15,13,20,247,494,712,1670,461,657,982,273,139,348,614,5858,87,161,55,71,85,28,7,24,53,571,64,235,49,290,147,120,15,114,23,1044,93,457,154,658,330,303,29,287,59,2366,145,667,227,815,464,403,46,376,50,3192,197,733,348,1001,675,449,55,514,69,4044,356,1588,628,1830,1309,688,96,744,114,7359,519,2228,918,2162,1928,690,103,713,122,9385,982,3776,1545,2512,3147,733,221,760,193,13865,1722,7386,2399,2718,5195,769,303,697,289,21462,1864,9853,2158,1637,5161,570,253,350,286,22123,2290,11989,1840,1165,3859,439,218,261,276,22322,2248,10853,1404,933,2295,325,282,155,233,18719,8316,24342,2990,1479,3531,578,690,277,445,42648,3342,6901,1021,150,791,198,188,67,125,12782,10224,14828,1368,130,1394,453,190,77,304,28961,127,397,139,112,138,46,23,52,458,1491,32569,96394,17227,17648,30428,6784,2710,5461,3111,212340
504,18,16,22,19,17,8,8,11,106,221,253,318,332,349,320,209,210,237,275,2503,80,67,57,31,51,22,6,27,27,364,45,117,48,162,71,118,28,110,19,718,76,194,115,347,131,304,48,252,18,1486,107,239,232,349,211,314,72,275,23,1821,124,281,311,527,268,382,103,336,24,2343,196,491,532,995,490,540,167,471,46,3917,337,664,844,1277,649,539,283,499,51,5126,530,924,1320,1488,946,529,615,673,85,7109,885,1483,2149,1407,1359,458,791,690,120,9347,805,1804,1876,744,1025,305,555,360,111,7583,866,2245,1650,659,668,249,427,223,86,7058,734,1994,1171,526,332,124,310,120,76,5377,1942,3216,1640,700,420,188,390,120,96,8706,605,518,283,57,70,37,71,16,22,1671,893,814,207,36,87,47,36,24,31,2168,59,104,122,64,46,27,30,35,178,674,8281,15130,12563,9362,6818,4172,3924,4207,1021,65481
505,24,24,38,40,18,18,10,13,172,357,482,653,519,718,597,449,214,462,419,4519,122,124,94,81,91,47,21,47,47,671,71,221,110,369,120,303,56,222,28,1500,117,410,245,723,303,616,65,417,49,2941,183,513,407,875,440,686,131,465,41,3737,194,594,559,1279,568,810,152,568,67,4786,383,1020,998,2298,1021,1104,223,811,63,7917,583,1501,1411,2701,1355,1067,362,850,107,9927,957,2119,2198,3333,1878,1013,590,1071,156,13311,1579,3495,3452,2786,2594,856,790,989,200,16736,1497,4046,2890,1419,1899,534,500,562,168,13515,1584,4854,2591,879,1332,415,390,390,151,12585,1371,4466,1622,594,663,244,244,194,115,9514,3646,7543,1924,669,848,401,257,243,158,15695,1110,1137,383,58,170,99,37,28,46,3069,1844,2127,311,45,180,198,37,43,54,4835,107,207,220,142,88,60,40,58,309,1229,15341,34365,19417,18239,13546,8460,3881,6950,1760,121960
506,15,34,48,36,29,21,22,35,212,454,559,683,663,777,682,388,568,570,551,5440,120,118,75,81,94,56,26,66,50,691,78,263,103,379,158,266,64,253,40,1600,132,404,241,816,322,596,148,437,54,3149,202,457,381,972,412,614,192,554,66,3849,236,582,569,1310,536,778,257,688,55,5022,389,1054,1032,2202,1080,997,485,981,120,8337,592,1418,1460,2881,1524,1006,726,1136,118,10859,1049,2238,2449,3537,2307,1005,1645,1391,184,15801,1762,3713,3831,3376,3381,1013,2258,1352,277,20961,1724,4392,3599,1803,2720,748,1474,776,233,17463,1983,5377,3385,1454,1814,506,1029,477,190,16219,1751,4728,2385,902,992,310,741,290,156,12256,4971,8621,3857,1062,1247,460,990,347,219,21764,1627,1666,883,90,253,108,180,59,49,4917,3132,2594,693,66,282,171,135,50,82,7201,113,198,242,126,93,63,83,78,384,1374,19862,37817,25178,21050,17205,8700,10439,8938,2267,151463
507,16,27,29,39,17,16,14,27,154,344,423,717,539,670,475,341,320,453,407,4342,108,114,78,69,101,41,11,43,51,615,49,219,91,290,119,234,39,183,28,1255,117,396,218,688,268,502,87,360,27,2658,148,462,371,816,343,549,89,452,41,3272,198,547,523,1028,490,634,144,482,47,4100,366,1025,859,1946,904,865,225,750,68,7003,479,1397,1252,2400,1138,835,306,862,92,8761,888,2144,1998,2743,1520,796,671,1027,131,11911,1371,3498,3109,2445,2229,708,967,1007,198,15526,1220,4316,2959,1274,1889,440,769,532,165,13561,1367,5403,2885,958,1333,310,621,389,153,13442,1268,4706,2138,658,738,214,456,279,103,10562,3819,8145,3727,832,1049,278,777,477,220,19324,1324,1496,763,97,236,83,146,74,53,4275,2386,2705,567,75,261,165,77,33,74,6336,83,176,182,134,65,59,49,73,279,1090,15192,36746,21710,16468,12686,6706,5432,7024,1729,123692
509,20,4,11,12,4,3,10,10,39,122,370,158,161,208,152,119,140,302,138,1752,190,17,24,21,35,8,9,33,13,347,79,40,31,73,61,60,7,74,9,435,135,79,84,134,115,67,21,150,10,797,155,105,112,156,159,93,34,158,21,991,185,151,171,251,180,116,40,202,18,1307,338,245,308,462,318,195,88,340,28,2319,404,340,408,603,332,228,108,356,38,2818,544,471,605,704,475,236,194,571,63,3868,750,814,866,636,611,220,323,551,61,4839,666,894,694,355,415,97,270,295,46,3730,684,1116,666,308,253,72,280,194,23,3599,551,986,469,179,153,50,254,120,22,2791,1194,1535,1046,284,190,69,583,128,48,5081,332,243,302,35,46,17,80,19,12,1083,457,431,221,26,39,45,43,19,15,1292,98,35,57,27,23,17,25,29,68,383,6762,7508,6049,4258,3406,1602,2351,3247,491,35674
510,8,12,17,12,7,4,20,16,91,187,132,193,281,157,146,87,316,273,209,1783,16,29,32,16,13,11,16,11,30,173,13,27,23,37,16,31,5,22,10,185,22,57,41,74,31,35,11,53,15,343,20,54,37,71,44,47,16,69,19,373,34,58,56,83,68,42,22,71,13,433,34,91,92,191,113,93,33,119,21,790,70,169,153,241,183,111,54,187,21,1175,151,237,287,437,268,117,92,293,45,1934,247,431,546,536,450,179,248,452,51,3141,340,703,658,415,544,110,366,504,72,3712,372,1043,1080,343,455,79,590,358,69,4391,380,1155,1293,253,342,54,782,311,56,4623,1115,2735,5384,579,550,60,2823,761,204,14210,470,1089,3060,90,188,8,852,188,104,6053,1394,1583,3565,61,209,18,629,176,136,7766,31,63,154,30,24,7,79,47,156,605,4712,9516,16450,3461,3485,1009,6614,3632,1025,49911
511,8,7,16,10,8,4,14,12,70,156,199,198,215,185,167,105,299,259,171,1790,78,29,24,11,21,7,7,25,23,212,15,25,17,53,21,42,18,51,9,239,61,61,53,102,67,64,10,97,10,537,60,88,71,130,101,78,31,127,16,701,98,101,103,184,115,90,32,138,19,890,111,179,224,392,252,183,64,237,27,1675,168,255,291,549,351,217,97,270,28,2219,275,350,496,631,413,246,138,345,48,2938,463,642,748,597,664,189,280,414,63,4058,410,873,794,336,513,119,360,309,60,3771,455,1150,972,334,413,54,500,264,47,4195,404,1122,939,233,222,39,746,207,60,3977,1123,2574,3401,361,297,56,1843,311,103,10070,410,675,1256,51,52,16,381,64,37,2947,906,716,831,41,59,38,242,44,39,2910,50,48,113,29,20,11,50,37,131,495,5084,8882,10339,4042,3568,1451,4813,2937,718,41840
