POW_SA4_CODE_2021,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
501,0,6,0,3,7,289,238,31,36,598,1403,3846,291,128,5669,3322,1828,233,131,5509,3925,1792,301,134,6154,4273,2376,406,127,7181,4678,3000,366,139,8180,5097,2890,282,137,8408,5583,2896,299,130,8912,5578,2788,384,113,8865,4848,2673,489,93,8106,3395,2670,518,70,6647,1279,1656,216,42,3193,414,812,79,41,1347,224,402,50,51,722,44014,29633,3913,1337,78895
502,0,3,0,0,0,98,99,6,20,219,437,2250,91,51,2831,1132,1539,89,62,2828,1425,968,118,65,2587,1360,1131,149,57,2710,1586,1271,135,45,3029,1596,1158,95,44,2886,1870,1168,105,49,3193,1882,1203,114,37,3238,1649,1185,161,43,3042,1043,1083,149,27,2306,353,575,65,11,1005,113,268,13,10,398,35,134,7,17,185,14473,13949,1292,520,30240
503,3,16,6,6,26,893,414,53,120,1478,935,5687,248,160,7035,10042,10481,651,398,21574,20890,7034,1196,498,29621,23334,7894,2318,522,34068,24538,9116,2040,394,36086,22187,7655,986,303,31131,20844,6483,757,283,28362,18960,5882,891,233,25965,14666,5354,986,163,21159,9128,4915,837,130,15018,3542,3244,400,68,7247,941,1618,147,44,2745,314,800,63,77,1247,170316,76165,11513,3282,261272
504,3,10,0,0,10,350,214,24,48,636,1356,5479,205,101,7142,4546,4518,269,262,9589,6522,2917,375,226,10038,7008,3087,513,218,10829,7051,3389,356,192,10989,6813,2990,243,157,10202,6844,2862,256,126,10087,7095,2819,299,118,10326,6004,2767,341,103,9211,3978,2467,306,71,6824,1534,1595,168,27,3333,425,773,52,17,1265,159,414,34,14,617,59335,36071,3411,1640,100464
505,3,0,0,4,9,617,445,37,88,1182,1875,11311,407,150,13747,7677,9565,513,332,18088,11036,5519,671,401,17626,11608,6159,1025,389,19170,11924,6964,743,317,19949,11099,6490,419,223,18230,11685,6267,399,212,18558,11283,6045,497,213,18032,9381,5491,583,192,15638,6190,5059,551,105,11905,2261,3084,283,56,5692,629,1518,102,35,2276,164,682,40,41,936,96802,74151,6222,2669,179841
506,3,10,0,3,17,830,490,38,123,1480,2391,9611,419,189,12611,9900,10794,608,524,21823,15127,7011,922,558,23614,17321,7078,1332,520,26253,17859,7641,1118,422,27041,15959,6646,635,328,23562,15660,5957,583,312,22512,15138,5551,687,257,21634,12841,5344,767,220,19175,8662,4869,661,170,14362,3358,3126,338,69,6890,881,1526,119,43,2570,259,730,60,57,1105,135368,75861,8239,3679,223150
507,0,3,0,0,8,593,375,36,71,1078,1994,9471,354,171,11991,7884,8455,545,351,17234,11596,5270,839,375,18083,12439,5696,1099,341,19579,12706,6332,854,300,20200,11960,5985,501,230,18679,12211,5474,483,212,18380,11929,4962,647,219,17754,10043,4799,740,164,15738,6503,4257,619,106,11484,2355,2605,299,68,5319,562,1234,82,28,1901,178,582,35,27,829,102346,65127,7089,2602,177166
509,8,6,0,3,16,235,155,23,44,455,1035,1911,131,99,3181,2567,1072,162,112,3910,3144,1155,281,119,4711,3203,1396,324,117,5042,3421,1787,248,105,5564,3593,1710,188,88,5587,4075,1671,213,99,6055,4402,1886,357,104,6749,4151,2024,381,88,6642,3352,2136,390,83,5964,1546,1361,236,70,3210,679,776,97,57,1614,374,553,68,73,1066,35545,19436,3093,1215,59284
510,0,0,0,0,6,393,84,43,78,592,750,1151,91,91,2086,3218,694,294,144,4356,6069,961,601,238,7864,7354,1426,1011,236,10023,7414,1417,897,216,9947,6283,1133,725,165,8305,6162,911,727,132,7932,5791,799,786,126,7501,4768,651,721,122,6257,3077,579,531,82,4273,1114,314,217,30,1674,243,120,31,18,414,64,55,5,13,135,52309,10207,6640,1614,70762
511,4,5,0,4,8,286,131,25,44,486,1183,1920,149,83,3334,3634,1138,296,164,5234,5018,1187,469,173,6847,5014,1520,540,153,7218,5033,1594,414,147,7192,4762,1367,346,132,6605,5082,1393,405,125,7002,5125,1436,420,135,7108,4539,1442,458,120,6554,3299,1351,369,85,5109,1331,777,164,39,2313,366,374,34,18,790,178,213,29,42,463,44564,15716,4086,1414,65776
