POW_SA4_CODE_2021,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000_3499_A_15_19,MaOpD_3000_3499_A_20_24,MaOpD_3000_3499_A_25_34,MaOpD_3000_3499_A_35_44,MaOpD_3000_3499_A_45_54,MaOpD_3000_3499_A_55_64,MaOpD_3000_3499_A_65_74,MaOpD_3000_3499_A_75ov,MaOpD_3000_3499_Tot,MaOpD_3500mo_A_15_19,MaOpD_3500mo_A_20_24,MaOpD_3500mo_A_25_34,MaOpD_3500mo_A_35_44,MaOpD_3500mo_A_45_54,MaOpD_3500mo_A_55_64,MaOpD_3500mo_A_65_74,MaOpD_3500mo_A_75ov,MaOpD_3500mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19,MaOpD_Tot_A_20_24,MaOpD_Tot_A_25_34,MaOpD_Tot_A_35_44,MaOpD_Tot_A_45_54,MaOpD_Tot_A_55_64,MaOpD_Tot_A_65_74,MaOpD_Tot_A_75ov,MaOpD_Tot_Tot,Lab_NNI_A_15_19,Lab_NNI_A_20_24,Lab_NNI_A_25_34,Lab_NNI_A_35_44,Lab_NNI_A_45_54,Lab_NNI_A_55_64,Lab_NNI_A_65_74,Lab_NNI_A_75ov,Lab_NNI_Tot,Lab_1_149_A_15_19,Lab_1_149_A_20_24,Lab_1_149_A_25_34,Lab_1_149_A_35_44,Lab_1_149_A_45_54,Lab_1_149_A_55_64,Lab_1_149_A_65_74,Lab_1_149_A_75ov,Lab_1_149_Tot,Lab_150_299_A_15_19,Lab_150_299_A_20_24,Lab_150_299_A_25_34,Lab_150_299_A_35_44,Lab_150_299_A_45_54,Lab_150_299_A_55_64,Lab_150_299_A_65_74,Lab_150_299_A_75ov,Lab_150_299_Tot,Lab_300_399_A_15_19,Lab_300_399_A_20_24,Lab_300_399_A_25_34,Lab_300_399_A_35_44,Lab_300_399_A_45_54,Lab_300_399_A_55_64,Lab_300_399_A_65_74,Lab_300_399_A_75ov,Lab_300_399_Tot,Lab_400_499_A_15_19,Lab_400_499_A_20_24,Lab_400_499_A_25_34,Lab_400_499_A_35_44,Lab_400_499_A_45_54,Lab_400_499_A_55_64,Lab_400_499_A_65_74,Lab_400_499_A_75ov,Lab_400_499_Tot,Lab_500_649_A_15_19,Lab_500_649_A_20_24,Lab_500_649_A_25_34,Lab_500_649_A_35_44,Lab_500_649_A_45_54,Lab_500_649_A_55_64,Lab_500_649_A_65_74,Lab_500_649_A_75ov,Lab_500_649_Tot,Lab_650_799_A_15_19,Lab_650_799_A_20_24,Lab_650_799_A_25_34,Lab_650_799_A_35_44,Lab_650_799_A_45_54,Lab_650_799_A_55_64,Lab_650_799_A_65_74,Lab_650_799_A_75ov,Lab_650_799_Tot,Lab_800_999_A_15_19,Lab_800_999_A_20_24,Lab_800_999_A_25_34,Lab_800_999_A_35_44,Lab_800_999_A_45_54,Lab_800_999_A_55_64,Lab_800_999_A_65_74,Lab_800_999_A_75ov,Lab_800_999_Tot,Lab_1000_1249_A_15_19,Lab_1000_1249_A_20_24,Lab_1000_1249_A_25_34,Lab_1000_1249_A_35_44,Lab_1000_1249_A_45_54,Lab_1000_1249_A_55_64,Lab_1000_1249_A_65_74,Lab_1000_1249_A_75ov,Lab_1000_1249_Tot,Lab_1250_1499_A_15_19,Lab_1250_1499_A_20_24,Lab_1250_1499_A_25_34,Lab_1250_1499_A_35_44,Lab_1250_1499_A_45_54,Lab_1250_1499_A_55_64,Lab_1250_1499_A_65_74,Lab_1250_1499_A_75ov,Lab_1250_1499_Tot,Lab_1500_1749_A_15_19,Lab_1500_1749_A_20_24,Lab_1500_1749_A_25_34,Lab_1500_1749_A_35_44,Lab_1500_1749_A_45_54,Lab_1500_1749_A_55_64,Lab_1500_1749_A_65_74,Lab_1500_1749_A_75ov,Lab_1500_1749_Tot,Lab_1750_1999_A_15_19,Lab_1750_1999_A_20_24,Lab_1750_1999_A_25_34,Lab_1750_1999_A_35_44,Lab_1750_1999_A_45_54,Lab_1750_1999_A_55_64,Lab_1750_1999_A_65_74,Lab_1750_1999_A_75ov,Lab_1750_1999_Tot,Lab_2000_2999_A_15_19,Lab_2000_2999_A_20_24,Lab_2000_2999_A_25_34,Lab_2000_2999_A_35_44,Lab_2000_2999_A_45_54,Lab_2000_2999_A_55_64,Lab_2000_2999_A_65_74,Lab_2000_2999_A_75ov,Lab_2000_2999_Tot,Lab_3000_3499_A_15_19,Lab_3000_3499_A_20_24,Lab_3000_3499_A_25_34,Lab_3000_3499_A_35_44,Lab_3000_3499_A_45_54,Lab_3000_3499_A_55_64,Lab_3000_3499_A_65_74,Lab_3000_3499_A_75ov,Lab_3000_3499_Tot,Lab_3500mo_A_15_19,Lab_3500mo_A_20_24,Lab_3500mo_A_25_34
501,63,137,166,224,206,51,0,855,3,52,145,201,200,223,35,0,851,4,21,124,199,202,194,32,0,772,0,23,160,306,351,291,40,0,1174,0,0,13,26,32,24,5,0,103,3,0,9,10,21,22,7,3,79,0,4,5,21,10,12,3,0,52,197,408,916,1287,1545,1560,449,41,6409,39,9,9,14,5,12,5,0,89,626,11,23,35,23,40,12,0,768,237,46,62,75,74,78,20,7,600,96,52,76,115,103,130,52,12,629,82,71,121,114,132,154,70,14,750,109,127,187,164,237,239,81,21,1164,100,195,292,220,249,234,75,8,1373,80,272,443,320,299,264,60,7,1740,40,153,397,275,270,206,45,3,1399,10,53,180,165,157,120,21,4,707,6,38,96,137,99,80,18,0,472,4,17,66,72,94,62,20,0,337,0,23,68,120,90,67,15,3,393,0,0,6,22,15,7,4,0,56,0,0,8
502,8,28,33,58,40,11,0,183,0,5,29,31,41,67,19,0,204,0,0,32,36,59,45,0,0,168,0,12,64,85,127,93,10,0,383,0,0,4,8,9,12,0,0,41,0,0,0,6,5,9,0,0,19,0,0,3,0,0,0,0,0,9,125,96,255,320,436,466,127,25,1850,14,8,0,6,0,4,0,0,33,292,5,10,12,9,13,3,0,357,150,35,21,33,20,26,6,0,296,55,41,32,21,45,41,15,0,240,44,58,43,36,39,58,22,10,309,32,63,71,72,79,103,22,3,446,25,67,66,73,88,84,27,0,427,13,50,76,63,75,69,12,0,361,10,28,59,67,73,68,19,5,307,0,14,25,33,38,32,9,0,151,0,4,14,29,18,23,4,0,96,0,4,5,21,14,14,4,0,70,0,0,14,30,22,18,0,0,91,0,0,3,5,4,6,0,0,14,0,0,0
503,14,99,87,97,92,18,4,425,0,17,89,95,73,82,16,0,365,3,27,109,128,112,106,15,0,494,7,49,304,381,321,158,19,5,1245,0,3,58,91,84,53,8,0,308,0,5,40,86,84,61,8,0,284,4,6,12,11,16,4,4,0,56,158,379,1064,1187,1036,838,190,25,4877,29,6,11,11,6,13,0,0,75,504,87,29,32,11,19,4,3,691,271,183,91,59,58,57,25,0,750,130,189,164,87,85,93,27,8,777,103,185,257,150,118,105,57,16,989,59,226,381,250,193,162,80,15,1368,26,191,343,264,219,194,77,3,1329,31,159,391,260,230,225,64,5,1365,22,103,341,271,244,215,70,8,1271,8,44,162,132,122,107,25,7,616,6,31,120,106,77,79,18,0,443,3,21,72,66,47,40,10,0,253,5,26,127,121,104,68,11,3,465,4,0,26,34,17,10,0,0,82,0,3,18
504,55,234,276,315,269,63,4,1228,0,40,177,217,208,196,49,3,886,3,24,136,170,148,128,34,4,637,0,29,153,223,185,145,34,3,773,0,4,33,36,37,20,9,0,132,0,0,9,21,22,13,9,0,76,4,6,17,13,12,15,8,0,72,410,766,1771,1879,1867,1646,498,41,8875,40,8,14,11,9,11,0,0,94,723,68,17,16,22,26,15,0,896,387,128,74,73,66,87,31,12,859,136,137,92,89,86,100,40,12,688,113,153,150,100,116,109,50,13,807,111,180,196,179,187,193,89,14,1155,85,159,245,222,225,220,68,10,1237,68,217,358,289,331,250,84,7,1599,40,154,328,268,261,257,50,3,1354,7,66,186,170,158,112,33,4,732,5,39,109,104,93,62,11,0,416,6,29,70,67,45,37,4,0,262,3,17,67,69,42,32,6,0,226,0,0,9,11,14,5,0,0,33,0,4,5
505,35,202,238,219,230,48,3,972,4,31,116,192,205,180,31,0,758,0,7,77,123,115,102,31,0,458,0,19,95,125,102,78,19,0,437,0,3,7,27,15,15,0,0,68,0,0,5,27,12,17,3,0,70,0,11,8,9,13,15,0,0,67,514,852,1633,1669,1641,1576,466,37,8396,60,15,16,9,12,17,12,0,142,1471,96,53,43,40,40,22,4,1780,725,242,101,109,111,125,54,8,1461,259,263,148,154,149,149,62,12,1199,165,270,229,206,196,182,82,17,1342,142,345,333,270,354,295,113,21,1869,102,285,411,350,374,354,115,22,2017,69,275,640,473,498,350,108,10,2425,40,178,466,420,446,363,96,9,2019,11,73,269,224,210,182,43,0,1025,8,38,169,167,144,123,32,4,683,0,25,97,97,76,60,11,0,366,6,17,115,111,105,59,12,0,431,0,0,7,17,14,14,3,0,64,0,5,15
506,148,766,726,649,603,128,8,3042,4,68,488,528,514,472,97,5,2170,3,48,309,376,354,276,70,0,1434,3,68,465,578,474,356,62,4,2016,0,14,78,100,81,50,10,0,333,0,4,42,88,47,40,6,0,232,3,18,22,24,46,41,8,0,166,773,1916,5206,4935,4324,3846,1025,74,22101,71,24,22,15,20,17,0,0,171,1224,103,69,69,53,52,32,4,1597,671,291,124,127,109,100,51,8,1488,265,296,212,185,181,165,64,15,1377,181,286,307,219,250,212,108,20,1577,189,427,504,342,366,358,131,16,2337,153,381,571,452,469,400,135,21,2576,134,441,785,610,603,488,133,14,3202,79,279,671,626,549,425,95,16,2742,30,110,380,308,298,242,59,5,1442,9,65,225,220,208,159,39,0,924,3,57,131,138,124,78,25,0,563,6,42,173,175,113,78,12,0,599,0,0,29,39,24,22,0,3,114,0,7,22
507,75,347,322,369,341,84,6,1559,11,64,239,278,310,292,60,0,1247,4,25,175,239,242,221,39,0,954,0,30,280,405,419,334,50,0,1522,0,4,40,57,83,56,11,0,249,0,6,21,38,42,32,4,0,148,0,14,17,20,16,23,7,0,98,504,1076,2286,2365,2462,2330,589,41,11660,47,7,20,17,19,18,6,0,137,1185,69,41,37,29,38,17,7,1418,593,222,87,76,92,89,43,8,1206,241,226,134,147,153,138,59,20,1119,184,234,192,159,165,170,68,13,1193,178,312,294,270,297,244,104,18,1717,110,324,361,377,370,343,92,6,1992,93,296,591,428,452,376,85,9,2331,65,226,505,439,438,360,90,8,2132,27,103,288,250,226,181,34,5,1109,5,48,193,197,166,128,19,0,766,7,28,140,133,131,85,15,0,537,6,24,190,214,216,130,20,0,811,0,3,23,34,20,25,4,0,108,0,0,15
509,49,114,100,149,150,49,0,618,12,40,118,101,166,152,47,3,635,3,31,116,113,153,161,30,4,610,0,38,196,289,385,308,38,0,1253,0,5,18,44,49,44,3,0,164,0,0,10,26,37,22,8,3,112,0,8,7,8,19,21,3,0,68,129,344,850,975,1313,1440,446,43,5546,41,9,19,11,15,18,8,0,112,303,19,27,24,28,29,14,8,448,122,32,48,53,63,77,37,8,447,66,41,48,68,66,117,42,15,468,57,47,77,75,103,119,57,16,553,75,81,154,131,158,150,78,26,859,78,146,206,169,172,203,61,10,1042,79,208,328,202,235,211,58,19,1334,51,133,292,208,231,229,48,13,1190,13,71,143,139,125,114,37,8,646,4,34,98,77,90,63,26,0,407,5,14,49,54,55,31,10,0,223,0,9,63,53,44,36,12,0,215,0,0,5,5,12,15,0,0,42,0,5,7
510,56,140,150,175,163,47,0,751,17,76,289,271,324,282,45,0,1307,11,116,369,400,445,312,57,0,1706,20,246,1209,1499,1561,1103,169,5,5807,0,34,273,469,493,354,60,0,1676,0,11,155,301,338,254,44,0,1096,0,5,28,25,32,35,10,0,140,113,634,2697,3308,3599,2746,535,19,13653,13,0,7,5,6,3,0,0,44,151,4,7,4,0,0,5,0,181,82,12,29,23,19,17,3,0,190,33,23,35,28,31,22,3,4,186,24,30,37,31,22,19,10,3,170,41,24,58,62,54,39,14,0,289,32,51,112,78,77,52,13,5,422,40,94,183,94,81,72,26,0,586,39,135,244,149,154,121,29,0,871,35,159,259,156,171,153,32,4,967,14,114,207,145,119,103,20,0,717,13,63,188,135,93,67,18,0,580,15,114,423,372,273,169,17,0,1381,5,10,78,102,74,35,3,0,301,3,8,57
511,76,158,151,175,199,45,3,819,20,132,262,217,277,258,47,0,1213,7,139,385,338,366,320,63,0,1628,23,211,944,933,947,724,122,0,3905,0,26,160,238,208,121,18,0,771,0,13,106,207,171,66,10,0,568,0,10,23,20,24,33,11,0,123,200,772,2312,2354,2495,2159,518,21,10834,25,9,7,7,20,10,11,0,82,266,7,11,16,5,21,11,3,341,125,29,31,44,20,39,20,4,317,51,31,50,57,56,77,34,3,363,56,41,61,60,72,89,30,4,409,45,66,96,88,120,111,53,6,599,49,119,143,99,144,124,36,8,724,51,114,173,151,160,157,29,0,837,21,88,225,164,170,199,53,3,932,29,79,154,116,127,106,21,4,634,24,72,157,92,92,88,16,0,541,10,62,136,82,56,55,6,0,410,12,63,145,131,82,83,9,0,522,0,7,21,20,22,14,3,0,91,0,3,12
