POW_SA4_CODE_2021,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49ov_Mng,FTS_49ov_Pro,FTS_49ov_TecTW,FTS_49ov_CoPSW,FTS_49ov_ClAW,FTS_49ov_SWks,FTS_49ov_MaOpDv,FTS_49ov_Lab,FTS_49ov_IDNS,FTS_49ov_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49ov_Mng,PTS_49ov_Pro,PTS_49ov_TecTW,PTS_49ov_CoPSW,PTS_49ov_ClAW,PTS_49ov_SWks,PTS_49ov_MaOpDv,PTS_49ov_Lab,PTS_49ov_IDNS,PTS_49ov_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
501,0,5,6,63,6,80,4,78,0,241,13,35,41,573,52,1127,49,705,28,2629,5,12,17,102,8,125,9,71,3,348,3,0,8,39,12,40,4,32,0,138,3,3,29,22,7,7,5,6,0,87,0,0,20,7,4,6,5,0,0,45,0,3,25,6,0,0,4,0,0,34,0,0,24,0,0,0,4,5,0,34,0,0,0,11,0,23,0,8,17,62,29,63,179,816,97,1402,72,904,53,3625,0,0,15,14,0,3,0,6,0,45,0,9,12,24,9,34,3,23,0,116,0,4,10,26,11,18,3,20,0,96,0,7,24,55,12,21,3,19,5,146,6,10,164,33,29,9,6,12,0,279,0,3,178,13,16,5,6,4,5,234,0,0,113,3,8,4,0,0,0,138,3,6,87,6,5,0,0,4,0,109,0,0,10,0,0,0,0,0,4,19,19,39,611,178,97,95,21,96,9,1174
502,0,0,5,24,0,27,5,27,0,87,13,28,33,361,40,754,54,369,4,1651,8,9,7,93,20,163,15,70,5,385,8,6,3,41,9,50,10,24,0,144,3,0,18,9,0,9,0,0,0,40,5,3,5,9,0,0,0,0,0,21,0,0,3,3,4,0,0,3,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,9,0,5,8,26,32,45,84,550,72,1013,83,497,17,2393,0,0,0,3,0,0,0,4,0,10,5,3,4,31,3,49,3,17,0,123,3,0,4,23,5,40,5,9,0,84,3,0,13,32,3,26,0,9,0,91,0,9,91,23,0,8,0,5,0,134,4,0,60,8,0,4,6,0,0,76,0,4,32,0,0,0,0,0,0,34,0,0,24,3,0,0,0,0,0,30,0,0,4,4,0,5,0,0,3,15,18,22,229,113,20,135,11,39,11,598
503,10,48,18,180,37,104,7,78,13,484,82,579,171,2382,611,1800,133,971,74,6797,63,284,129,1002,415,534,58,405,25,2913,42,90,56,376,179,201,9,71,5,1024,14,57,58,78,81,35,0,10,3,333,11,51,34,38,34,8,0,13,5,196,0,21,15,26,11,6,0,7,0,81,5,22,12,27,4,5,0,3,0,77,0,4,11,51,14,25,8,20,75,208,225,1146,494,4166,1395,2705,217,1577,196,12122,0,17,12,15,12,9,0,3,0,70,4,48,28,146,65,112,6,79,3,495,6,78,31,174,88,85,7,56,8,530,19,79,46,119,99,68,11,38,3,484,28,153,140,73,136,28,3,14,0,575,19,146,123,44,87,13,0,9,5,452,7,78,57,18,23,4,0,5,0,194,9,73,40,10,17,0,5,7,0,161,0,3,0,11,3,5,0,4,18,43,100,676,471,611,523,326,42,204,40,2995
504,0,5,18,54,8,83,16,70,5,250,43,142,76,942,148,1791,170,1048,36,4394,28,37,67,340,85,522,79,277,10,1442,26,9,24,126,29,176,21,64,0,482,4,9,56,32,10,19,8,12,0,155,7,7,41,14,9,4,6,7,0,92,0,0,34,9,10,3,3,5,0,64,0,3,30,12,0,3,5,5,0,54,0,6,4,20,0,27,6,13,44,116,115,217,344,1536,304,2629,303,1502,95,7041,0,0,12,0,3,5,0,3,0,34,3,18,11,73,19,97,20,54,4,307,6,11,18,70,25,87,13,51,0,289,10,12,40,60,14,60,7,22,5,230,20,22,200,29,27,24,12,15,0,356,7,10,204,22,12,6,7,13,0,282,4,8,119,11,7,6,8,8,0,161,3,5,96,4,0,5,3,8,0,127,0,0,3,10,0,6,0,7,9,31,58,89,708,288,95,290,78,179,24,1797
505,4,17,26,125,17,188,20,109,4,512,70,346,149,2151,329,4275,307,2235,60,9926,71,83,103,741,184,1121,160,535,19,3021,42,43,42,330,62,364,36,146,7,1076,23,21,104,84,20,61,8,17,3,346,5,16,77,38,17,22,0,12,4,196,0,0,52,7,3,6,0,0,4,83,0,12,27,14,6,3,6,4,0,68,0,3,5,32,4,52,5,21,45,169,222,545,591,3532,646,6082,544,3082,144,15393,0,3,20,11,5,9,0,5,0,57,12,43,24,183,42,241,30,93,0,667,9,32,35,148,52,202,35,72,0,600,24,18,63,134,42,138,14,48,0,478,29,53,294,108,54,41,10,23,5,609,16,22,330,35,24,16,6,12,0,458,10,12,177,12,6,7,3,7,0,249,10,7,105,11,8,3,3,3,0,154,0,0,4,6,0,7,3,6,6,42,113,193,1063,646,230,669,102,270,28,3309
506,7,18,19,127,32,182,16,136,11,546,100,412,158,2041,381,3235,330,1963,81,8700,62,118,158,802,213,936,226,588,22,3130,45,36,66,333,79,333,80,153,7,1125,27,17,104,79,34,62,14,22,7,370,9,20,98,33,21,16,15,7,0,221,6,13,63,11,3,7,5,4,0,115,6,3,66,26,9,4,0,11,0,118,0,8,13,38,3,57,12,23,69,228,269,646,747,3491,770,4821,695,2915,194,14559,0,0,15,13,4,15,9,10,0,75,10,28,31,167,45,197,41,108,12,651,14,28,46,176,53,179,52,106,11,662,22,25,64,167,38,127,44,69,5,557,27,44,355,108,53,46,18,25,4,680,10,37,356,45,51,26,13,16,5,562,3,16,216,17,11,4,15,13,0,313,12,8,187,8,12,3,9,7,0,251,0,0,19,4,8,7,3,10,11,64,105,199,1302,711,272,604,199,363,45,3810
507,0,14,16,140,25,147,21,94,6,462,76,336,174,1849,295,3416,254,1779,51,8220,58,77,118,663,166,813,131,433,19,2467,36,30,43,270,56,278,27,124,0,862,18,12,62,76,23,43,4,27,0,264,13,19,75,31,17,8,3,9,0,177,5,4,38,15,11,3,4,4,0,91,4,0,44,15,4,4,3,3,3,78,4,4,11,32,3,41,7,22,55,165,208,498,570,3083,596,4747,454,2496,138,12799,4,4,21,15,4,15,4,3,0,75,13,34,29,141,33,201,26,112,7,593,10,29,35,120,33,140,33,72,0,483,18,20,59,159,38,104,21,45,3,465,22,35,328,96,47,30,10,27,8,606,15,41,299,29,28,15,14,6,6,463,5,12,149,14,9,8,6,12,0,211,8,5,131,19,4,9,0,7,4,179,0,0,13,11,3,8,0,6,16,53,95,187,1063,600,202,531,119,303,44,3134
509,4,5,8,21,0,35,4,35,0,110,19,19,24,212,27,475,29,349,9,1167,5,0,10,40,8,72,13,54,8,204,0,3,9,24,6,13,4,13,0,71,5,4,9,11,6,0,0,4,0,41,0,0,12,6,0,6,0,5,0,35,0,0,15,8,0,0,0,0,0,23,0,4,12,5,0,0,3,0,0,34,8,0,0,3,0,11,0,7,34,63,42,42,97,337,56,609,56,468,54,1756,0,0,4,5,0,0,0,0,6,17,0,0,4,14,8,15,0,22,0,65,3,3,14,20,5,8,0,11,3,78,3,8,20,34,5,8,0,12,0,87,3,5,99,22,23,12,5,7,0,177,4,13,106,14,8,4,4,9,6,154,5,3,71,7,0,0,5,0,0,102,3,3,48,0,0,0,0,6,0,66,0,0,8,0,0,0,0,0,3,12,25,39,376,120,53,52,18,67,13,759
510,0,0,16,15,6,19,0,10,4,62,7,11,29,125,23,301,10,192,12,720,0,5,10,20,3,57,5,38,4,140,4,0,3,9,4,17,0,14,0,51,0,8,10,3,5,8,0,0,0,35,0,0,14,3,6,0,0,0,0,23,0,5,15,6,10,0,0,4,0,34,0,3,38,4,4,0,4,12,0,68,0,0,3,9,0,4,0,6,20,46,14,30,138,195,56,403,25,278,38,1178,0,0,15,0,4,0,0,3,0,28,0,7,9,13,0,5,0,5,0,30,4,0,5,10,6,0,0,7,0,32,0,5,11,7,8,10,0,6,0,42,5,5,29,15,12,7,3,3,0,81,0,6,37,10,10,0,0,4,0,74,4,5,30,5,4,0,0,5,0,54,4,13,117,11,12,0,9,9,0,170,0,0,8,0,0,0,0,0,5,19,14,37,255,70,53,29,15,41,6,530
511,0,7,15,14,0,34,5,27,3,106,9,19,26,216,30,581,29,311,18,1245,0,6,13,46,11,64,11,63,4,211,0,0,6,13,4,26,5,7,0,59,0,15,22,24,9,7,0,3,0,72,0,0,26,3,10,0,0,0,0,42,0,0,15,9,0,0,0,0,0,32,0,13,44,4,0,0,4,7,0,85,0,4,4,9,0,9,0,6,15,47,18,70,159,340,63,723,65,423,36,1896,0,0,24,6,0,0,3,4,0,41,0,0,3,17,8,14,4,12,5,71,0,0,5,21,9,10,3,10,0,60,0,3,8,29,11,9,0,12,0,83,6,10,72,33,24,9,0,6,0,159,3,9,116,17,8,3,0,3,0,154,5,4,51,12,6,5,10,3,0,85,0,16,129,7,7,3,11,16,3,190,0,0,10,0,0,0,0,0,3,20,12,42,415,145,76,62,31,66,10,858
