POW_SA4_CODE_2021,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
501,33,17,49,2703,1417,4124,31,9,41,223,44,274,30,8,42,213,88,303,3243,1584,4826,228,39,265,568,99,660,14,3,23,1083,239,1317,584,167,751,136,21,162,2611,574,3185,192,63,259,1143,767,1908,752,487,1235,18,31,41,540,95,630,4,6,10,26,26,56,25,7,31,205,55,266,54,14,71,120,18,142,1754,322,2076,146,28,171,93,18,108,296,59,357,152,44,195,5522,2036,7551,13,0,15,569,84,656,10,3,13,232,96,326,320,75,393,1143,258,1404,294,64,358,1157,326,1487,1005,140,1139,3787,659,4444,6245,1181,7426,24,13,37,320,192,519,247,98,345,84,19,104,112,55,172,39,45,85,23,12,38,853,446,1299,87,143,229,394,180,575,95,219,313,1179,2016,3197,1089,2794,3877,10,8,16,2849,5353,8203,6,6,18,626,1270,1898,1986,2970,4955,2624,4255,6871,79,38,117,1204,316,1525,122,35,153,15,8,15,26,9,39,34,19
502,0,5,3,201,94,293,0,0,0,0,0,0,17,11,29,9,3,12,231,111,341,69,13,85,8,0,10,3,0,3,292,55,347,3,0,11,51,16,65,433,81,511,64,32,98,99,160,260,7,6,19,15,31,44,22,0,26,0,0,3,37,12,50,0,0,0,10,14,27,5,3,15,38,6,41,1130,248,1380,98,27,123,53,15,66,109,25,139,31,12,47,1734,603,2335,0,0,0,59,4,67,0,0,3,25,7,32,137,52,188,225,67,290,50,11,64,314,72,392,116,27,143,1147,235,1384,1632,354,1982,4,0,6,67,39,102,27,13,40,40,9,50,10,13,29,17,25,46,3,4,3,171,101,272,32,65,91,224,90,309,56,145,197,556,969,1520,657,1858,2514,5,7,19,1520,3132,4653,4,0,4,78,156,234,1104,1655,2761,1187,1812,2999,14,19,31,251,111,364,85,21,103,0,5,8,3,3,3,8,8
503,9,3,18,160,125,287,15,10,26,28,21,45,31,13,39,22,14,34,257,197,450,540,266,807,231,155,384,4101,2006,6109,8647,4024,12673,296,137,435,1515,660,2173,15333,7247,22584,99,36,135,272,429,700,200,109,308,48,109,151,9,5,14,6,8,17,282,132,413,8,6,12,204,128,330,50,16,64,92,41,131,79,30,114,40,13,59,153,46,198,279,108,392,226,200,424,2061,1406,3465,77,36,114,791,543,1335,242,179,425,1117,822,1941,65,36,102,2296,1618,3919,421,132,553,2757,1051,3809,2027,821,2847,2568,604,3169,7774,2611,10385,39,39,79,460,260,719,454,192,644,17,0,19,175,125,297,96,230,327,19,8,22,1259,855,2113,156,219,369,236,119,354,469,291,759,1814,1727,3541,2115,4534,6644,21,38,54,4802,6923,11724,25,24,49,1081,1389,2474,6214,6909,13125,7321,8324,15645,128,53,183,503,104,617,1298,512,1809,222,63,282,119,63,176,175,83
504,11,7,17,456,407,865,4,0,5,8,0,6,3,5,8,61,24,83,544,447,988,530,117,647,36,6,47,47,17,68,571,119,695,74,12,93,996,227,1226,2265,507,2767,871,223,1093,723,590,1319,233,123,353,131,228,355,157,33,192,58,14,72,158,104,260,4,0,8,77,54,124,176,79,251,612,99,711,690,115,807,508,125,634,708,91,793,1044,239,1283,334,84,423,6472,2197,8670,17,9,18,96,23,116,25,6,32,150,44,194,478,149,629,767,223,989,380,93,468,1546,350,1894,899,190,1084,5115,982,6093,7926,1613,9546,106,66,167,490,207,698,1783,597,2386,373,87,457,333,201,533,244,226,469,24,26,52,3357,1408,4765,153,148,301,721,209,935,152,167,325,1773,2361,4137,2080,3786,5866,15,23,40,4903,6704,11606,11,17,22,165,253,415,2758,3653,6413,2934,3917,6852,169,59,226,2667,589,3258,150,32,183,12,0,13,35,11,54,21,7
505,8,6,15,668,497,1165,5,4,11,11,3,13,59,32,88,94,52,145,852,589,1442,332,117,456,19,12,34,81,30,108,634,153,789,67,13,83,476,165,641,1617,495,2108,679,266,941,1262,1136,2393,53,26,79,101,254,351,279,50,335,62,47,105,191,135,321,7,4,6,168,117,281,226,75,302,292,46,343,390,85,481,571,110,679,277,66,344,734,250,987,574,151,728,5861,2816,8675,36,12,47,335,71,399,37,13,49,423,313,742,268,60,329,1104,467,1570,719,197,913,4259,1591,5846,1029,223,1253,10201,1900,12102,16205,3909,20108,140,94,232,652,384,1037,892,325,1213,236,47,281,327,262,587,341,385,726,13,10,20,2595,1512,4107,241,276,521,1268,400,1670,284,274,555,3635,4502,8141,4275,8414,12696,53,52,103,9758,13934,23688,17,25,41,281,486,763,5721,6980,12700,6017,7489,13506,144,54,198,1682,285,1969,158,15,172,26,12,34,23,18,34,25,15
506,18,12,31,780,546,1328,4,17,20,28,10,42,39,12,50,141,64,202,1011,661,1674,1171,265,1441,108,56,162,185,52,239,3587,1114,4702,120,31,155,2489,658,3150,7664,2182,9844,1243,425,1672,1088,810,1895,432,184,613,107,209,315,315,68,380,79,47,126,279,158,441,40,9,42,516,324,842,528,141,666,746,116,864,985,208,1185,1184,225,1412,943,191,1128,2083,446,2527,560,160,729,11125,3715,14841,46,14,59,614,208,816,79,21,99,331,84,411,437,171,610,1507,490,1998,823,162,991,2917,719,3641,2914,833,3743,8088,1570,9658,14746,3283,18027,261,143,405,1181,461,1643,2948,812,3765,1188,319,1509,1068,628,1691,425,410,836,56,40,98,7125,2819,9944,400,302,702,1836,564,2399,334,308,645,4106,4057,8168,3615,6378,9985,92,97,187,10386,11704,22090,16,23,39,505,676,1180,5658,6918,12572,6177,7611,13796,595,212,814,5984,1078,7065,851,236,1089,63,24,88,1912,1204,3117,44,20
507,9,6,16,479,504,984,11,10,20,12,0,10,128,52,181,64,39,99,706,616,1315,497,130,624,48,29,73,191,45,234,1728,471,2195,157,45,207,897,254,1150,3518,964,4486,851,263,1121,1205,1211,2410,204,92,297,70,146,221,167,28,197,191,37,229,108,53,158,172,46,215,1094,439,1536,310,83,394,455,91,550,1992,410,2404,831,154,983,2739,484,3221,780,196,977,340,79,424,11509,3831,15344,44,9,50,550,143,692,320,147,466,230,45,275,713,240,952,1853,581,2434,771,122,898,2583,618,3202,2225,386,2621,7130,1286,8417,12710,2420,15126,145,84,230,1237,463,1701,563,229,792,223,47,270,610,310,919,208,174,379,97,37,137,3083,1347,4426,175,218,396,820,278,1098,385,294,682,3020,3820,6841,2989,6711,9701,40,58,93,7431,11380,18809,12,19,33,343,481,824,5278,6433,11711,5633,6935,12569,240,103,344,2487,513,3004,219,38,256,172,62,236,208,67,273,142,52
509,75,43,115,7776,3276,11052,44,15,60,136,26,160,86,29,112,481,182,666,8598,3573,12168,129,28,158,18,3,20,6,0,6,2491,494,2984,69,9,73,305,40,343,3011,575,3588,183,53,233,853,414,1266,157,99,259,23,36,56,102,26,129,0,4,0,13,16,30,5,0,3,41,27,63,13,3,19,60,22,79,416,96,516,68,11,80,115,24,133,145,41,190,69,20,86,2263,889,3152,3,0,3,186,18,205,14,5,14,222,44,269,112,47,157,532,111,643,118,24,145,544,121,669,354,84,442,2001,373,2372,3026,607,3629,12,11,20,557,292,848,417,106,529,34,5,44,83,43,126,43,24,66,72,45,115,1222,526,1743,68,91,166,302,97,399,163,319,482,684,1159,1848,607,1246,1853,0,7,10,1830,2927,4753,0,7,7,292,736,1028,866,1505,2370,1162,2241,3405,70,47,115,897,324,1221,140,16,154,3,3,7,13,5,19,12,7
510,8,0,10,434,264,696,82,33,116,49,26,74,29,3,33,80,30,111,685,352,1041,699,144,849,174,49,221,1344,226,1568,19601,4073,23673,835,186,1021,1221,175,1396,23879,4848,28726,55,18,80,46,54,98,15,10,27,5,15,20,5,0,7,0,0,0,10,4,15,12,0,10,215,52,269,42,9,52,46,6,57,90,20,113,210,24,231,57,13,71,102,11,113,7,4,15,918,244,1162,34,0,38,185,46,232,66,15,79,126,29,156,279,84,364,689,174,862,492,61,557,564,92,646,2516,254,2774,2170,335,2513,5744,746,6491,20,9,25,222,78,306,517,68,588,86,9,96,20,22,39,6,4,17,0,0,5,876,192,1069,25,51,78,149,41,180,111,128,234,409,670,1077,307,693,998,0,4,4,997,1586,2582,8,11,18,547,731,1274,1403,1398,2805,1954,2137,4091,147,49,201,1123,215,1337,59,13,75,117,30,153,358,114,469,106,43
511,22,16,38,2290,1020,3312,35,5,43,21,6,29,299,59,361,164,63,224,2832,1169,4002,673,135,804,136,40,179,53,6,57,9880,1999,11878,483,109,597,3243,469,3716,14467,2757,17226,131,37,170,90,86,179,32,22,51,9,21,31,18,0,22,6,0,6,14,12,32,6,0,8,167,46,219,35,13,52,60,9,69,752,271,1021,79,16,93,102,17,118,148,40,188,33,9,45,1683,613,2296,4,3,8,225,27,256,22,7,25,121,28,148,126,45,166,505,101,606,251,35,289,502,110,615,566,111,670,2282,421,2700,3600,678,4271,21,16,37,337,138,470,427,114,539,83,24,108,66,52,116,22,31,53,25,7,31,988,370,1364,47,77,128,255,116,368,166,208,375,638,1180,1819,568,1371,1939,0,3,3,1675,2964,4638,5,4,6,470,923,1389,1131,1770,2905,1604,2696,4300,119,32,146,1322,363,1685,318,55,368,27,13,41,57,42,95,83,49
