POW_SA4_CODE_2021,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
501,119,60,125,81,41,51,52,105,139,773,10086,12571,12853,9500,8535,7038,6409,10630,1268,78895
502,21,24,36,49,30,36,9,18,72,298,2908,4962,4432,5304,3122,3984,1850,3234,443,30240
503,149,424,178,160,190,70,56,94,575,1885,37735,101836,20917,25230,43609,12057,4877,10673,4333,261272
504,81,108,157,92,73,87,72,84,275,1035,11572,16308,16870,12974,11580,10109,8875,10497,1685,100464
505,152,225,285,200,154,150,67,131,438,1803,20918,36762,25981,25320,22238,20408,8396,17030,2801,179841
506,156,213,302,183,153,136,166,150,568,2030,26595,40737,32844,28914,27952,19314,22101,20942,3753,223150
507,111,189,243,176,114,125,98,147,393,1594,19965,38857,27841,23024,20184,16079,11660,16785,2772,177166
509,240,39,83,41,47,49,68,84,125,782,12696,8009,8165,5995,5797,3959,5546,8117,1007,59284
510,46,82,182,59,43,29,140,110,213,904,6022,10242,19085,5177,5484,2279,13653,7240,1583,70762
511,92,61,140,49,49,33,123,79,185,809,7951,9563,13020,6046,6249,3946,10834,6957,1215,65776
597,0,0,0,0,0,0,0,6,8,18,61,233,528,45,42,6,168,258,46,1386
599,51,50,206,53,42,20,87,100,174,776,3764,6520,18753,6741,2582,2143,7579,11109,1375,60566
