POW_SA4_CODE_2021,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
501,897,0,4,0,0,904,1988,4,37,3,3,2040,2195,58,107,9,9,2370,2470,159,179,9,14,2830,2588,253,223,34,12,3115,2622,296,287,37,16,3258,2629,359,326,51,26,3388,2565,383,338,56,26,3361,2299,339,332,53,29,3044,1665,276,271,55,25,2285,568,128,185,51,19,951,97,69,93,51,10,321,27,25,62,48,5,170,22607,2335,2444,459,199,28043,1580,3,14,19,0,1617,661,5,17,11,0,689,500,6,35,6,3,543,456,14,50,3,5,530,355,34,78,9,3,479,326,41,81,15,10,466,349,22,104,11,10,507,360,44,117,15,10,551,397,51,141,29,7,629,496,100,191,43,7,832,400,64,173,76,17,718,176,60,120,64,12,434,75,36,52,75,7,252,6144,469,1173,369,88,8236,1405,91,145,46,17,1705,553,30,58,35,62,742,30701,2925,3820,914,362,38731,492,0,4,0,0,495,1249,0,24,0,6,1279,1486,13
502,284,0,0,0,0,284,591,3,18,0,0,612,662,29,41,4,5,738,657,55,72,5,4,795,694,96,88,10,7,893,639,91,89,5,5,829,681,125,94,7,6,918,664,114,112,3,6,905,644,123,125,9,4,903,418,79,83,10,3,603,143,43,32,5,0,221,36,22,12,12,3,83,5,8,4,4,0,24,6130,786,760,79,40,7805,904,0,9,6,4,914,502,0,13,4,0,525,254,0,25,0,0,282,169,6,26,4,0,203,137,9,42,4,0,195,134,13,27,0,0,185,109,23,47,7,0,185,109,26,47,10,0,190,142,29,49,8,3,240,176,33,73,14,0,297,115,40,60,17,3,239,76,21,39,8,0,142,31,14,19,17,0,88,2862,219,473,99,24,3677,369,15,35,13,3,443,205,5,18,10,34,273,9573,1030,1295,202,101,12200,153,0,0,0,0,154,504,0,14,0,0,523,633,23
503,456,3,8,0,0,463,4368,29,59,4,4,4460,9446,158,129,6,18,9756,11699,487,222,18,19,12439,13724,871,307,19,11,14938,12069,991,369,34,15,13487,10687,1092,409,27,24,12242,9387,1048,456,41,22,10960,7007,865,435,22,8,8341,4398,631,329,31,16,5400,1595,371,199,14,12,2182,403,149,80,13,7,651,86,82,51,21,3,247,85326,6772,3061,241,166,95565,2327,0,22,11,5,2368,4054,14,86,11,4,4172,2317,30,117,7,10,2477,1571,71,105,12,7,1764,1367,102,142,17,3,1628,1088,129,131,15,4,1364,934,118,130,16,0,1200,886,162,135,31,13,1219,907,152,202,33,8,1293,964,206,234,35,11,1452,823,237,219,36,4,1323,468,167,136,38,3,815,201,118,90,59,9,484,17903,1507,1744,322,87,21553,3903,93,74,20,29,4119,1412,97,97,40,118,1765,108546,8460,4975,625,396,123004,467,0,0,0,0,467,5525,10,31,7,10,5581,10938,64
504,981,5,10,0,7,997,2804,22,50,5,5,2883,3808,133,163,9,7,4120,4068,336,264,14,15,4701,4025,494,310,26,18,4869,3783,485,281,29,21,4600,3399,536,328,38,22,4324,3509,621,359,36,29,4560,2994,553,380,36,25,3990,1974,387,304,28,20,2713,740,219,155,19,12,1147,162,81,62,19,5,326,28,39,30,24,0,128,32268,3907,2702,282,189,39349,2342,7,14,17,7,2382,1919,10,76,18,0,2018,1014,26,97,8,9,1148,685,47,108,14,4,856,606,73,145,17,8,846,442,71,122,9,5,653,455,83,122,25,7,682,435,73,174,20,0,706,471,95,183,16,4,760,494,104,216,24,8,846,369,124,190,38,5,728,219,84,109,27,12,452,102,52,63,40,9,267,9541,847,1612,275,81,12352,1288,75,78,12,13,1475,751,55,62,21,71,960,43854,4881,4454,590,355,54135,360,0,5,0,3,363,1627,10,23,0,0,1663,2289,36
505,1276,5,4,0,0,1293,4239,47,119,4,15,4418,5553,241,292,12,11,6110,5986,681,518,30,19,7235,6015,1052,622,36,30,7756,5120,1026,592,36,22,6797,4849,1123,638,47,39,6698,4433,1142,680,50,30,6342,3743,973,674,42,24,5461,2612,688,470,47,16,3827,893,314,230,18,7,1458,182,168,98,11,3,458,44,50,27,6,0,128,44944,7514,4963,339,219,57983,4743,10,55,25,8,4838,3828,28,131,21,13,4021,1751,50,199,13,9,2022,1190,107,221,18,9,1544,886,144,260,21,7,1320,718,136,271,29,13,1162,639,144,279,34,8,1097,613,195,368,38,13,1232,660,196,387,31,12,1283,749,234,398,64,16,1455,638,242,378,62,12,1327,360,164,216,81,5,828,183,113,101,49,9,450,16958,1764,3255,489,132,22601,1863,142,201,29,25,2263,1033,120,137,43,115,1456,64799,9537,8558,901,494,84297,563,0,8,0,3,580,3184,4,61,3,8,3264,4716,52
506,1736,0,10,0,0,1757,6003,51,92,7,10,6163,8653,264,313,9,23,9262,10325,735,463,42,34,11603,10829,1044,608,56,32,12569,9268,1022,509,40,34,10875,8655,932,544,44,27,10207,8132,986,576,43,39,9778,6970,910,579,56,31,8538,4797,665,463,40,29,5992,1713,383,252,29,13,2388,386,163,106,25,6,689,73,77,38,24,6,218,77528,7234,4562,418,278,90023,4161,14,45,36,7,4262,4712,30,151,26,11,4933,2581,77,209,10,13,2886,1839,113,229,20,17,2227,1530,142,249,36,16,1975,1144,152,229,30,17,1573,1013,144,228,21,14,1422,959,152,250,34,8,1413,983,182,324,30,17,1535,1101,218,331,33,18,1693,809,207,310,57,5,1396,426,137,212,61,6,844,209,85,115,73,6,488,21476,1651,2886,483,160,26656,3425,138,131,41,37,3779,1659,138,138,50,167,2154,104086,9158,7725,992,640,122607,629,0,3,0,0,639,3664,14,46,5,5,3737,5677,67
507,1368,0,10,0,3,1384,4563,25,77,7,14,4684,6310,163,231,8,21,6729,7071,485,368,17,14,7949,7278,679,409,31,33,8431,6385,798,433,33,19,7664,6113,839,490,35,22,7496,5842,842,541,58,27,7305,4991,776,477,41,24,6312,3354,548,364,40,20,4335,1163,265,161,24,12,1630,230,110,68,17,3,428,50,50,26,18,0,152,54725,5589,3651,326,212,64504,3920,6,46,17,7,3991,3409,20,94,21,3,3552,1643,33,139,7,5,1834,1060,67,161,16,4,1312,892,102,192,26,0,1223,785,102,173,14,5,1086,676,133,199,28,9,1043,611,122,224,34,11,995,693,135,274,36,12,1154,751,170,310,50,5,1286,632,160,266,43,8,1124,304,122,152,66,9,658,139,78,95,55,8,379,15533,1258,2329,423,92,19630,2567,93,118,35,29,2836,1205,69,99,28,118,1511,74018,7003,6197,802,454,88482,603,0,3,0,0,610,3139,9,47,4,0,3201,4688,40
509,705,0,4,11,5,727,1504,27,33,19,10,1595,1758,84,121,22,18,2003,1792,194,218,44,13,2264,1740,297,259,57,22,2374,1635,357,298,65,29,2383,1759,339,343,104,33,2573,1847,387,391,113,38,2777,1675,371,447,120,52,2661,1349,308,415,155,25,2260,473,181,299,108,23,1093,125,110,163,104,15,514,32,47,112,86,10,292,16403,2709,3118,999,293,23520,775,0,10,40,9,825,389,4,16,11,4,422,349,10,13,5,5,381,279,4,28,0,3,319,248,15,70,8,9,344,229,31,52,14,8,334,226,26,55,9,8,323,283,49,90,23,6,450,369,45,117,28,12,566,428,52,154,51,11,707,275,76,147,80,8,584,142,59,115,84,14,414,76,41,112,120,15,358,4064,412,976,471,101,6025,1110,94,179,72,45,1504,482,35,60,58,78,713,22058,3249,4335,1603,512,31762,302,0,0,3,0,304,956,3,5,4,3,974,1089,11
510,449,3,0,0,0,447,1861,9,12,0,4,1895,3776,34,20,0,11,3840,5035,115,48,3,12,5215,5271,165,72,10,11,5519,4477,157,63,5,24,4721,4327,142,81,8,12,4578,4001,156,70,9,11,4247,3304,143,80,9,18,3550,2124,89,53,10,9,2280,742,45,38,3,6,829,148,25,12,11,0,189,29,6,3,8,0,47,35534,1084,554,87,117,37370,542,0,4,6,0,555,301,0,0,6,3,309,341,0,10,3,0,356,461,11,16,0,4,495,401,17,19,7,0,437,376,8,13,4,3,407,331,17,17,3,0,372,325,20,21,6,0,371,282,14,18,8,3,327,226,15,31,7,0,285,132,12,13,3,0,162,37,7,13,0,5,63,18,5,4,6,0,25,3772,136,178,59,27,4159,4721,71,50,7,23,4871,960,24,19,7,66,1077,44982,1314,799,150,228,47469,296,0,0,0,0,302,1314,3,6,0,5,1330,2198,10
511,755,0,0,6,5,768,2203,19,25,6,6,2253,3205,52,68,8,10,3338,3329,133,92,10,9,3577,3282,223,139,24,14,3691,2837,217,151,27,5,3235,2811,289,176,39,24,3340,2750,320,227,48,21,3375,2445,281,228,40,11,3004,1864,205,214,70,11,2368,646,120,130,42,18,957,131,50,57,29,9,267,25,28,39,38,5,135,26289,1933,1555,377,150,30303,794,0,0,20,4,807,390,4,8,3,0,407,393,3,8,5,4,415,348,11,17,8,0,382,309,13,27,13,3,362,270,10,23,7,5,319,291,27,43,4,0,361,297,37,54,11,5,402,288,24,66,23,9,409,302,37,87,29,9,464,178,39,63,24,5,306,102,29,49,29,8,212,44,23,31,33,6,136,4008,256,476,201,50,4989,2322,65,76,33,34,2529,766,43,27,19,51,904,33379,2295,2139,636,281,38730,409,0,0,5,0,414,1356,8,16,0,5,1377,1623,17
