POW_SA4_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
501,310,1216,278,14,1826,306,415,37,0,759,225,413,14,3,658,23,51,5,0,79,123,375,45,5,537,60,137,19,0,221,53,78,11,0,138,72,123,12,0,210,31,33,4,0,71,1213,2832,426,26,4498,973,723,29,17,1738,1032,207,23,0,1256,1254,445,4,10,1713,466,61,0,0,531,299,154,4,0,462,147,65,4,0,216,189,57,0,3,246,542,133,3,10,691,79,20,0,0,101,4981,1859,67,45,6953,1280,1938,311,28,3561,1335,618,58,3,2018,1484,856,20,15,2375,495,110,8,0,612,426,526,44,3,1000,212,199,24,0,438,241,134,8,4,382,613,257,18,10,902,114,49,4,4,172,6191,4692,496,69,11452
502,135,343,86,0,574,119,150,20,0,283,101,151,0,0,254,30,26,0,0,57,81,156,7,0,254,33,57,6,0,105,35,20,0,0,57,30,38,0,0,71,8,14,0,0,24,579,965,134,6,1683,163,157,7,0,324,377,51,17,0,442,525,189,3,6,720,255,22,0,0,285,95,60,5,0,152,75,24,0,0,99,110,12,0,0,124,248,63,0,0,317,33,0,0,0,40,1882,579,29,12,2504,300,504,99,0,896,493,197,30,0,722,625,342,9,6,978,288,48,5,0,342,173,213,11,0,400,105,88,6,0,206,148,30,0,0,181,280,106,0,4,393,48,12,0,6,65,2461,1545,164,21,4180
503,802,2463,783,9,4053,1912,2671,502,7,5088,342,511,31,0,885,90,146,21,0,261,237,385,60,0,680,193,325,55,0,576,53,22,6,0,79,67,99,11,0,173,123,91,21,0,232,3812,6713,1477,23,12030,434,416,59,3,911,3294,916,391,8,4605,1021,241,0,4,1270,710,111,9,0,828,309,72,7,0,396,204,62,5,0,274,173,5,0,3,184,392,77,0,0,470,139,25,3,5,180,6694,1919,487,19,9112,1236,2882,838,9,4966,5204,3580,893,17,9696,1365,751,38,4,2157,804,259,24,0,1086,552,455,69,0,1073,402,384,65,0,855,223,26,6,5,261,455,177,10,0,640,263,114,26,6,410,10507,8627,1965,40,21143
504,379,1656,434,10,2486,454,515,54,0,1030,476,712,36,0,1215,97,79,9,0,187,237,489,53,3,782,117,166,29,0,310,233,148,13,0,395,122,156,16,6,290,44,52,9,3,112,2164,3978,649,19,6813,510,418,47,3,984,1417,217,21,0,1653,1624,424,8,5,2058,703,66,0,0,769,394,117,0,0,512,201,83,0,0,283,534,45,3,9,582,618,104,6,0,729,90,19,0,3,115,6094,1495,81,17,7689,894,2082,482,11,3469,1880,731,74,5,2684,2105,1131,37,5,3275,800,148,6,0,954,631,610,53,3,1302,316,251,29,0,597,768,190,13,8,973,739,257,17,3,1022,139,71,9,3,223,8264,5471,728,34,14501
505,885,2898,708,7,4503,1402,1383,146,3,2940,1033,1334,54,9,2429,168,166,20,0,358,519,860,91,3,1471,338,343,46,0,726,254,127,13,0,400,281,277,16,0,577,121,80,18,6,226,5017,7469,1106,29,13623,862,620,60,3,1550,3255,498,43,0,3804,3394,730,8,12,4143,1627,124,3,5,1766,802,178,3,0,988,405,97,4,0,505,847,60,5,3,909,1193,216,3,8,1423,165,17,3,0,183,12555,2543,139,38,15271,1753,3520,773,10,6050,4661,1883,191,5,6743,4427,2067,62,21,6578,1797,295,22,5,2118,1321,1038,94,3,2455,747,439,49,0,1235,1107,183,18,0,1306,1479,490,17,9,1997,283,99,18,4,409,17573,10012,1247,65,28895
506,763,2973,876,10,4624,1075,1254,123,0,2454,737,1043,48,0,1824,128,151,13,0,288,550,821,91,3,1467,217,385,67,0,671,545,227,22,6,794,252,206,14,0,473,83,121,16,3,231,4350,7181,1274,29,12826,813,671,61,9,1552,2341,458,34,3,2833,2300,613,5,9,2935,1212,114,5,4,1334,843,203,11,10,1063,375,97,3,0,469,1342,74,16,0,1432,1024,184,0,3,1212,176,23,3,3,213,10437,2437,134,39,13045,1584,3646,933,18,6176,3414,1711,161,8,5293,3038,1659,53,9,4756,1346,257,17,4,1618,1395,1023,99,6,2531,586,477,74,0,1141,1885,303,30,7,2228,1276,388,18,3,1687,264,147,19,7,440,14788,9618,1404,61,25873
507,624,2398,633,4,3666,1049,1195,96,8,2339,596,894,29,0,1524,133,147,17,0,294,359,677,69,5,1107,173,309,34,0,519,179,103,8,0,296,170,186,23,0,379,80,93,14,0,187,3373,6003,918,19,10309,659,567,45,9,1274,2878,464,33,4,3378,2275,587,7,0,2869,1314,123,4,3,1444,521,170,6,3,694,292,101,0,0,395,481,43,4,7,530,866,163,0,0,1027,147,21,4,0,177,9435,2233,107,24,11803,1279,2963,685,10,4939,3928,1655,127,10,5718,2869,1488,35,4,4391,1448,269,15,6,1737,881,843,74,9,1801,472,409,40,0,920,660,148,5,7,824,1038,344,28,4,1410,232,111,16,4,367,12802,8233,1026,39,22106
509,658,1888,136,18,2705,166,237,31,0,429,181,279,16,3,485,14,19,5,0,44,94,312,18,0,419,55,106,7,0,166,78,130,8,0,214,70,79,6,3,153,22,21,0,0,42,1340,3073,217,30,4665,1616,1677,11,45,3345,552,141,18,7,719,812,311,0,10,1130,258,30,0,0,292,220,142,4,4,367,84,58,5,0,155,220,83,0,4,306,421,101,3,3,528,39,13,0,0,50,4229,2555,45,69,6894,2276,3561,145,62,6050,717,382,44,5,1149,994,589,17,16,1618,272,52,9,0,331,309,449,17,10,788,144,164,8,0,314,305,207,4,4,521,489,182,9,3,682,58,32,0,0,93,5565,5626,264,99,11550
510,95,393,104,6,592,145,129,28,4,303,161,230,10,0,405,14,25,7,0,44,31,120,13,0,166,12,35,3,0,47,61,50,15,0,128,48,57,11,0,116,14,8,4,0,22,574,1050,186,13,1825,104,101,0,0,212,256,49,5,5,313,298,74,0,0,373,134,13,0,0,141,50,30,0,0,83,33,18,0,0,52,76,10,3,0,91,113,35,0,3,149,31,4,0,0,39,1100,335,18,7,1455,199,496,109,5,804,398,180,30,5,621,459,307,10,0,784,149,39,8,0,190,79,149,14,0,245,46,50,3,0,96,142,66,12,4,218,162,93,11,3,266,42,11,4,0,57,1674,1388,205,22,3284
511,227,1095,168,6,1491,134,295,21,0,448,170,310,16,8,498,28,43,5,0,73,76,302,25,3,404,33,71,19,0,124,86,70,7,3,160,53,89,6,0,149,24,33,3,0,62,825,2303,269,17,3411,527,614,13,19,1176,296,88,7,0,395,573,235,4,6,812,252,37,0,0,289,126,110,5,0,239,65,41,4,0,112,152,45,0,3,200,260,100,0,5,364,46,22,0,6,72,2305,1288,36,29,3656,749,1712,178,22,2668,430,383,35,0,846,742,541,20,5,1308,277,78,5,0,361,199,411,23,7,642,104,111,23,6,241,241,110,7,6,360,310,188,10,5,510,68,53,3,7,135,3126,3585,304,46,7064
