POW_SA4_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
501,53,4738,34,4826,82,3091,15,3185,117,7415,21,7551,31,1372,5,1404,158,7235,35,7426,20,1279,3,1299,177,8003,26,8203,155,6696,21,6871,41,2637,14,2695,5,373,0,380,8,891,0,905,5,1042,3,1057,32,2563,4,2596,70,2052,10,2134,91,3693,9,3793,126,6808,23,6965,190,10327,37,10553,19,928,0,956,43,3008,13,3064,91,2911,25,3029,1513,77072,310,78895
502,5,333,3,341,11,504,0,511,36,2298,0,2335,9,282,3,290,30,1941,9,1982,0,267,0,272,95,4551,8,4653,53,2937,7,2999,17,782,0,801,0,123,0,120,3,333,0,339,3,527,0,533,9,854,0,871,19,853,0,876,39,1272,3,1319,56,3327,4,3391,71,5356,15,5443,14,503,0,514,17,1396,3,1414,31,1184,16,1230,531,29627,81,30240
503,0,444,5,450,510,22038,36,22584,28,3431,5,3465,58,3851,7,3919,117,10240,29,10385,7,2107,4,2113,71,11636,22,11724,133,15495,23,15645,53,5019,4,5080,26,3301,3,3330,91,16683,20,16797,20,4635,6,4659,383,46030,56,46474,75,7843,14,7935,482,23974,33,24492,152,15917,28,16100,449,44970,65,45484,51,3856,6,3915,71,7266,13,7348,145,9177,54,9379,2923,257911,435,261272
504,19,966,3,988,58,2709,10,2767,95,8560,17,8670,20,970,5,989,144,9368,31,9546,51,4709,4,4765,143,11442,26,11606,77,6755,12,6852,70,5398,12,5479,11,730,4,743,9,860,3,872,8,1279,3,1291,25,3893,6,3923,48,2493,4,2547,129,6309,10,6452,152,8732,14,8899,199,11305,23,11532,24,1360,0,1389,60,5229,15,5305,113,5680,43,5844,1462,98739,261,100464
505,4,1428,5,1442,32,2076,0,2108,47,8609,20,8675,32,1528,7,1570,202,19863,44,20108,25,4078,4,4107,228,23409,51,23688,101,13377,29,13506,39,4025,14,4071,8,1958,3,1969,6,3035,11,3053,13,2529,0,2547,39,9835,17,9885,42,5194,16,5255,133,8645,12,8792,207,21991,50,22255,178,26491,59,26728,29,2841,3,2868,51,8537,16,8609,110,8446,51,8611,1533,177900,414,179841
506,15,1656,3,1674,267,9557,27,9844,120,14697,20,14841,39,1961,0,1998,270,17726,32,18027,93,9834,18,9944,295,21751,45,22090,143,13636,16,13796,202,19904,41,20145,11,1364,12,1383,29,2494,8,2525,30,3569,6,3607,82,10606,16,10696,129,6512,8,6656,229,10016,14,10253,338,21723,29,22092,260,24723,45,25032,70,6539,11,6620,137,9347,18,9500,183,12145,95,12421,2930,219758,459,223150
507,10,1290,9,1315,60,4405,14,4486,160,15143,38,15344,38,2397,0,2434,235,14852,44,15126,53,4363,8,4426,227,18544,37,18809,161,12386,20,12569,81,7594,21,7693,9,869,5,882,7,1731,0,1734,22,2415,0,2443,51,8272,12,8338,66,3849,8,3925,254,10474,19,10750,212,18374,28,18615,314,29531,51,29890,37,2534,0,2571,87,6899,16,6994,158,8609,38,8808,2257,174531,373,177166
509,125,11950,90,12168,119,3446,15,3588,74,3065,13,3152,27,612,4,643,107,3509,16,3629,23,1718,12,1743,137,4594,22,4753,97,3284,18,3405,57,2155,12,2230,3,217,5,223,13,619,0,627,0,466,0,470,21,1435,7,1465,43,1015,11,1065,126,3636,16,3777,148,4969,16,5136,191,6303,33,6523,23,445,6,472,63,1908,10,1977,95,2091,45,2236,1505,57430,353,59284
510,133,894,13,1041,2048,26584,99,28726,51,1110,5,1162,78,775,8,862,347,6105,37,6491,24,1043,0,1069,213,2349,19,2582,204,3871,21,4091,176,3272,20,3465,35,179,0,215,19,156,0,178,28,817,0,854,91,1138,3,1238,260,2010,9,2283,408,2554,13,2971,712,3283,5,3997,780,3912,22,4717,133,352,0,492,192,1430,5,1630,418,2234,41,2692,6360,64069,338,70762
511,81,3898,20,4002,550,16609,66,17226,64,2228,5,2296,48,564,3,606,186,4075,20,4271,25,1333,9,1364,213,4401,22,4638,150,4126,21,4300,94,3233,16,3342,8,193,0,202,15,414,0,427,17,691,0,710,58,1721,12,1786,86,1359,11,1456,245,3096,13,3357,301,4440,17,4761,377,5534,15,5928,46,414,0,466,87,2113,17,2213,189,2200,40,2428,2832,62647,302,65776
597,0,31,0,27,10,505,0,509,4,54,0,57,0,31,0,33,3,154,3,159,0,8,0,8,4,90,0,89,6,69,0,73,0,120,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,3,68,0,66,0,17,0,17,0,0,0,0,0,6,0,3,0,0,0,0,0,3,0,3,0,164,0,167,22,1355,7,1386
599,30,1441,18,1491,294,5239,27,5550,8,1165,4,1175,6,418,0,426,317,18207,64,18594,8,796,0,808,32,1568,3,1603,14,1144,0,1162,50,4313,15,4378,8,502,0,506,0,453,0,454,3,425,0,427,31,2399,7,2436,108,5979,21,6104,28,1175,3,1209,40,2019,6,2063,73,5661,20,5747,14,802,0,820,31,2450,17,2503,89,2978,45,3109,1189,59132,244,60566
