POW_SA4_CODE_2021,Emp_15_19_HW_0,Emp_15_19_HW_1_19,Emp_15_19_HW_20_29,Emp_15_19_HW_30_34,Emp_15_19_HW_35_39,Emp_15_19_HW_40_44,Emp_15_19_HW_45_49,Emp_15_19_HW_50mor,Emp_15_19_HW_NS,Emp_15_19_Tot,Emp_20_24_HW_0,Emp_20_24_HW_1_19,Emp_20_24_HW_20_29,Emp_20_24_HW_30_34,Emp_20_24_HW_35_39,Emp_20_24_HW_40_44,Emp_20_24_HW_45_49,Emp_20_24_HW_50mor,Emp_20_24_HW_NS,Emp_20_24_Tot,Emp_25_29_HW_0,Emp_25_29_HW_1_19,Emp_25_29_HW_20_29,Emp_25_29_HW_30_34,Emp_25_29_HW_35_39,Emp_25_29_HW_40_44,Emp_25_29_HW_45_49,Emp_25_29_HW_50mor,Emp_25_29_HW_NS,Emp_25_29_Tot,Emp_30_34_HW_0,Emp_30_34_HW_1_19,Emp_30_34_HW_20_29,Emp_30_34_HW_30_34,Emp_30_34_HW_35_39,Emp_30_34_HW_40_44,Emp_30_34_HW_45_49,Emp_30_34_HW_50mor,Emp_30_34_HW_NS,Emp_30_34_Tot,Emp_35_39_HW_0,Emp_35_39_HW_1_19,Emp_35_39_HW_20_29,Emp_35_39_HW_30_34,Emp_35_39_HW_35_39,Emp_35_39_HW_40_44,Emp_35_39_HW_45_49,Emp_35_39_HW_50mor,Emp_35_39_HW_NS,Emp_35_39_Tot,Emp_40_44_HW_0,Emp_40_44_HW_1_19,Emp_40_44_HW_20_29,Emp_40_44_HW_30_34,Emp_40_44_HW_35_39,Emp_40_44_HW_40_44,Emp_40_44_HW_45_49,Emp_40_44_HW_50mor,Emp_40_44_HW_NS,Emp_40_44_Tot,Emp_45_49_HW_0,Emp_45_49_HW_1_19,Emp_45_49_HW_20_29,Emp_45_49_HW_30_34,Emp_45_49_HW_35_39,Emp_45_49_HW_40_44,Emp_45_49_HW_45_49,Emp_45_49_HW_50mor,Emp_45_49_HW_NS,Emp_45_49_Tot,Emp_50_54_HW_0,Emp_50_54_HW_1_19,Emp_50_54_HW_20_29,Emp_50_54_HW_30_34,Emp_50_54_HW_35_39,Emp_50_54_HW_40_44,Emp_50_54_HW_45_49,Emp_50_54_HW_50mor,Emp_50_54_HW_NS,Emp_50_54_Tot,Emp_55_59_HW_0,Emp_55_59_HW_1_19,Emp_55_59_HW_20_29,Emp_55_59_HW_30_34,Emp_55_59_HW_35_39,Emp_55_59_HW_40_44,Emp_55_59_HW_45_49,Emp_55_59_HW_50mor,Emp_55_59_HW_NS,Emp_55_59_Tot,Emp_60_64_HW_0,Emp_60_64_HW_1_19,Emp_60_64_HW_20_29,Emp_60_64_HW_30_34,Emp_60_64_HW_35_39,Emp_60_64_HW_40_44,Emp_60_64_HW_45_49,Emp_60_64_HW_50mor,Emp_60_64_HW_NS,Emp_60_64_Tot,Emp_65_69_HW_0,Emp_65_69_HW_1_19,Emp_65_69_HW_20_29,Emp_65_69_HW_30_34,Emp_65_69_HW_35_39,Emp_65_69_HW_40_44,Emp_65_69_HW_45_49,Emp_65_69_HW_50mor,Emp_65_69_HW_NS,Emp_65_69_Tot,Emp_70_74_HW_0,Emp_70_74_HW_1_19,Emp_70_74_HW_20_29,Emp_70_74_HW_30_34,Emp_70_74_HW_35_39,Emp_70_74_HW_40_44,Emp_70_74_HW_45_49,Emp_70_74_HW_50mor,Emp_70_74_HW_NS,Emp_70_74_Tot,Emp_75ov_HW_0,Emp_75ov_HW_1_19,Emp_75ov_HW_20_29,Emp_75ov_HW_30_34,Emp_75ov_HW_35_39,Emp_75ov_HW_40_44,Emp_75ov_HW_45_49,Emp_75ov_HW_50mor,Emp_75ov_HW_NS,Emp_75ov_Tot,Emp_Tot_HW_0,Emp_Tot_HW_1_19,Emp_Tot_HW_20_29,Emp_Tot_HW_30_34,Emp_Tot_HW_35_39,Emp_Tot_HW_40_44,Emp_Tot_HW_45_49,Emp_Tot_HW_50mor,Emp_Tot_HW_NS,Emp_Tot_Tot,OM_IEs_15_19_HW_0,OM_IEs_15_19_HW_1_19,OM_IEs_15_19_HW_20_29,OM_IEs_15_19_HW_30_34,OM_IEs_15_19_HW_35_39,OM_IEs_15_19_HW_40_44,OM_IEs_15_19_HW_45_49,OM_IEs_15_19_HW_50mor,OM_IEs_15_19_HW_NS,OM_IEs_15_19_Tot,OM_IEs_20_24_HW_0,OM_IEs_20_24_HW_1_19,OM_IEs_20_24_HW_20_29,OM_IEs_20_24_HW_30_34,OM_IEs_20_24_HW_35_39,OM_IEs_20_24_HW_40_44,OM_IEs_20_24_HW_45_49,OM_IEs_20_24_HW_50mor,OM_IEs_20_24_HW_NS,OM_IEs_20_24_Tot,OM_IEs_25_29_HW_0,OM_IEs_25_29_HW_1_19,OM_IEs_25_29_HW_20_29,OM_IEs_25_29_HW_30_34,OM_IEs_25_29_HW_35_39,OM_IEs_25_29_HW_40_44,OM_IEs_25_29_HW_45_49,OM_IEs_25_29_HW_50mor,OM_IEs_25_29_HW_NS,OM_IEs_25_29_Tot,OM_IEs_30_34_HW_0,OM_IEs_30_34_HW_1_19,OM_IEs_30_34_HW_20_29,OM_IEs_30_34_HW_30_34,OM_IEs_30_34_HW_35_39,OM_IEs_30_34_HW_40_44,OM_IEs_30_34_HW_45_49,OM_IEs_30_34_HW_50mor,OM_IEs_30_34_HW_NS,OM_IEs_30_34_Tot,OM_IEs_35_39_HW_0,OM_IEs_35_39_HW_1_19,OM_IEs_35_39_HW_20_29,OM_IEs_35_39_HW_30_34,OM_IEs_35_39_HW_35_39,OM_IEs_35_39_HW_40_44,OM_IEs_35_39_HW_45_49,OM_IEs_35_39_HW_50mor,OM_IEs_35_39_HW_NS,OM_IEs_35_39_Tot,OM_IEs_40_44_HW_0,OM_IEs_40_44_HW_1_19,OM_IEs_40_44_HW_20_29,OM_IEs_40_44_HW_30_34,OM_IEs_40_44_HW_35_39,OM_IEs_40_44_HW_40_44,OM_IEs_40_44_HW_45_49,OM_IEs_40_44_HW_50mor,OM_IEs_40_44_HW_NS,OM_IEs_40_44_Tot
501,285,2923,575,295,572,498,139,183,115,5579,224,618,650,487,1207,1052,373,604,125,5354,271,579,600,461,1261,1262,386,773,117,5702,376,805,728,504,1109,1351,445,871,110,6295,329,919,923,637,1189,1342,450,956,104,6845,248,797,922,634,1223,1456,524,1001,110,6928,274,742,960,671,1344,1500,549,1047,87,7178,321,629,912,698,1392,1432,552,1049,72,7059,394,687,846,575,1254,1173,479,846,70,6325,413,725,717,518,859,744,300,648,47,4971,161,545,316,171,245,220,101,213,27,1997,29,231,103,38,36,58,12,30,3,539,8,92,28,15,11,19,0,8,3,184,3324,10285,8278,5717,11706,12101,4323,8236,991,64950,0,3,0,0,0,0,0,0,0,4,0,3,0,0,5,3,0,0,0,14,3,4,3,3,15,25,0,31,0,81,9,20,20,18,23,51,31,100,0,276,3,41,44,39,54,87,42,161,7,481,10,42,43,54,40,116,45,206,8,556
502,86,1734,367,126,216,144,29,47,46,2795,86,694,505,291,512,364,103,122,54,2724,110,346,354,171,569,406,136,185,59,2345,144,406,354,207,480,348,134,203,49,2326,122,385,441,244,540,396,143,232,35,2542,87,333,384,244,529,411,138,230,30,2387,89,286,394,290,625,469,157,248,40,2596,97,279,407,273,655,465,142,257,26,2615,137,295,386,272,578,348,142,201,29,2387,128,292,293,220,365,211,93,118,17,1737,39,176,131,65,101,68,17,44,10,657,12,94,42,11,21,15,4,6,5,202,6,44,6,4,3,7,0,0,0,66,1141,5361,4072,2423,5187,3657,1239,1914,394,25386,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,4,4,0,12,13,4,19,0,64,0,11,16,11,19,27,5,28,0,114,3,18,19,12,15,48,18,49,0,182,0,9,23,9,27,43,15,58,0,189
503,241,4398,936,258,447,314,67,89,146,6900,648,5208,3455,1564,4259,3718,788,1126,373,21141,1186,2201,2647,1828,7751,7750,1930,2951,438,28683,2272,2194,3005,2130,7850,8385,2264,3742,439,32281,1971,2319,3519,2462,7652,8860,2340,4036,308,33470,947,1804,2889,2151,6260,7949,2218,3846,241,28304,720,1465,2302,1891,5560,7021,2184,3935,218,25291,843,1332,1819,1794,5177,5982,1881,3718,176,22713,933,1239,1758,1491,4363,4424,1460,2607,117,18397,786,1338,1552,1111,2997,2659,773,1413,101,12719,353,1049,883,502,1138,950,254,455,45,5633,113,628,291,144,265,216,49,99,11,1812,29,285,80,41,58,41,19,15,21,591,11048,25460,25134,17367,53757,58267,16225,28034,2633,237929,3,3,4,0,0,0,0,0,0,15,0,11,8,3,8,15,0,7,0,58,6,15,28,16,41,78,22,71,5,287,14,55,59,60,108,185,67,300,24,871,23,76,107,110,156,343,117,504,26,1455,20,87,113,110,155,429,151,567,16,1648
504,199,4188,878,325,531,512,142,155,92,7022,262,2048,1571,708,1755,1526,479,669,241,9256,360,931,1021,668,2168,2111,681,1138,192,9262,482,914,1028,588,2030,2168,715,1252,169,9345,316,960,1090,638,2087,2052,651,1163,138,9101,216,766,975,629,1949,1908,666,1204,130,8449,235,673,904,660,1814,1853,690,1191,96,8111,257,638,851,670,1940,1876,655,1198,76,8159,299,628,797,652,1693,1520,538,941,70,7134,260,615,712,447,1192,937,312,603,47,5124,131,452,365,176,438,321,98,186,23,2192,33,271,101,53,78,67,21,51,12,678,22,121,38,16,11,19,0,8,9,236,3069,13212,10319,6228,17684,16881,5644,9753,1272,84061,0,9,0,0,0,5,0,0,0,13,0,5,8,6,8,9,5,8,9,56,3,9,14,10,25,57,21,74,7,222,10,51,42,36,60,121,36,185,12,549,16,49,75,56,103,199,54,253,13,811,13,59,66,65,85,198,68,255,10,817
505,398,8855,1782,485,845,680,155,164,145,13505,497,4562,3203,1408,3287,2727,622,781,303,17405,635,1770,1883,1253,4168,3698,1023,1387,341,16149,904,1855,1966,1266,3724,3615,978,1669,293,16266,643,1904,2260,1310,3602,3404,984,1657,221,15979,363,1578,2142,1296,3198,3186,948,1534,157,14395,356,1426,2051,1365,3442,3043,975,1642,153,14458,416,1305,1856,1395,3367,2843,865,1598,149,13792,501,1232,1696,1190,2894,2278,731,1213,128,11869,449,1262,1421,968,1969,1440,449,786,59,8806,208,912,660,347,675,492,140,237,29,3705,69,494,209,94,116,101,28,58,12,1178,15,216,70,13,32,20,5,10,6,389,5451,27369,21210,12397,31321,27526,7897,12729,2015,147905,3,16,7,0,0,0,0,0,0,27,0,17,20,6,9,19,5,17,0,101,0,34,38,31,55,91,33,117,13,414,31,61,95,80,133,273,80,340,22,1127,30,122,165,117,194,422,116,570,31,1771,19,119,195,132,196,433,133,532,17,1773
506,419,7250,1663,520,950,878,239,303,172,12391,590,5132,3595,1682,3774,3453,981,1459,495,21164,879,2272,2558,1578,5171,5053,1509,2591,480,22091,1280,2085,2426,1553,5319,5467,1751,3130,404,23419,1032,2151,2572,1648,5437,5319,1742,3133,317,23348,590,1725,2189,1536,4503,4875,1587,2871,240,20119,539,1467,1876,1498,4335,4673,1617,2920,230,19168,621,1308,1718,1396,4233,4204,1479,2926,198,18084,670,1282,1612,1255,3647,3448,1296,2356,163,15718,565,1302,1449,933,2627,2334,804,1419,110,11540,286,980,773,390,975,809,290,460,51,5008,84,542,224,108,199,173,60,92,14,1502,29,243,71,25,29,34,13,18,14,471,7575,27746,22734,14115,41206,40727,13355,23684,2891,194031,0,20,0,0,0,0,0,0,0,24,0,18,23,3,12,21,4,23,0,115,11,38,45,29,57,103,45,125,17,474,19,99,100,71,155,298,76,369,29,1218,27,115,126,114,215,458,111,520,28,1711,21,118,159,101,176,462,136,525,18,1706
507,348,7355,1484,472,832,742,177,221,155,11794,531,4011,2780,1376,3039,2886,706,1082,332,16743,808,1707,1822,1301,3849,3960,1216,1981,336,16962,1025,1651,1912,1278,3618,4072,1232,2291,285,17364,784,1769,2086,1347,3668,3878,1268,2317,233,17350,458,1588,1956,1331,3255,3709,1084,2143,180,15698,436,1270,1736,1361,3258,3491,1222,2230,160,15167,566,1114,1565,1219,3281,3261,1175,2137,166,14487,648,1088,1479,1157,2928,2648,900,1717,113,12683,546,1122,1217,829,1825,1767,591,1050,68,9021,248,826,624,301,649,601,199,321,38,3809,60,419,172,75,126,98,29,59,10,1043,19,181,45,11,18,27,4,16,8,333,6489,24094,18885,12059,30346,31138,9798,17554,2088,152456,0,12,0,0,0,0,0,0,0,20,0,10,15,4,0,15,0,11,0,60,6,16,29,25,38,70,13,81,6,284,17,65,78,49,97,183,76,279,13,855,15,106,104,81,138,295,93,357,14,1208,11,86,140,102,117,353,102,464,18,1386
509,123,1338,318,179,342,371,136,162,86,3048,152,351,371,283,733,833,308,586,102,3721,261,382,386,272,809,846,407,792,106,4259,282,453,413,282,629,799,363,830,83,4137,220,546,557,304,707,759,331,796,77,4298,153,496,508,333,671,836,324,776,61,4157,176,406,485,388,786,893,396,856,58,4437,293,451,558,421,855,965,378,900,73,4890,295,471,577,420,812,818,301,791,52,4543,274,596,580,347,670,646,249,547,45,3960,132,377,220,151,229,225,83,190,30,1638,29,202,79,27,51,44,13,59,3,517,11,104,16,4,13,19,3,16,7,197,2399,6174,5077,3422,7305,8060,3283,7277,788,43798,0,0,0,0,0,0,0,0,0,7,0,0,3,4,3,4,3,21,3,38,0,9,9,8,8,15,7,69,4,125,12,21,19,7,18,56,23,140,9,302,9,36,27,13,30,60,43,232,3,452,7,32,40,30,34,85,46,289,7,567
510,88,855,158,103,193,200,76,287,87,2049,290,225,239,208,536,554,305,1786,142,4275,588,315,312,290,923,953,645,3452,218,7695,990,485,492,337,967,1068,783,4262,216,9600,869,465,492,314,930,1086,789,4246,198,9391,712,385,386,254,786,887,677,3597,139,7820,704,289,311,220,727,787,583,3711,114,7445,756,246,241,219,630,800,510,3486,107,6990,692,209,212,141,543,660,382,2844,109,5785,509,184,182,120,398,432,265,1739,69,3892,198,108,82,62,158,167,76,585,22,1460,27,38,17,21,37,39,16,103,4,296,0,19,8,0,5,10,4,14,3,71,6419,3820,3137,2301,6827,7649,5095,30105,1424,66775,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,17,3,0,0,0,5,4,7,24,5,52,11,10,11,5,22,31,10,93,5,186,13,14,12,11,31,44,11,136,3,278,11,7,15,4,25,40,17,124,5,246
511,144,1438,294,153,349,367,103,345,79,3269,282,377,413,317,814,840,379,1521,154,5102,456,396,407,297,921,996,544,2372,159,6543,510,517,519,306,745,895,561,2475,134,6657,388,499,540,311,735,912,578,2269,124,6348,322,380,466,317,737,873,497,2047,109,5753,363,378,450,337,859,934,491,2014,101,5927,384,331,474,351,835,893,470,2039,107,5880,400,372,448,319,771,813,390,1741,94,5350,318,372,366,260,545,578,281,1201,62,3985,115,222,186,99,212,208,88,406,18,1562,21,115,62,16,45,46,18,71,8,400,7,63,16,6,4,9,0,19,0,119,3718,5471,4624,3096,7572,8364,4399,18521,1147,56911,0,0,0,0,0,0,0,0,0,6,0,3,0,4,0,11,0,3,0,26,0,5,4,3,6,10,0,44,4,84,10,13,21,13,17,28,14,107,0,216,8,21,30,21,33,62,21,179,0,380,7,23,23,20,31,63,29,179,8,383
