SA4_CODE_2021,C21_M_FoodHos_PS_15_19,C21_M_FoodHos_PS_20_24,C21_M_FoodHos_PS_25_34,C21_M_FoodHos_PS_35_44,C21_M_FoodHos_PS_45_54,C21_M_FoodHos_PS_55_64,C21_M_FoodHos_PS_65_74,C21_M_FoodHos_PS_75_84,C21_M_FoodHos_PS_85over,C21_M_FoodHos_PS_Tot,C21_M_MixFld_pr_15_19,C21_M_MixFld_pr_20_24,C21_M_MixFld_pr_25_34,C21_M_MixFld_pr_35_44,C21_M_MixFld_pr_45_54,C21_M_MixFld_pr_55_64,C21_M_MixFld_pr_65_74,C21_M_MixFld_pr_75_84,C21_M_MixFld_pr_85over,C21_M_MixFld_pr_Tot,C21_M_FldStu_ID_15_19,C21_M_FldStu_ID_20_24,C21_M_FldStu_ID_25_34,C21_M_FldStu_ID_35_44,C21_M_FldStu_ID_45_54,C21_M_FldStu_ID_55_64,C21_M_FldStu_ID_65_74,C21_M_FldStu_ID_75_84,C21_M_FldStu_ID_85over,C21_M_FldStu_ID_Tot,C21_M_FldStu_NS_15_19,C21_M_FldStu_NS_20_24,C21_M_FldStu_NS_25_34,C21_M_FldStu_NS_35_44,C21_M_FldStu_NS_45_54,C21_M_FldStu_NS_55_64,C21_M_FldStu_NS_65_74,C21_M_FldStu_NS_75_84,C21_M_FldStu_NS_85over,C21_M_FldStu_NS_Tot,C21_M_Tot_15_19,C21_M_Tot_20_24,C21_M_Tot_25_34,C21_M_Tot_35_44,C21_M_Tot_45_54,C21_M_Tot_55_64,C21_M_Tot_65_74,C21_M_Tot_75_84,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_NatPhy_sci_15_19,C11_F_NatPhy_sci_20_24,C11_F_NatPhy_sci_25_34,C11_F_NatPhy_sci_35_44,C11_F_NatPhy_sci_45_54,C11_F_NatPhy_sci_55_64,C11_F_NatPhy_sci_65_74,C11_F_NatPhy_sci_75_84,C11_F_NatPhy_sci_85over,C11_F_NatPhy_sci_Tot,C11_F_InfTec_15_19,C11_F_InfTec_20_24,C11_F_InfTec_25_34,C11_F_InfTec_35_44,C11_F_InfTec_45_54,C11_F_InfTec_55_64,C11_F_InfTec_65_74,C11_F_InfTec_75_84,C11_F_InfTec_85over,C11_F_InfTec_Tot,C11_F_EngRT_15_19,C11_F_EngRT_20_24,C11_F_EngRT_25_34,C11_F_EngRT_35_44,C11_F_EngRT_45_54,C11_F_EngRT_55_64,C11_F_EngRT_65_74,C11_F_EngRT_75_84,C11_F_EngRT_85over,C11_F_EngRT_Tot,C11_F_ArchBuild_15_19,C11_F_ArchBuild_20_24,C11_F_ArchBuild_25_34,C11_F_ArchBuild_35_44,C11_F_ArchBuild_45_54,C11_F_ArchBuild_55_64,C11_F_ArchBuild_65_74,C11_F_ArchBuild_75_84,C11_F_ArchBuild_85over,C11_F_ArchBuild_Tot,C11_F_AgEnv_RS_15_19,C11_F_AgEnv_RS_20_24,C11_F_AgEnv_RS_25_34,C11_F_AgEnv_RS_35_44,C11_F_AgEnv_RS_45_54,C11_F_AgEnv_RS_55_64,C11_F_AgEnv_RS_65_74,C11_F_AgEnv_RS_75_84,C11_F_AgEnv_RS_85over,C11_F_AgEnv_RS_Tot,C11_F_Health_15_19,C11_F_Health_20_24,C11_F_Health_25_34,C11_F_Health_35_44,C11_F_Health_45_54,C11_F_Health_55_64,C11_F_Health_65_74,C11_F_Health_75_84,C11_F_Health_85over,C11_F_Health_Tot,C11_F_Educ_15_19,C11_F_Educ_20_24,C11_F_Educ_25_34,C11_F_Educ_35_44,C11_F_Educ_45_54,C11_F_Educ_55_64,C11_F_Educ_65_74,C11_F_Educ_75_84,C11_F_Educ_85over,C11_F_Educ_Tot,C11_F_MngtCom_15_19,C11_F_MngtCom_20_24,C11_F_MngtCom_25_34,C11_F_MngtCom_35_44,C11_F_MngtCom_45_54,C11_F_MngtCom_55_64,C11_F_MngtCom_65_74,C11_F_MngtCom_75_84,C11_F_MngtCom_85over,C11_F_MngtCom_Tot,C11_F_Soc_cult_15_19,C11_F_Soc_cult_20_24,C11_F_Soc_cult_25_34,C11_F_Soc_cult_35_44,C11_F_Soc_cult_45_54,C11_F_Soc_cult_55_64,C11_F_Soc_cult_65_74,C11_F_Soc_cult_75_84,C11_F_Soc_cult_85over,C11_F_Soc_cult_Tot,C11_F_Creative_art_15_19,C11_F_Creative_art_20_24,C11_F_Creative_art_25_34,C11_F_Creative_art_35_44,C11_F_Creative_art_45_54,C11_F_Creative_art_55_64,C11_F_Creative_art_65_74,C11_F_Creative_art_75_84,C11_F_Creative_art_85over,C11_F_Creative_art_Tot,C11_F_FoodHos_PS_15_19,C11_F_FoodHos_PS_20_24,C11_F_FoodHos_PS_25_34,C11_F_FoodHos_PS_35_44,C11_F_FoodHos_PS_45_54,C11_F_FoodHos_PS_55_64,C11_F_FoodHos_PS_65_74,C11_F_FoodHos_PS_75_84,C11_F_FoodHos_PS_85over,C11_F_FoodHos_PS_Tot,C11_F_MixFld_pr_15_19,C11_F_MixFld_pr_20_24,C11_F_MixFld_pr_25_34,C11_F_MixFld_pr_35_44,C11_F_MixFld_pr_45_54,C11_F_MixFld_pr_55_64,C11_F_MixFld_pr_65_74,C11_F_MixFld_pr_75_84,C11_F_MixFld_pr_85over,C11_F_MixFld_pr_Tot,C11_F_FldStu_ID_15_19,C11_F_FldStu_ID_20_24,C11_F_FldStu_ID_25_34,C11_F_FldStu_ID_35_44,C11_F_FldStu_ID_45_54,C11_F_FldStu_ID_55_64,C11_F_FldStu_ID_65_74,C11_F_FldStu_ID_75_84,C11_F_FldStu_ID_85over,C11_F_FldStu_ID_Tot,C11_F_FldStu_NS_15_19,C11_F_FldStu_NS_20_24,C11_F_FldStu_NS_25_34,C11_F_FldStu_NS_35_44,C11_F_FldStu_NS_45_54,C11_F_FldStu_NS_55_64,C11_F_FldStu_NS_65_74,C11_F_FldStu_NS_75_84,C11_F_FldStu_NS_85over,C11_F_FldStu_NS_Tot,C11_F_Tot_15_19,C11_F_Tot_20_24,C11_F_Tot_25_34,C11_F_Tot_35_44,C11_F_Tot_45_54,C11_F_Tot_55_64,C11_F_Tot_65_74,C11_F_Tot_75_84,C11_F_Tot_85over,C11_F_Tot_Tot
501,37,112,348,453,396,289,180,58,10,1869,16,13,21,3,4,10,4,4,0,82,10,36,83,135,167,132,95,35,5,706,411,342,1047,1199,1369,1074,992,629,300,7360,1086,2180,6804,8347,8620,8067,6725,3011,796,45639,4,38,165,200,152,61,24,12,3,666,6,8,49,56,44,29,9,0,0,193,11,49,134,139,114,44,44,47,18,597,4,26,67,83,38,10,6,0,0,241,30,53,211,229,132,66,17,5,0,745,39,169,766,955,1225,1005,575,206,48,4990,31,131,707,1171,1122,895,383,131,46,4616,260,548,1304,1380,1073,726,303,113,30,5736,110,274,807,934,836,621,207,49,6,3837,23,80,217,226,186,120,54,33,9,952,118,345,600,631,374,239,108,28,10,2454,14,5,11,0,3,9,3,0,0,45,0,9,45,68,49,35,20,0,0,224,430,257,610,767,766,705,670,771,401,5370,1084,1994,5692,6841,6101,4569,2418,1405,569,30672
502,29,56,157,195,186,170,105,62,10,965,14,6,8,0,6,6,5,0,0,40,6,15,38,61,87,82,56,38,11,397,201,224,537,659,674,557,551,491,259,4165,619,1292,3442,3906,4235,4412,4197,2452,709,25253,5,24,52,73,40,16,9,3,0,221,4,11,23,23,29,13,4,0,0,108,5,19,42,58,37,33,39,38,10,283,5,9,19,16,15,7,10,3,0,80,8,22,75,60,33,10,3,0,0,209,16,106,287,361,487,424,313,157,31,2181,22,90,314,496,465,368,214,88,23,2075,106,249,578,640,609,474,343,116,29,3141,69,170,351,436,478,249,107,40,11,1920,17,39,85,65,53,41,35,14,3,352,70,224,334,309,213,191,121,46,6,1515,4,5,9,0,0,4,3,0,0,24,0,3,18,28,18,18,11,6,0,103,272,162,315,399,370,466,545,658,325,3511,594,1122,2504,2963,2846,2310,1756,1182,437,15719
503,32,128,451,329,204,146,94,41,11,1440,8,13,14,9,9,0,5,4,6,70,8,52,137,148,129,95,63,39,12,675,174,436,1446,1010,779,667,548,392,234,5687,546,3567,13390,11892,9960,8417,6333,3223,1058,58376,0,291,710,456,378,223,95,52,12,2228,0,35,193,133,136,40,6,0,0,545,3,91,521,283,165,62,34,41,19,1207,6,107,268,188,134,66,25,4,5,783,9,30,166,97,65,33,7,3,0,418,16,478,1735,1589,1764,1254,704,406,163,8109,14,145,675,894,1238,1289,655,280,118,5310,62,844,2671,2132,1607,845,441,201,100,8902,37,519,1911,1616,1291,1106,429,225,66,7200,33,408,897,506,329,195,116,49,19,2563,42,242,447,311,221,162,59,41,22,1543,9,16,6,9,0,9,5,5,4,58,3,45,129,113,111,80,53,31,11,572,317,577,1370,741,699,687,517,646,684,6236,545,3829,11693,9070,8138,6047,3162,1984,1210,45689
504,60,205,696,760,486,366,180,72,10,2830,33,17,22,14,8,9,8,5,3,115,24,42,201,302,246,192,120,59,14,1205,428,589,1744,1696,1477,1182,749,579,303,8743,1394,4123,14610,15096,12188,10150,6960,3226,833,68568,8,104,426,409,224,130,47,13,10,1360,12,33,183,136,107,40,14,0,0,516,19,74,285,213,199,130,77,68,25,1094,6,56,132,92,60,28,6,0,0,378,22,63,191,173,95,54,13,3,5,615,33,382,1159,1265,1322,1014,491,211,51,5930,50,233,942,1366,1338,982,435,132,36,5507,216,885,2607,2457,1708,1003,472,156,46,9547,133,512,1625,1481,1284,894,301,78,11,6315,59,266,612,414,259,165,85,33,12,1895,144,513,886,805,485,326,124,36,11,3331,13,0,10,12,3,17,9,6,0,69,4,30,116,118,82,65,21,9,0,446,717,524,1046,1201,1123,1033,929,835,538,7954,1424,3679,10209,10140,8289,5867,3020,1585,741,44951
505,107,377,1082,1196,974,697,368,182,39,5019,55,48,33,21,17,22,19,8,3,224,36,103,394,480,470,337,206,113,35,2172,735,1097,3156,3191,2752,2014,1329,1083,618,15980,2652,8782,29252,32348,28209,22559,15841,7520,2224,149392,5,298,988,795,542,252,72,37,9,3010,16,54,371,385,269,98,10,0,0,1210,15,163,572,545,412,281,176,164,63,2395,9,120,308,261,159,63,15,6,0,950,30,111,357,245,110,54,9,7,0,928,85,1124,3524,3731,3669,2332,1115,473,130,16195,86,568,2567,3335,3414,2440,994,337,130,13882,389,2044,6556,6210,4335,2628,1243,553,178,24134,263,1337,3692,3403,2581,1759,635,182,37,13881,90,546,1267,814,456,341,147,78,18,3753,349,1204,2101,2013,1281,767,316,120,38,8188,17,23,32,24,17,24,20,12,11,172,13,67,202,221,181,110,57,23,6,884,1362,1110,2249,2164,1997,1846,1723,1951,1272,15676,2726,8758,24782,24158,19440,12998,6538,3951,1900,105252
506,93,564,1637,1534,805,593,311,129,31,5700,30,46,50,27,18,21,13,10,4,223,35,116,489,497,413,297,185,120,32,2185,828,1387,3581,3221,2706,2048,1359,1046,698,16879,2647,9523,29912,31228,23547,18394,13364,6348,1999,136969,13,381,1151,812,493,271,83,30,10,3237,21,99,522,354,223,93,18,4,0,1327,37,213,797,556,347,192,146,119,60,2472,14,134,269,185,122,49,14,9,0,805,40,130,421,267,172,91,29,12,7,1166,102,1104,3033,2493,2679,2050,1012,463,129,13066,81,513,1909,2212,2421,1922,897,351,128,10432,441,2436,6441,4817,3429,2201,1074,425,153,21413,277,1258,3394,2753,2412,1678,583,173,44,12570,126,546,1117,648,387,239,154,65,32,3299,285,987,1704,1394,835,624,279,80,15,6212,27,30,20,18,35,28,19,12,4,197,6,61,213,198,161,100,46,16,5,810,1289,1282,2315,2159,1930,1922,1654,1925,1390,15874,2750,9176,23313,18868,15641,11467,6002,3684,1980,92888
507,71,300,792,917,747,459,258,142,29,3705,30,29,26,14,10,13,13,5,0,146,38,97,329,407,397,287,178,88,25,1850,642,997,2649,2725,2269,1739,1231,970,602,13833,2208,6833,21868,24408,21583,17533,12304,5976,1895,114624,9,234,802,673,488,219,87,24,6,2546,35,61,255,226,192,84,16,5,0,865,26,137,479,469,310,179,124,103,47,1886,6,77,217,178,103,63,10,5,4,669,21,108,323,244,180,73,15,6,0,970,66,803,2463,2560,2657,1674,893,424,145,11691,79,419,1672,2294,2355,1757,776,296,79,9727,328,1485,4165,4123,3099,1856,783,419,129,16390,217,931,2614,2596,2266,1510,528,161,34,10851,80,442,868,703,408,275,137,70,19,3003,271,824,1386,1341,839,510,230,102,34,5536,23,16,13,11,22,15,9,3,3,115,6,45,146,195,147,89,49,20,11,707,1058,732,1357,1701,1453,1402,1377,1686,1027,11800,2238,6318,16749,17307,14510,9711,5051,3320,1548,76756
509,27,52,191,174,195,192,114,66,10,1022,14,9,9,7,0,3,3,0,0,42,9,17,50,66,68,83,75,42,4,420,436,407,1012,1057,1217,1314,1121,678,263,7513,915,1593,4674,4936,5488,6068,5165,2334,608,31780,0,20,121,123,94,51,24,7,0,439,10,16,31,30,37,15,8,0,0,142,6,34,69,81,71,47,55,36,25,425,4,8,37,39,20,12,5,3,0,117,50,87,322,283,181,71,28,8,0,1037,21,132,499,694,960,896,523,199,60,3983,15,113,591,815,860,817,381,125,58,3767,148,340,886,948,750,581,251,85,27,4010,71,172,552,601,659,573,189,47,4,2868,29,41,91,154,133,122,63,14,5,654,59,162,362,381,224,183,78,18,7,1486,4,0,8,10,4,7,8,0,0,46,3,6,30,37,30,35,21,8,3,163,334,177,409,568,619,635,584,577,281,4183,753,1290,4015,4765,4641,4039,2203,1131,477,23317
510,14,41,154,191,159,84,21,5,0,674,0,6,0,5,8,3,3,0,0,30,10,17,85,106,93,60,18,3,0,400,489,617,2020,1944,1581,1189,413,124,19,8401,696,1467,6403,6624,4941,3442,1179,273,33,25052,0,24,139,114,42,10,0,0,0,334,0,16,43,33,26,5,0,0,0,130,11,58,180,114,38,15,8,4,0,434,0,10,28,21,14,9,0,0,0,87,7,46,148,83,37,13,6,0,0,337,19,125,561,500,460,259,48,4,0,1970,5,118,622,519,346,223,45,12,0,1891,94,358,1092,719,480,191,27,0,0,2960,25,156,559,430,313,167,19,8,0,1669,8,38,141,110,67,23,7,0,0,396,41,180,440,264,135,60,10,0,0,1140,4,6,5,3,8,0,0,0,0,23,0,9,47,51,32,12,9,0,0,159,454,535,1305,1133,844,470,167,59,15,4983,664,1675,5318,4100,2840,1465,347,97,20,16523
511,17,76,217,193,196,145,63,28,4,943,4,4,7,0,3,3,0,5,4,33,8,19,58,83,77,73,49,22,7,392,469,639,1565,1415,1453,1277,863,511,149,8338,796,1932,5928,5696,5598,4984,3189,1325,330,29778,6,42,159,108,52,28,4,0,0,401,11,7,54,38,42,18,0,0,0,167,16,30,127,101,60,23,22,18,4,406,0,15,43,27,19,20,3,0,0,124,12,51,171,127,79,36,15,3,0,488,25,183,562,686,657,530,266,95,25,3026,13,151,635,724,655,385,166,42,18,2792,138,351,963,883,669,409,124,49,12,3604,61,199,532,520,484,285,87,9,4,2175,10,56,167,120,81,47,20,16,0,510,86,256,446,438,206,122,64,19,3,1646,4,4,4,8,4,5,6,0,0,33,8,12,31,25,31,17,12,0,0,140,495,405,802,849,810,634,522,408,184,5104,878,1773,4700,4645,3845,2544,1324,664,241,20611
