SA4_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
501,7,65,304,509,501,382,324,102,17,2206,49,107,258,296,172,148,93,22,5,1147,210,773,2581,3085,3127,3048,2457,1062,221,16577,64,321,1076,1051,935,985,754,312,93,5580,116,177,482,741,694,559,356,155,39,3317,159,396,1428,1850,1707,1917,1430,644,175,9700,121,232,1000,1718,1943,1818,1511,534,120,8993,315,630,2189,2648,2570,2134,1517,553,119,12673,292,505,1346,1873,1855,1616,1082,331,55,8955,98,186,480,509,400,334,260,118,28,2409,160,396,1192,1203,1055,727,469,153,24,5392,33,26,34,8,17,23,15,13,4,171,23,57,153,245,284,224,156,60,22,1221,805,633,1816,2071,2229,1961,1908,1402,757,13574,2462,4501,14335,17803,17478,15883,12322,5457,1669,91922
502,0,62,118,187,138,149,135,51,9,852,23,96,169,167,109,99,63,17,0,743,145,430,1408,1555,1637,1883,1798,944,235,10034,55,145,485,434,506,505,465,306,68,2965,27,58,137,217,212,157,108,66,16,995,85,250,731,752,832,950,757,376,106,4839,56,166,577,779,904,856,745,317,87,4486,152,349,987,1300,1407,1317,1079,590,95,7277,141,383,907,1035,964,977,630,209,37,5284,56,135,189,159,140,114,125,61,27,1008,109,275,712,639,593,447,363,165,27,3323,30,13,16,10,9,11,12,0,0,99,12,28,70,109,132,121,74,55,19,621,400,433,956,1099,1139,994,1102,1096,716,7931,1297,2812,7478,8445,8709,8575,7455,4238,1441,50461
503,13,894,1755,1332,1133,1022,742,365,97,7352,17,221,822,937,563,374,124,31,4,3086,63,694,3538,3071,2275,1922,1407,691,248,13897,18,215,1080,828,728,638,485,199,84,4280,6,110,364,314,272,213,131,97,36,1542,67,733,4037,3044,2855,2604,1775,1031,413,16563,45,179,1015,1122,1334,1584,1700,816,280,8082,250,1527,5492,5767,5238,3653,2103,961,304,25297,133,1082,3777,3396,2931,2315,1882,793,227,16528,153,712,1751,1216,786,504,358,184,47,5711,79,365,965,692,502,363,256,113,49,3382,15,23,31,18,20,6,16,10,3,140,27,125,311,315,293,213,164,91,41,1565,365,863,2522,1690,1302,1162,1089,872,673,10538,1253,7734,27456,23756,20224,16578,12227,6241,2498,117968
504,13,371,1017,1061,856,557,365,136,21,4406,47,251,973,1228,670,340,133,27,0,3668,269,1141,5105,4952,4305,4023,2902,1267,279,24238,112,400,1606,1344,1081,896,666,337,83,6531,33,148,520,488,460,327,200,77,12,2263,97,937,3344,2836,2173,1873,1205,514,156,13125,76,411,2039,2114,2214,1903,1329,569,126,10780,436,1398,5302,6389,4675,3336,1788,707,161,24184,330,1093,3504,3625,2981,2258,1418,406,57,15677,205,627,1466,1259,739,475,329,104,25,5231,238,762,2249,1902,1284,885,485,188,32,8034,53,47,50,19,24,27,26,11,0,249,33,93,405,550,430,322,199,84,19,2142,810,1039,3031,2815,2438,1976,1471,1303,820,15698,2750,8714,30618,30586,24324,19194,12505,5738,1806,136230
505,17,903,2226,2447,2040,1414,876,352,68,10339,101,589,1823,2725,1838,952,356,63,3,8443,406,2048,9317,9739,8766,8097,6241,2808,816,48235,239,919,4205,4018,3315,2644,1731,793,234,18104,42,232,831,1086,755,575,303,119,33,3973,241,2210,7938,7039,5954,4811,2898,1314,391,32789,241,943,4381,5134,5266,4558,3303,1388,344,25558,900,2973,11246,14858,12447,8312,5226,2152,582,58695,692,2509,7027,7532,6365,4655,2948,936,192,32857,434,1379,2754,2542,1456,854,547,229,76,10262,451,1460,3935,3526,2926,1934,1106,486,108,15931,124,85,69,49,35,51,42,24,9,489,79,223,770,911,804,596,357,179,59,3970,1399,1940,5610,5393,4525,3459,2813,2568,1776,29473,5355,18404,62131,67005,56495,42921,28743,13407,4687,299140
506,28,966,2523,2571,1904,1274,838,321,70,10495,144,715,2646,3466,1451,726,263,38,6,9462,458,2458,10302,11062,8658,7203,5378,2424,642,48595,175,788,2876,2365,1714,1541,1289,626,192,11573,71,290,852,962,744,560,349,157,41,4019,256,2226,7401,6266,4332,3515,2474,1128,306,27905,248,851,3327,3769,3556,3298,2556,1143,271,19035,896,3352,11899,13979,9834,6557,3923,1484,368,52293,663,2300,6464,6811,5254,3996,2548,867,158,29064,372,1278,2470,1942,1080,604,411,193,59,8413,422,1629,4058,3516,2156,1405,894,336,69,14493,88,91,98,53,38,55,41,26,10,488,67,225,885,942,720,500,337,168,53,3906,1548,2442,6330,5569,4456,3551,2784,2554,1999,31240,5448,19613,62135,63278,45892,34798,24081,11477,4257,270971
507,15,664,1645,1820,1583,1232,831,320,70,8186,106,450,1248,1906,1094,604,224,55,4,5696,495,1916,7833,8716,7745,6806,4797,2248,619,41181,166,671,2459,2248,1928,1621,1127,611,198,11034,41,246,745,932,779,552,336,140,38,3810,228,1621,6084,5673,4610,3822,2352,1057,331,25780,261,772,3239,3791,3873,3427,2518,1044,273,19205,607,2172,7548,10160,8671,6109,3686,1383,396,40739,556,1854,5394,5658,5177,3983,2455,881,165,26126,364,1010,1992,1841,1177,761,519,188,55,7911,381,1083,2901,2656,2151,1321,798,344,79,11716,70,59,69,36,34,37,29,13,7,360,66,187,612,747,693,480,312,136,44,3280,1256,1796,4566,4409,3711,2972,2492,2138,1662,24999,4620,14502,46341,50597,43232,33728,22488,10559,3951,230021
509,3,62,169,279,253,218,179,71,7,1258,25,55,132,125,114,105,64,14,0,640,135,444,1650,1554,1725,1977,1662,676,153,9984,53,162,565,492,498,531,464,209,54,3028,134,271,616,856,830,760,504,192,42,4206,76,281,971,965,1059,1384,1022,493,143,6394,38,164,699,1001,1171,1261,1124,426,89,5975,203,418,1194,1497,1481,1455,974,381,81,7679,124,262,814,1007,1078,1195,888,220,41,5622,49,91,252,241,246,212,206,96,20,1415,91,219,629,547,588,433,294,128,22,2952,24,21,14,14,7,11,3,0,0,101,8,36,73,119,138,156,121,51,13,712,817,682,1695,1805,2160,2297,2093,1441,679,13678,1775,3162,9465,10499,11341,12008,9599,4413,1362,63631
510,0,52,215,217,132,57,17,6,0,696,12,22,109,116,44,21,3,0,0,334,111,478,2547,2544,1734,1106,340,59,4,8926,19,92,620,583,387,274,101,30,5,2106,27,63,233,270,203,127,31,10,0,961,19,190,988,812,554,467,176,37,0,3244,12,155,842,834,633,447,167,31,0,3121,93,279,1416,1555,997,592,178,23,0,5134,60,204,884,832,594,438,150,28,3,3190,12,45,259,193,107,54,37,8,0,708,48,159,580,513,376,188,34,11,0,1909,5,9,15,12,6,3,5,0,0,48,10,27,129,169,144,102,25,5,0,611,885,1115,3556,3165,2545,1868,697,223,63,14117,1317,2895,12393,11818,8456,5744,1952,465,84,45117
511,8,85,357,313,186,126,61,21,4,1154,15,49,128,128,88,53,31,6,0,495,167,637,2420,2180,2100,1854,1147,395,102,11004,30,174,579,492,419,467,342,124,19,2652,48,131,330,386,384,299,185,66,18,1847,61,311,991,869,916,792,516,227,64,4752,23,169,767,911,1027,865,479,174,28,4445,152,450,1251,1476,1358,1026,497,170,48,6420,99,254,874,880,753,688,374,100,14,4035,38,90,220,226,135,111,61,31,4,920,84,292,731,599,581,333,172,79,8,2882,13,21,24,8,4,15,5,4,4,89,15,34,100,125,114,110,64,29,13,592,887,1105,2569,2436,2381,2165,1576,982,406,14500,1635,3812,11338,11030,10451,8886,5508,2404,724,55784
