SA4_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
501,476,169,69,330,3616,123,98,537,650,411,188,106,267,2381,103,100,373,564,468,246,188,338,2381,18163,8140,22987,14771,5845,1832,1026,5463,78232
502,316,100,43,235,2793,106,97,496,513,333,105,72,228,1951,81,78,343,438,288,120,92,358,1794,10236,4892,14071,8736,3492,1095,612,3161,46298
503,244,80,29,183,2823,222,150,614,591,249,62,52,159,2098,278,176,619,700,409,163,124,301,2769,33393,8702,18809,9684,2710,628,340,4645,78909
504,441,148,110,283,3786,135,169,693,680,449,167,132,256,2689,138,172,588,615,417,206,206,422,2763,34832,14787,30884,16183,6174,1985,1465,6456,112749
505,924,247,155,550,8714,371,434,1801,1812,899,329,198,531,6382,342,426,1667,1607,1041,470,401,796,6762,73217,29889,71858,35602,11890,3527,2329,11685,239995
506,837,255,212,560,7097,340,309,1387,1400,768,291,201,643,5334,311,329,1090,1211,838,410,388,1031,5616,68515,27743,57578,30181,11538,3732,2712,13209,215211
507,710,195,115,477,6523,257,301,1358,1306,757,235,150,447,4814,262,317,1241,1254,836,340,286,799,5338,54828,22769,53193,28131,9930,2836,1689,9927,183300
509,393,119,70,337,2861,87,76,408,520,368,146,102,254,1974,80,82,321,426,356,183,147,290,1888,12047,5166,14937,10825,4800,1516,1027,5568,55894
510,30,25,35,63,291,15,0,16,28,21,14,17,39,153,3,5,15,8,12,6,22,43,113,9294,3613,6134,3807,1845,772,696,5621,31785
511,273,88,62,211,1672,40,51,188,261,199,78,68,162,1056,33,54,140,199,191,107,110,173,1015,10929,4683,11271,7682,3493,1213,844,5802,45919
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,5,0,3,0,0,20,61
599,0,0,0,13,26,0,0,0,4,0,0,0,10,15,0,0,0,0,0,0,0,12,16,734,203,417,264,108,47,40,1222,3030
