SA4_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
501,51,70,36,1872,3335,541,107,491,65,4545,66102,6076,1017,1596,290,75085
502,25,14,0,1478,1464,356,87,138,10,2050,36786,5097,1105,548,59,43597
503,736,4,7,1593,771,430,1962,428,35,3633,35752,11707,28606,514,133,76713
504,63,9,3,1171,3017,842,276,485,64,4690,87087,12221,4099,786,175,104364
505,426,21,9,3595,5110,2110,692,221,72,8191,170161,39021,8363,644,184,218372
506,499,37,16,3615,5953,1736,869,283,79,8922,156692,28025,11811,1072,313,197902
507,436,17,8,2588,4563,1081,794,376,56,6874,136965,19970,10410,1122,252,168725
509,17,65,42,2466,4270,346,31,400,45,5092,52037,2617,234,1342,353,56577
510,128,337,192,2298,2943,782,327,1352,367,5772,22525,3965,1653,7274,1383,36799
511,32,206,145,2010,3810,771,182,1154,227,6138,38856,5102,875,5833,943,51619
597,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
