SA4_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
501,10,0,0,15,78,0,26,3,6,123,193,0,59,5,16,284,220,13,93,5,22,343,338,28,218,15,32,638,723,57,643,45,86,1556,928,167,1113,93,109,2412,320,76,370,47,41,852,54,17,103,12,11,195,17,6,20,0,7,48,8,0,4,0,0,19,4,0,4,0,0,7,3,4,5,0,0,14,120,12,87,12,18,250,3040,378,2774,243,353,6788
502,0,0,0,13,40,0,8,0,3,50,113,3,16,4,3,142,116,3,23,4,0,149,253,11,120,4,29,413,573,47,421,41,59,1145,518,112,596,65,90,1379,154,49,158,33,37,437,42,11,33,11,13,114,13,0,12,4,0,29,6,0,0,0,0,9,0,0,4,0,0,0,5,0,0,0,0,0,55,8,25,3,14,105,1906,250,1431,161,259,4008
503,4,0,0,10,57,0,5,0,0,64,110,0,27,3,0,140,165,5,54,7,0,235,560,13,281,14,7,868,1027,16,302,16,15,1372,2073,31,586,40,21,2756,1522,54,586,49,28,2242,640,43,412,54,30,1184,297,46,331,47,19,743,175,43,223,48,21,500,103,37,200,31,13,390,180,99,369,116,36,802,116,13,56,9,3,203,7051,393,3442,444,205,11535
504,3,0,0,20,62,0,20,5,0,92,191,3,56,3,6,262,138,4,64,3,16,229,392,22,222,20,25,683,1070,85,771,49,94,2072,1677,212,1535,123,235,3785,583,136,641,92,118,1570,133,41,162,22,32,383,35,11,52,8,10,112,16,5,18,3,0,50,7,0,7,0,0,13,11,0,11,4,5,22,106,12,91,7,27,245,4463,529,3652,348,573,9569
505,5,0,0,32,110,0,35,0,10,153,375,10,53,11,10,458,286,11,104,15,16,438,706,49,406,25,34,1217,2362,180,1652,117,148,4459,3875,427,3274,281,356,8211,1606,327,1723,232,279,4169,497,169,721,147,129,1670,189,80,371,85,67,781,97,41,180,56,29,407,31,24,103,25,18,203,35,29,121,20,17,222,240,24,186,27,55,531,10454,1380,8949,1045,1178,23001
506,9,0,0,44,155,3,48,4,18,219,365,19,78,14,23,492,363,16,141,7,20,550,877,60,548,34,64,1589,2688,224,2191,132,212,5448,3946,614,3932,367,383,9246,1418,342,1603,225,194,3785,417,126,416,87,78,1119,143,47,158,31,29,404,61,13,89,13,9,188,23,6,42,7,9,86,40,13,54,13,10,124,297,28,205,35,56,607,10836,1515,9512,971,1095,23931
507,3,6,0,22,98,3,43,0,0,147,278,14,64,5,20,379,268,5,83,0,18,380,586,43,370,30,51,1081,1474,119,1090,80,159,2925,2908,388,2576,244,364,6475,1099,231,1305,170,209,3022,398,139,457,90,77,1160,152,50,211,48,26,491,78,20,108,26,19,253,44,24,54,25,10,157,65,27,88,25,14,220,192,23,143,33,18,405,7676,1094,6612,771,978,17139
509,20,3,3,60,161,7,62,3,15,252,279,17,136,9,18,448,197,21,138,9,18,376,299,30,259,20,23,630,466,67,415,31,53,1027,363,65,387,35,43,896,79,20,103,10,11,225,15,10,19,0,6,45,0,0,4,0,0,6,0,0,4,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,158,17,151,13,10,342,2091,250,1720,140,204,4394
510,251,10,29,444,412,75,673,32,62,1254,226,37,242,11,35,551,158,18,160,11,22,375,221,33,237,14,31,533,270,37,263,18,22,606,303,30,258,16,29,639,282,20,252,14,29,596,197,12,188,6,23,434,128,18,152,14,15,324,76,11,118,11,12,232,60,16,88,6,3,172,58,23,150,8,8,248,272,53,333,32,31,720,3435,541,4298,257,455,8995
511,46,0,10,109,124,7,82,5,5,231,237,14,108,7,16,388,231,5,118,6,15,376,387,26,341,15,38,803,542,68,555,52,60,1273,487,86,515,34,57,1175,156,27,204,9,18,416,58,12,87,5,8,173,16,0,13,4,3,47,5,0,6,0,0,19,0,0,3,0,0,6,8,0,0,0,0,11,164,11,156,5,15,352,2575,287,2337,157,264,5608
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
