SA4_CODE_2021,C11_F_55_59_Em_FT,C11_F_55_59_Em_PT,C11_F_55_59_Em_AFW,C11_F_55_59_Em_Hrs_NS,C11_F_55_59_Em_Tot,C11_F_55_59_Unem_Look_FT,C11_F_55_59_Unem_Look_PT,C11_F_55_59_Unem_Tot,C11_F_55_59_Tot_LF,C11_F_55_59_Not_LF,C11_F_55_59_LF_NS,C11_F_55_59_Tot,C11_F_60_64_Em_FT,C11_F_60_64_Em_PT,C11_F_60_64_Em_AFW,C11_F_60_64_Em_Hrs_NS,C11_F_60_64_Em_Tot,C11_F_60_64_Unem_Look_FT,C11_F_60_64_Unem_Look_PT,C11_F_60_64_Unem_Tot,C11_F_60_64_Tot_LF,C11_F_60_64_Not_LF,C11_F_60_64_LF_NS,C11_F_60_64_Tot,C11_F_65_69_Em_FT,C11_F_65_69_Em_PT,C11_F_65_69_Em_AFW,C11_F_65_69_Em_Hrs_NS,C11_F_65_69_Em_Tot,C11_F_65_69_Unem_Look_FT,C11_F_65_69_Unem_Look_PT,C11_F_65_69_Unem_Tot,C11_F_65_69_Tot_LF,C11_F_65_69_Not_LF,C11_F_65_69_LF_NS,C11_F_65_69_Tot,C11_F_70_74_Em_FT,C11_F_70_74_Em_PT,C11_F_70_74_Em_AFW,C11_F_70_74_Em_Hrs_NS,C11_F_70_74_Em_Tot,C11_F_70_74_Unem_Look_FT,C11_F_70_74_Unem_Look_PT,C11_F_70_74_Unem_Tot,C11_F_70_74_Tot_LF,C11_F_70_74_Not_LF,C11_F_70_74_LF_NS,C11_F_70_74_Tot,C11_F_75over_Em_FT,C11_F_75over_Em_PT,C11_F_75over_Em_AFW,C11_F_75over_Em_Hrs_NS,C11_F_75over_Em_Tot,C11_F_75over_Unem_Lo_ft_wo,C11_F_75over_Unem_Lo_pt_wor,C11_F_75over_Unemp_Tot,C11_F_75over_Tot_lab_for,C11_F_75over_N_lab_forc,C11_F_75over_LF_NS,C11_F_75over_Tot,C11_F_Tot_Em_FT,C11_F_Tot_Em_PT,C11_F_Tot_Em_AFW,C11_F_Tot_Em_Hrs_NS,C11_F_Tot_Em_Tot,C11_F_Tot_Unem_Look_FT,C11_F_Tot_Unem_Look_PT,C11_F_Tot_Unem_Tot,C11_F_Tot_Tot_labo_for,C11_F_Tot_Not_LF,C11_F_Tot_LF_NS,C11_F_Tot_Tot,C16_F_15_19_Em_FT,C16_F_15_19_Em_PT,C16_F_15_19_Em_AFW,C16_F_15_19_Em_Hrs_NS,C16_F_15_19_Em_Tot,C16_F_15_19_Unem_Look_FT,C16_F_15_19_Unem_Look_PT,C16_F_15_19_Unem_Tot,C16_F_15_19_Tot_LF,C16_F_15_19_Not_LF,C16_F_15_19_LF_NS,C16_F_15_19_Tot,C16_F_20_24_Em_FT,C16_F_20_24_Em_PT,C16_F_20_24_Em_AFW,C16_F_20_24_Em_Hrs_NS,C16_F_20_24_Em_Tot,C16_F_20_24_Unem_Look_FT,C16_F_20_24_Unem_Look_PT,C16_F_20_24_Unem_Tot,C16_F_20_24_Tot_LF,C16_F_20_24_Not_LF,C16_F_20_24_LF_NS,C16_F_20_24_Tot,C16_F_25_29_Em_FT,C16_F_25_29_Em_PT,C16_F_25_29_Em_AFW,C16_F_25_29_Em_Hrs_NS,C16_F_25_29_Em_Tot,C16_F_25_29_Unem_Look_FT,C16_F_25_29_Unem_Look_PT,C16_F_25_29_Unem_Tot,C16_F_25_29_Tot_LF,C16_F_25_29_Not_LF,C16_F_25_29_LF_NS,C16_F_25_29_Tot,C16_F_30_34_Em_FT,C16_F_30_34_Em_PT,C16_F_30_34_Em_AFW,C16_F_30_34_Em_Hrs_NS,C16_F_30_34_Em_Tot,C16_F_30_34_Unem_Look_FT,C16_F_30_34_Unem_Look_PT,C16_F_30_34_Unem_Tot,C16_F_30_34_Tot_LF,C16_F_30_34_Not_LF,C16_F_30_34_LF_NS,C16_F_30_34_Tot,C16_F_35_39_Em_FT,C16_F_35_39_Em_PT,C16_F_35_39_Em_AFW,C16_F_35_39_Em_Hrs_NS,C16_F_35_39_Em_Tot,C16_F_35_39_Unem_Look_FT,C16_F_35_39_Unem_Look_PT,C16_F_35_39_Unem_Tot,C16_F_35_39_Tot_LF,C16_F_35_39_Not_LF,C16_F_35_39_LF_NS,C16_F_35_39_Tot,C16_F_40_44_Em_FT,C16_F_40_44_Em_PT,C16_F_40_44_Em_AFW,C16_F_40_44_Em_Hrs_NS,C16_F_40_44_Em_Tot,C16_F_40_44_Unem_Look_FT,C16_F_40_44_Unem_Look_PT,C16_F_40_44_Unem_Tot,C16_F_40_44_Tot_LF,C16_F_40_44_Not_LF,C16_F_40_44_LF_NS,C16_F_40_44_Tot,C16_F_45_49_Em_FT,C16_F_45_49_Em_PT,C16_F_45_49_Em_AFW,C16_F_45_49_Em_Hrs_NS,C16_F_45_49_Em_Tot,C16_F_45_49_Unem_Look_FT,C16_F_45_49_Unem_Look_PT,C16_F_45_49_Unem_Tot,C16_F_45_49_Tot_LF,C16_F_45_49_Not_LF,C16_F_45_49_LF_NS,C16_F_45_49_Tot,C16_F_50_54_Em_FT,C16_F_50_54_Em_PT,C16_F_50_54_Em_AFW,C16_F_50_54_Em_Hrs_NS,C16_F_50_54_Em_Tot,C16_F_50_54_Unem_Look_FT,C16_F_50_54_Unem_Look_PT,C16_F_50_54_Unem_Tot,C16_F_50_54_Tot_LF,C16_F_50_54_Not_LF,C16_F_50_54_LF_NS,C16_F_50_54_Tot,C16_F_55_59_Em_FT,C16_F_55_59_Em_PT,C16_F_55_59_Em_AFW,C16_F_55_59_Em_Hrs_NS,C16_F_55_59_Em_Tot,C16_F_55_59_Unem_Look_FT,C16_F_55_59_Unem_Look_PT,C16_F_55_59_Unem_Tot,C16_F_55_59_Tot_LF,C16_F_55_59_Not_LF,C16_F_55_59_LF_NS,C16_F_55_59_Tot,C16_F_60_64_Em_FT,C16_F_60_64_Em_PT,C16_F_60_64_Em_AFW,C16_F_60_64_Em_Hrs_NS,C16_F_60_64_Em_Tot,C16_F_60_64_Unem_Look_FT,C16_F_60_64_Unem_Look_PT,C16_F_60_64_Unem_Tot,C16_F_60_64_Tot_LF,C16_F_60_64_Not_LF,C16_F_60_64_LF_NS,C16_F_60_64_Tot,C16_F_65_69_Em_FT,C16_F_65_69_Em_PT,C16_F_65_69_Em_AFW,C16_F_65_69_Em_Hrs_NS,C16_F_65_69_Em_Tot,C16_F_65_69_Unem_Look_FT,C16_F_65_69_Unem_Look_PT,C16_F_65_69_Unem_Tot
501,1298,1697,219,49,3261,46,47,88,3352,1709,210,5269,578,1104,150,30,1868,14,30,43,1909,2634,220,4764,148,351,41,21,560,0,5,7,564,2779,161,3506,38,131,19,11,195,4,5,3,204,2354,161,2718,15,68,11,21,117,0,4,4,118,4568,588,5269,13522,17273,1915,581,33287,834,893,1731,35017,24528,3214,62761,430,1856,99,63,2448,96,254,349,2798,2043,339,5188,1296,1125,99,60,2579,167,102,274,2857,799,270,3922,1521,1163,190,45,2919,119,127,245,3166,1196,345,4707,1276,1876,259,51,3463,119,173,292,3753,1509,333,5600,1239,2224,189,49,3700,114,135,250,3945,1324,343,5614,1707,2508,126,55,4397,134,149,289,4680,1140,381,6201,2016,2493,160,77,4743,136,112,246,4986,1042,431,6460,1925,2187,178,59,4350,126,100,232,4574,1187,369,6139,1605,2058,232,66,3960,103,113,214,4172,1685,454,6318,818,1542,167,26,2553,63,90,152,2708,2697,407,5809,250,681,86,22,1036,4,22,24
502,568,738,93,22,1420,30,36,68,1487,1096,125,2708,295,540,64,18,912,14,24,36,954,1923,135,3016,52,195,24,6,278,0,4,5,287,2179,122,2584,17,65,3,10,90,0,0,0,88,1931,139,2163,5,16,3,0,26,0,0,3,28,3355,581,3965,6250,7717,777,274,15017,609,575,1184,16204,16373,2151,34726,151,1008,45,29,1241,128,245,371,1610,1151,131,2888,681,775,58,30,1547,152,86,244,1791,595,145,2530,751,610,105,30,1492,106,83,194,1684,754,165,2601,591,809,115,28,1544,85,103,182,1727,911,144,2789,609,899,68,19,1600,73,112,183,1781,795,138,2710,891,1008,62,38,1994,109,107,216,2206,685,182,3076,1091,999,75,38,2198,105,92,193,2392,655,178,3224,1051,1003,103,25,2182,132,66,196,2370,688,186,3249,830,900,92,34,1855,73,62,136,1994,1066,207,3268,378,727,66,16,1195,50,55,108,1299,1822,190,3310,91,328,31,7,455,3,10,12
503,1492,1383,160,37,3063,27,38,63,3127,1191,293,4613,861,1004,128,23,2013,10,27,34,2046,1768,222,4038,231,510,43,13,797,4,3,7,799,1916,163,2883,46,190,16,12,274,0,0,3,277,1907,161,2344,18,96,14,9,143,0,0,3,144,5408,770,6321,19192,16295,1890,436,37815,687,912,1593,39407,22747,4716,66871,80,1497,78,67,1723,33,366,397,2118,2510,252,4890,1633,2372,115,87,4208,148,329,473,4681,1491,594,6766,4073,1670,184,87,6014,199,203,405,6417,1014,901,8329,3378,1568,351,58,5361,174,148,319,5678,1151,779,7610,1908,1788,266,46,4008,123,122,241,4255,1183,441,5880,1832,1891,119,46,3890,120,132,251,4143,1129,385,5652,2061,1930,87,50,4129,113,120,227,4357,1059,352,5769,1955,1699,95,31,3778,68,87,156,3937,1017,343,5291,1611,1505,112,24,3250,58,74,132,3379,1259,352,4993,887,1195,100,29,2214,29,56,89,2297,1823,297,4421,370,772,57,17,1213,7,25,30
504,2228,1817,215,77,4335,49,52,101,4441,1873,285,6599,1090,1401,160,41,2694,36,37,70,2768,2815,314,5893,261,510,53,23,849,0,6,10,854,3103,220,4177,44,146,13,9,205,0,0,0,209,2821,247,3284,16,48,4,11,82,0,4,0,85,5592,709,6392,24877,22182,2425,927,50404,1194,1356,2552,52959,31017,4639,88609,414,2570,88,57,3138,195,582,775,3910,3146,340,7391,2565,2583,175,118,5447,365,315,677,6123,1394,489,8003,3999,2148,353,109,6614,308,260,562,7175,1948,562,9688,3363,2619,449,83,6511,248,236,486,7001,2456,567,10022,2772,2789,283,62,5899,232,234,467,6368,2126,474,8973,3051,3036,192,104,6375,226,234,462,6842,1820,491,9150,3407,2842,170,97,6519,242,166,411,6930,1558,462,8954,3314,2456,177,77,6021,179,156,329,6358,1598,475,8430,2522,2169,189,46,4928,148,131,280,5213,2027,413,7655,1402,1689,148,45,3282,80,93,173,3459,2729,354,6540,430,776,65,29,1294,7,20,27
505,4596,4337,465,148,9549,98,123,214,9758,4050,518,14328,2281,3270,389,75,6016,49,90,143,6160,6153,504,12813,525,1133,135,30,1829,6,31,34,1862,6686,434,8981,67,315,21,7,414,4,5,6,419,6325,392,7136,16,108,22,13,165,0,8,8,172,13225,1754,15146,53518,53102,5695,1852,114164,2307,3090,5399,119560,68226,9508,197300,728,6139,239,146,7254,364,1441,1813,9061,6927,623,16607,5274,6184,349,234,12036,596,662,1256,13293,2767,866,16926,9106,4498,706,195,14502,553,461,1013,15518,3441,1187,20148,7271,5915,1136,204,14520,459,521,979,15502,4626,1160,21287,5605,6583,693,157,13037,439,566,1005,14039,4382,941,19365,6105,7314,419,172,14012,435,569,1002,15013,3724,925,19664,7082,6990,364,175,14611,477,418,893,15500,3107,898,19506,6571,5855,410,157,12995,399,357,748,13744,3213,738,17692,5142,5063,404,139,10746,280,271,550,11297,3986,793,16081,2842,3735,341,85,7002,169,184,356,7358,5934,672,13963,818,1788,156,44,2807,16,55,69
506,4187,3657,461,131,8430,99,110,209,8639,3793,586,13020,2147,2757,313,97,5315,41,81,123,5435,5593,556,11589,456,976,98,32,1561,4,34,35,1598,5960,407,7966,72,285,24,14,395,4,11,13,404,5584,442,6435,29,90,13,20,150,0,9,6,155,11933,1646,13731,48589,42381,4691,1722,97387,2418,3049,5470,102861,64487,9797,177143,748,4707,158,130,5748,340,1224,1563,7309,6607,622,14537,4846,5690,354,240,11143,693,901,1588,12733,3888,1066,17687,7875,4412,609,238,13139,692,631,1322,14461,4408,1297,20160,6910,5166,882,184,13139,606,584,1182,14326,5241,1234,20799,5184,5249,533,147,11114,529,508,1037,12148,4566,963,17678,5329,5180,287,153,10958,470,475,944,11904,3469,838,16214,5867,4832,308,145,11153,451,361,812,11966,2965,782,15713,5489,4199,346,140,10175,405,255,659,10839,3131,768,14740,4416,3866,327,120,8730,275,255,530,9256,3949,743,13951,2498,3162,307,50,6014,140,168,309,6328,5672,765,12766,746,1445,145,30,2366,15,50,65
507,3171,3088,358,89,6708,75,115,185,6887,3353,404,10644,1501,2150,221,67,3937,40,48,90,4022,4795,373,9194,307,820,74,28,1235,7,16,25,1263,5142,341,6742,56,222,28,14,313,0,3,3,316,4843,331,5492,20,83,18,20,137,0,6,3,141,10819,1234,12198,37219,37186,4068,1357,79833,1918,2423,4336,84165,53234,6805,144208,606,4495,166,109,5374,347,1098,1442,6821,5020,572,12408,3957,4592,310,190,9046,498,509,1000,10048,2303,816,13170,5988,3208,502,165,9861,453,379,830,10693,2821,1010,14522,4958,4202,748,132,10047,427,420,842,10889,3686,959,15533,3947,4767,522,126,9361,316,436,753,10112,3428,741,14276,4580,5041,301,100,10021,369,420,784,10805,2929,771,14504,5260,4837,294,126,10514,390,318,709,11223,2581,744,14545,4987,4263,294,108,9661,313,252,562,10224,2553,745,13513,3674,3609,357,82,7727,200,195,397,8119,3357,642,12123,2010,2656,231,63,4964,104,169,271,5235,4934,591,10762,524,1224,119,36,1905,18,27,46
509,1393,1305,203,34,2934,35,37,72,3012,1406,171,4586,735,1003,149,48,1936,15,29,53,1984,2144,197,4327,259,443,77,24,805,3,6,6,817,2260,136,3210,98,188,35,9,333,0,6,6,334,2106,136,2578,60,90,13,13,170,0,0,0,173,4069,472,4711,11672,12672,1598,536,26477,631,566,1194,27677,20383,2449,50502,308,971,43,36,1359,104,101,205,1565,1577,236,3372,944,654,62,28,1686,96,48,145,1831,587,235,2652,1044,752,139,35,1969,61,52,115,2084,920,289,3289,924,1188,173,45,2330,54,71,118,2450,1013,279,3742,911,1325,107,38,2380,74,71,148,2525,889,278,3692,1241,1531,91,37,2894,90,61,152,3048,778,329,4155,1616,1577,110,53,3351,73,64,137,3488,856,359,4700,1702,1479,169,59,3409,100,49,145,3556,983,411,4951,1506,1540,216,59,3322,75,70,142,3459,1339,416,5225,897,1270,168,36,2377,28,37,66,2441,2030,412,4883,346,646,71,22,1091,0,8,10
510,786,279,66,26,1152,14,11,28,1181,422,223,1831,311,140,36,16,510,5,4,9,518,410,134,1067,71,66,4,6,144,0,0,0,148,316,57,515,12,17,4,7,35,0,0,0,35,197,44,276,10,5,0,0,17,0,0,0,17,297,49,365,11264,4635,1037,391,17321,444,296,743,18064,7485,4069,29615,203,395,18,31,650,77,65,139,790,1033,231,2050,1008,360,74,49,1488,110,55,167,1657,698,360,2714,1705,550,151,51,2457,116,70,183,2640,980,594,4212,1552,818,224,42,2636,89,89,174,2810,1119,572,4504,1258,777,127,43,2198,91,55,148,2344,804,449,3597,1161,701,101,33,1997,91,46,138,2133,561,357,3053,1204,492,83,47,1830,87,26,114,1944,490,403,2838,1092,390,95,44,1625,63,32,96,1719,517,372,2600,903,311,88,22,1326,33,25,56,1384,489,282,2153,484,202,43,18,747,22,16,37,787,446,189,1419,117,69,22,7,215,4,5,9
511,1081,901,128,49,2159,18,26,43,2203,981,216,3401,506,576,101,24,1203,11,21,33,1233,1368,189,2793,159,240,30,17,440,3,3,7,447,1406,168,2025,30,107,10,7,160,0,0,0,158,1188,128,1472,13,37,9,12,75,0,0,0,72,2156,332,2564,12548,10022,1350,527,24444,759,552,1310,25751,15198,3435,44378,362,1065,42,33,1505,94,162,256,1761,1412,306,3471,1122,634,88,38,1884,143,69,211,2093,736,333,3161,1378,771,165,36,2348,102,71,182,2525,1018,426,3973,1128,1061,191,31,2417,93,73,167,2583,1123,466,4171,1092,1151,133,42,2413,74,73,142,2558,875,370,3802,1408,1202,76,59,2738,102,75,173,2914,690,365,3971,1549,1193,104,46,2887,89,73,166,3054,661,366,4082,1545,1085,130,53,2812,96,46,143,2953,750,393,4097,1212,975,126,44,2352,67,49,117,2469,953,380,3803,704,705,84,35,1528,34,47,82,1610,1279,325,3213,208,318,51,16,594,4,10,10
