SA4_CODE_2021,C21_15_19_NonInd_F,C21_15_19_NonInd_P,C21_15_19_Ind_st_ns_M,C21_15_19_Ind_st_ns_F,C21_15_19_Ind_st_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Indigen_M,C21_20_24_Indigen_F,C21_20_24_Indigen_P,C21_20_24_NonInd_M,C21_20_24_NonInd_F,C21_20_24_NonInd_P,C21_20_24_Ind_st_ns_M,C21_20_24_Ind_st_ns_F,C21_20_24_Ind_st_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Indigen_M,C21_25_29_Indigen_F,C21_25_29_Indigen_P,C21_25_29_NonInd_M,C21_25_29_NonInd_F,C21_25_29_NonInd_P,C21_25_29_Ind_st_ns_M,C21_25_29_Ind_st_ns_F,C21_25_29_Ind_st_ns_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Indigen_M,C21_30_34_Indigen_F,C21_30_34_Indigen_P,C21_30_34_NonInd_M,C21_30_34_NonInd_F,C21_30_34_NonInd_P,C21_30_34_Ind_st_ns_M,C21_30_34_Ind_st_ns_F,C21_30_34_Ind_st_ns_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Indigen_M,C21_35_39_Indigen_F,C21_35_39_Indigen_P,C21_35_39_NonInd_M,C21_35_39_NonInd_F,C21_35_39_NonInd_P,C21_35_39_Ind_st_ns_M,C21_35_39_Ind_st_ns_F,C21_35_39_Ind_st_ns_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Indigen_M,C21_40_44_Indigen_F,C21_40_44_Indigen_P,C21_40_44_NonInd_M,C21_40_44_NonInd_F,C21_40_44_NonInd_P,C21_40_44_Ind_st_ns_M,C21_40_44_Ind_st_ns_F,C21_40_44_Ind_st_ns_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Indigen_M,C21_45_49_Indigen_F,C21_45_49_Indigen_P,C21_45_49_NonInd_M,C21_45_49_NonInd_F,C21_45_49_NonInd_P,C21_45_49_Ind_st_ns_M,C21_45_49_Ind_st_ns_F,C21_45_49_Ind_st_ns_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Indigen_M,C21_50_54_Indigen_F,C21_50_54_Indigen_P,C21_50_54_NonInd_M,C21_50_54_NonInd_F,C21_50_54_NonInd_P,C21_50_54_Ind_st_ns_M,C21_50_54_Ind_st_ns_F,C21_50_54_Ind_st_ns_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Indigen_M,C21_55_59_Indigen_F,C21_55_59_Indigen_P,C21_55_59_NonInd_M,C21_55_59_NonInd_F,C21_55_59_NonInd_P,C21_55_59_Ind_st_ns_M,C21_55_59_Ind_st_ns_F,C21_55_59_Ind_st_ns_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Indigen_M,C21_60_64_Indigen_F,C21_60_64_Indigen_P,C21_60_64_NonInd_M,C21_60_64_NonInd_F,C21_60_64_NonInd_P,C21_60_64_Ind_st_ns_M,C21_60_64_Ind_st_ns_F,C21_60_64_Ind_st_ns_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_over_Indigen_M,C21_65_over_Indigen_F,C21_65_over_Indigen_P,C21_65over_NonInd_M,C21_65over_NonInd_F,C21_65over_NonInd_P,C21_65over_Indig_st_ns_M,C21_65over_Indig_st_ns_F,C21_65over_Indig_st_ns_P,C21_65_over_Tot_M,C21_65_over_Tot_F,C21_65_over_Tot_P,C21_Tot_Indig_M,C21_Tot_Indig_F,C21_Tot_Indig_P,C21_Tot_NonInd_M,C21_Tot_NonInd_F,C21_Tot_NonInd_P,C21_Tot_Indig_st_ns_M,C21_Tot_Indig_st_ns_F,C21_Tot_Indig_st_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
501,4793,9824,276,274,553,5592,5373,10963,237,212,446,3687,3348,7033,245,223,465,4170,3777,7948,191,181,373,3996,4188,8181,368,293,665,4562,4659,9216,159,144,297,4669,5132,9801,364,284,645,5193,5556,10748,127,149,275,5075,5836,10913,425,315,742,5630,6307,11934,132,146,276,5329,5729,11059,455,307,763,5920,6184,12102,128,152,282,5539,5939,11481,506,303,814,6177,6395,12567,118,136,252,5705,6162,11864,517,348,860,6333,6646,12977,116,124,238,5660,6091,11746,421,328,748,6191,6543,12730,91,82,166,5840,6418,12252,394,337,723,6318,6831,13149,132,161,295,17506,18657,36159,1117,1152,2268,18757,19972,38723,2672,2647,5324,84594,87780,172380,5997,5045,11042,93269,95483,188747
502,2653,5359,137,138,273,3015,2971,5986,115,132,246,2326,2410,4739,179,145,321,2623,2686,5306,98,87,187,2220,2469,4691,174,131,309,2493,2692,5188,97,110,206,2358,2764,5119,228,143,372,2677,3020,5700,83,84,169,2595,2983,5586,256,163,420,2935,3228,6170,60,75,132,2412,2809,5223,243,142,381,2715,3019,5736,51,61,114,2772,3065,5837,268,180,452,3089,3308,6404,60,78,139,2912,3308,6213,250,140,393,3225,3521,6745,58,68,126,3134,3465,6601,237,160,395,3428,3690,7124,47,40,90,3104,3684,6785,175,147,329,3332,3875,7206,75,93,166,12293,13581,25878,603,600,1208,12973,14273,27246,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641
503,4891,9705,145,158,302,5030,5143,10172,94,103,191,5910,6462,12372,343,367,703,6339,6927,13265,67,85,152,7068,7292,14358,590,467,1056,7721,7841,15567,52,55,108,7212,7376,14588,570,387,962,7834,7825,15654,44,35,79,6677,6662,13342,413,306,720,7139,7001,14136,45,34,80,5679,5729,11411,366,217,578,6093,5978,12071,48,40,93,5379,5651,11033,286,180,466,5720,5868,11587,32,43,74,5514,5659,11173,314,209,517,5857,5910,11760,38,35,70,4995,5109,10099,286,191,481,5320,5333,10649,13,17,26,4568,4794,9368,228,170,399,4808,4986,9792,46,42,83,13315,15297,28616,734,754,1489,14096,16096,30190,679,732,1411,84701,87752,172445,4645,3756,8401,90025,92241,182267
504,6917,14492,285,276,553,8253,7566,15820,409,328,735,7812,7373,15187,354,294,647,8574,7993,16571,411,356,766,8513,8829,17341,521,415,934,9450,9597,19045,375,307,682,9924,10566,20490,611,417,1027,10908,11294,22203,304,228,531,10213,10220,20434,582,402,983,11093,10850,21946,219,178,397,8656,8903,17562,520,312,834,9403,9395,18798,212,209,417,8208,8705,16919,510,347,864,8928,9271,18197,170,175,342,8328,8628,16954,494,302,793,8991,9101,18094,152,145,299,7856,8132,15991,456,262,715,8463,8536,17004,114,125,247,6930,7362,14296,347,252,603,7399,7741,15138,128,193,322,17876,20313,38186,840,908,1744,18847,21413,40254,4342,3874,8212,127270,129549,256824,6491,5049,11539,138101,138478,276573
505,15857,32702,513,458,971,17773,16665,34435,317,324,640,16540,16041,32583,723,562,1284,17578,16927,34506,285,333,616,16774,17636,34411,953,801,1754,18015,18760,36779,266,297,563,19007,21137,40142,1131,785,1924,20408,22219,42622,223,255,477,20475,21747,42226,1151,808,1958,21854,22810,44661,164,208,373,18084,19429,37512,992,583,1574,19235,20224,39464,177,202,374,18175,19170,37344,968,581,1547,19315,19950,39264,141,201,340,17759,18710,36466,903,524,1430,18802,19436,38237,141,172,309,15915,17055,32969,771,493,1261,16828,17719,34542,118,133,250,14246,15672,29922,617,452,1073,14976,16261,31239,160,202,363,39322,47007,86330,1472,1815,3286,40950,49028,89980,3800,4003,7802,267375,280785,548156,11887,9447,21336,283068,294235,577297
506,13742,28186,540,522,1062,15601,14847,30444,578,530,1113,17095,16168,33267,914,714,1623,18590,17408,35999,523,533,1054,18119,17647,35769,1097,937,2026,19738,19115,38852,481,422,905,18839,20130,38973,1184,919,2095,20505,21471,41977,352,362,713,19996,20493,40487,1128,888,2017,21474,21740,43219,301,300,606,17524,17395,34914,1003,643,1646,18828,18331,37162,292,288,575,15696,15710,31408,916,595,1513,16904,16595,33501,257,308,563,15003,14972,29967,914,583,1500,16175,15856,32031,208,247,456,13623,14003,27626,765,529,1295,14599,14783,29384,155,176,329,12259,13237,25497,622,445,1075,13034,13861,26897,260,344,600,34024,39284,73310,1357,1571,2928,35639,41198,76835,6076,6083,12162,245757,249115,494871,12305,10127,22430,264141,265325,529466
507,12140,24665,483,418,899,13464,12995,26454,485,400,888,12381,12462,24843,710,540,1248,13576,13401,26979,458,379,834,12814,13238,26045,873,659,1535,14142,14274,28418,385,329,715,13983,15533,29512,1003,659,1665,15373,16525,31895,303,282,586,14875,16194,31074,1010,627,1642,16192,17106,33300,254,220,473,13729,14681,28412,890,482,1377,14875,15383,30261,236,206,439,13447,14331,27778,815,525,1336,14500,15057,29564,179,194,374,13336,14204,27539,797,473,1265,14318,14865,29180,151,170,323,12257,13297,25553,689,446,1136,13098,13913,27014,103,137,243,11095,11933,23028,554,375,931,11757,12446,24199,181,212,389,30463,35600,66058,1400,1521,2925,32045,37333,69375,4892,4497,9392,202226,212902,415127,10753,8142,18893,217864,225539,443407
509,2902,6108,319,271,596,3866,3451,7320,228,175,402,2585,2218,4802,283,214,503,3099,2607,5712,211,170,375,2866,2752,5622,330,245,574,3402,3164,6566,162,162,321,3119,3139,6260,356,314,670,3640,3613,7257,170,130,299,3255,3447,6702,371,296,666,3802,3865,7664,139,153,292,3241,3357,6594,406,318,732,3787,3826,7612,158,148,308,3640,3780,7417,431,385,813,4230,4310,8542,122,190,314,4172,4228,8406,506,378,883,4798,4797,9597,177,181,352,4587,4619,9210,534,422,959,5296,5223,10518,150,142,287,4788,4816,9600,474,336,811,5408,5293,10700,215,261,479,14553,14238,28792,1286,1232,2517,16054,15733,31791,3003,2925,5931,60317,59274,119586,6298,5361,11662,69616,67561,137175
510,1040,2189,340,270,608,2526,2308,4829,910,891,1797,1342,1260,2605,481,387,867,2731,2534,5265,854,881,1734,2278,2351,4625,774,565,1345,3907,3796,7702,950,888,1843,2960,2993,5954,900,682,1583,4810,4572,9378,811,820,1634,3025,2813,5840,879,553,1429,4716,4185,8902,718,703,1420,2531,1973,4506,719,420,1140,3966,3099,7066,610,611,1220,2298,1789,4088,697,396,1095,3602,2797,6404,562,594,1155,2138,1596,3734,634,391,1021,3337,2578,5914,415,492,904,1953,1329,3281,587,323,907,2952,2140,5096,353,380,732,1461,1085,2544,426,238,659,2234,1693,3936,472,625,1095,1642,1159,2803,397,297,700,2521,2076,4597,11229,11205,22433,28758,25059,53818,8139,5742,13883,48124,41999,90128
511,2261,4808,343,318,665,3438,3120,6553,445,448,894,2553,2337,4894,513,373,884,3514,3161,6674,433,405,838,3090,2886,5977,675,418,1087,4197,3710,7904,357,332,691,3114,3229,6341,608,406,1015,4081,3969,8049,319,340,656,3243,3131,6371,609,478,1090,4169,3950,8117,304,313,615,2949,2946,5899,557,397,954,3810,3659,7464,317,316,633,3221,3105,6317,568,351,918,4106,3764,7875,291,347,640,3478,3253,6740,621,390,1013,4396,3992,8387,266,285,549,3474,3206,6676,542,367,909,4283,3856,8135,217,260,473,3441,3026,6472,509,335,842,4174,3624,7791,365,470,833,8164,7775,15944,1012,870,1880,9541,9118,18656,5692,5735,11421,48036,45527,93565,7853,5915,13770,61579,57177,118758
