SA4_CODE_2021,C16_M_25_29_Tot_LF,C16_M_25_29_Not_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Not_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Not_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Not_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Not_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Not_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Not_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Not_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Not_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Not_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75over_Em_FT,C16_M_75over_Em_PT,C16_M_75over_Em_AFW,C16_M_75over_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75over_Unem_Lo_pt_wor,C16_M_75over_Unempl_Tot,C16_M_75over_Tot_LF,C16_M_75over_Not_LF,C16_M_75over_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_Tot_Tot_labo_for,C16_M_Tot_Not_LF,C16_M_Tot_LF_NS,C16_M_Tot_Tot,C21_M_15_19_Em_FT,C21_M_15_19_Em_PT,C21_M_15_19_Em_AFW,C21_M_15_19_Em_Hrs_NS,C21_M_15_19_Em_Tot,C21_M_15_19_Unem_Look_FT,C21_M_15_19_Unem_Look_PT,C21_M_15_19_Unem_Tot,C21_M_15_19_Tot_LF,C21_M_15_19_Not_LF,C21_M_15_19_LF_NS,C21_M_15_19_Tot,C21_M_20_24_Em_FT,C21_M_20_24_Em_PT,C21_M_20_24_Em_AFW,C21_M_20_24_Em_Hrs_NS,C21_M_20_24_Em_Tot,C21_M_20_24_Unem_Look_FT,C21_M_20_24_Unem_Look_PT,C21_M_20_24_Unem_Tot,C21_M_20_24_Tot_LF,C21_M_20_24_Not_LF,C21_M_20_24_LF_NS,C21_M_20_24_Tot,C21_M_25_29_Em_FT,C21_M_25_29_Em_PT,C21_M_25_29_Em_AFW,C21_M_25_29_Em_Hrs_NS,C21_M_25_29_Em_Tot,C21_M_25_29_Unem_Look_FT,C21_M_25_29_Unem_Look_PT,C21_M_25_29_Unem_Tot,C21_M_25_29_Tot_LF,C21_M_25_29_Not_LF,C21_M_25_29_LF_NS,C21_M_25_29_Tot,C21_M_30_34_Em_FT,C21_M_30_34_Em_PT,C21_M_30_34_Em_AFW,C21_M_30_34_Em_Hrs_NS,C21_M_30_34_Em_Tot,C21_M_30_34_Unem_Look_FT,C21_M_30_34_Unem_Look_PT,C21_M_30_34_Unem_Tot,C21_M_30_34_Tot_LF,C21_M_30_34_Not_LF,C21_M_30_34_LF_NS,C21_M_30_34_Tot,C21_M_35_39_Em_FT,C21_M_35_39_Em_PT,C21_M_35_39_Em_AFW,C21_M_35_39_Em_Hrs_NS,C21_M_35_39_Em_Tot,C21_M_35_39_Unem_Look_FT,C21_M_35_39_Unem_Look_PT,C21_M_35_39_Unem_Tot,C21_M_35_39_Tot_LF,C21_M_35_39_Not_LF,C21_M_35_39_LF_NS,C21_M_35_39_Tot,C21_M_40_44_Em_FT,C21_M_40_44_Em_PT,C21_M_40_44_Em_AFW,C21_M_40_44_Em_Hrs_NS
501,3786,360,359,4511,3159,538,201,89,3984,256,36,285,4270,361,402,5040,3507,504,209,79,4301,251,30,278,4575,418,402,5399,3779,602,198,78,4660,221,38,258,4918,452,457,5826,3928,560,256,83,4832,253,25,281,5108,535,470,6114,3699,608,248,83,4639,242,50,291,4927,647,490,6069,3174,751,254,67,4243,232,57,295,4538,922,468,5927,1965,828,254,40,3090,182,79,258,3346,1814,429,5589,752,666,94,32,1540,26,42,67,1612,3354,404,5364,235,316,48,21,624,4,15,19,644,2828,341,3813,132,195,31,24,382,0,6,4,389,4419,627,5433,30024,8017,2117,840,40998,2511,764,3278,44272,19091,5497,68862,991,1663,147,68,2873,136,214,346,3217,2081,291,5592,2224,723,135,76,3164,186,86,282,3441,457,272,4170,2677,589,156,99,3518,174,53,226,3739,396,416,4562,3304,591,216,95,4208,135,32,168,4369,417,403,5193,3672,552,247,94,4563,115,27,139,4707,491,432,5630,3874,577,232,90
502,1999,191,185,2376,1579,236,104,52,1963,184,20,201,2160,215,221,2595,1494,214,70,46,1821,164,13,182,2006,246,192,2446,1794,236,102,47,2174,198,20,223,2396,270,211,2879,1920,250,111,46,2329,163,18,176,2505,278,223,3004,1854,269,133,43,2302,177,18,198,2497,359,243,3104,1491,305,118,31,1945,146,26,175,2121,552,207,2877,923,379,119,24,1439,125,43,163,1610,1105,224,2932,328,269,48,5,655,15,14,38,690,2333,218,3243,80,140,26,6,249,8,11,14,269,2246,199,2708,23,107,6,9,145,3,5,7,153,3904,422,4482,14337,3873,1007,416,19634,1890,502,2396,22026,13279,2875,38182,431,879,66,27,1402,109,214,320,1726,1144,147,3015,1146,582,80,50,1864,185,63,248,2108,321,193,2623,1372,340,91,77,1879,151,38,183,2062,236,188,2493,1590,278,138,65,2071,120,25,146,2215,221,241,2677,1807,275,121,56,2261,112,18,129,2382,290,264,2935,1673,245,121,48
503,6520,865,940,8325,4968,977,152,69,6160,246,73,317,6477,528,883,7889,4099,651,132,59,4944,207,51,255,5205,352,597,6155,3712,490,86,49,4335,220,33,251,4586,333,403,5325,3880,504,98,52,4535,210,31,243,4774,405,418,5603,3467,500,90,33,4093,216,33,249,4346,451,418,5215,2921,611,103,26,3662,204,14,217,3880,635,366,4878,1881,739,93,26,2738,137,51,192,2929,1081,364,4374,817,725,49,18,1601,34,50,81,1687,1788,299,3767,277,420,24,12,733,6,19,25,756,1846,270,2868,132,319,14,7,469,8,5,13,483,3684,492,4661,32331,10557,1167,569,44628,1998,1238,3240,47865,16148,6190,70205,206,1716,103,25,2060,30,351,387,2447,2444,139,5030,1769,2404,143,65,4379,145,218,362,4742,1229,368,6339,4388,1419,155,109,6069,185,111,296,6364,716,643,7721,5176,1112,198,79,6564,144,62,209,6770,456,604,7834,5050,851,159,75,6132,144,37,185,6318,376,447,7139,4367,666,114,61
504,7757,1019,620,9405,6694,1007,229,154,8088,469,63,532,8622,1008,642,10268,5991,787,210,146,7135,357,57,413,7548,881,579,9007,5920,810,170,117,7017,390,49,433,7456,855,568,8874,5946,778,226,133,7074,390,50,446,7520,883,597,9001,5371,833,217,96,6525,387,48,437,6956,918,520,8397,4289,803,244,86,5419,343,66,412,5837,1132,493,7461,2681,958,183,51,3877,282,79,360,4242,1682,419,6342,965,689,77,35,1767,45,45,87,1848,3265,363,5483,229,328,24,12,596,13,14,26,622,2931,283,3833,73,153,14,8,251,3,7,9,264,4920,708,5885,47845,12310,2034,1261,63456,4179,1498,5684,69133,24713,6681,100532,1012,2468,122,46,3650,198,562,763,4411,3531,315,8253,3555,2371,175,187,6292,405,223,626,6917,1236,424,8574,5503,1447,239,220,7404,344,100,448,7850,996,601,9450,7226,1160,312,211,8902,249,49,302,9200,1018,681,10908,7531,1147,276,150,9106,239,57,295,9399,1044,657,11093,6378,949,256,148
505,16853,1514,1355,19716,14454,2168,474,360,17447,898,182,1083,18536,1215,1425,21170,13111,1661,448,261,15478,769,104,872,16345,1177,1104,18628,13421,1694,424,266,15810,833,115,949,16757,1214,1093,19066,13054,1821,382,237,15493,831,117,940,16441,1365,1032,18837,11377,1795,378,207,13756,762,92,849,14607,1523,931,17059,8961,1845,399,163,11369,708,119,823,12193,2048,812,15052,5466,2039,353,107,7967,512,171,687,8656,3474,665,12799,1924,1610,173,36,3747,82,87,170,3919,6845,585,11346,445,798,67,22,1334,25,43,67,1402,6045,475,7931,161,393,30,30,628,13,17,27,652,11035,1125,12810,102469,28207,4138,2515,137331,8251,3510,11758,149087,48126,12243,209459,1863,5704,215,109,7898,375,1467,1841,9743,7481,545,17773,7099,5465,339,319,13222,759,504,1259,14480,2241,863,17578,11011,2997,456,358,14810,590,214,803,15613,1301,1094,18015,13840,2415,671,387,17315,502,147,654,17968,1164,1275,20408,15608,2256,654,349,18863,451,107,553,19415,1190,1247,21854,13928,1884,472,222
506,17029,2222,1594,20843,13899,2375,452,329,17052,1004,215,1221,18268,1658,1482,21409,12187,1868,382,277,14716,906,134,1041,15756,1494,1220,18466,10911,1578,319,210,13023,831,115,952,13974,1472,1056,16499,10427,1548,335,220,12523,862,95,965,13486,1460,1010,15961,9415,1494,358,173,11447,738,102,836,12286,1569,926,14776,7532,1480,345,136,9497,669,133,801,10298,1968,830,13098,4936,1686,318,82,7023,551,178,722,7747,3322,808,11875,1884,1375,177,49,3488,91,97,190,3674,6301,675,10656,421,628,55,22,1129,9,41,51,1177,5511,487,7179,144,330,30,22,524,10,17,28,547,9468,1284,11300,91427,26077,3704,2343,123548,8552,3661,12207,135762,48152,13224,197138,1725,4438,207,108,6481,362,1052,1409,7894,7083,628,15601,6926,5806,315,374,13416,711,632,1343,14763,2784,1051,18590,11087,3599,433,453,15576,712,285,996,16577,1875,1291,19738,13248,2648,499,405,16799,540,163,702,17497,1638,1367,20505,14853,2313,558,319,18036,528,113,641,18678,1518,1282,21474,13028,1973,406,231
507,11741,1289,1183,14218,10044,1364,370,198,11977,707,112,824,12805,1070,1109,14979,9744,1156,341,170,11415,637,78,719,12132,925,986,14039,9693,1160,333,171,11353,662,80,738,12095,1019,963,14080,9433,1223,347,167,11164,718,72,796,11963,1129,983,14072,8459,1172,380,128,10133,688,73,761,10893,1252,887,13030,6723,1255,360,105,8447,591,106,702,9153,1705,728,11587,3989,1393,280,75,5735,447,118,564,6303,2942,622,9862,1399,1091,133,38,2665,81,78,158,2820,5232,579,8629,332,534,48,27,933,11,37,45,979,4919,444,6343,126,276,32,12,442,9,13,24,467,8937,1240,10640,74897,18895,3367,1640,98802,6894,2409,9296,108099,38486,11283,157869,1677,4230,186,101,6192,349,1046,1400,7590,5367,502,13464,5579,3880,304,204,9970,622,416,1041,11010,1779,783,13576,8455,2045,403,252,11155,513,186,703,11858,1303,980,14142,10313,1507,529,283,12636,409,114,527,13158,1122,1093,15373,11330,1431,536,249,13538,359,67,425,13963,1120,1110,16192,10575,1300,399,193
509,2650,471,339,3458,2201,293,124,48,2669,123,25,147,2820,450,351,3616,2301,332,109,46,2792,140,22,164,2953,428,320,3705,2594,382,121,54,3157,147,26,170,3326,440,371,4139,2871,448,159,70,3553,136,24,163,3719,551,420,4691,3060,522,194,67,3843,165,31,192,4039,607,443,5088,2823,624,218,69,3736,147,40,192,3927,919,544,5385,2004,726,215,50,2998,151,59,209,3206,1464,447,5123,1024,598,114,28,1768,28,22,48,1816,2696,462,4974,355,369,45,31,801,4,9,11,813,2305,327,3446,258,276,38,49,628,3,3,9,633,3937,623,5193,23874,6002,1566,696,32132,1558,458,2022,34148,16697,5185,56038,797,858,63,58,1778,80,118,192,1975,1569,325,3866,1612,457,69,75,2216,143,37,183,2403,392,307,3099,1942,376,104,70,2494,121,34,151,2647,417,346,3402,2205,342,99,55,2709,88,33,120,2828,439,376,3640,2312,377,124,67,2883,81,22,102,2986,445,371,3802,2298,372,109,60
510,3995,474,1026,5498,3849,293,249,86,4479,144,20,166,4643,417,1085,6139,3280,246,178,71,3773,130,19,148,3921,379,908,5209,2992,290,185,68,3535,128,26,153,3685,390,833,4910,2672,262,163,68,3167,102,19,119,3283,341,716,4334,2315,222,159,61,2761,109,14,121,2887,336,705,3924,1873,183,145,46,2248,80,20,100,2345,357,513,3217,1038,187,96,43,1358,38,8,51,1407,374,344,2127,354,93,27,12,492,9,14,23,511,409,176,1103,84,34,8,6,136,7,7,6,146,310,79,536,38,22,3,3,69,0,0,0,65,312,80,451,23418,2726,1494,631,28271,1258,282,1542,29812,5743,7224,42788,361,509,43,22,937,78,79,158,1094,1030,401,2526,1154,223,62,48,1489,133,32,165,1653,534,539,2731,2049,230,131,94,2499,93,30,126,2624,455,825,3907,2703,288,193,96,3273,77,15,98,3370,479,956,4810,2724,251,224,74,3276,65,20,80,3360,431,919,4716,2274,229,155,72
511,3237,416,534,4190,2741,304,152,71,3272,171,29,200,3474,354,581,4413,2458,240,123,61,2889,163,32,196,3077,328,483,3885,2664,293,121,78,3163,169,36,201,3364,359,520,4244,2866,358,156,69,3455,177,25,204,3657,390,545,4596,2680,386,160,71,3298,210,26,235,3526,458,528,4516,2333,369,181,51,2934,177,33,209,3147,657,518,4325,1480,384,126,48,2041,110,57,164,2210,935,411,3550,597,281,67,39,989,19,19,45,1028,1721,313,3057,186,155,34,9,385,6,8,9,400,1467,225,2085,94,102,11,11,223,0,6,6,230,2154,392,2776,23019,4240,1403,694,29355,1848,483,2338,31690,11364,5811,48869,721,798,56,48,1626,92,136,231,1862,1187,389,3438,1830,365,92,80,2364,136,35,171,2538,413,561,3514,2427,364,136,83,3006,98,27,128,3134,347,714,4197,2423,308,144,89,2963,83,27,108,3073,366,641,4081,2569,306,145,73,3091,75,25,102,3196,330,638,4169,2311,262,106,62
