SA4_CODE_2021,C16_CF_1P1NW_150_399,C16_CF_1P1NW_400_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_1249,C16_CF_1P1NW_1250_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000more,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_Neg_ni_inc,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_399,C16_CF_1A1NW_400_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_1249,C16_CF_1A1NW_1250_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000more,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_Neg_ni_inc,C16_CF_BA_1_149,C16_CF_BA_150_399,C16_CF_BA_400_649,C16_CF_BA_650_799,C16_CF_BA_800_1249,C16_CF_BA_1250_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_Neg_ni_inc,C16_CF_BNW_1_149,C16_CF_BNW_150_399,C16_CF_BNW_400_649,C16_CF_BNW_650_799,C16_CF_BNW_800_1249,C16_CF_BNW_1250_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_Neg_ni_inc,C16_CF_LFns_1_149,C16_CF_LFns_150_399,C16_CF_LFns_400_649,C16_CF_LFns_650_799,C16_CF_LFns_800_1249,C16_CF_LFns_1250_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000more,C16_CF_LFns_Ns,C16_CF_LFns_Tot,C16_C_f_c_Tot_Fi_Neg_ni_inc,C16_C_f_c_Tot_Fi_1_149,C16_C_f_c_Tot_Fi_150_399,C16_C_f_c_Tot_Fi_400_649,C16_CF_c_Tot_Fi_650_799,C16_CF_c_Tot_Fi_800_1249,C16_CF_c_Tot_Fi_1250_1999,C16_CF_c_Tot_Fi_2000_2499,C16_CF_c_Tot_Fi_2500_2999,C16_CF_c_Tot_Fi_3000_3999,C16_CF_c_Tot_Fi_4000more,C16_C_f_with_c_TotFI_Ns,C16_C_f_with_c_Tot_Tot,C16_1PF_F_Neg_ni_inc,C16_1PF_F_1_149,C16_1PF_F_150_399,C16_1PF_F_400_649,C16_1PF_F_650_799,C16_1PF_F_800_1249,C16_1PF_F_1250_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_Neg_ni_inc,C16_1PF_P_1_149,C16_1PF_P_150_399,C16_1PF_P_400_649,C16_1PF_P_650_799,C16_1PF_P_800_1249,C16_1PF_P_1250_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_Neg_ni_inc,C16_1PF_A_1_149,C16_1PF_A_150_399,C16_1PF_A_400_649,C16_1PF_A_650_799,C16_1PF_A_800_1249,C16_1PF_A_1250_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_Neg_ni_inc,C16_1PF_U_1_149,C16_1PF_U_150_399,C16_1PF_U_400_649,C16_1PF_U_650_799,C16_1PF_U_800_1249,C16_1PF_U_1250_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000more,C16_1PF_U_Ns,C16_1PF_U_Tot,C16_1PF_N_lf_Fi_Neg_ni_inc,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_399,C16_1PF_N_lf_Fi_400_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_1249,C16_1PF_N_lf_Fi_1250_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_Neg_ni_inc,C16_1PF_LFns_1_149,C16_1PF_LFns_150_399,C16_1PF_LFns_400_649,C16_1PF_Lfns_Fi_650_799,C16_1PF_LFns_800_1249,C16_1PF_LFns_1250_1999,C16_1PF_LFns_2000_2499,C16_1PF_LFns_2500_2999,C16_1PF_Lfns_Fi_3000_3999,C16_1PF_LFns_4000more,C16_1PF_LFns_Ns,C16_1PF_LFns_Tot,C16_1PF_TotFI_Neg_ni_inc,C16_1PF_TotFI_1_149,C16_1PF_TotFI_150_399,C16_1PF_TotFI_400_649,C16_1PF_TotFI_650_799,C16_1PF_TotFI_800_1249,C16_1PF_TotFI_1250_1999,C16_1PF_TotFI_2000_2499,C16_1PF_TotFI_2500_2999,C16_1PF_TotFI_3000_3999,C16_1PF_TotFI_4000more,C16_One_par_f_TotFI_Ns,C16_One_parent_f_Tot_Tot,C16_TotFI_Neg_ni_inc,C16_TotFI_1_149,C16_TotFI_150_399,C16_TotFI_400_649,C16_TotFI_650_799,C16_TotFI_800_1249,C16_TotFI_1250_1999,C16_TotFI_2000_2499,C16_TotFI_2500_2999,C16_TotFI_3000_3999,C16_TotFI_4000more,C16_TotFI_Ns,C16_Tot_Tot,C21_CFNC_BF_Neg_ni_inc,C21_CFNC_BF_1_149,C21_CFNC_BF_150_399,C21_CFNC_BF_400_649,C21_CFNC_BF_650_799,C21_CFNC_BF_800_1249,C21_CFNC_BF_1250_1999,C21_CFNC_BF_2000_2499,C21_CFNC_BF_2500_2999,C21_CFNC_BF_3000_3999,C21_CFNC_BF_4000more,C21_CFNC_BF_Ns,C21_CFNC_BF_Tot,C21_CFNC_BPT_Neg_ni_inc,C21_CFNC_BPT_1_149,C21_CFNC_BPT_150_399,C21_CFNC_BPT_400_649,C21_CFNC_BPT_650_799,C21_CFNC_BPT_800_1249,C21_CFNC_BPT_1250_1999
501,13,65,100,260,243,81,43,53,33,85,986,3,0,0,11,7,38,95,61,15,38,23,40,337,0,0,0,4,0,9,38,29,38,26,34,29,207,28,14,44,129,136,251,236,86,36,44,26,144,1173,0,0,0,3,4,6,11,9,4,4,3,2134,2174,55,41,87,313,376,1654,4341,2987,2164,2239,1605,3630,19485,4,5,17,79,119,415,528,218,70,63,24,207,1754,9,10,128,456,342,499,237,63,17,21,5,169,1941,0,4,12,45,25,44,35,10,9,11,0,41,229,21,8,111,171,49,52,29,10,3,3,0,36,496,97,32,276,640,302,436,234,40,24,13,17,266,2365,0,0,6,4,7,6,6,0,0,0,0,42,82,130,63,549,1399,838,1449,1064,341,121,109,49,755,6865,449,254,901,3082,3923,6494,9419,5498,3655,3706,2510,6606,46506,10,11,5,12,15,85,426,731,624,907,671,36,3526,3,12,6,39,49,251,393
502,13,44,37,146,139,44,24,32,17,51,551,0,0,0,3,5,27,56,47,12,26,17,23,222,0,0,0,0,0,0,6,13,14,8,14,19,89,30,11,17,105,72,207,140,50,24,24,24,91,799,0,0,0,0,0,0,3,0,6,0,0,1298,1311,40,21,43,182,176,806,1848,1448,1076,1183,1060,2037,9933,0,0,9,29,45,225,294,118,55,56,16,120,961,0,8,74,215,161,242,142,30,9,6,0,88,979,0,0,9,16,17,18,32,13,4,7,0,18,123,21,13,74,118,33,34,21,0,0,0,0,25,353,77,31,191,478,239,327,159,36,12,13,15,187,1769,0,0,0,0,0,5,3,0,0,0,0,26,35,104,51,351,857,494,846,645,204,80,84,29,464,4217,331,187,592,1957,2795,3932,4581,2689,1803,1989,1606,3877,26342,3,0,0,4,4,33,124,261,285,443,350,13,1514,0,0,0,13,14,95,147
503,27,48,48,122,122,89,60,101,188,70,872,5,0,0,5,4,9,18,25,3,33,35,26,168,0,0,0,0,0,0,4,11,13,13,48,12,109,58,16,28,73,33,126,148,76,69,81,118,111,942,4,0,0,0,0,0,3,3,4,0,6,1424,1442,89,26,64,170,154,643,1445,1442,1250,2867,6913,2572,17616,0,6,10,18,31,150,356,236,89,205,157,185,1440,7,14,43,108,116,246,205,76,39,53,35,106,1036,0,0,8,9,5,11,15,6,5,13,10,18,92,25,7,45,43,5,32,21,14,5,0,0,28,235,128,37,87,187,124,222,215,87,45,46,41,159,1372,0,0,0,0,0,0,0,5,0,0,0,13,20,161,63,188,365,285,672,814,430,179,317,243,496,4198,498,167,390,1092,1269,3085,5144,3916,3028,5600,10784,4944,39925,3,0,0,4,3,24,190,587,671,1317,2391,26,5221,8,0,3,23,30,225,363
504,42,134,127,368,401,141,93,75,57,132,1594,3,0,3,19,21,66,117,78,27,36,33,55,467,0,0,0,0,3,21,52,29,29,51,37,44,268,110,40,86,239,180,460,501,185,82,80,53,249,2260,7,0,5,3,0,10,22,10,8,0,0,2463,2516,156,66,163,517,558,2633,6461,4902,3511,4083,3282,4409,30750,8,3,13,82,144,741,1078,492,227,199,102,402,3484,4,22,156,463,300,663,432,112,45,34,12,230,2484,4,3,8,27,19,43,55,23,9,12,4,44,254,50,19,133,201,53,90,69,18,6,14,0,59,708,171,60,385,777,401,662,497,131,82,36,22,391,3616,0,3,4,5,3,5,6,0,0,0,0,75,103,230,110,700,1554,924,2210,2136,775,367,292,142,1202,10646,765,330,1113,3506,4086,8294,13247,8974,6089,6689,4802,8143,66038,5,0,0,10,11,45,491,1252,1288,1945,1440,40,6511,3,4,4,28,45,224,435
505,90,270,265,703,833,377,213,225,219,283,3534,10,3,12,30,30,105,211,129,46,113,82,122,902,0,0,0,3,3,23,93,77,85,94,85,120,584,267,66,189,535,370,846,1039,409,193,228,176,545,4864,4,0,7,6,4,14,36,20,17,6,7,5650,5774,362,123,365,1106,1090,4570,12184,10105,8117,10713,11095,10306,70133,8,11,20,129,252,1220,2030,1077,446,429,192,816,6622,10,51,270,864,641,1388,986,281,100,93,43,445,5167,3,4,37,58,49,116,99,49,18,23,11,108,586,81,31,252,404,112,187,105,42,15,15,4,136,1390,322,102,671,1406,778,1273,973,266,145,81,60,663,6750,0,0,8,11,9,11,14,3,0,0,0,124,180,435,209,1254,2873,1826,4201,4206,1726,728,644,312,2282,20697,1537,692,2170,6623,7977,16568,26029,18548,13489,16481,15257,17802,143177,12,3,4,7,10,65,798,2223,2404,3683,3391,69,12662,12,11,7,74,103,490,961
506,106,352,261,815,800,335,176,184,183,250,3489,7,0,10,33,31,143,225,123,40,91,63,131,893,7,0,0,0,3,20,69,60,58,52,55,93,420,315,68,197,604,378,882,1094,404,184,207,143,466,4946,0,0,5,3,6,21,22,21,3,14,10,4631,4740,410,110,384,1281,1145,5316,12332,8983,6285,7813,7014,8202,59261,17,3,17,108,214,1161,1837,859,349,343,159,629,5688,11,35,250,748,531,1139,719,219,94,79,29,343,4189,0,4,18,36,24,104,102,42,21,20,9,88,472,109,41,241,380,122,172,109,34,21,15,10,115,1366,422,119,743,1351,758,1286,887,237,132,75,51,634,6702,5,0,9,6,9,12,14,10,0,0,0,146,205,556,206,1274,2630,1657,3876,3669,1396,616,530,250,1951,18615,1886,683,2253,6400,7648,16340,24957,16277,10833,12402,10111,14646,124431,7,3,0,9,10,67,870,2214,2163,3123,2588,76,11118,0,6,8,64,107,518,878
507,63,186,149,519,563,264,162,167,178,196,2463,4,0,8,25,16,85,192,115,69,81,81,93,776,0,0,0,0,6,10,51,43,62,66,82,70,386,148,44,110,296,254,613,725,303,162,166,154,407,3393,0,4,3,3,0,13,22,11,6,5,6,4963,5039,206,80,220,671,652,3216,8806,7405,5746,7554,7998,8283,50825,16,3,22,103,184,955,1538,804,290,283,170,588,4959,13,21,212,728,495,1035,699,213,72,61,18,354,3922,4,4,16,46,42,69,79,34,21,25,7,69,413,68,27,201,362,117,167,92,33,7,5,8,97,1177,303,85,621,1263,638,1039,642,180,110,60,48,581,5568,4,0,0,13,8,10,8,0,0,0,0,91,138,408,138,1072,2523,1478,3270,3064,1264,503,437,254,1774,16188,1186,523,1723,5318,6144,12041,18776,13367,9703,11873,11304,14244,106194,12,3,0,10,0,61,575,1537,1632,2799,2528,59,9205,3,8,8,43,66,306,585
509,14,53,50,194,183,58,25,17,14,67,690,0,0,0,5,14,47,59,37,13,19,8,27,227,0,0,0,0,0,15,32,14,17,15,22,20,145,17,7,32,123,104,236,170,53,19,28,14,138,929,0,0,0,0,4,7,12,6,0,0,5,1169,1216,46,40,66,312,335,1548,3033,1850,1289,1236,977,2499,13233,6,0,15,43,98,236,317,118,37,44,28,156,1091,0,5,88,269,176,287,141,30,16,3,9,115,1148,0,0,0,22,14,19,22,9,0,9,5,26,126,8,6,73,96,27,28,11,5,4,8,0,41,297,48,17,205,473,280,370,155,48,18,18,17,221,1879,0,0,0,6,3,7,3,0,0,0,0,44,73,66,38,387,904,595,951,648,217,74,84,56,594,4619,352,246,640,2457,3254,5322,7070,3851,2446,2330,1788,4871,34632,31,12,10,28,35,138,459,614,539,631,487,45,3018,11,5,4,47,53,227,320
510,7,24,25,54,39,42,11,11,21,31,258,0,0,0,6,4,13,28,46,17,40,11,31,189,0,0,0,0,0,0,13,13,19,29,33,19,139,11,10,46,219,117,174,69,27,0,9,3,136,820,0,0,0,3,0,3,3,13,0,10,0,638,667,19,14,59,281,183,486,916,1275,901,1534,1737,1325,8731,4,0,11,22,28,136,253,149,45,75,35,101,851,3,4,36,53,43,93,63,28,5,9,3,31,373,0,0,9,8,10,10,20,9,4,9,0,16,85,15,9,64,55,17,27,7,4,0,0,0,29,216,36,38,263,285,151,158,80,25,15,10,9,197,1267,4,3,4,4,0,4,3,0,0,0,0,67,81,59,44,379,428,249,420,426,210,71,102,49,441,2873,122,87,473,936,610,1266,2118,2315,1694,2767,2894,2516,17798,0,0,0,9,3,23,84,283,373,806,921,23,2534,0,0,0,4,4,18,46
511,12,41,26,100,114,32,19,27,12,37,424,0,0,3,8,3,29,45,56,14,25,10,34,222,0,0,0,6,0,7,32,15,23,21,13,29,139,24,10,36,149,114,152,128,52,17,18,14,139,853,0,0,0,0,0,5,13,4,4,6,4,1308,1342,50,24,55,263,227,841,2285,1821,1382,1637,1284,2291,12172,4,0,8,45,68,260,407,193,55,62,30,158,1285,0,7,88,201,130,204,123,31,9,11,6,95,906,0,0,11,24,8,22,18,11,3,9,3,27,124,16,10,81,86,34,45,22,8,3,6,0,24,337,62,33,239,394,212,278,152,39,14,15,14,217,1666,3,0,3,5,0,3,0,0,0,0,0,97,113,80,51,424,753,449,808,720,279,77,102,53,621,4429,291,176,605,1702,1943,3155,5076,3500,2438,2862,2101,4432,28273,23,0,0,9,18,65,293,529,523,802,745,25,3035,4,0,5,10,21,117,145
