SA4_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
501,44,86,102,193,580,697,156,33,16,81,1998,11,3,23,38,69,143,408,655,189,36,33,83,1688,5,0,12,16,27,58,170,363,128,25,21,37,859,6,4,7,15,23,51,163,385,165,43,44,60,964,11,6,14,12,23,35,85,206,154,66,112,72,790,3,11,34,23,45,94,245,434,186,49,28,66,1224,9,5,44,47,23,41,38,21,7,6,11,94,331,168,152,1129,1280,1096,2003,3984,4537,1310,327,333,893,17211
502,10,24,38,134,337,342,67,14,11,25,1002,4,0,10,9,15,72,278,325,80,23,15,17,848,0,0,3,0,6,28,109,168,59,7,7,5,387,3,0,7,9,5,21,116,195,76,22,6,14,471,0,0,5,5,9,17,53,129,97,28,17,10,376,7,0,5,29,28,60,219,297,110,30,11,41,831,3,0,29,26,9,18,29,30,4,0,3,62,216,65,57,460,706,596,1514,3065,2599,649,155,100,379,10331
503,21,45,84,362,659,1230,561,216,187,73,3458,3,4,15,34,68,309,504,1246,785,339,303,60,3675,5,7,3,19,28,96,194,505,464,189,170,30,1712,3,0,17,20,31,107,218,689,787,398,492,49,2818,4,0,19,11,16,40,127,515,770,650,1930,70,4160,4,0,20,26,25,72,152,357,388,243,333,68,1686,9,9,41,31,4,29,24,27,30,12,42,92,335,145,182,1123,894,897,2661,4110,6921,4835,2427,3868,774,28830
504,36,49,80,264,874,1222,301,52,24,64,2989,9,6,16,37,46,184,630,1221,399,61,31,61,2700,4,0,18,24,18,66,221,609,297,44,25,17,1342,3,0,16,14,20,67,240,610,360,103,53,29,1516,0,3,19,15,12,31,101,289,315,138,83,37,1056,4,3,38,35,44,101,343,632,316,91,48,107,1761,6,7,51,37,11,21,49,42,18,7,12,131,377,166,185,1311,1077,938,2363,5904,7532,2562,579,332,927,23886
505,68,101,133,376,1651,2599,862,210,130,144,6281,3,4,47,86,88,328,1248,2596,1086,348,220,106,6146,9,0,17,37,39,134,547,1327,793,244,141,62,3343,4,0,23,33,35,108,467,1361,1025,504,359,98,4013,9,6,25,27,21,54,212,782,815,535,914,70,3479,15,8,45,54,68,121,588,1376,804,335,307,193,3904,12,9,79,32,24,40,85,94,35,12,16,220,662,275,385,2423,1952,1447,3625,11442,16777,6920,2499,2332,1670,51741
506,124,127,184,564,1973,2813,735,146,123,142,6950,18,10,78,78,123,395,1452,2781,1016,227,125,144,6430,13,8,46,53,59,134,656,1443,639,161,88,68,3369,3,5,48,46,53,129,589,1502,982,297,188,67,3914,10,13,46,43,31,70,288,951,816,447,473,105,3296,16,12,65,110,70,195,747,1527,679,227,155,225,4022,14,7,85,56,30,62,83,75,24,9,13,233,698,334,442,2743,2400,2032,4854,12919,17221,6265,1777,1375,1964,54325
507,45,80,116,344,1186,2057,656,170,97,110,4888,10,7,41,62,80,227,841,1975,827,241,158,112,4583,4,3,18,28,28,120,358,995,496,191,99,46,2391,3,4,19,26,22,102,340,1114,796,319,239,75,3044,5,3,24,33,34,60,160,659,653,454,720,61,2856,5,6,45,65,51,184,507,1205,635,223,200,162,3286,7,8,76,36,24,34,70,64,19,6,25,172,558,266,317,2107,1847,1512,3471,8209,12907,5147,1871,1762,1375,40791
509,92,134,132,206,357,259,45,8,14,164,1456,28,22,57,109,125,159,273,242,53,10,17,116,1202,13,4,32,45,29,69,128,125,28,7,10,47,538,15,6,39,34,41,86,129,146,54,9,14,63,634,6,9,27,31,23,48,83,85,46,17,22,62,456,12,12,42,71,55,99,150,176,46,9,7,62,746,9,6,52,45,15,15,16,9,9,0,3,73,256,281,275,1402,1541,1115,1749,2342,1666,359,79,121,972,11908
510,198,160,122,159,193,217,149,80,132,247,1902,341,51,210,137,100,162,197,286,196,116,200,331,2328,115,25,124,67,58,81,91,134,111,76,127,131,1134,421,56,286,115,120,144,168,166,189,144,317,292,2412,819,66,430,148,115,155,166,145,203,156,526,407,3332,269,69,163,87,53,92,94,111,99,76,158,157,1436,45,42,64,27,14,14,15,15,10,3,13,139,389,2960,883,2245,1204,836,1117,1339,1476,1124,724,1595,2230,17745
511,95,141,173,252,435,289,51,19,38,210,1786,35,15,79,120,124,271,403,365,106,27,48,222,1804,16,14,30,45,47,119,211,206,56,32,20,73,871,31,10,34,44,67,151,237,351,136,54,60,121,1296,21,9,40,43,48,120,163,223,132,75,115,164,1158,36,27,51,75,67,129,242,208,68,31,19,77,1027,16,10,47,38,17,28,21,9,9,4,9,91,298,522,351,1292,1552,1289,2146,2769,2106,645,266,411,1462,14809
