SA4_CODE_2021,C16_M_LE_NS_15_19,C16_M_LE_NS_20_24,C16_M_LE_NS_25_34,C16_M_LE_NS_35_44,C16_M_LE_NS_45_54,C16_M_LE_NS_55_64,C16_M_LE_NS_65_74,C16_M_LE_NS_75_84,C16_M_LE_NS_85over,C16_M_LE_NS_Tot,C16_M_Tot_15_19_yrs,C16_M_Tot_20_24_yrs,C16_M_Tot_25_34_yrs,C16_M_Tot_35_44_yrs,C16_M_Tot_45_54_yrs,C16_M_Tot_55_64_yrs,C16_M_Tot_65_74_yrs,C16_M_Tot_75_84_yrs,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_Post_Deg_15_19_yrs,C21_M_Post_Deg_20_24_yrs,C21_M_Post_Deg_25_34_yrs,C21_M_Post_Deg_35_44_yrs,C21_M_Post_Deg_45_54_yrs,C21_M_Post_Deg_55_64_yrs,C21_M_Post_Deg_65_74_yrs,C21_M_Post_Deg_75_84_yrs,C21_M_Post_Deg_85over,C21_M_Post_Deg_Tot,C21_M_GrDip_GrCe_15_19,C21_M_GrDip_GrCe_20_24,C21_M_GrDip_GrCe_25_34,C21_M_GrDip_GrCe_35_44,C21_M_GrDip_GrCe_45_54,C21_M_GrDip_GrCe_55_64,C21_M_GrDip_GrCe_65_74,C21_M_GrDip_GrCe_75_84,C21_M_GrDip_GrCe_85over,C21_M_GrDip_GrCe_Tot,C21_M_BD_15_19,C21_M_BD_20_24,C21_M_BD_25_34,C21_M_BD_35_44,C21_M_BD_45_54,C21_M_BD_55_64,C21_M_BD_65_74,C21_M_BD_75_84,C21_M_BD_85over,C21_M_BD_Tot,C21_M_AdD_DL_15_19,C21_M_AdD_DL_20_24,C21_M_AdD_DL_25_34,C21_M_AdD_DL_35_44,C21_M_AdD_DL_45_54,C21_M_AdD_DL_55_64,C21_M_AdD_DL_65_74,C21_M_AdD_DL_75_84,C21_M_AdD_DL_85over,C21_M_AdD_DL_Tot,C21_M_CL_C_III_IV_15_19,C21_M_CL_C_III_IV_20_24,C21_M_CL_C_III_IV_25_34,C21_M_CL_C_III_IV_35_44,C21_M_CL_C_III_IV_45_54,C21_M_CL_C_III_IV_55_64,C21_M_CL_C_III_IV_65_74,C21_M_CL_C_III_IV_75_84,C21_M_CL_C_III_IV_85over,C21_M_CL_C_III_IV_Tot,C21_M_CL_C_I_II_15_19,C21_M_CL_C_I_II_20_24,C21_M_CL_C_I_II_25_34,C21_M_CL_C_I_II_35_44,C21_M_CL_C_I_II_45_54,C21_M_CL_C_I_II_55_64,C21_M_CL_C_I_II_65_74,C21_M_CL_C_I_II_75_84,C21_M_CL_C_I_II_85over,C21_M_CL_C_I_II_Tot,C21_M_CL_CL_nfd_15_19,C21_M_CL_CL_nfd_20_24,C21_M_CL_CL_nfd_25_34,C21_M_CL_CL_nfd_35_44,C21_M_CL_CL_nfd_45_54,C21_M_CL_CL_nfd_55_64,C21_M_CL_CL_nfd_65_74,C21_M_CL_CL_nfd_75_84,C21_M_CL_CL_nfd_85over,C21_M_CL_CL_nfd_Tot,C21_M_CL_Tot_15_19,C21_M_CL_Tot_20_24,C21_M_CL_Tot_25_34,C21_M_CL_Tot_35_44,C21_M_CL_Tot_45_54,C21_M_CL_Tot_55_64,C21_M_CL_Tot_65_74,C21_M_CL_Tot_75_84,C21_M_CL_Tot_85over,C21_M_CL_Tot_Tot,C21_M_LE_ID_15_19,C21_M_LE_ID_20_24,C21_M_LE_ID_25_34,C21_M_LE_ID_35_44,C21_M_LE_ID_45_54,C21_M_LE_ID_55_64,C21_M_LE_ID_65_74,C21_M_LE_ID_75_84,C21_M_LE_ID_85over,C21_M_LE_ID_Tot,C21_M_LE_NS_15_19,C21_M_LE_NS_20_24,C21_M_LE_NS_25_34,C21_M_LE_NS_35_44,C21_M_LE_NS_45_54,C21_M_LE_NS_55_64,C21_M_LE_NS_65_74,C21_M_LE_NS_75_84,C21_M_LE_NS_85over,C21_M_LE_NS_Tot,C21_M_Tot_15_19_yrs,C21_M_Tot_20_24_yrs,C21_M_Tot_25_34_yrs,C21_M_Tot_35_44_yrs,C21_M_Tot_45_54_yrs,C21_M_Tot_55_64_yrs,C21_M_Tot_65_74_yrs,C21_M_Tot_75_84_yrs,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85over,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85over,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85over,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85over,C11_F_AdD_DL_Tot,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85over,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85over,C11_F_CL_C_I_II_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85over,C11_F_CL_CL_nfd_Tot
501,630,389,1074,1170,1276,1199,1125,721,295,7878,1202,2200,6701,7974,8042,7242,5310,2278,653,41600,0,5,160,281,330,269,286,131,26,1490,0,0,73,165,184,179,149,40,3,802,0,118,955,1287,1283,1106,999,362,81,6193,15,99,544,924,1069,1082,970,435,71,5211,365,1270,3775,4265,4142,3999,2978,1212,276,22276,291,316,239,117,91,73,53,18,6,1205,25,43,91,153,194,219,217,105,25,1072,688,1631,4105,4539,4425,4291,3252,1340,298,24560,7,11,51,75,73,88,104,64,6,493,381,308,917,1071,1250,1051,966,639,301,6895,1086,2180,6804,8347,8620,8067,6725,3011,796,45639,0,0,117,165,132,122,41,7,0,587,0,9,172,297,247,194,55,13,0,1001,0,247,1574,1873,1321,940,498,167,38,6654,49,289,821,1251,1308,1017,489,173,42,5433,411,895,1749,1736,1522,953,387,359,191,8214,207,191,304,249,193,131,44,17,5,1331,36,87,268,387,372,228,100,37,14,1531
502,219,212,481,513,584,566,648,513,224,3970,539,1243,3327,3613,4082,3658,3468,2036,590,22545,0,10,59,147,154,164,142,57,9,740,0,0,31,50,72,84,83,36,8,352,0,123,390,457,466,464,499,215,43,2657,20,87,291,470,580,663,624,358,68,3163,215,671,1995,1988,2161,2319,2070,1140,275,12843,170,156,112,60,41,44,32,20,4,638,13,24,48,72,91,96,124,97,29,592,403,851,2157,2120,2291,2458,2231,1255,304,14075,9,5,22,45,35,45,73,55,22,301,185,213,500,610,631,546,546,479,256,3966,619,1292,3442,3906,4235,4412,4197,2452,709,25253,0,5,46,77,61,33,22,9,0,249,0,5,61,112,103,70,26,11,0,386,5,156,608,624,476,370,239,110,18,2603,39,154,386,602,607,468,305,120,27,2698,181,468,779,800,796,490,225,81,13,3834,58,100,131,103,90,63,23,11,0,585,23,48,126,145,162,140,125,24,5,795
503,300,597,1971,1121,980,891,723,496,252,7327,512,3510,13708,9930,9165,7521,4999,2342,830,52525,0,191,2573,2707,2241,1741,1215,597,162,11432,0,25,453,552,524,427,259,109,19,2366,8,1766,5951,4944,4095,3245,2364,982,261,23606,24,386,1091,1163,1010,960,847,498,150,6141,191,594,1624,1268,1079,1147,801,436,172,7320,123,112,113,62,32,36,15,11,4,507,14,31,83,89,126,110,126,65,15,659,329,738,1819,1427,1233,1294,943,507,191,8484,19,37,119,113,93,83,99,88,30,679,164,420,1384,985,760,663,591,451,248,5666,546,3567,13390,11892,9960,8417,6333,3223,1058,58376,0,84,1497,1296,1083,773,237,84,14,5084,0,67,598,737,698,487,166,53,14,2821,5,1905,5952,4207,3125,2042,958,469,165,18830,51,499,1155,1153,1505,1185,686,361,122,6716,111,475,731,504,469,330,124,96,27,2872,25,95,93,83,87,55,39,20,8,514,22,61,124,160,228,181,102,70,34,973
504,633,870,2191,1927,1724,1306,1020,704,357,10732,1357,4375,14203,12886,11613,9031,5774,2575,773,62593,0,67,949,1370,762,557,383,157,19,4270,0,26,268,406,377,331,154,57,11,1622,0,776,3577,3758,2521,1651,1150,395,69,13901,44,466,1739,2174,1896,1544,1090,477,83,9515,537,1738,5895,5287,4780,4525,3081,1371,306,27529,352,389,338,202,139,91,56,12,3,1586,40,81,197,236,254,259,234,101,24,1432,931,2210,6432,5725,5176,4878,3367,1483,335,30542,16,63,123,169,135,100,96,74,23,787,397,518,1516,1481,1318,1094,724,581,306,7932,1394,4123,14610,15096,12188,10150,6960,3226,833,68568,0,37,521,520,354,269,80,18,0,1807,4,29,407,479,392,224,82,16,3,1628,6,896,3495,2956,1890,1238,536,163,41,11221,104,621,1660,2021,1832,1216,547,197,42,8238,373,1174,2162,1907,1592,932,261,111,30,8553,137,193,347,280,214,145,51,9,3,1378,55,157,344,469,470,333,154,41,17,2042
505,1122,1146,3268,2729,2542,2025,1651,1260,699,16445,2511,8632,30171,28468,25854,19510,12466,5864,1848,135323,0,200,2441,3368,2624,1746,1077,400,83,11943,0,49,664,940,1003,765,457,152,25,4057,15,2335,8290,9131,7018,4643,3052,1198,251,35933,103,1022,3312,4590,4499,3595,2857,1254,282,21503,1092,3231,10567,10273,9384,8975,6202,2942,794,53457,649,657,514,305,221,165,120,38,0,2672,81,175,369,530,597,519,443,246,69,3030,1821,4063,11452,11102,10200,9656,6764,3230,868,59159,38,90,261,361,349,257,274,165,57,1849,668,1027,2832,2861,2511,1897,1359,1118,664,14952,2652,8782,29252,32348,28209,22559,15841,7520,2224,149392,0,101,1429,1412,957,540,166,32,6,4646,0,110,1087,1262,1069,570,151,34,7,4298,12,2740,9867,7953,5046,3072,1208,474,115,30485,209,1426,3942,5087,4612,3002,1290,508,150,20214,863,2347,4370,3990,3400,1914,755,475,260,18381,247,417,677,547,497,318,124,38,11,2867,95,334,725,1069,1002,792,373,144,60,4599
506,1092,1606,3985,3153,2626,2162,1781,1332,718,18466,2449,9623,30998,25759,21082,16648,11158,5191,1689,124589,0,226,3171,4359,2521,1576,954,385,58,13254,6,57,559,814,752,566,401,121,7,3283,7,2334,8819,9040,5737,3582,2561,930,224,33236,102,1281,3754,4320,3363,2668,2040,932,204,18670,986,3268,9148,8633,7713,7258,5377,2510,677,45580,673,810,614,322,207,125,88,36,9,2884,68,161,354,420,463,446,377,214,64,2575,1725,4241,10119,9380,8386,7829,5846,2766,743,51035,26,103,287,361,302,221,204,157,61,1711,779,1284,3201,2959,2481,1957,1357,1057,692,15780,2647,9523,29912,31228,23547,18394,13364,6348,1999,136969,0,151,1912,1408,907,533,165,35,10,5116,5,125,849,870,780,484,162,44,7,3324,21,2903,9105,5898,3845,2464,1067,428,111,25850,199,1529,3504,3540,3527,2441,1149,444,159,16495,888,2335,4074,3302,2804,1865,738,357,117,16484,282,390,594,471,384,278,104,40,11,2560,103,311,616,825,781,691,339,132,40,3844
507,983,1285,3101,2628,2393,1860,1532,1259,638,15676,2105,6904,21606,21425,19773,15035,9738,4843,1623,103044,0,130,1465,2576,2055,1582,1094,422,77,9396,0,24,479,660,682,625,389,127,28,3012,5,1519,5738,6398,4862,3334,2413,947,221,25429,68,617,2233,3227,3269,2591,1987,828,217,15032,818,2787,8627,8202,7705,6931,4510,2307,635,42521,598,643,476,257,187,150,101,34,5,2463,70,135,295,395,444,430,389,192,42,2396,1490,3567,9405,8859,8338,7511,5000,2527,683,47379,42,68,176,248,251,229,186,143,53,1401,609,918,2371,2436,2125,1667,1242,989,610,12968,2208,6833,21868,24408,21583,17533,12304,5976,1895,114624,0,59,958,1134,951,576,166,32,4,3884,0,101,719,912,804,505,141,39,6,3229,18,1975,6434,5599,3803,2407,971,395,95,21688,158,863,2557,3219,3248,2102,1029,420,120,13718,654,1854,3349,3109,2417,1298,440,227,77,13417,235,388,517,422,367,221,77,29,10,2274,77,216,505,697,708,482,257,113,29,3076
509,514,446,1183,1116,1249,1323,1138,742,292,7996,974,1766,4730,4991,5605,5934,4406,1954,567,30923,0,10,100,152,148,173,186,87,11,868,0,3,51,70,97,120,95,24,5,469,0,122,573,714,738,658,603,213,38,3655,4,60,299,490,626,732,720,318,51,3297,280,813,2471,2306,2449,2804,2122,852,198,14286,203,172,138,96,80,81,54,20,0,845,14,28,62,86,123,176,202,64,24,782,492,1013,2675,2487,2653,3064,2381,934,222,15914,4,7,30,38,51,56,71,37,11,301,420,383,949,980,1170,1268,1109,722,268,7275,915,1593,4674,4936,5488,6068,5165,2334,608,31780,0,5,74,106,127,107,40,0,0,457,0,22,151,223,222,181,49,9,4,864,0,231,1214,1302,948,769,418,149,30,5064,34,117,525,863,1109,939,455,152,54,4250,211,514,1136,1094,1033,712,256,67,25,5056,147,145,250,186,132,102,36,7,0,1014,29,52,185,270,236,231,101,32,12,1148
510,520,627,2495,2077,1660,1055,357,89,26,8907,715,1731,8882,7653,5880,3574,957,196,38,29635,0,10,210,204,122,103,36,4,0,683,0,5,82,104,81,54,20,0,0,345,0,97,787,709,439,256,94,21,3,2405,4,49,373,645,476,351,130,21,0,2048,103,562,2801,2901,2137,1401,435,94,5,10437,94,122,127,96,55,40,6,0,0,532,10,27,72,106,84,61,25,4,0,405,207,717,2994,3095,2271,1503,479,104,5,11378,5,18,34,33,32,27,8,3,0,155,483,584,1922,1831,1519,1154,411,120,23,8042,696,1467,6403,6624,4941,3442,1179,273,33,25052,0,11,139,129,87,69,6,0,0,440,0,15,203,140,102,61,10,0,0,536,0,272,1516,1002,542,269,51,12,0,3673,17,168,665,638,506,214,35,14,0,2257,99,443,1025,687,441,190,33,3,0,2922,75,149,238,128,71,43,7,0,0,705,16,60,161,139,114,57,6,0,0,549
511,523,525,1393,1254,1354,1140,809,437,163,7598,865,1989,6053,5588,5738,4682,2641,1061,287,28901,0,23,187,220,175,121,66,18,4,816,0,3,47,72,93,69,43,4,0,334,0,130,729,693,587,406,258,82,17,2896,6,50,347,547,540,548,371,111,33,2557,192,857,2877,2592,2578,2391,1449,517,101,13549,134,206,161,92,71,68,36,12,5,783,10,30,67,91,102,110,99,39,13,563,332,1091,3108,2776,2753,2570,1580,563,112,14892,3,12,27,33,61,53,32,26,8,254,455,617,1487,1347,1393,1223,841,513,154,8036,796,1932,5928,5696,5598,4984,3189,1325,330,29778,0,8,127,107,94,46,12,3,0,407,0,23,179,180,149,105,21,0,0,646,0,318,1318,1142,691,430,194,50,13,4159,28,185,620,814,770,490,221,65,15,3211,167,537,1165,1009,807,425,131,42,5,4281,146,175,234,169,154,94,27,8,0,1001,30,79,164,212,184,132,50,20,0,873
