SA4_CODE_2021,C16_5_9_Indig_st_ns_P,C16_5_9_Tot_M,C16_5_9_Tot_F,C16_5_9_Tot_P,C16_10_14_Indigen_M,C16_10_14_Indigen_F,C16_10_14_Indigen_P,C16_10_14_NonInd_M,C16_10_14_NonInd_F,C16_10_14_NonInd_P,C16_10_14_Ind_st_ns_M,C16_10_14_Ind_st_ns_F,C16_10_14_Ind_st_ns_P,C16_10_14_Tot_M,C16_10_14_Tot_F,C16_10_14_Tot_P,C16_15_19_Indigen_M,C16_15_19_Indigen_F,C16_15_19_Indigen_P,C16_15_19_NonInd_M,C16_15_19_NonInd_F,C16_15_19_NonInd_P,C16_15_19_Ind_st_ns_M,C16_15_19_Ind_st_ns_F,C16_15_19_Ind_st_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Indigen_M,C16_20_24_Indigen_F,C16_20_24_Indigen_P,C16_20_24_NonInd_M,C16_20_24_NonInd_F,C16_20_24_NonInd_P,C16_20_24_Ind_st_ns_M,C16_20_24_Ind_st_ns_F,C16_20_24_Ind_st_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Indigen_M,C16_25_29_Indigen_F,C16_25_29_Indigen_P,C16_25_29_NonInd_M,C16_25_29_NonInd_F,C16_25_29_NonInd_P,C16_25_29_Ind_st_ns_M,C16_25_29_Ind_st_ns_F,C16_25_29_Ind_st_ns_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Indigen_M,C16_30_34_Indigen_F,C16_30_34_Indigen_P,C16_30_34_NonInd_M,C16_30_34_NonInd_F,C16_30_34_NonInd_P,C16_30_34_Ind_st_ns_M,C16_30_34_Ind_st_ns_F,C16_30_34_Ind_st_ns_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Indigen_M,C16_35_39_Indigen_F,C16_35_39_Indigen_P,C16_35_39_NonInd_M,C16_35_39_NonInd_F,C16_35_39_NonInd_P,C16_35_39_Ind_st_ns_M,C16_35_39_Ind_st_ns_F,C16_35_39_Ind_st_ns_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Indigen_M,C16_40_44_Indigen_F,C16_40_44_Indigen_P,C16_40_44_NonInd_M,C16_40_44_NonInd_F,C16_40_44_NonInd_P,C16_40_44_Ind_st_ns_M,C16_40_44_Ind_st_ns_F,C16_40_44_Ind_st_ns_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Indigen_M,C16_45_49_Indigen_F,C16_45_49_Indigen_P,C16_45_49_NonInd_M,C16_45_49_NonInd_F,C16_45_49_NonInd_P,C16_45_49_Ind_st_ns_M,C16_45_49_Ind_st_ns_F,C16_45_49_Ind_st_ns_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Indigen_M,C16_50_54_Indigen_F,C16_50_54_Indigen_P,C16_50_54_NonInd_M,C16_50_54_NonInd_F,C16_50_54_NonInd_P,C16_50_54_Ind_st_ns_M,C16_50_54_Ind_st_ns_F,C16_50_54_Ind_st_ns_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Indigen_M,C16_55_59_Indigen_F,C16_55_59_Indigen_P,C16_55_59_NonInd_M,C16_55_59_NonInd_F,C16_55_59_NonInd_P,C16_55_59_Ind_st_ns_M,C16_55_59_Ind_st_ns_F,C16_55_59_Ind_st_ns_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Indigen_M,C16_60_64_Indigen_F,C16_60_64_Indigen_P,C16_60_64_NonInd_M,C16_60_64_NonInd_F,C16_60_64_NonInd_P,C16_60_64_Ind_st_ns_M,C16_60_64_Ind_st_ns_F,C16_60_64_Ind_st_ns_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_over_Indigen_M,C16_65_over_Indigen_F,C16_65_over_Indigen_P,C16_65over_NonInd_M,C16_65over_NonInd_F,C16_65over_NonInd_P,C16_65over_Indig_st_ns_M,C16_65over_Indig_st_ns_F,C16_65over_Indig_st_ns_P,C16_65_over_Tot_M,C16_65_over_Tot_F,C16_65_over_Tot_P,C16_Tot_Indig_M,C16_Tot_Indig_F,C16_Tot_Indig_P,C16_Tot_NonInd_M,C16_Tot_NonInd_F,C16_Tot_NonInd_P,C16_Tot_Indig_st_ns_M,C16_Tot_Indig_st_ns_F,C16_Tot_Indig_st_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Indig_M,C21_0_4_Indig_F,C21_0_4_Indig_P,C21_0_4_NonInd_M,C21_0_4_NonInd_F,C21_0_4_NonInd_P,C21_0_4_Indig_st_ns_M,C21_0_4_Indig_st_ns_F,C21_0_4_Indig_st_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_9_Indig_M,C21_5_9_Indig_F,C21_5_9_Indig_P,C21_5_9_NonInd_M,C21_5_9_NonInd_F,C21_5_9_NonInd_P,C21_5_9_Indig_st_ns_M,C21_5_9_Indig_st_ns_F,C21_5_9_Indig_st_ns_P,C21_5_9_Tot_M,C21_5_9_Tot_F,C21_5_9_Tot_P,C21_10_14_Indigen_M,C21_10_14_Indigen_F,C21_10_14_Indigen_P,C21_10_14_NonInd_M,C21_10_14_NonInd_F,C21_10_14_NonInd_P,C21_10_14_Ind_st_ns_M,C21_10_14_Ind_st_ns_F,C21_10_14_Ind_st_ns_P,C21_10_14_Tot_M,C21_10_14_Tot_F,C21_10_14_Tot_P,C21_15_19_Indigen_M,C21_15_19_Indigen_F,C21_15_19_Indigen_P,C21_15_19_NonInd_M
501,775,6391,6032,12430,260,272,531,5485,5413,10900,415,371,782,6160,6053,12220,226,206,432,5082,4625,9712,367,357,726,5678,5188,10870,168,171,341,3652,3476,7130,268,277,546,4094,3922,8015,126,104,232,4028,4259,8284,364,342,702,4511,4707,9216,108,130,242,4540,5120,9658,392,341,742,5040,5600,10637,89,111,201,4906,5153,10056,405,351,760,5399,5614,11014,110,134,240,5264,5675,10934,455,397,851,5826,6201,12030,118,120,239,5512,5899,11408,483,442,926,6114,6460,12579,95,109,208,5491,5646,11139,479,382,863,6069,6139,12203,78,78,160,5368,5758,11125,479,481,963,5927,6318,12242,68,72,139,5102,5337,10440,412,395,812,5589,5809,11392,76,91,171,13284,14232,27515,1256,1433,2687,14618,15757,30373,2033,2098,4130,78603,80755,159355,6542,6301,12837,87176,89149,176328,320,253,575,4691,4496,9188,240,230,470,5256,4976,10232,332,295,628,5724,5270,10998,316,284,600,6368,5851,12219,313,321,638,6142,5729,11867,359,368,728,6817,6421,13235,285,303,587,5026
502,323,3130,3059,6190,133,118,250,2695,2583,5276,138,135,273,2968,2831,5805,109,127,239,2663,2627,5286,159,137,296,2934,2888,5820,90,90,182,2354,2302,4659,151,139,292,2595,2530,5128,73,77,152,2127,2363,4494,177,154,331,2376,2601,4974,66,70,135,2322,2565,4887,206,152,364,2595,2789,5380,41,49,89,2226,2523,4742,184,138,322,2446,2710,5154,34,57,91,2640,2827,5469,208,191,402,2879,3076,5960,44,60,100,2744,2979,5717,226,189,412,3004,3224,6230,39,45,87,2821,3016,5841,238,183,424,3104,3249,6351,38,44,75,2626,3016,5644,211,205,426,2877,3268,6142,34,35,65,2685,3083,5769,218,196,411,2932,3310,6246,34,47,83,9655,10508,20157,744,798,1546,10432,11356,21784,1025,1079,2101,42931,45599,88528,3196,2917,6110,47152,49589,96738,186,192,376,2537,2509,5049,145,101,243,2866,2800,5672,201,186,387,2833,2824,5661,120,159,282,3153,3174,6329,199,218,411,3077,2992,6073,173,175,347,3449,3387,6830,174,173,349,2704
503,424,4631,4254,8883,34,52,82,4288,4156,8448,208,185,390,4531,4394,8924,65,93,151,4277,4539,8815,223,265,487,4564,4890,9448,69,76,143,5982,6094,12072,536,602,1136,6578,6766,13352,57,41,99,7338,7410,14744,935,880,1817,8325,8329,16653,44,37,78,6993,6812,13802,852,766,1621,7889,7610,15500,25,30,51,5552,5405,10956,578,442,1021,6155,5880,12033,30,33,64,4898,5239,10139,387,387,776,5325,5652,10974,33,36,63,5160,5395,10549,412,345,759,5603,5769,11369,33,19,56,4769,4938,9704,416,332,746,5215,5291,10504,17,13,33,4500,4640,9142,357,340,701,4878,4993,9870,22,19,39,4023,4107,8126,334,293,632,4374,4421,8796,29,24,51,10388,12502,22892,886,977,1865,11302,13505,24807,514,519,1026,76440,78936,155377,6657,6244,12898,83609,85694,169299,44,48,87,4064,3769,7830,127,118,244,4233,3930,8158,44,37,82,4551,4276,8830,110,127,239,4706,4439,9149,45,75,124,4956,4777,9733,127,111,239,5128,4970,10096,66,96,164,4817
504,764,8426,7967,16388,360,332,691,7246,6628,13876,401,367,762,8001,7327,15329,355,265,616,7301,6764,14070,389,363,753,8046,7391,15437,356,292,643,7683,7241,14924,491,474,968,8529,8003,16533,308,262,566,8508,8885,17393,588,537,1134,9405,9688,19091,248,206,457,9402,9273,18679,616,539,1154,10268,10022,20288,211,168,386,8239,8354,16588,558,446,1005,9007,8973,17979,199,189,398,8129,8476,16605,542,482,1020,8874,9150,18023,188,157,342,8254,8339,16594,555,457,1009,9001,8954,17949,135,126,259,7752,7835,15596,507,465,974,8397,8430,16827,105,106,208,6888,7153,14042,472,398,869,7461,7655,15115,58,74,137,5894,6132,12027,391,335,720,6342,6540,12884,86,122,209,14195,16028,30226,920,1078,1997,15205,17232,32431,3284,2961,6253,115077,115705,230777,7242,6749,13989,125600,125416,251020,472,412,883,8661,8064,16729,278,261,539,9414,8738,18158,510,385,898,8508,8006,16512,352,312,665,9371,8710,18079,456,470,923,8211,7520,15732,339,285,628,9005,8276,17285,392,374,768,7579
505,1561,18446,17769,36215,374,324,696,16205,15260,31462,644,674,1315,17221,16256,33476,293,294,584,16346,15649,31996,721,667,1393,17357,16607,33969,227,260,486,16505,15807,32310,943,864,1805,17669,16926,34598,225,251,478,18208,18767,36976,1278,1134,2411,19716,20148,39865,178,206,385,19613,19956,39570,1377,1124,2499,21170,21287,42456,147,161,310,17433,18293,35725,1052,908,1962,18628,19365,37992,123,165,289,17871,18588,36459,1071,909,1975,19066,19664,38728,132,177,310,17702,18444,36148,1005,878,1883,18837,19506,38342,117,150,268,16027,16799,32830,914,744,1656,17059,17692,34753,114,132,249,14108,15185,29293,831,766,1598,15052,16081,31135,64,68,131,12054,13222,25278,679,673,1350,12799,13963,26759,86,124,211,30299,36600,66898,1698,2145,3843,32090,38861,70947,2791,3002,5788,246932,255421,502352,13884,13089,26972,263604,271511,535114,489,458,950,17326,16514,33837,525,484,1012,18341,17456,35798,495,441,935,18480,17434,35920,617,591,1207,19591,18469,38056,435,417,858,18410,17375,35788,551,507,1060,19396,18307,37704,413,354,760,16847
506,1441,16325,15123,31443,516,527,1039,13292,12670,25960,689,620,1310,14490,13817,28310,523,498,1022,14467,13426,27893,705,615,1324,15698,14537,30240,483,442,925,17798,16200,33996,1098,1044,2142,19377,17687,37060,416,323,741,18945,18602,37547,1471,1239,2714,20843,20160,41002,306,290,598,19710,19347,39059,1386,1156,2551,21409,20799,42209,242,254,496,17082,16506,33588,1147,913,2059,18466,17678,36147,232,232,470,15275,15183,30457,995,799,1793,16499,16214,32718,209,263,469,14776,14707,29484,978,744,1720,15961,15713,31674,183,228,405,13704,13755,27460,892,759,1650,14776,14740,29511,136,173,304,12185,13079,25262,777,699,1476,13098,13951,27043,113,176,285,11005,11869,22874,751,721,1475,11875,12766,24638,153,231,386,27201,31622,58826,1779,2158,3943,29139,34013,63155,4597,4712,9306,226011,225719,451729,14358,12959,27312,244963,243388,488357,693,655,1340,16106,15357,31460,578,548,1126,17366,16559,33926,679,690,1364,16862,15916,32774,660,646,1308,18206,17241,35446,694,650,1343,16152,15080,31231,628,586,1223,17477,16319,33797,613,581,1199,14448
507,1351,14186,13520,27706,355,372,724,11787,11246,23036,606,573,1181,12743,12189,24935,380,310,689,11766,11482,23251,658,618,1272,12803,12408,25209,385,288,677,12295,12089,24388,908,795,1703,13595,13170,26764,342,254,597,12723,13285,26005,1158,986,2144,14218,14522,28743,259,216,474,13635,14371,28008,1083,948,2031,14979,15533,30513,195,166,361,12888,13374,26257,960,740,1698,14039,14276,28318,196,187,379,12940,13537,26477,946,780,1725,14080,14504,28588,169,179,347,12922,13613,26539,985,753,1736,14072,14545,28618,134,137,268,12031,12643,24676,867,739,1603,13030,13513,26548,98,143,239,10730,11319,22047,754,668,1418,11587,12123,23711,67,91,150,9181,10067,19246,612,605,1224,9862,10762,20622,91,127,214,23777,28093,51871,1737,2071,3812,25604,30290,55895,3494,3249,6744,182424,189853,372270,12690,11632,24320,198610,204729,403336,558,506,1063,13441,12475,25917,474,432,905,14476,13415,27888,568,505,1072,13788,13504,27286,515,481,998,14871,14494,29357,571,516,1089,14082,13319,27400,527,495,1023,15180,14331,29512,458,434,893,12527
509,722,4614,4402,9018,355,332,687,3638,3420,7058,332,285,616,4333,4040,8368,266,232,502,3338,2889,6223,312,249,557,3919,3372,7292,231,142,375,2838,2280,5125,230,221,452,3299,2652,5951,178,177,363,2962,2829,5788,318,287,604,3458,3289,6745,161,141,301,3124,3319,6437,336,285,617,3616,3742,7355,166,143,303,3218,3259,6472,328,292,614,3705,3692,7400,168,130,300,3595,3685,7279,374,344,716,4139,4155,8292,123,196,320,4152,4130,8287,420,371,789,4691,4700,9395,169,148,315,4490,4387,8872,438,421,849,5088,4951,10042,137,135,273,4715,4675,9390,534,410,952,5385,5225,10612,111,99,210,4571,4371,8940,437,410,854,5123,4883,10011,153,198,352,12184,11941,24125,1273,1278,2555,13612,13416,27026,2884,2682,5565,60153,58087,118242,6021,5526,11546,69060,66291,135356,283,265,555,3088,2926,6010,264,257,521,3633,3442,7079,327,301,624,3563,3391,6948,345,347,692,4228,4044,8265,326,373,704,3654,3464,7118,390,347,735,4371,4180,8560,333,287,616,3210
510,664,3680,3532,7212,1160,1121,2284,1453,1354,2812,247,221,476,2868,2699,5568,1028,946,1975,1103,928,2033,202,172,370,2330,2050,4381,959,932,1894,1615,1452,3070,435,330,759,3013,2714,5724,1008,984,1987,3497,2702,6201,986,532,1517,5498,4212,9703,892,897,1792,4209,3067,7277,1039,538,1576,6139,4504,10637,764,775,1538,3581,2420,5996,869,407,1273,5209,3597,8808,732,664,1392,3392,2074,5460,788,317,1100,4910,3053,7960,628,702,1331,3020,1786,4803,686,354,1038,4334,2838,7173,506,614,1125,2748,1639,4388,667,348,1018,3924,2600,6528,401,470,871,2316,1420,3733,503,260,764,3217,2153,5370,290,339,629,1510,916,2428,327,164,490,2127,1419,3544,371,513,882,1436,861,2297,280,191,470,2094,1558,3648,11240,11368,22611,34337,24758,59100,7728,4484,12212,53307,40614,93920,1177,1063,2236,2152,2015,4170,411,327,737,3738,3408,7142,1231,1114,2341,2150,2043,4191,503,489,991,3880,3639,7522,1124,1154,2277,1681,1607,3286,399,405,796,3203,3162,6364,1037,997,2033,1149
511,703,4378,4149,8529,627,668,1295,2966,2848,5811,331,333,670,3923,3850,7771,590,581,1177,2786,2600,5382,323,292,613,3701,3471,7174,481,471,948,2715,2399,5114,341,291,622,3536,3161,6689,433,426,867,3245,3155,6395,511,390,900,4190,3973,8166,367,430,797,3499,3319,6820,548,420,971,4413,4171,8582,308,347,661,3132,3092,6221,448,356,805,3885,3802,7689,336,372,704,3412,3241,6654,497,351,852,4244,3971,8210,313,363,671,3752,3359,7112,532,363,892,4596,4082,8679,261,321,578,3728,3389,7118,526,387,918,4516,4097,8615,232,263,500,3590,3155,6750,500,380,882,4325,3803,8124,157,216,372,2999,2698,5697,391,298,690,3550,3213,6757,281,336,621,6842,6405,13251,797,692,1487,7924,7434,15358,5820,6044,11860,49065,45901,94960,6515,5223,11741,61395,57172,118568,603,523,1122,2805,2741,5545,368,362,732,3775,3628,7403,594,553,1148,3048,2846,5896,465,445,916,4109,3847,7960,636,599,1234,2911,2778,5689,451,404,859,3998,3782,7781,549,536,1082,2546
