SA4_CODE_2021,C21_F_Tot_Em_Tot,C21_F_Tot_Unem_Look_FT,C21_F_Tot_Unem_Look_PT,C21_F_Tot_Unem_Tot,C21_F_Tot_Tot_labo_for,C21_F_Tot_Not_LF,C21_F_Tot_LF_NS,C21_F_Tot_Tot,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Not_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Not_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Not_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Not_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Not_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Not_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Not_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Not_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Not_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Not_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Not_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Not_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Em_FT,C11_P_75over_Em_PT,C11_P_75over_Em_Aw_fr_w,C11_P_75over_Emp_H_wor_ns,C11_P_75over_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_Tot_Tot_labo_for,C11_P_Tot_Not_LF,C11_P_Tot_LF_NS,C11_P_Tot_Tot,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Not_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Not_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot
501,42292,746,1102,1847,44134,29502,4598,78232,1966,2783,262,196,5217,386,311,701,5914,3946,479,10331,3862,1445,272,138,5722,381,123,504,6227,1239,492,7957,4278,1515,337,127,6255,276,110,383,6642,1607,565,8810,4309,1955,400,165,6829,223,134,356,7182,1839,553,9582,4814,2554,410,162,7940,210,137,349,8287,1931,598,10818,5709,2941,449,190,9287,220,158,378,9660,1628,628,11916,5876,2660,440,182,9159,190,100,292,9454,1526,603,11581,5677,2631,498,148,8959,170,68,243,9200,1698,568,11462,4243,2340,499,108,7193,156,64,225,7414,2578,488,10485,2363,1870,370,79,4687,88,66,158,4842,4312,485,9640,686,804,144,41,1678,14,23,37,1714,5104,339,7159,186,327,49,22,582,4,4,7,589,4431,325,5355,85,202,36,40,363,0,4,8,368,7948,994,9308,44074,24012,4166,1608,73856,2324,1309,3639,77493,39794,7110,124401,1281,3158,183,148,4763,347,514,864,5626,4547,695,10870,3424,1712,209,138,5483,514,193,703,6191,1268,554,8015
502,21005,672,846,1515,22518,21130,2648,46298,854,1595,102,82,2643,277,230,504,3144,2034,318,5498,1882,929,152,102,3062,280,68,344,3412,736,307,4457,1977,650,159,86,2873,202,71,274,3138,923,280,4344,1716,769,154,69,2701,151,74,218,2919,978,276,4174,2161,962,188,87,3396,149,74,220,3616,959,324,4900,2438,1177,161,66,3851,139,95,231,4080,874,345,5299,2690,1162,221,68,4144,148,52,202,4343,879,304,5523,2504,1097,232,84,3913,112,61,170,4083,1034,309,5427,1908,977,241,62,3185,96,47,141,3331,1565,327,5216,1139,902,155,40,2237,70,50,122,2360,3131,291,5786,306,448,62,18,836,7,16,26,857,3956,280,5101,74,178,19,11,286,3,0,5,291,3853,275,4420,15,58,8,5,89,0,3,3,86,6280,990,7354,19661,10909,1856,773,33200,1634,836,2467,35664,27214,4626,67502,501,1711,72,52,2341,329,462,791,3130,2405,290,5820,1809,1291,115,75,3282,445,166,609,3893,917,315,5128
503,48215,837,1299,2138,50351,24704,3854,78909,511,2681,204,84,3472,83,442,525,3994,4792,494,9285,4470,4229,421,157,9281,272,459,730,10013,2810,1146,13969,8954,2421,423,142,11943,335,181,510,12455,1738,1661,15849,6995,1822,426,91,9340,229,110,339,9674,1524,1235,12437,5543,1891,381,97,7911,164,90,254,8162,1683,799,10645,5640,2427,307,112,8482,174,92,267,8748,1572,764,11082,5682,2306,289,91,8369,162,88,252,8619,1410,605,10638,5649,2049,282,91,8074,143,73,218,8292,1453,617,10364,4349,1949,309,76,6681,114,67,175,6861,1780,656,9298,2720,1685,262,63,4735,69,57,133,4863,2800,516,8179,937,1071,99,33,2136,15,16,27,2166,3389,392,5943,252,527,48,20,844,5,7,11,854,3366,310,4532,81,321,29,25,462,0,4,6,465,8582,1247,10296,51792,25384,3478,1073,81724,1759,1693,3451,85173,36899,10438,132512,206,2650,134,97,3082,84,719,801,3881,5099,467,9448,3205,4476,231,180,8090,358,700,1055,9139,3084,1121,13352
504,66763,1541,2105,3644,70404,37352,4998,112749,2322,4154,245,272,6995,496,534,1030,8025,6187,741,14948,6812,3273,348,339,10773,601,320,919,11692,2453,832,14981,8511,2351,489,242,11592,388,195,581,12168,2500,925,15602,7730,2700,581,199,11210,298,209,505,11719,2799,836,15354,8254,3272,515,265,12315,312,171,485,12805,2813,860,16478,8769,3708,503,270,13253,293,179,467,13723,2434,890,17048,8944,3354,526,244,13068,271,146,419,13488,2143,792,16414,7874,2890,540,204,11508,209,121,331,11840,2235,788,14856,6201,2531,431,154,9311,178,85,257,9570,2854,629,13048,3653,2263,357,115,6391,128,93,223,6614,4508,612,11727,1086,1085,112,53,2339,14,22,42,2378,5500,480,8354,191,366,32,15,608,3,7,14,619,5219,448,6289,69,143,16,26,258,0,7,8,264,9720,1178,11164,70410,32099,4705,2402,109612,3196,2087,5285,114897,51356,10016,176270,1211,4415,164,141,5934,545,1208,1754,7687,7055,704,15437,5962,4633,322,280,11195,1022,592,1620,12811,2713,1012,16533
505,144065,2735,4642,7375,151443,79091,9464,239995,4285,10392,614,515,15810,885,1472,2358,18164,13920,1463,33541,15053,8662,1000,672,25383,1103,737,1842,27220,4945,1923,34094,20435,5674,1222,523,27849,873,405,1281,29126,4642,2291,36062,17608,5939,1445,431,25416,641,367,1005,26424,5235,1858,33523,17930,7711,1297,495,27434,574,423,995,28427,5689,1794,35914,19104,8616,1046,500,29262,596,428,1024,30286,4990,1692,36968,18895,7847,1015,468,28229,578,301,877,29104,4173,1515,34788,17050,6660,1093,373,25178,510,254,759,25940,4209,1332,31481,13078,5855,947,311,20189,358,185,542,20732,5834,1156,27719,7636,5281,794,201,13914,221,182,403,14315,9566,1056,24942,2098,2406,313,101,4922,38,60,100,5021,11562,848,17439,369,867,63,32,1327,10,23,31,1357,11385,788,13531,102,384,39,33,557,0,14,17,581,22405,2787,25772,153646,76288,10887,4657,245475,6398,4841,11239,256710,108548,20507,385765,2275,10598,442,299,13616,982,2898,3881,17498,15149,1327,33969,11976,11234,675,550,24435,1767,1382,3151,27587,5213,1795,34598
506,122205,3151,4496,7648,129852,74825,10533,215211,4354,8095,494,452,13391,855,1337,2192,15579,12955,1542,30073,14344,8540,924,698,24507,1281,1119,2396,26902,7482,2415,36798,19528,5621,1072,523,26737,960,469,1428,28164,5548,2359,36071,16706,5277,1174,448,23606,670,394,1062,24668,5491,2003,32160,15127,5766,966,464,22315,589,388,978,23294,5366,1793,30455,15762,6220,846,475,23303,581,340,924,24229,4500,1667,30401,15863,5720,862,417,22853,510,253,769,23621,3854,1554,29031,14675,5349,899,337,21263,470,217,685,21949,4222,1371,27543,11811,4898,941,310,17954,369,167,541,18494,5528,1312,25334,7442,4472,694,234,12843,220,157,382,13230,8814,1156,23200,1999,2104,243,85,4429,31,57,86,4517,10602,847,15968,371,751,61,39,1228,15,23,39,1266,10177,827,12266,118,307,42,42,517,3,12,17,529,19837,2671,23039,138095,63121,9205,4526,214945,6552,4941,11494,226439,104380,21516,352333,2202,8272,308,290,11071,877,2468,3348,14420,14503,1315,30240,11529,10662,696,547,23431,1881,1818,3697,27132,7704,2224,37060
507,106804,2226,3782,6003,112808,62489,8008,183300,3386,7165,477,453,11475,823,1150,1972,13446,9819,1135,24404,10766,5958,711,458,17900,920,587,1505,19405,4165,1317,24890,13471,3652,958,349,18421,624,347,975,19402,3657,1355,24411,12286,4095,977,298,17660,508,283,797,18452,4051,1245,23752,12635,5267,901,385,19189,468,302,771,19959,4256,1294,25511,13695,5888,815,344,20741,482,346,833,21573,3806,1344,26722,13617,5494,888,361,20356,458,230,686,21044,3278,1150,25476,12428,4789,829,281,18326,365,176,541,18871,3559,1034,23461,9297,4107,711,216,14340,280,163,446,14783,4825,920,20529,5297,3458,516,157,9432,177,108,283,9716,7651,820,18188,1448,1749,205,71,3479,39,52,91,3572,9175,666,13406,257,582,59,31,931,7,20,22,955,8814,656,10425,82,260,39,36,417,4,4,14,429,18465,2018,20912,108651,52481,8100,3439,172671,5150,3772,8929,181599,85521,14952,282072,1835,7807,322,204,10160,859,2063,2926,13084,10917,1209,25209,9270,7773,591,432,18062,1502,980,2483,20551,4473,1745,26764
509,28844,492,627,1121,29961,21124,4811,55894,1353,1591,132,122,3200,272,187,462,3658,3339,393,7390,2701,896,198,113,3908,273,89,369,4273,1207,391,5867,3091,1024,260,107,4484,167,86,252,4731,1314,378,6429,2957,1335,287,94,4679,161,80,240,4923,1505,358,6783,3571,1823,301,124,5821,213,89,301,6120,1437,455,8009,4435,2106,373,156,7060,203,99,298,7364,1336,512,9209,4917,2082,372,135,7499,173,77,249,7748,1348,481,9572,4888,2113,413,166,7582,185,65,248,7834,1627,538,10003,4182,1840,414,89,6523,135,75,212,6732,2243,439,9411,2663,1693,343,107,4802,86,70,157,4959,3653,435,9047,998,892,177,60,2132,14,23,40,2173,4285,319,6775,398,459,92,35,982,9,11,12,993,4034,305,5325,244,286,52,38,611,8,4,8,620,7336,839,8798,36397,18133,3397,1352,59276,1892,955,2847,62124,34654,5850,102626,1001,1640,85,97,2822,257,227,478,3305,3453,534,7292,2600,1092,145,95,3939,299,100,402,4335,1146,468,5951
510,18436,426,389,816,19251,7614,4917,31785,1022,633,77,98,1828,170,90,267,2090,1985,737,4808,3589,634,202,143,4567,207,74,278,4848,1406,1386,7633,5573,831,415,164,6982,174,62,239,7219,1608,1899,10725,4621,972,402,148,6135,125,51,184,6316,1525,1526,9368,4575,1018,359,118,6067,138,52,188,6254,1342,1530,9126,4327,927,307,119,5685,110,50,164,5848,1062,1446,8357,4005,671,252,107,5035,92,35,129,5164,807,1283,7256,3751,578,285,104,4717,86,20,105,4818,736,1112,6670,2575,449,207,67,3293,41,20,65,3361,736,781,4875,1313,264,108,49,1739,24,6,34,1769,731,466,2972,347,131,32,11,525,6,6,4,536,650,194,1384,67,53,11,12,145,0,0,4,151,433,111,692,26,19,3,5,55,0,0,0,56,587,120,762,35793,7175,2665,1147,46775,1193,464,1662,48437,13603,12585,74618,522,743,47,56,1374,185,129,315,1688,2197,501,4381,2390,614,140,124,3265,332,95,423,3685,1191,844,5724
511,25355,475,531,1008,26362,14463,5086,45919,1711,1613,181,148,3651,294,199,498,4148,2934,610,7694,3872,934,222,155,5182,299,106,403,5585,1342,794,7716,4468,1026,312,146,5948,238,85,324,6276,1569,904,8748,3913,1224,340,127,5599,221,100,312,5913,1533,783,8229,4394,1621,353,170,6535,199,79,278,6811,1424,791,9028,4784,1706,300,143,6935,181,67,255,7190,1164,775,9124,4845,1535,340,125,6846,211,66,281,7126,1072,800,9000,4560,1421,332,143,6455,136,49,189,6647,1175,692,8510,3363,1252,305,107,5028,95,49,138,5172,1523,566,7258,1978,942,229,70,3219,72,49,116,3342,2362,491,6193,660,507,88,40,1296,14,16,32,1330,2688,355,4372,176,237,35,17,470,0,4,4,479,2433,296,3212,73,112,30,24,239,0,5,3,245,3950,618,4804,38789,14142,3069,1413,57413,1969,871,2840,60253,25160,8473,93894,967,1770,78,82,2896,263,276,543,3433,3071,668,7174,2930,994,184,104,4213,407,140,545,4756,1206,725,6689
