SA4_CODE_2021,C16_CFNC_BF_4000more,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_Neg_ni_inc,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_399,C16_CFNC_BPT_400_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_1249,C16_CFNC_BPT_1250_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000more,C16_CFNC_BPT_Ns,C16_CFNC_BPT_Tot,C16_CFNC_1F1P_Neg_ni_inc,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_399,C16_CFNC_1F1P_400_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_1249,C16_CFNC_1F1P_1250_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000more,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_Tot,C16_CFNC_1E1A_Neg_ni_inc,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_399,C16_CFNC_1E1A_400_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_1249,C16_CFNC_1E1A_1250_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000more,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_Tot,C16_CFNC_1F1NW_Neg_ni_inc,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_399,C16_CFNC_1F1NW_400_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_1249,C16_CFNC_1F1NW_1250_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000more,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_Neg_ni_inc,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_399,C16_CFNC_1P1NW_400_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_1249,C16_CFNC_1P1NW_1250_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000more,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_Neg_ni_inc,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_399,C16_CFNC_1A1NW_400_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_1249,C16_CFNC_1A1NW_1250_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000more,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_Tot,C16_CFNC_BA_Neg_ni_inc,C16_CFNC_BA_1_149,C16_CFNC_BA_150_399,C16_CFNC_BA_400_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_1249,C16_CFNC_BA_1250_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000more,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_Neg_ni_inc,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_399,C16_CFNC_BNW_400_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_1249,C16_CFNC_BNW_1250_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000more,C16_CFNC_BNW_Ns,C16_CFNC_BNW_Tot,C16_CFNC_LFns_Neg_ni_inc,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_399,C16_CFNC_LFns_400_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_1249,C16_CFNC_LFns_1250_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000more,C16_CFNC_LFns_Ns,C16_CFNC_LFns_Tot,C16_CFNC_Tot_Neg_ni_inc,C16_CFNC_Tot_1_149,C16_CFNC_Tot_150_399,C16_CFNC_Tot_400_649,C16_CFNC_Tot_650_799,C16_CFNC_Tot_800_1249,C16_CFNC_Tot_1250_1999,C16_CFNC_Tot_2000_2499,C16_CFNC_Tot_2500_2999,C16_CFNC_Tot_3000_3999,C16_CFNC_Tot_4000more,C16_CFNC_Tot_Ns,C16_CFNC_Tot_Tot,C16_CFC_BFT_Neg_ni_inc,C16_CFC_BFT_1_149,C16_CFC_BFT_150_399,C16_CFC_BFT_400_649,C16_CFC_BFT_650_799,C16_CFC_BFT_800_1249,C16_CFC_BFT_1250_1999,C16_CFC_BFT_2000_2499,C16_CFC_BFT_2500_2999,C16_CFC_BFT_3000_3999,C16_CFC_BFT_4000more,C16_CFC_BFT_Ns,C16_CFC_BFT_Tot,C16_CFC_BPT_Neg_ni_inc,C16_CFC_BPT_1_149,C16_CFC_BPT_150_399,C16_CFC_BPT_400_649,C16_CFC_BPT_650_799,C16_CFC_BPT_800_1249,C16_CFC_BPT_1250_1999,C16_CFC_BPT_2000_2499,C16_CFC_BPT_2500_2999,C16_CFC_BPT_3000_3999,C16_CFC_BPT_4000more,C16_CFC_BPT_Ns,C16_CFC_BPT_Tot,C16_CFC_1F1P_Neg_ni_inc,C16_CFC_1F1P_1_149,C16_CFC_1F1P_150_399,C16_CFC_1F1P_400_649,C16_CFC_1F1P_650_799,C16_CFC_1F1P_800_1249,C16_CFC_1F1P_1250_1999,C16_CFC_1F1P_2000_2499,C16_CFC_1F1P_2500_2999,C16_CFC_1F1P_3000_3999,C16_CFC_1F1P_4000more,C16_CFC_1F1P_Ns,C16_CFC_1F1P_Tot,C16_CF_1E1A_Neg_ni_inc,C16_CF_1E1A_1_149,C16_CF_1E1A_150_399,C16_CF_1E1A_400_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_1249,C16_CF_1E1A_1250_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000more,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot,C16_CF_1F1NW_Neg_ni_inc,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_399,C16_CF_1F1NW_400_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_1249,C16_CF_1F1NW_1250_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000more,C16_CF_1F1NW_Ns,C16_CF_1F1NW_Tot,C16_CF_1P1NW_Neg_ni_inc,C16_CF_1P1NW_1_149
501,334,58,3226,4,10,10,58,95,280,366,104,67,42,49,21,1095,7,3,10,27,44,266,960,559,434,298,209,48,2861,0,3,0,5,21,50,146,106,82,65,52,20,536,0,3,7,37,68,382,574,312,79,128,86,56,1732,5,20,61,217,231,496,288,70,44,24,29,57,1532,0,0,4,28,28,72,77,33,4,10,9,18,289,0,4,0,8,12,35,56,39,24,26,18,12,228,212,109,160,961,2167,1676,896,188,79,90,65,330,6931,4,0,3,15,24,20,21,11,5,10,0,1604,1713,266,158,263,1373,2708,3390,4020,2165,1369,1361,864,2221,20154,15,0,5,16,22,74,359,471,489,696,501,355,2998,0,4,3,15,25,139,295,124,93,61,52,79,899,3,0,5,27,37,289,1558,1190,1095,831,655,471,6166,0,0,4,7,3,38,181,160,146,156,80,77,856,3,5,8,37,52,550,1325,765,207,331,186,228,3691,3,7
502,220,19,1380,0,0,0,23,37,112,121,37,20,23,9,10,389,0,0,9,13,12,100,375,285,208,128,106,15,1242,0,0,0,0,7,21,48,33,35,48,27,6,226,0,0,9,27,32,199,367,198,59,102,50,26,1069,0,10,41,105,139,252,139,43,25,11,22,20,814,10,6,4,23,9,37,38,24,7,18,3,14,192,0,0,0,0,0,10,24,12,10,15,10,8,86,160,84,130,707,1876,1498,732,127,41,41,69,252,5710,0,0,0,7,12,20,15,4,0,0,0,1011,1078,181,103,193,908,2128,2277,2090,1041,646,722,517,1378,12192,0,0,0,0,3,20,133,207,256,377,358,167,1519,0,0,0,9,11,39,112,49,35,24,29,36,343,3,3,4,4,8,103,510,499,521,409,377,172,2612,0,0,0,3,0,17,66,69,56,61,80,49,401,0,0,5,17,35,251,684,461,131,228,148,123,2090,0,3
503,1632,50,4736,3,3,7,37,88,264,238,115,71,78,176,17,1095,0,5,0,12,17,132,622,377,341,339,679,36,2550,0,0,0,5,5,26,32,35,31,61,102,14,320,3,0,6,31,48,236,436,314,135,380,417,33,2049,8,17,57,150,106,233,311,121,96,92,187,21,1399,0,0,0,11,7,22,35,11,12,18,17,12,159,0,0,0,0,0,3,14,14,8,24,43,17,135,220,55,64,303,541,815,813,329,196,236,376,130,4087,6,0,0,6,7,12,5,3,3,3,0,1548,1596,244,84,142,569,834,1775,2889,2052,1606,2412,3632,1877,18121,4,0,0,4,5,21,114,167,201,517,1742,227,3007,0,0,0,10,23,78,108,77,65,105,253,57,773,9,0,4,10,9,88,383,423,602,852,2936,365,5669,0,0,0,0,0,8,49,43,68,140,333,50,704,7,0,6,21,33,189,492,525,153,1027,1253,229,3935,9,4
504,749,98,6012,0,9,4,58,75,271,301,124,56,51,33,11,1005,5,0,0,15,33,261,1193,746,531,374,291,52,3500,5,0,0,7,9,36,130,124,92,98,52,29,585,9,5,11,67,117,621,927,455,145,195,147,74,2770,7,15,74,219,236,499,341,91,42,33,30,42,1629,0,0,3,16,23,57,65,36,12,17,5,15,266,4,0,0,3,4,12,31,36,21,31,19,24,195,328,116,143,1024,2058,1564,792,193,51,56,40,282,6640,3,0,0,16,25,24,24,3,3,3,4,1913,2025,371,155,249,1432,2605,3452,4644,3292,2212,2312,1378,2533,24644,12,0,0,5,12,92,604,991,941,1411,1220,456,5749,0,0,0,14,38,181,350,188,125,104,84,97,1187,8,9,5,15,31,366,1989,1774,1543,1365,1162,535,8812,0,0,0,0,7,55,240,234,226,282,206,75,1320,11,12,17,75,136,1013,2183,1273,436,673,430,298,6571,9,9
505,2028,185,12343,9,6,17,82,167,617,731,322,157,99,131,44,2384,12,0,9,32,51,554,2283,1546,1108,811,705,119,7219,3,0,5,12,18,85,209,219,181,219,191,54,1192,4,4,18,94,201,1133,1692,894,299,515,352,113,5314,11,49,151,440,463,1018,779,263,117,94,125,69,3578,3,5,18,33,53,111,150,70,15,38,31,25,551,0,5,0,4,11,29,60,71,57,50,54,43,374,683,294,332,1907,4035,4065,2186,505,194,189,226,640,15256,10,0,5,21,48,52,41,20,9,15,8,3927,4136,741,362,547,2645,5058,7792,9644,6717,4649,5125,3852,5210,52342,10,4,3,17,21,127,947,1636,1839,3168,3535,1034,12344,5,4,9,37,67,355,757,443,286,282,278,232,2756,10,6,14,33,59,639,3894,3807,4021,3875,4474,1344,22178,0,0,0,13,17,90,463,487,495,648,631,234,3080,30,10,41,160,250,1660,3907,2733,919,2081,1606,745,14133,22,26
506,1497,165,10582,9,5,14,82,161,598,638,221,112,86,97,28,2049,9,3,0,32,48,562,2181,1305,917,683,525,100,6366,0,0,0,23,21,86,219,201,171,179,116,49,1066,16,3,24,122,265,1312,1853,893,294,422,279,121,5614,17,57,173,475,440,993,677,188,91,76,98,76,3356,6,9,10,40,36,126,147,49,19,31,27,41,534,0,0,0,4,3,32,71,51,35,48,30,32,310,835,278,365,1678,3801,3235,1563,368,160,147,174,521,13111,15,0,5,18,56,38,43,15,4,4,3,3364,3576,922,369,598,2488,4851,7152,8955,5896,3930,4058,2849,4498,46563,16,4,4,18,27,135,1036,1686,1725,2499,2514,773,10438,8,5,8,55,61,354,671,316,233,225,185,150,2269,15,4,11,44,44,659,3535,2983,2679,2520,2457,885,15828,0,0,7,4,10,92,401,394,365,469,369,139,2240,34,9,31,169,333,2193,4488,2662,827,1542,1028,681,13997,13,16
507,1491,128,8566,6,6,9,56,102,356,440,191,103,97,114,21,1499,0,3,9,23,21,374,1555,1021,894,589,568,90,5156,6,4,0,13,14,62,160,137,159,165,143,32,882,10,10,9,84,147,785,1375,755,261,441,327,103,4303,9,25,101,347,339,744,559,189,117,84,107,62,2683,6,0,10,24,27,102,108,66,16,39,27,33,447,0,0,0,0,0,12,48,45,31,36,39,25,247,520,242,302,1557,3299,2986,1648,405,153,202,222,534,12072,5,3,3,21,36,33,30,21,4,3,10,3159,3331,570,303,439,2127,4008,5555,6909,4692,3459,3884,3052,4191,39181,7,6,4,10,14,85,611,1154,1294,2283,2545,772,8783,3,0,5,25,39,198,454,267,197,215,203,128,1742,11,0,17,23,40,397,2720,2622,2730,2515,3148,903,15132,4,0,4,7,12,63,296,349,332,452,453,166,2131,16,4,9,94,127,1224,3164,2278,728,1601,1147,580,10980,7,13
509,334,82,3204,3,10,11,46,81,227,279,95,57,49,42,33,935,14,5,8,56,36,298,825,454,299,218,159,48,2413,0,0,0,12,14,43,99,75,58,47,39,22,402,5,3,9,55,90,399,498,209,59,88,57,56,1531,4,23,44,177,218,375,229,53,20,12,31,36,1212,4,0,3,18,15,56,71,32,6,17,9,20,243,0,0,0,0,11,27,60,34,27,33,13,27,238,158,108,105,794,1792,1158,615,123,56,42,63,277,5287,3,7,0,18,31,35,22,7,0,9,5,1175,1312,239,166,189,1236,2329,2824,3391,1781,1084,1013,750,1777,16778,8,3,10,32,29,88,322,395,351,429,323,401,2396,0,0,3,12,16,112,171,84,53,34,37,64,582,10,10,10,39,38,361,1104,722,598,441,396,376,4092,4,0,0,3,8,48,120,107,84,84,64,59,582,0,7,12,43,65,448,865,367,122,164,94,181,2382,5,5
510,747,40,2547,0,0,0,4,10,27,52,32,8,13,14,0,170,0,0,0,9,3,25,176,155,182,152,168,14,879,0,0,0,0,0,0,30,26,38,50,52,15,217,0,0,3,14,25,83,186,167,59,137,67,31,772,0,0,9,13,21,49,27,12,5,8,5,8,168,0,0,0,5,5,10,26,20,3,10,11,11,99,0,0,0,3,0,5,12,8,20,30,38,13,119,37,16,15,166,108,110,53,17,8,6,7,52,605,0,6,0,3,0,7,7,13,0,0,0,570,613,46,27,30,223,179,361,779,833,726,1129,1108,754,6194,0,0,0,0,0,20,102,198,256,499,665,172,1927,0,0,0,7,7,28,33,45,24,25,27,27,216,0,0,0,4,3,36,269,324,395,352,608,129,2127,0,0,0,3,3,7,26,49,66,126,127,32,442,0,0,3,15,32,142,328,529,113,434,240,104,1939,0,0
511,401,67,2805,5,5,3,17,26,108,110,54,23,23,28,19,415,6,0,4,15,35,143,502,361,264,186,152,41,1707,0,0,0,11,4,29,67,52,50,49,35,24,309,4,3,8,35,55,262,381,236,63,111,48,50,1258,4,9,33,106,122,194,122,46,15,16,14,24,695,0,3,0,14,11,31,44,15,3,8,5,14,163,0,4,0,5,6,11,32,21,10,23,28,13,144,124,67,71,461,964,611,352,76,23,41,50,167,2997,4,3,0,8,20,13,20,8,3,0,6,1102,1186,162,101,115,679,1261,1504,2071,1397,975,1122,770,1519,11683,15,0,0,15,8,53,210,335,375,618,507,251,2401,5,0,0,8,13,55,91,49,45,37,35,36,368,4,4,3,17,8,134,757,613,645,500,462,248,3393,0,0,4,3,7,24,88,88,101,121,91,69,600,4,6,4,31,42,274,804,575,139,270,130,145,2429,3,3
