SA4_CODE_2021,C21_F_Health_15_19,C21_F_Health_20_24,C21_F_Health_25_34,C21_F_Health_35_44,C21_F_Health_45_54,C21_F_Health_55_64,C21_F_Health_65_74,C21_F_Health_75_84,C21_F_Health_85over,C21_F_Health_Tot,C21_F_Educ_15_19,C21_F_Educ_20_24,C21_F_Educ_25_34,C21_F_Educ_35_44,C21_F_Educ_45_54,C21_F_Educ_55_64,C21_F_Educ_65_74,C21_F_Educ_75_84,C21_F_Educ_85over,C21_F_Educ_Tot,C21_F_MngtCom_15_19,C21_F_MngtCom_20_24,C21_F_MngtCom_25_34,C21_F_MngtCom_35_44,C21_F_MngtCom_45_54,C21_F_MngtCom_55_64,C21_F_MngtCom_65_74,C21_F_MngtCom_75_84,C21_F_MngtCom_85over,C21_F_MngtCom_Tot,C21_F_Soc_cult_15_19,C21_F_Soc_cult_20_24,C21_F_Soc_cult_25_34,C21_F_Soc_cult_35_44,C21_F_Soc_cult_45_54,C21_F_Soc_cult_55_64,C21_F_Soc_cult_65_74,C21_F_Soc_cult_75_84,C21_F_Soc_cult_85over,C21_F_Soc_cult_Tot,C21_F_Creative_art_15_19,C21_F_Creative_art_20_24,C21_F_Creative_art_25_34,C21_F_Creative_art_35_44,C21_F_Creative_art_45_54,C21_F_Creative_art_55_64,C21_F_Creative_art_65_74,C21_F_Creative_art_75_84,C21_F_Creative_art_85over,C21_F_Creative_art_Tot,C21_F_FoodHos_PS_15_19,C21_F_FoodHos_PS_20_24,C21_F_FoodHos_PS_25_34,C21_F_FoodHos_PS_35_44,C21_F_FoodHos_PS_45_54,C21_F_FoodHos_PS_55_64,C21_F_FoodHos_PS_65_74,C21_F_FoodHos_PS_75_84,C21_F_FoodHos_PS_85over,C21_F_FoodHos_PS_Tot,C21_F_MixFld_pr_15_19,C21_F_MixFld_pr_20_24,C21_F_MixFld_pr_25_34,C21_F_MixFld_pr_35_44,C21_F_MixFld_pr_45_54,C21_F_MixFld_pr_55_64,C21_F_MixFld_pr_65_74,C21_F_MixFld_pr_75_84,C21_F_MixFld_pr_85over,C21_F_MixFld_pr_Tot,C21_F_FldStu_ID_15_19,C21_F_FldStu_ID_20_24,C21_F_FldStu_ID_25_34,C21_F_FldStu_ID_35_44,C21_F_FldStu_ID_45_54,C21_F_FldStu_ID_55_64,C21_F_FldStu_ID_65_74,C21_F_FldStu_ID_75_84,C21_F_FldStu_ID_85over,C21_F_FldStu_ID_Tot,C21_F_FldStu_NS_15_19,C21_F_FldStu_NS_20_24,C21_F_FldStu_NS_25_34,C21_F_FldStu_NS_35_44,C21_F_FldStu_NS_45_54,C21_F_FldStu_NS_55_64,C21_F_FldStu_NS_65_74,C21_F_FldStu_NS_75_84,C21_F_FldStu_NS_85over,C21_F_FldStu_NS_Tot,C21_F_Tot_15_19,C21_F_Tot_20_24,C21_F_Tot_25_34,C21_F_Tot_35_44,C21_F_Tot_45_54,C21_F_Tot_55_64,C21_F_Tot_65_74,C21_F_Tot_75_84,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85over,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85over,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85over,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85over,C11_P_ArchBuild_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85over,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85over,C11_P_Health_Tot,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85over,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85over,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85over,C11_P_Soc_cult_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85over,C11_P_Creative_art_Tot
501,135,345,1200,1476,1318,1544,1168,525,145,7859,107,201,847,1441,1579,1381,1050,369,88,7056,207,464,1666,1943,1729,1379,892,290,76,8649,225,360,1052,1533,1511,1293,767,201,27,6973,65,114,340,358,282,234,169,80,24,1669,130,288,843,750,662,440,292,97,15,3518,15,13,10,8,9,10,9,7,3,84,10,22,77,104,117,93,63,23,15,516,391,293,764,871,859,889,908,768,465,6215,1376,2324,7533,9454,8865,7817,5601,2449,876,46282,13,56,299,376,310,202,104,35,7,1402,47,80,195,155,104,74,15,5,0,676,214,910,2314,2797,2916,2221,1288,497,117,13281,118,469,874,881,1001,732,413,175,37,4697,66,154,550,595,503,310,161,60,8,2409,38,194,915,1218,1524,1209,692,253,59,6098,36,146,832,1392,1452,1291,563,184,52,5951,301,660,1694,2013,1641,1209,570,181,53,8321,143,328,964,1163,1056,840,320,107,11,4933,30,115,304,318,267,200,94,49,13,1405
502,74,212,637,624,632,737,614,306,89,3936,46,151,491,669,748,658,516,212,56,3545,98,248,754,975,1005,890,648,323,52,5002,94,280,728,849,782,803,426,123,19,4107,30,67,131,125,100,78,78,34,15,660,81,220,551,440,407,271,255,106,17,2358,13,5,8,4,7,5,8,0,0,54,6,14,33,42,44,45,23,13,5,229,202,208,414,442,460,436,549,601,455,3767,676,1520,4038,4542,4472,4166,3267,1790,739,25208,8,35,84,116,89,62,43,17,9,459,29,74,122,83,78,41,18,6,0,442,99,398,969,1287,1409,1278,1107,526,99,7177,66,208,362,420,440,363,406,205,36,2521,13,40,186,159,120,86,72,32,5,714,25,109,352,450,617,539,375,185,39,2696,15,97,366,572,602,527,302,144,32,2654,131,302,735,874,867,753,591,218,43,4524,79,212,447,541,590,366,187,82,19,2533,31,55,119,97,80,71,60,29,6,552
503,54,577,2799,2036,1896,1767,1209,674,300,11312,38,153,763,843,1101,1272,1342,634,229,6374,153,772,3036,3081,2641,1709,867,383,161,12801,71,699,2373,2181,1803,1406,1046,422,144,10134,98,405,1014,727,530,300,198,122,38,3440,49,234,511,363,304,215,161,71,37,1941,7,11,13,12,9,9,5,3,0,73,14,74,170,173,164,119,102,51,26,890,196,429,1080,679,526,494,535,477,440,4849,712,4171,14067,11865,10270,8156,5896,3014,1448,59596,9,484,1478,1023,1002,714,348,160,46,5267,16,160,913,508,394,144,42,5,0,2180,43,744,3089,2097,2065,1597,830,417,155,11044,38,408,1043,695,655,537,303,133,47,3852,13,81,378,254,194,137,109,59,16,1232,21,613,2487,2367,2545,1823,1100,594,213,11756,16,185,875,1102,1553,1636,846,354,138,6703,97,1403,4837,4177,3451,2095,1073,439,194,17763,61,821,2957,2559,2208,1938,854,381,111,11901,63,670,1474,791,556,354,186,69,26,4200
504,81,793,2683,2234,1714,1494,974,419,128,10518,64,346,1666,1739,1808,1467,964,388,85,8529,259,836,3464,3942,2951,2026,1008,406,97,14984,183,722,2454,2622,2124,1641,929,241,40,10959,119,331,861,741,440,282,176,66,17,3027,177,555,1554,1143,799,523,304,116,22,5205,20,28,27,12,12,18,11,4,0,134,11,50,201,245,179,131,80,33,9,941,382,445,1283,1121,962,796,724,718,524,6957,1361,4594,16004,15491,12136,9051,5546,2509,976,67659,11,172,711,777,534,357,149,44,10,2769,69,205,899,604,379,148,38,4,0,2349,223,1248,3411,3956,3998,3174,1694,697,189,18597,103,525,1028,968,931,805,494,206,44,5103,39,136,404,422,302,191,82,27,4,1595,36,460,1496,1603,1609,1238,607,266,65,7371,63,272,1165,1647,1703,1311,647,204,59,7065,262,1287,3950,3807,2883,1768,808,285,80,15133,182,722,2214,2166,1832,1357,513,149,29,9163,113,446,1022,707,442,326,146,52,21,3273
505,195,1729,6311,5473,4559,3823,2302,1037,325,25761,202,774,3566,4232,4339,3562,2460,975,229,20332,472,1654,7157,9158,7415,4758,2718,1064,357,34755,431,1626,4899,5469,4479,3209,1921,553,115,22704,225,721,1656,1592,874,484,321,145,51,6062,339,1079,2854,2330,1956,1240,740,300,71,10912,63,38,31,28,22,32,30,14,3,263,36,119,377,435,338,254,152,62,22,1796,661,841,2452,2203,1770,1444,1484,1483,1157,13493,2701,9612,32878,34649,28292,20357,12903,5889,2462,149749,10,508,1807,1755,1389,854,360,135,33,6858,144,458,2019,1691,925,382,64,6,0,5693,372,2407,7181,8336,8462,6554,3504,1645,428,38884,311,1480,3105,3137,2879,2007,1116,546,125,14706,58,251,908,752,506,296,142,69,11,2989,103,1397,4474,4821,4605,2912,1417,606,172,20511,94,667,3090,4102,4333,3327,1486,569,180,17850,527,3038,10186,10243,7612,5081,2429,973,320,40408,374,1880,5188,4879,3758,2694,1062,349,69,20259,181,953,2117,1392,773,601,254,123,30,6434
506,210,1750,5849,4784,3271,2759,1992,903,247,21773,209,719,2698,3142,2874,2567,1856,805,194,15055,482,1895,7364,8472,5900,3852,2111,800,233,31113,390,1517,4602,4966,3823,2858,1669,480,85,20401,221,732,1479,1215,661,378,226,124,38,5066,336,1066,2422,1981,1348,812,581,208,42,8789,49,40,42,26,24,35,23,17,7,267,35,107,401,446,302,206,147,50,15,1717,728,1058,2752,2349,1751,1500,1423,1507,1299,14363,2797,10086,32219,32047,22347,16399,10717,5130,2258,133999,26,685,2020,1717,1196,809,358,114,34,6961,155,515,2391,1387,750,288,53,6,0,5542,448,2778,8147,7579,7465,6170,3271,1407,367,37637,216,1082,2024,1778,1679,1540,939,493,131,9881,77,299,902,740,537,374,198,97,27,3245,120,1341,3976,3268,3371,2527,1246,582,152,16587,94,597,2322,2708,3029,2621,1304,497,171,13341,600,3856,10357,7750,5793,4114,1927,696,227,35318,383,1737,4664,3859,3363,2588,1024,320,72,18005,217,918,1848,1037,622,417,255,103,41,5459
507,192,1332,4757,4344,3419,2969,1811,817,272,19915,222,653,2638,3150,3219,2627,1836,729,212,15285,366,1294,4898,6459,5272,3555,1949,712,241,24745,337,1220,3821,4208,3788,2926,1701,533,84,18617,202,573,1245,1170,760,484,290,130,46,4896,312,786,2113,1736,1405,864,536,201,50,8010,38,27,42,23,25,29,15,7,7,211,25,88,277,340,296,187,134,47,20,1425,618,803,1919,1682,1433,1229,1258,1168,1057,11164,2414,7670,24472,26182,21642,16192,10183,4581,2062,115398,19,411,1375,1351,1111,780,323,100,21,5482,148,363,1261,901,587,238,52,4,0,3553,378,2077,6074,6892,6758,4965,2683,1409,374,31619,168,758,1749,1755,1701,1209,832,420,96,8692,50,244,743,664,540,327,150,68,15,2795,89,996,3202,3407,3337,2138,1153,548,187,15056,89,483,2036,2758,3008,2416,1115,436,113,12449,413,2175,6203,6577,5234,3468,1480,731,227,26502,310,1354,3558,3641,3175,2249,877,307,62,15531,153,691,1394,1068,684,481,211,92,26,4790
509,65,246,816,808,859,1127,859,411,132,5319,32,147,595,853,942,1005,812,323,75,4782,116,295,902,1107,1053,986,587,224,50,5320,88,186,632,788,839,897,616,142,21,4217,34,59,169,155,173,146,120,65,12,934,66,166,431,371,392,244,184,62,16,1928,11,13,8,4,7,10,3,6,0,59,0,11,26,56,71,74,45,11,3,291,376,279,679,750,942,983,972,761,418,6159,856,1572,4795,5561,5857,5939,4438,2074,754,31848,0,36,191,232,182,131,89,22,8,888,30,55,113,93,85,50,20,0,0,452,152,603,1366,1650,1868,1609,1004,394,95,8747,72,218,392,438,506,523,349,145,27,2665,119,241,810,824,720,516,255,98,16,3601,27,142,563,819,1146,1034,614,234,62,4643,15,132,688,964,1060,1094,503,158,68,4679,173,406,1164,1308,1148,967,441,147,41,5800,88,215,679,792,863,806,289,80,19,3830,37,68,140,214,205,203,98,30,6,994
510,19,168,812,636,412,349,131,29,0,2556,7,136,688,656,464,326,106,21,3,2411,64,220,1084,1089,644,374,94,15,0,3597,42,149,653,614,428,300,92,20,0,2290,7,25,182,125,74,38,17,3,0,462,34,121,429,317,215,99,16,4,0,1235,0,3,12,3,3,0,0,0,0,21,3,14,39,57,49,38,7,0,0,208,399,494,1535,1220,965,679,280,101,38,5715,616,1427,5993,5196,3510,2301,772,195,45,20064,3,62,284,253,99,45,12,0,0,761,8,33,144,91,55,14,0,0,0,346,93,951,3347,2874,2232,1141,195,38,9,10879,25,278,761,633,498,281,71,15,0,2556,42,113,372,274,172,86,25,0,0,1093,19,148,719,740,631,353,72,10,3,2678,6,132,760,670,470,344,62,12,0,2459,107,426,1505,1165,828,385,56,4,0,4484,28,234,753,626,489,260,36,11,0,2436,12,62,226,178,111,65,13,4,0,663
511,56,276,831,698,703,616,407,197,55,3838,23,146,652,744,840,653,350,132,24,3564,115,339,967,1062,940,689,312,108,26,4555,67,186,664,654,570,537,275,68,7,3038,23,58,152,164,97,72,36,27,7,626,66,216,517,402,387,183,109,48,3,1939,7,17,19,4,7,3,5,0,4,55,4,12,36,41,30,39,16,12,4,198,415,461,1005,1022,931,889,713,467,257,6161,840,1878,5413,5331,4852,3897,2322,1084,394,26003,6,89,306,261,140,93,21,4,4,918,44,55,165,101,69,36,3,0,0,480,151,987,2461,2494,2215,1562,698,254,45,10852,67,244,532,535,552,456,235,86,13,2724,51,128,425,412,325,219,99,41,5,1701,30,202,676,872,829,640,304,108,22,3687,9,176,781,898,825,519,224,57,19,3504,157,422,1257,1269,1014,650,229,78,18,5086,88,256,719,708,639,409,135,22,4,2958,16,91,227,173,123,91,32,20,0,768
