SA4_CODE_2021,Age_55_C21_M,Age_55_C21_F,Age_55_C21_P,Age_56_C11_M,Age_56_C11_F,Age_56_C11_P,Age_56_C16_M,Age_56_C16_F,Age_56_C16_P,Age_56_C21_M,Age_56_C21_F,Age_56_C21_P,Age_57_C11_M,Age_57_C11_F,Age_57_C11_P,Age_57_C16_M,Age_57_C16_F,Age_57_C16_P,Age_57_C21_M,Age_57_C21_F,Age_57_C21_P,Age_58_C11_M,Age_58_C11_F,Age_58_C11_P,Age_58_C16_M,Age_58_C16_F,Age_58_C16_P,Age_58_C21_M,Age_58_C21_F,Age_58_C21_P,Age_59_C11_M,Age_59_C11_F,Age_59_C11_P,Age_59_C16_M,Age_59_C16_F,Age_59_C16_P,Age_59_C21_M,Age_59_C21_F,Age_59_C21_P,Age_55_59_C11_M,Age_55_59_C11_F,Age_55_59_C11_P,Age_55_59_C16_M,Age_55_59_C16_F,Age_55_59_C16_P,Age_55_59_C21_M,Age_55_59_C21_F,Age_55_59_C21_P,Age_60_C11_M,Age_60_C11_F,Age_60_C11_P,Age_60_C16_M,Age_60_C16_F,Age_60_C16_P,Age_60_C21_M,Age_60_C21_F,Age_60_C21_P,Age_61_C11_M,Age_61_C11_F,Age_61_C11_P,Age_61_C16_M,Age_61_C16_F,Age_61_C16_P,Age_61_C21_M,Age_61_C21_F,Age_61_C21_P,Age_62_C11_M,Age_62_C11_F,Age_62_C11_P,Age_62_C16_M,Age_62_C16_F,Age_62_C16_P,Age_62_C21_M,Age_62_C21_F,Age_62_C21_P,Age_63_C11_M,Age_63_C11_F,Age_63_C11_P,Age_63_C16_M,Age_63_C16_F,Age_63_C16_P,Age_63_C21_M,Age_63_C21_F,Age_63_C21_P,Age_64_C11_M,Age_64_C11_F,Age_64_C11_P,Age_64_C16_M,Age_64_C16_F,Age_64_C16_P,Age_64_C21_M,Age_64_C21_F,Age_64_C21_P,Age_60_64_C11_M,Age_60_64_C11_F,Age_60_64_C11_P,Age_60_64_C16_M,Age_60_64_C16_F,Age_60_64_C16_P,Age_60_64_C21_M,Age_60_64_C21_F,Age_60_64_C21_P,Age_65_C11_M,Age_65_C11_F,Age_65_C11_P,Age_65_C16_M,Age_65_C16_F,Age_65_C16_P,Age_65_C21_M,Age_65_C21_F,Age_65_C21_P,Age_66_C11_M,Age_66_C11_F,Age_66_C11_P,Age_66_C16_M,Age_66_C16_F,Age_66_C16_P,Age_66_C21_M,Age_66_C21_F,Age_66_C21_P,Age_67_C11_M,Age_67_C11_F,Age_67_C11_P,Age_67_C16_M,Age_67_C16_F,Age_67_C16_P,Age_67_C21_M,Age_67_C21_F,Age_67_C21_P,Age_68_C11_M,Age_68_C11_F,Age_68_C11_P,Age_68_C16_M,Age_68_C16_F,Age_68_C16_P,Age_68_C21_M,Age_68_C21_F,Age_68_C21_P,Age_69_C11_M,Age_69_C11_F,Age_69_C11_P,Age_69_C16_M,Age_69_C16_F,Age_69_C16_P,Age_69_C21_M,Age_69_C21_F,Age_69_C21_P,Age_65_69_C11_M,Age_65_69_C11_F,Age_65_69_C11_P,Age_65_69_C16_M,Age_65_69_C16_F,Age_65_69_C16_P,Age_65_69_C21_M,Age_65_69_C21_F,Age_65_69_C21_P,Age_70_C11_M,Age_70_C11_F,Age_70_C11_P,Age_70_C16_M,Age_70_C16_F,Age_70_C16_P,Age_70_C21_M,Age_70_C21_F,Age_70_C21_P,Age_71_C11_M,Age_71_C11_F,Age_71_C11_P,Age_71_C16_M,Age_71_C16_F,Age_71_C16_P,Age_71_C21_M,Age_71_C21_F,Age_71_C21_P,Age_72_C11_M,Age_72_C11_F,Age_72_C11_P,Age_72_C16_M,Age_72_C16_F,Age_72_C16_P,Age_72_C21_M,Age_72_C21_F,Age_72_C21_P,Age_73_C11_M,Age_73_C11_F,Age_73_C11_P,Age_73_C16_M,Age_73_C16_F,Age_73_C16_P,Age_73_C21_M,Age_73_C21_F,Age_73_C21_P,Age_74_C11_M,Age_74_C11_F,Age_74_C11_P,Age_74_C16_M,Age_74_C16_F,Age_74_C16_P,Age_74_C21_M,Age_74_C21_F
501,1220,1261,2482,1011,1151,2160,1164,1232,2398,1249,1279,2521,1067,1011,2075,1244,1278,2522,1214,1267,2482,1031,1017,2045,1118,1314,2433,1286,1368,2651,990,942,1933,1193,1164,2352,1221,1371,2591,5214,5269,10485,5927,6318,12242,6191,6543,12730,987,998,1984,1220,1243,2464,1298,1460,2760,905,992,1889,1096,1222,2322,1224,1330,2553,989,920,1915,1142,1122,2267,1302,1364,2665,950,865,1816,1077,1150,2223,1205,1425,2628,1044,994,2032,1050,1069,2117,1292,1249,2544,4875,4764,9640,5589,5809,11392,6318,6831,13149,842,794,1633,1130,1144,2270,1291,1325,2615,804,769,1574,1013,1096,2106,1171,1313,2486,721,670,1392,1066,1016,2081,1214,1173,2389,638,633,1269,1044,982,2021,1116,1222,2346,643,641,1286,1124,1067,2188,1133,1105,2244,3647,3506,7159,5364,5304,10673,5928,6145,12073,548,603,1153,873,849,1719,1150,1159,2310,577,596,1172,805,802,1608,1093,1138,2230,537,550,1087,802,721,1520,1140,1065,2206,507,480,992,644,659,1305,1060,977,2042,462,487,948,693,687,1383,1131,1103
502,652,687,1340,529,524,1050,608,644,1254,653,693,1348,501,529,1026,548,626,1174,709,814,1521,474,511,982,601,660,1259,733,710,1448,485,564,1048,550,633,1190,682,792,1471,2510,2708,5216,2877,3268,6142,3428,3690,7124,475,543,1023,599,702,1303,684,802,1483,545,583,1122,554,638,1188,698,773,1467,521,597,1116,583,620,1202,637,755,1388,582,611,1191,579,663,1238,674,788,1458,649,681,1333,621,685,1309,640,761,1402,2771,3016,5786,2932,3310,6246,3332,3875,7206,521,530,1048,584,598,1182,704,823,1528,492,557,1048,614,682,1292,686,798,1485,517,518,1038,629,667,1294,688,750,1439,514,497,1011,682,705,1381,692,781,1478,472,479,954,739,778,1515,721,797,1518,2519,2584,5101,3243,3428,6670,3500,3940,7443,479,447,927,564,557,1123,726,709,1437,474,435,909,544,598,1143,707,779,1489,441,428,870,557,593,1158,685,717,1399,452,432,883,532,544,1072,720,756,1480,407,416,824,504,507,1006,831,830
503,1050,1102,2153,886,935,1818,1007,1014,2015,1069,1068,2135,898,934,1833,926,1018,1938,1102,1098,2198,910,944,1857,967,1002,1969,1098,1079,2175,896,842,1742,1008,943,1957,1002,984,1991,4680,4613,9298,4878,4993,9870,5320,5333,10649,929,816,1746,1030,932,1959,991,1016,2010,837,816,1649,840,912,1751,1026,994,2023,808,803,1604,826,880,1709,874,1002,1877,782,801,1583,820,901,1724,959,978,1942,791,799,1593,855,806,1655,958,993,1951,4141,4038,8179,4374,4421,8796,4808,4986,9792,676,640,1317,839,814,1656,1036,920,1958,657,587,1241,753,790,1542,778,896,1675,603,613,1219,724,768,1491,804,907,1711,549,505,1048,745,752,1498,828,892,1719,583,540,1119,713,789,1502,806,849,1655,3068,2883,5943,3767,3910,7684,4249,4465,8713,491,539,1029,644,646,1293,846,824,1674,472,435,913,613,556,1177,761,794,1552,456,470,921,572,579,1148,743,772,1517,368,487,850,484,518,1001,694,756,1450,400,413,817,549,534,1081,718,794
504,1697,1658,3353,1342,1424,2765,1575,1597,3179,1632,1675,3316,1256,1319,2573,1500,1514,3017,1765,1789,3552,1242,1253,2497,1408,1473,2881,1667,1717,3386,1254,1245,2493,1369,1388,2757,1702,1693,3399,6448,6599,13048,7461,7655,15115,8463,8536,17004,1245,1250,2500,1357,1395,2754,1609,1719,3323,1156,1176,2332,1318,1383,2704,1531,1648,3177,1076,1123,2203,1249,1347,2599,1551,1557,3109,1162,1104,2262,1223,1236,2459,1378,1459,2833,1197,1238,2433,1190,1185,2377,1333,1354,2685,5837,5893,11727,6342,6540,12884,7399,7741,15138,931,967,1899,1187,1225,2406,1341,1417,2763,901,859,1764,1096,1156,2255,1294,1386,2685,881,842,1723,1020,1077,2096,1185,1348,2529,738,754,1491,1061,1072,2129,1162,1195,2357,726,757,1476,1112,1175,2284,1167,1206,2370,4175,4177,8354,5483,5698,11180,6155,6554,12707,668,677,1343,870,968,1836,1157,1172,2326,699,658,1355,848,841,1694,1026,1112,2135,581,694,1280,800,818,1616,957,1102,2063,555,653,1210,668,712,1385,994,1077,2071,499,592,1099,651,721,1375,1058,1163
505,3385,3581,6966,2698,2972,5667,3037,3315,6357,3344,3563,6902,2686,2829,5520,3052,3201,6256,3338,3575,6910,2627,2800,5430,2872,3058,5929,3434,3528,6964,2553,2647,5199,2850,3131,5983,3324,3467,6797,13390,14328,27719,15052,16081,31135,16828,17719,34542,2544,2617,5160,2693,2925,5622,3289,3411,6697,2402,2599,5000,2604,2926,5529,3008,3366,6376,2338,2592,4932,2574,2786,5365,3000,3273,6271,2362,2467,4832,2482,2756,5239,2875,3087,5961,2482,2540,5020,2440,2567,5008,2808,3121,5933,12127,12813,24942,12799,13963,26759,14976,16261,31239,1867,1854,3726,2360,2575,4939,2734,3060,5796,1730,1949,3679,2247,2516,4760,2664,3068,5736,1818,1858,3675,2207,2447,4654,2540,2912,5450,1532,1641,3178,2190,2395,4583,2502,2801,5303,1506,1677,3181,2343,2518,4864,2373,2663,5034,8454,8981,17439,11346,12445,23794,12817,14501,27317,1358,1514,2878,1726,1900,3628,2334,2599,4932,1333,1539,2868,1638,1864,3500,2334,2617,4959,1326,1401,2722,1695,1809,3500,2209,2571,4777,1254,1358,2611,1445,1603,3049,2206,2382,4590,1122,1324,2445,1424,1624,3046,2324,2489
506,2916,2952,5866,2481,2655,5135,2688,2906,5595,2975,2980,5957,2387,2637,5022,2563,2706,5273,2894,2911,5802,2412,2541,4949,2544,2719,5263,2938,3042,5980,2443,2472,4913,2445,2660,5101,2873,2900,5778,12321,13020,25334,13098,13951,27043,14599,14783,29384,2379,2453,4836,2514,2644,5158,2801,2879,5682,2316,2340,4658,2386,2623,5009,2652,2883,5534,2302,2334,4633,2299,2620,4921,2550,2743,5296,2277,2207,4493,2322,2483,4801,2561,2734,5297,2340,2246,4589,2356,2392,4747,2464,2620,5085,11613,11589,23200,11875,12766,24638,13034,13861,26897,1830,1752,3579,2254,2262,4512,2440,2654,5092,1686,1647,3337,2112,2222,4335,2314,2572,4888,1601,1670,3272,2078,2193,4275,2205,2492,4695,1437,1469,2907,2126,2108,4237,2153,2417,4570,1446,1427,2869,2086,2135,4218,2159,2343,4500,8000,7966,15968,10656,10917,21574,11264,12478,23749,1288,1390,2674,1675,1668,3347,2127,2276,4399,1201,1364,2565,1470,1564,3039,2009,2176,4188,1178,1282,2464,1447,1605,3051,1958,2113,4074,1099,1253,2355,1292,1395,2691,1948,2030,3976,1066,1146,2212,1296,1335,2632,1993,2079
507,2610,2770,5376,1933,2159,4095,2478,2513,4994,2537,2791,5328,1973,2061,4031,2315,2418,4734,2722,2764,5491,1926,2102,4028,2229,2330,4554,2666,2808,5473,1820,2033,3856,2112,2290,4403,2568,2778,5344,9881,10644,20529,11587,12123,23711,13098,13913,27014,1817,1907,3727,2191,2290,4486,2553,2577,5134,1783,1822,3605,1967,2204,4176,2508,2566,5074,1778,1851,3621,1963,2108,4075,2364,2540,4904,1779,1774,3558,1898,2148,4049,2229,2393,4621,1831,1838,3672,1837,2009,3841,2097,2364,4466,8992,9194,18188,9862,10762,20622,11757,12446,24199,1460,1459,2919,1797,1955,3752,2220,2363,4577,1390,1411,2803,1786,1816,3602,2009,2298,4305,1419,1409,2825,1634,1853,3485,1958,2229,4181,1176,1252,2429,1719,1761,3486,1964,2212,4182,1217,1214,2431,1691,1848,3543,1864,2098,3960,6664,6742,13406,8629,9241,17867,10011,11196,21202,1082,1196,2272,1411,1442,2854,1741,1978,3716,984,1089,2072,1335,1412,2751,1782,1864,3652,1031,1157,2186,1334,1354,2680,1670,1915,3587,938,1099,2034,1094,1224,2319,1711,1825,3531,906,951,1856,1169,1235,2406,1688,1884
509,1051,986,2040,947,905,1851,999,1055,2061,1013,1041,2052,933,891,1822,1105,1107,2207,1057,994,2050,984,906,1889,1093,963,2056,1085,1057,2144,937,911,1853,1061,970,2034,1090,1150,2241,4821,4586,9411,5385,5225,10612,5296,5223,10518,970,884,1851,1056,1019,2076,1110,1118,2231,938,878,1814,1004,963,1967,1052,1054,2105,932,847,1777,1006,966,1975,1110,1137,2243,909,839,1745,1027,956,1983,1052,999,2049,981,885,1867,1024,980,2002,1079,983,2070,4724,4327,9047,5123,4883,10011,5408,5293,10700,770,696,1467,1074,966,2040,1106,1032,2137,722,629,1351,986,918,1905,1048,950,1993,735,660,1398,975,822,1797,1014,943,1964,657,611,1261,944,818,1764,1015,969,1984,675,622,1299,999,888,1893,977,971,1944,3564,3210,6775,4974,4422,9395,5153,4867,10019,617,516,1132,769,694,1463,1009,903,1904,539,548,1080,698,646,1336,926,844,1770,544,561,1107,724,675,1400,897,776,1674,565,504,1068,645,614,1254,860,811,1672,490,446,935,620,640,1255,895,815
510,625,430,1059,669,421,1090,656,517,1175,570,439,1007,574,367,941,669,411,1081,612,427,1037,607,331,937,574,338,915,580,418,995,509,297,800,531,377,905,566,435,1005,3041,1831,4875,3217,2153,5370,2952,2140,5096,523,269,786,556,372,928,536,399,937,396,240,637,445,292,737,505,360,868,319,190,505,419,291,714,417,343,764,331,202,526,392,234,622,396,279,674,340,172,508,312,232,540,371,314,685,1903,1067,2972,2127,1419,3544,2234,1693,3936,245,140,383,312,189,504,320,263,585,215,113,321,222,173,395,297,209,512,147,93,245,196,137,331,235,184,422,136,85,223,196,131,325,229,162,394,123,88,204,177,108,287,188,149,338,865,515,1384,1103,734,1834,1272,970,2242,115,80,189,142,102,240,174,160,330,103,73,172,134,76,210,143,110,254,80,52,130,106,86,193,126,101,226,51,41,91,85,65,148,100,93,192,68,35,103,74,66,140,110,91
511,807,789,1594,825,646,1472,907,800,1707,849,721,1565,739,662,1402,804,744,1550,874,833,1709,720,663,1386,861,750,1604,906,789,1700,723,670,1389,801,712,1516,844,728,1568,3860,3401,7258,4325,3803,8124,4283,3856,8135,736,593,1327,801,710,1506,915,735,1654,679,549,1218,742,622,1368,887,750,1635,658,556,1220,678,624,1307,794,729,1523,684,547,1232,642,595,1232,792,724,1510,645,556,1196,688,654,1345,790,685,1470,3402,2793,6193,3550,3213,6757,4174,3624,7791,497,442,937,671,545,1216,750,691,1436,491,425,911,613,522,1130,681,593,1279,501,410,912,596,506,1109,629,576,1201,384,374,759,599,505,1100,600,561,1160,475,376,849,587,495,1080,575,580,1156,2347,2025,4372,3057,2580,5640,3234,2998,6236,409,312,716,440,413,847,600,497,1098,363,333,694,433,381,816,567,448,1018,340,296,633,420,393,811,532,503,1041,340,269,608,357,346,698,538,461,996,294,267,558,439,329,771,522,448
