SA4_CODE_2021,C16_P_25_29_Em_FT,C16_P_25_29_Em_PT,C16_P_25_29_Em_AFW,C16_P_25_29_Em_Hrs_NS,C16_P_25_29_Em_Tot,C16_P_25_29_Unem_Look_FT,C16_P_25_29_Unem_Look_PT,C16_P_25_29_Unem_Tot,C16_P_25_29_Tot_LF,C16_P_25_29_Not_LF,C16_P_25_29_LF_NS,C16_P_25_29_Tot,C16_P_30_34_Em_FT,C16_P_30_34_Em_PT,C16_P_30_34_Em_AFW,C16_P_30_34_Em_Hrs_NS,C16_P_30_34_Em_Tot,C16_P_30_34_Unem_Look_FT,C16_P_30_34_Unem_Look_PT,C16_P_30_34_Unem_Tot,C16_P_30_34_Tot_LF,C16_P_30_34_Not_LF,C16_P_30_34_LF_NS,C16_P_30_34_Tot,C16_P_35_39_Em_FT,C16_P_35_39_Em_PT,C16_P_35_39_Em_AFW,C16_P_35_39_Em_Hrs_NS,C16_P_35_39_Em_Tot,C16_P_35_39_Unem_Look_FT,C16_P_35_39_Unem_Look_PT,C16_P_35_39_Unem_Tot,C16_P_35_39_Tot_LF,C16_P_35_39_Not_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Not_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Not_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Not_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Not_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Not_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Not_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Not_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Em_FT,C16_P_75over_Em_PT,C16_P_75over_Emp_Aw_fr_w,C16_P_75over_Emp_Hou_w_ns,C16_P_75over_Em_Tot,C16_P_75over_Unem_Lo_ft_wor,C16_P_75over_Unem_Lo_pt_wor,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_Tot_Tot_labo_for,C16_P_Tot_Not_LF,C16_P_Tot_LF_NS,C16_P_Tot_Tot,C21_P_15_19_Em_FT,C21_P_15_19_Em_PT,C21_P_15_19_Em_AFW,C21_P_15_19_Em_Hrs_NS,C21_P_15_19_Em_Tot,C21_P_15_19_Unem_Look_FT,C21_P_15_19_Unem_Look_PT,C21_P_15_19_Unem_Tot,C21_P_15_19_Tot_LF,C21_P_15_19_Not_LF,C21_P_15_19_LF_NS,C21_P_15_19_Tot,C21_P_20_24_Em_FT,C21_P_20_24_Em_PT,C21_P_20_24_Em_AFW,C21_P_20_24_Em_Hrs_NS,C21_P_20_24_Em_Tot,C21_P_20_24_Unem_Look_FT,C21_P_20_24_Unem_Look_PT,C21_P_20_24_Unem_Tot,C21_P_20_24_Tot_LF,C21_P_20_24_Not_LF,C21_P_20_24_LF_NS,C21_P_20_24_Tot,C21_P_25_29_Em_FT,C21_P_25_29_Em_PT,C21_P_25_29_Em_AFW,C21_P_25_29_Em_Hrs_NS,C21_P_25_29_Em_Tot,C21_P_25_29_Unem_Look_FT,C21_P_25_29_Unem_Look_PT,C21_P_25_29_Unem_Tot,C21_P_25_29_Tot_LF,C21_P_25_29_Not_LF,C21_P_25_29_LF_NS,C21_P_25_29_Tot,C21_P_30_34_Em_FT,C21_P_30_34_Em_PT,C21_P_30_34_Em_AFW,C21_P_30_34_Em_Hrs_NS,C21_P_30_34_Em_Tot,C21_P_30_34_Unem_Look_FT,C21_P_30_34_Unem_Look_PT,C21_P_30_34_Unem_Tot,C21_P_30_34_Tot_LF,C21_P_30_34_Not_LF,C21_P_30_34_LF_NS,C21_P_30_34_Tot,C21_P_35_39_Em_FT,C21_P_35_39_Em_PT,C21_P_35_39_Em_AFW,C21_P_35_39_Em_Hrs_NS,C21_P_35_39_Em_Tot,C21_P_35_39_Unem_Look_FT,C21_P_35_39_Unem_Look_PT,C21_P_35_39_Unem_Tot
501,4250,1723,323,119,6408,367,174,547,6957,1560,701,9216,4435,2412,455,140,7446,376,206,580,8025,1870,741,10637,4744,2727,396,129,7998,359,168,528,8525,1741,745,11014,5487,3107,320,133,9054,361,192,548,9602,1593,834,12030,5945,3053,420,162,9573,385,138,526,10102,1577,900,12579,5616,2794,428,144,8986,365,156,517,9506,1838,860,12203,4780,2808,484,128,8201,334,175,507,8712,2610,926,12242,2780,2368,422,67,5642,246,165,409,6056,4504,832,11392,995,1344,180,52,2574,31,64,92,2669,7186,818,10673,300,553,70,38,954,9,17,30,977,5886,667,7537,163,312,44,44,567,0,0,9,574,10018,1570,12164,44201,28070,3940,1454,77660,3692,2154,5840,83503,46209,10857,140568,1516,3932,293,139,5879,235,497,726,6606,3786,569,10963,3550,1897,283,145,5881,270,184,453,6328,1103,519,7948,4271,1884,392,145,6698,251,116,364,7066,1415,735,9216,4821,2506,551,152,8027,203,127,328,8360,1686,704,10748,5288,3206,519,170,9182,165,135,297
502,2133,861,203,65,3264,316,109,418,3681,946,349,4974,2167,1045,214,77,3509,266,121,384,3889,1125,369,5380,2103,1116,138,67,3424,237,127,365,3785,1039,329,5154,2685,1244,160,82,4172,311,130,438,4605,954,398,5960,3006,1247,183,81,4523,266,111,376,4898,933,405,6230,2901,1275,231,69,4478,309,86,391,4873,1051,427,6351,2325,1205,210,65,3801,226,89,309,4112,1617,419,6142,1299,1111,182,45,2636,173,95,268,2908,2930,415,6246,422,596,74,17,1108,19,28,51,1158,5087,425,6670,101,235,36,11,383,5,13,23,407,4702,397,5507,34,155,12,16,207,5,3,12,224,8441,942,9607,21485,13088,1831,720,37121,2908,1532,4443,41559,32144,5475,79178,601,2155,118,65,2941,170,415,583,3533,2163,295,5986,1878,1575,173,87,3715,278,136,420,4133,812,362,5306,2187,1060,230,112,3592,213,98,312,3910,935,347,5188,2293,1270,291,104,3956,179,102,282,4232,1059,405,5700,2655,1412,247,80,4398,170,78,253
503,8568,3040,342,182,12129,454,359,811,12942,1873,1839,16653,8345,2544,504,129,11521,418,221,633,12155,1682,1665,15500,6009,2439,399,105,8953,330,176,504,9456,1533,1040,12033,5543,2379,208,98,8223,339,166,501,8727,1454,793,10974,5947,2434,182,99,8664,318,146,467,9133,1469,774,11369,5418,2201,190,66,7871,288,119,409,8286,1466,756,10504,4537,2114,219,47,6911,259,92,353,7265,1891,715,9870,2766,1938,188,56,4950,169,107,276,5230,2905,661,8796,1182,1494,109,31,2816,39,71,111,2928,4176,578,7684,357,709,49,24,1132,12,32,40,1168,4044,486,5702,161,479,20,23,682,10,12,18,705,9462,1257,11421,52241,28900,2761,1133,85031,3079,2907,5982,91017,40151,12150,143315,338,3855,226,59,4474,51,702,753,5224,4642,306,10172,3452,5606,335,157,9554,245,424,671,10222,2300,745,13265,8491,3408,344,187,12431,295,227,523,12951,1483,1131,15567,8924,3070,646,163,12802,253,172,423,13227,1409,1022,15654,7781,3117,501,132,11535,230,126,358
504,9498,3416,567,289,13773,784,378,1160,14935,2966,1183,19091,10056,3626,683,239,14600,722,299,1016,15622,3457,1208,20288,8763,3571,488,206,13034,588,293,881,13914,3003,1057,17979,8966,3845,367,219,13394,622,280,903,14293,2675,1053,18023,9355,3615,395,224,13595,637,221,858,14449,2436,1059,17949,8687,3295,398,172,12542,566,200,766,13312,2518,996,16827,6810,2973,427,137,10346,496,200,697,11040,3160,910,15115,4085,2649,331,91,7164,365,169,537,7702,4407,769,12884,1395,1459,147,61,3062,50,63,106,3172,7274,741,11180,304,582,41,20,953,22,15,36,988,6288,627,7902,102,245,31,23,399,3,6,8,407,11124,1819,13349,75196,38333,4357,2103,119990,6418,3929,10349,130341,59077,13145,202558,1419,5641,227,140,7425,317,1121,1437,8864,6356,600,15820,6126,5482,387,331,12323,628,444,1070,13393,2396,777,16571,9567,3922,656,353,14505,539,284,816,15328,2644,1072,19045,11259,4475,1013,327,17069,409,244,659,17728,3288,1186,22203,11182,4835,745,232,16994,406,265,674
505,20949,7369,1173,548,30038,1597,743,2338,32373,4952,2545,39865,21722,8075,1612,563,31970,1361,704,2065,34031,5833,2587,42456,18712,8242,1143,416,28517,1202,667,1871,30386,5556,2051,37992,19522,9006,851,441,29821,1270,684,1951,31777,4938,2021,38728,20131,8808,748,411,30105,1305,533,1834,31938,4472,1932,38342,17941,7653,785,369,26752,1159,442,1606,28353,4737,1666,34753,14103,6906,807,303,22115,986,390,1374,23491,6031,1603,31135,8313,5770,691,195,14972,685,360,1044,16012,9412,1338,26759,2741,3398,334,80,6550,95,150,241,6793,15748,1258,23794,603,1356,103,53,2114,32,54,91,2206,13481,1039,16725,214,616,46,62,937,13,26,39,973,26350,3108,30429,159206,89035,9405,4287,261943,12453,9035,21483,283427,121872,24258,429556,2645,13094,486,230,16451,602,2862,3469,19917,13471,1049,34435,12237,12893,775,540,26441,1125,994,2118,28560,4422,1527,34506,19595,7917,1259,614,29390,921,501,1424,30816,3954,2010,36779,21883,9250,2221,648,33997,770,548,1325,35323,5081,2227,42622,23055,10656,1750,582,36037,763,526,1281
506,19405,7603,1051,589,28657,1850,981,2832,31490,6631,2887,41002,20807,7534,1332,511,30193,1605,799,2400,32594,6901,2715,42209,17366,7118,909,431,25827,1435,643,2084,27911,6054,2181,36147,16244,6761,602,366,23978,1309,597,1900,25877,4946,1890,32718,16294,6381,641,363,23677,1320,458,1773,25452,4428,1795,31674,14904,5700,708,311,21625,1141,350,1496,23118,4698,1699,29511,11953,5350,675,258,18230,941,389,1332,19557,5914,1573,27043,7435,4845,626,135,13039,691,340,1035,14072,8993,1574,24638,2638,2816,320,81,5855,109,151,255,6107,14138,1328,21574,540,1092,100,48,1771,12,50,61,1833,11848,1067,14753,177,481,40,42,737,11,22,32,774,22720,3323,26824,141502,74606,8025,3967,228087,13176,9075,22249,250338,119478,25581,395396,2452,10220,457,204,13331,624,2187,2818,16147,13107,1191,30444,11744,12717,772,653,25891,1137,1205,2340,28229,5884,1886,35999,18809,8660,1155,729,29354,1121,650,1768,31123,5364,2366,38852,20747,8681,1630,657,31709,924,637,1556,33264,6286,2424,41977,21973,9330,1452,506,33260,860,577,1430
507,14414,4990,817,365,20588,1276,568,1847,22434,4114,2194,28743,15002,5568,1120,335,22025,1129,537,1667,23691,4761,2066,30513,13684,5926,865,300,20773,951,517,1475,22244,4354,1725,28318,14278,6194,632,268,21372,1027,497,1524,22905,3947,1732,28588,14688,6060,641,291,21682,1113,391,1499,23184,3711,1726,28618,13439,5437,679,235,19792,998,323,1324,21121,3802,1625,26548,10400,4863,717,192,16174,789,300,1095,17266,5064,1378,23711,6004,4044,511,140,10697,548,291,834,11531,7872,1210,20622,1919,2314,247,77,4560,95,105,205,4767,11946,1156,17867,420,916,87,42,1456,9,54,61,1515,10570,920,13005,167,414,44,41,669,18,26,44,710,21042,3271,25023,115518,62320,7270,2925,188022,10330,6651,16982,205007,96572,21955,323531,2379,9906,366,207,12860,558,2141,2699,15560,9939,956,26454,9603,9367,680,378,20026,931,849,1778,21800,3779,1398,26979,14537,5791,1136,416,21877,798,463,1259,23146,3577,1707,28418,16064,6516,1614,474,24665,621,447,1066,25728,4339,1828,31895,16767,7582,1335,376,26059,599,408,1002
509,3064,1060,235,85,4439,229,67,297,4733,1386,624,6745,3125,1480,299,95,5000,176,94,273,5268,1460,627,7355,3209,1655,214,89,5170,218,95,309,5477,1315,597,7400,3830,1910,208,95,6050,231,86,325,6371,1219,699,8292,4485,2023,273,121,6907,217,92,302,7207,1407,780,9395,4763,2006,365,123,7255,258,78,340,7594,1594,856,10042,4331,2162,433,127,7054,224,112,333,7388,2259,959,10612,2905,1994,387,93,5374,176,100,276,5647,3498,862,10011,1374,1244,181,50,2857,30,31,58,2910,5611,874,9395,498,675,77,48,1299,4,17,19,1313,4761,629,6708,320,428,59,87,890,3,9,8,902,8667,1356,10926,35510,19371,2964,1203,59053,2315,1096,3412,62462,37770,9870,110109,1121,2018,125,115,3375,136,249,383,3757,2967,599,7320,2589,1136,157,126,4009,207,83,284,4300,878,534,5712,3067,1165,287,113,4631,162,79,239,4868,1110,590,6566,3135,1480,323,111,5050,134,83,211,5270,1284,707,7257,3365,1896,262,103,5627,118,78,194
510,4926,838,346,117,6235,288,107,396,6630,1453,1621,9703,5396,1110,476,131,7116,227,109,340,7451,1527,1658,10637,4539,1016,304,113,5968,219,78,297,6267,1183,1357,8808,4156,987,281,106,5527,221,71,284,5815,952,1191,7960,3881,757,242,112,4990,190,45,235,5223,828,1116,7173,3411,615,258,104,4390,168,48,216,4602,851,1074,6528,2779,493,225,65,3574,110,42,158,3727,849,791,5370,1526,386,135,60,2104,61,25,89,2192,812,539,3544,472,165,45,23,706,9,24,36,739,790,304,1834,112,62,11,6,199,7,0,14,211,581,136,928,56,34,3,3,97,0,0,0,98,625,168,885,34164,7833,2524,1021,45544,2034,763,2796,48336,13844,11302,73481,612,1093,75,62,1845,134,147,278,2125,2003,703,4829,2056,554,135,99,2846,189,80,268,3112,1179,975,5265,3631,757,299,154,4842,146,71,222,5060,1212,1429,7702,4289,1168,498,150,6102,137,77,209,6311,1364,1707,9378,4273,1208,398,130,6009,114,66,182
511,3876,1070,296,93,5338,320,102,430,5765,1439,962,8166,3875,1363,347,111,5687,261,109,368,6059,1481,1050,8582,3552,1393,261,103,5301,236,98,333,5638,1203,850,7689,4077,1495,200,133,5902,262,114,373,6278,1044,887,8210,4415,1554,258,118,6344,266,97,364,6706,1054,912,8679,4223,1469,287,127,6104,298,74,371,6479,1207,924,8615,3545,1347,311,90,5292,244,85,327,5620,1611,898,8124,2183,1090,214,79,3566,146,100,248,3817,2207,730,6757,806,600,118,57,1581,21,28,51,1635,3432,574,5640,248,292,58,14,615,9,10,16,630,2884,436,3947,125,162,22,23,333,0,11,9,341,4626,801,5772,34822,14588,2621,1144,53176,2742,1243,3981,57158,26475,10414,94046,1121,1910,114,82,3230,152,231,390,3613,2201,737,6553,3018,1084,191,133,4429,206,86,294,4727,978,964,6674,3838,1116,302,138,5398,140,84,227,5620,1122,1167,7904,3626,1439,375,122,5557,118,68,188,5739,1214,1089,8049,3769,1538,281,111,5700,122,73,198
