SA4_CODE_2021,C16_CF_NCu15DS_MR_1000_1399,C16_CF_NCu15DS_MR_1400_1799,C16_CF_NCu15DS_MR_1800_2399,C16_CF_NCu15DS_MR_2400_2999,C16_CF_NCu15DS_MR_3000_3999,C16_CF_NCu15DS_MR_4000over,C16_CF_NCu15DS_MR_NS,C16_CF_NCu15DS_Tot,C16_CF_NDCO_MR_0_299,C16_CF_NDCO_MR_300_449,C16_CF_NDCO_MR_450_599,C16_CF_NDCO_MR_600_799,C16_CF_NDCO_MR_800_999,C16_CF_NDCO_MR_1000_1399,C16_CF_NDCO_MR_1400_1799,C16_CF_NDCO_MR_1800_2399,C16_CF_NDCO_MR_2400_2999,C16_CF_NDCO_MR_3000_3999,C16_CF_NDCO_MR_4000over,C16_CF_NDCO_MR_NS,C16_CF_NDCO_Tot,C16_CF_Tot_MR_0_299,C16_CF_Tot_MR_300_449,C16_CF_Tot_MR_450_599,C16_CF_Tot_MR_600_799,C16_CF_Tot_MR_800_999,C16_CF_Tot_MR_1000_1399,C16_CF_Tot_MR_1400_1799,C16_CF_Tot_MR_1800_2399,C16_CF_Tot_MR_2400_2999,C16_CF_Tot_MR_3000_3999,C16_CF_Tot_MR_4000over,C16_CF_Tot_MR_NS,C16_CF_Tot_Tot,C16_1PF_Cu15DS_MR_0_299,C16_1PF_Cu15DS_MR_300_449,C16_1PF_Cu15DS_MR_450_599,C16_1PF_Cu15DS_MR_600_799,C16_1PF_Cu15DS_MR_800_999,C16_1PF_Cu15DS_MR_1000_1399,C16_1PF_Cu15DS_MR_1400_1799,C16_1PF_Cu15DS_MR_1800_2399,C16_1PF_Cu15DS_MR_2400_2999,C16_1PF_Cu15DS_MR_3000_3999,C16_1PF_Cu15DS_MR_4000over,C16_1PF_Cu15DS_MR_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_MR_0_299,C16_1PF_CU15_NDS_MR_300_449,C16_1PF_CU15_NDS_MR_450_599,C16_1PF_CU15_NDS_MR_600_799,C16_1PF_CU15_NDS_MR_800_999,C16_1PF_CU15_NDS_MR_1000_1399,C16_1PF_CU15_NDS_MR_1400_1799,C16_1PF_CU15_NDS_MR_1800_2399,C16_1PF_CU15_NDS_MR_2400_2999,C16_1PF_CU15_NDS_MR_3000_3999,C16_1PF_CU15_NDS_MR_4000over,C16_1PF_CU15_NDS_MR_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_MR_0_299,C16_1PF_NCu15DS_MR_300_449,C16_1PF_NCu15DS_MR_450_599,C16_1PF_NCu15DS_MR_600_799,C16_1PF_NCu15DS_MR_800_999,C16_1PF_NCu15DS_MR_1000_1399,C16_1PF_NCu15DS_MR_1400_1799,C16_1PF_NCu15DS_MR_1800_2399,C16_1PF_NCu15DS_MR_2400_2999,C16_1PF_NCu15DS_MR_3000_3999,C16_1PF_NCu15DS_MR_4000over,C16_1PF_NCu15DS_MR_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_MR_0_299,C16_1PF_NDCO_MR_300_449,C16_1PF_NDCO_MR_450_599,C16_1PF_NDCO_MR_600_799,C16_1PF_NDCO_MR_800_999,C16_1PF_NDCO_MR_1000_1399,C16_1PF_NDCO_MR_1400_1799,C16_1PF_NDCO_MR_1800_2399,C16_1PF_NDCO_MR_2400_2999,C16_1PF_NDCO_MR_3000_3999,C16_1PF_NDCO_MR_4000over,C16_1PF_NDCO_MR_NS,C16_1PF_NDCO_Tot,C16_1PF_Tot_MR_0_299,C16_1PF_Tot_MR_300_449,C16_1PF_Tot_MR_450_599,C16_1PF_Tot_MR_600_799,C16_1PF_Tot_MR_800_999,C16_1PF_Tot_MR_1000_1399,C16_1PF_Tot_MR_1400_1799,C16_1PF_Tot_MR_1800_2399,C16_1PF_Tot_MR_2400_2999,C16_1PF_Tot_MR_3000_3999,C16_1PF_Tot_MR_4000over,C16_1PF_Tot_MR_NS,C16_1PF_Tot_Tot,C16_Tot_MR_0_299,C16_Tot_MR_300_449,C16_Tot_MR_450_599,C16_Tot_MR_600_799,C16_Tot_MR_800_999,C16_Tot_MR_1000_1399,C16_Tot_MR_1400_1799,C16_Tot_MR_1800_2399,C16_Tot_MR_2400_2999,C16_Tot_MR_3000_3999,C16_Tot_MR_4000over,C16_Tot_MR_NS,C16_Tot_Tot,C21_CFNC_MR_0_299,C21_CFNC_MR_300_449,C21_CFNC_MR_450_599,C21_CFNC_MR_600_799,C21_CFNC_MR_800_999,C21_CFNC_MR_1000_1399,C21_CFNC_MR_1400_1799,C21_CFNC_MR_1800_2399,C21_CFNC_MR_2400_2999,C21_CFNC_MR_3000_3999,C21_CFNC_MR_4000over,C21_CFNC_MR_NS,C21_CFNC_Tot,C21_CF_Cu15DS_MR_0_299,C21_CF_Cu15DS_MR_300_449,C21_CF_Cu15DS_MR_450_599,C21_CF_Cu15DS_MR_600_799,C21_CF_Cu15DS_MR_800_999,C21_CF_Cu15DS_MR_1000_1399,C21_CF_Cu15DS_MR_1400_1799,C21_CF_Cu15DS_MR_1800_2399,C21_CF_Cu15DS_MR_2400_2999,C21_CF_Cu15DS_MR_3000_3999,C21_CF_Cu15DS_MR_4000over,C21_CF_Cu15DS_MR_NS,C21_CF_Cu15DS_Tot,C21_CF_Cu15NDS_MR_0_299,C21_CF_Cu15NDS_MR_300_449,C21_CF_Cu15NDS_MR_450_599,C21_CF_Cu15NDS_MR_600_799,C21_CF_Cu15NDS_MR_800_999,C21_CF_Cu15NDS_MR_1000_1399,C21_CF_Cu15NDS_MR_1400_1799,C21_CF_Cu15NDS_MR_1800_2399,C21_CF_Cu15NDS_MR_2400_2999,C21_CF_Cu15NDS_MR_3000_3999,C21_CF_Cu15NDS_MR_4000over,C21_CF_Cu15NDS_MR_NS,C21_CF_Cu15NDS_Tot,C21_CF_NCu15DS_MR_0_299,C21_CF_NCu15DS_MR_300_449,C21_CF_NCu15DS_MR_450_599,C21_CF_NCu15DS_MR_600_799,C21_CF_NCu15DS_MR_800_999,C21_CF_NCu15DS_MR_1000_1399,C21_CF_NCu15DS_MR_1400_1799,C21_CF_NCu15DS_MR_1800_2399,C21_CF_NCu15DS_MR_2400_2999,C21_CF_NCu15DS_MR_3000_3999,C21_CF_NCu15DS_MR_4000over,C21_CF_NCu15DS_MR_NS,C21_CF_NCu15DS_Tot,C21_CF_NDCO_MR_0_299,C21_CF_NDCO_MR_300_449,C21_CF_NDCO_MR_450_599,C21_CF_NDCO_MR_600_799,C21_CF_NDCO_MR_800_999,C21_CF_NDCO_MR_1000_1399,C21_CF_NDCO_MR_1400_1799,C21_CF_NDCO_MR_1800_2399,C21_CF_NDCO_MR_2400_2999,C21_CF_NDCO_MR_3000_3999,C21_CF_NDCO_MR_4000over,C21_CF_NDCO_MR_NS,C21_CF_NDCO_Tot,C21_CF_Tot_MR_0_299,C21_CF_Tot_MR_300_449,C21_CF_Tot_MR_450_599,C21_CF_Tot_MR_600_799,C21_CF_Tot_MR_800_999,C21_CF_Tot_MR_1000_1399,C21_CF_Tot_MR_1400_1799,C21_CF_Tot_MR_1800_2399,C21_CF_Tot_MR_2400_2999,C21_CF_Tot_MR_3000_3999,C21_CF_Tot_MR_4000over,C21_CF_Tot_MR_NS,C21_CF_Tot_Tot,C21_1PF_Cu15DS_MR_0_299,C21_1PF_Cu15DS_MR_300_449,C21_1PF_Cu15DS_MR_450_599,C21_1PF_Cu15DS_MR_600_799,C21_1PF_Cu15DS_MR_800_999,C21_1PF_Cu15DS_MR_1000_1399,C21_1PF_Cu15DS_MR_1400_1799,C21_1PF_Cu15DS_MR_1800_2399,C21_1PF_Cu15DS_MR_2400_2999,C21_1PF_Cu15DS_MR_3000_3999
501,183,241,315,140,121,58,39,1289,84,40,36,69,68,243,229,306,147,115,54,70,1464,300,160,140,278,403,1514,2217,3396,1452,1047,473,422,11797,11,3,6,8,22,45,62,48,16,7,8,3,243,29,19,20,47,77,203,218,207,57,37,21,25,966,11,8,12,15,36,95,71,54,19,12,3,12,341,42,33,29,50,56,117,116,91,26,22,9,30,624,94,70,62,125,189,455,465,397,120,83,41,75,2179,797,411,362,678,935,2874,3723,5189,2185,1593,756,762,20271,425,210,137,275,371,1179,1377,1367,539,447,312,398,7038,36,22,25,35,60,229,360,432,168,113,91,74,1660,129,61,58,152,262,1196,1899,2194,825,569,272,316,7938,48,29,21,47,56,182,240,351,143,103,82,75,1364,70,30,27,48,73,258,305,374,139,118,89,93,1623,284,138,132,287,450,1867,2801,3351,1273,897,531,569,12587,6,5,6,13,21,70,66,50,11,11
502,97,126,235,115,91,47,32,839,43,26,30,33,45,133,151,217,104,110,48,51,976,123,57,63,132,185,636,1071,1954,899,589,274,236,6217,3,7,4,5,10,22,25,21,12,0,0,4,120,25,16,5,21,15,92,119,151,62,31,18,17,586,7,7,6,11,15,45,53,37,5,10,3,11,210,22,23,14,32,27,77,68,80,23,14,13,26,418,62,55,36,71,62,235,264,287,104,59,34,62,1333,445,194,187,345,393,1350,1961,3133,1397,947,504,446,11296,230,109,95,142,211,628,802,942,342,310,217,255,4282,17,4,3,11,19,107,178,241,115,63,48,44,856,61,22,22,61,106,523,994,1265,422,273,136,181,4069,19,7,10,24,26,119,151,222,125,86,65,59,927,48,16,12,33,25,159,185,249,121,95,62,81,1101,150,53,57,127,183,912,1504,1984,789,521,314,367,6952,3,3,4,3,4,38,27,28,4,8
503,116,92,199,108,191,453,68,1433,72,11,14,27,25,80,57,85,51,96,170,47,728,456,90,93,127,183,552,477,1110,815,1516,3014,379,8800,10,0,0,3,6,15,16,21,10,19,33,4,132,46,6,3,9,7,47,47,79,39,72,75,18,444,23,9,3,7,15,36,33,54,32,45,43,17,311,29,10,6,21,21,38,33,39,28,34,47,18,325,107,28,17,32,49,136,128,197,109,159,198,56,1216,894,202,179,240,353,1031,994,1991,1450,2366,4119,565,14386,305,76,55,105,140,417,467,751,526,670,913,225,4663,62,18,12,11,18,65,64,151,116,198,546,72,1327,173,26,24,49,80,276,322,738,666,1272,2159,287,6066,100,22,28,20,39,99,123,183,124,249,623,117,1733,61,6,10,14,27,52,52,84,72,103,190,60,739,398,76,66,100,168,495,559,1160,982,1825,3522,539,9867,9,0,0,4,6,10,8,17,23,24
504,308,349,608,361,274,166,108,2562,132,66,53,117,134,400,357,530,331,247,149,123,2628,558,226,216,393,571,1998,2760,5713,3558,2370,1118,733,20205,12,8,9,18,35,65,68,97,54,23,14,14,404,62,26,26,50,84,236,319,395,186,128,64,56,1634,45,25,29,51,45,114,144,164,70,31,21,31,766,105,56,56,80,92,205,246,279,128,74,36,67,1426,218,113,122,204,255,617,774,936,438,258,135,166,4237,1322,526,501,886,1146,3661,4804,9429,5761,3777,1786,1269,34876,491,201,156,275,370,1403,2211,2984,1345,926,578,622,11561,73,16,27,37,61,269,478,818,386,286,188,142,2770,263,77,66,134,254,1325,2897,4885,2146,1414,764,662,14884,148,38,41,65,111,318,473,720,364,311,174,163,2931,174,56,55,78,129,386,462,721,367,285,182,218,3108,654,177,190,318,551,2305,4311,7139,3264,2297,1310,1181,23697,18,3,3,9,26,79,81,104,33,30
505,768,828,1355,906,935,666,253,6692,367,140,129,209,266,695,769,1118,723,644,417,297,5780,1434,531,489,900,1188,3921,5373,11079,7791,6755,3971,1583,45018,22,12,6,31,44,116,116,157,86,59,27,26,714,115,46,48,106,140,404,548,728,322,221,125,102,2905,78,45,38,58,96,304,310,317,117,114,56,57,1584,174,75,69,138,175,387,404,439,192,128,88,98,2366,387,177,165,329,443,1219,1380,1645,723,527,295,279,7560,2835,1089,952,1751,2253,6981,9090,17475,11756,9644,5596,2520,71940,1170,347,300,492,723,2369,3661,5207,2322,1896,1317,1178,20977,165,50,65,86,154,505,762,1412,949,770,605,306,5831,587,139,154,307,459,2398,4714,8951,4846,3841,2453,1427,30271,312,97,67,120,214,679,868,1743,949,1009,700,457,7208,381,157,135,172,238,698,852,1359,771,726,555,520,6565,1447,442,419,680,1069,4283,7199,13467,7515,6341,4317,2699,49880,28,11,11,26,27,113,175,202,75,53
506,524,650,1108,700,608,393,162,4885,257,109,115,191,229,662,656,952,473,466,279,203,4596,1161,407,444,736,1026,3549,5365,9899,5849,4464,2470,1185,36544,26,5,13,21,26,101,98,137,60,34,22,26,560,104,54,43,87,137,373,620,613,272,182,103,77,2664,61,30,37,57,109,210,229,275,105,81,47,50,1297,162,87,72,110,152,419,405,417,137,108,49,110,2229,349,179,170,276,424,1105,1352,1438,567,408,223,264,6745,2445,914,923,1518,2109,6427,9108,15779,8983,6657,3678,2026,60568,911,309,276,493,692,2423,3411,4397,1857,1452,1028,959,18210,146,42,57,82,133,586,885,1389,686,494,390,254,5135,530,167,123,285,583,2755,5259,7641,3511,2418,1617,1168,26057,242,70,60,120,179,607,819,1334,691,589,471,341,5529,277,114,100,151,208,622,765,1108,572,471,335,371,5092,1189,382,344,639,1103,4578,7729,11459,5459,3966,2807,2141,41809,29,5,4,14,39,119,114,158,58,37
507,510,546,931,592,601,400,178,4434,230,111,79,166,180,521,536,874,436,438,307,184,4069,896,378,327,598,836,2928,4290,8744,5054,4292,2722,1052,32122,25,7,12,24,26,97,87,136,48,32,31,15,533,75,39,32,81,117,319,478,587,253,159,84,76,2302,56,26,22,60,73,185,195,234,88,70,42,41,1091,105,60,63,95,141,296,292,313,117,89,61,96,1729,258,136,136,250,351,899,1045,1267,511,354,216,232,5651,1949,812,689,1235,1639,5270,7292,13615,7681,6289,3939,1736,52142,848,286,263,389,572,2041,3055,3935,1692,1362,1041,867,16349,99,29,40,50,102,447,682,1158,592,493,427,218,4340,398,117,121,261,351,2054,4224,6770,3267,2549,1707,1044,22863,158,66,63,117,133,505,636,1136,569,658,528,260,4835,240,82,95,132,194,573,657,990,476,411,330,328,4495,896,296,317,557,782,3572,6201,10053,4909,4112,2998,1845,36537,18,18,9,13,31,87,132,139,64,49
509,129,87,116,48,56,23,32,640,73,39,36,56,72,195,129,158,65,67,35,61,990,358,165,141,285,398,1178,1117,1377,599,472,248,271,6606,11,8,12,19,13,33,13,24,3,0,0,0,124,36,27,34,61,56,121,95,79,30,23,8,27,595,10,7,12,10,17,41,32,16,5,7,3,10,175,34,35,27,36,46,78,36,42,15,15,5,26,393,88,69,81,129,134,274,179,160,56,39,17,64,1288,882,419,386,735,873,2178,1905,2267,979,786,408,573,12389,397,155,164,291,343,814,746,710,334,262,169,280,4664,40,25,15,28,58,146,172,194,72,60,18,43,867,164,55,75,166,238,757,872,905,335,199,118,156,4024,23,13,15,35,39,108,138,155,57,44,33,49,708,78,24,29,53,46,174,167,177,80,64,46,67,1013,301,118,137,287,382,1189,1339,1425,549,363,218,316,6618,9,8,7,10,3,33,21,18,7,0
510,3,3,16,11,20,27,8,104,9,0,4,5,4,17,12,26,22,26,19,3,153,36,26,18,25,19,95,124,248,231,340,267,72,1502,0,0,0,0,0,0,4,4,3,0,0,0,23,6,0,4,3,6,20,11,28,15,27,6,3,132,0,0,0,0,0,8,0,4,0,0,0,0,22,5,0,0,8,0,3,12,15,8,9,7,4,75,14,6,6,9,7,29,29,55,24,45,18,10,255,96,35,40,50,53,196,249,460,375,553,431,133,2671,44,13,23,43,59,171,187,231,118,129,118,73,1201,5,5,0,0,10,20,34,41,32,31,29,18,223,19,20,18,42,61,183,239,367,203,209,126,67,1544,3,0,0,3,7,17,18,34,11,24,17,9,146,6,0,3,5,4,24,28,40,25,30,17,21,202,45,25,21,57,73,240,311,481,263,290,193,107,2120,0,0,0,0,0,6,0,6,9,3
511,119,102,152,61,69,39,21,641,39,18,30,42,48,154,135,138,82,80,32,35,841,161,74,92,165,288,965,1088,1617,774,617,250,209,6302,0,0,4,4,9,23,21,25,6,8,0,5,109,24,13,19,30,39,115,97,97,24,20,15,28,510,7,7,3,13,8,35,27,21,9,11,4,9,152,24,21,12,27,31,61,44,49,17,11,9,26,329,55,40,37,73,87,227,192,198,57,39,23,61,1105,423,203,230,374,558,1741,1835,2539,1197,895,415,455,10877,202,100,89,180,242,668,636,649,229,226,141,236,3598,24,5,10,21,41,109,129,178,63,62,26,38,708,92,50,54,129,183,665,853,938,330,221,114,179,3811,18,11,7,33,29,77,118,112,69,41,43,38,584,31,14,17,34,51,151,142,176,72,70,42,61,872,161,82,96,216,302,1000,1236,1403,535,399,226,316,5985,5,4,0,3,10,24,20,24,4,5
