SA4_CODE_2021,C21_20_24_Div_M,C21_20_24_Div_F,C21_20_24_Div_P,C21_20_24_Wid_M,C21_20_24_Wid_F,C21_20_24_Wid_P,C21_20_24_Nvr_marrd_M,C21_20_24_Nvr_marrd_F,C21_20_24_Nvr_marrd_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Married_M,C21_25_29_Married_F,C21_25_29_Married_P,C21_25_29_Sep_M,C21_25_29_Sep_F,C21_25_29_Sep_P,C21_25_29_Div_M,C21_25_29_Div_F,C21_25_29_Div_P,C21_25_29_Wid_M,C21_25_29_Wid_F,C21_25_29_Wid_P,C21_25_29_Nvr_marrd_M,C21_25_29_Nvr_marrd_F,C21_25_29_Nvr_marrd_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Married_M,C21_30_34_Married_F,C21_30_34_Married_P,C21_30_34_Sep_M,C21_30_34_Sep_F,C21_30_34_Sep_P,C21_30_34_Div_M,C21_30_34_Div_F,C21_30_34_Div_P,C21_30_34_Wid_M,C21_30_34_Wid_F,C21_30_34_Wid_P,C21_30_34_Nvr_marrd_M,C21_30_34_Nvr_marrd_F,C21_30_34_Nvr_marrd_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Married_M,C21_35_39_Married_F,C21_35_39_Married_P,C21_35_39_Sep_M,C21_35_39_Sep_F,C21_35_39_Sep_P,C21_35_39_Div_M,C21_35_39_Div_F,C21_35_39_Div_P,C21_35_39_Wid_M,C21_35_39_Wid_F,C21_35_39_Wid_P,C21_35_39_Nvr_marrd_M,C21_35_39_Nvr_marrd_F,C21_35_39_Nvr_marrd_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Married_M,C21_40_44_Married_F,C21_40_44_Married_P,C21_40_44_Sep_M,C21_40_44_Sep_F,C21_40_44_Sep_P,C21_40_44_Div_M,C21_40_44_Div_F,C21_40_44_Div_P,C21_40_44_Wid_M,C21_40_44_Wid_F,C21_40_44_Wid_P,C21_40_44_Nvr_marrd_M,C21_40_44_Nvr_marrd_F,C21_40_44_Nvr_marrd_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Married_M,C21_45_49_Married_F,C21_45_49_Married_P,C21_45_49_Sep_M,C21_45_49_Sep_F,C21_45_49_Sep_P,C21_45_49_Div_M,C21_45_49_Div_F,C21_45_49_Div_P,C21_45_49_Wid_M,C21_45_49_Wid_F,C21_45_49_Wid_P,C21_45_49_Nvr_marrd_M,C21_45_49_Nvr_marrd_F,C21_45_49_Nvr_marrd_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Married_M,C21_50_54_Married_F,C21_50_54_Married_P,C21_50_54_Sep_M,C21_50_54_Sep_F,C21_50_54_Sep_P,C21_50_54_Div_M,C21_50_54_Div_F,C21_50_54_Div_P,C21_50_54_Wid_M,C21_50_54_Wid_F,C21_50_54_Wid_P,C21_50_54_Nvr_marrd_M,C21_50_54_Nvr_marrd_F,C21_50_54_Nvr_marrd_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Married_M,C21_55_59_Married_F,C21_55_59_Married_P,C21_55_59_Sep_M,C21_55_59_Sep_F,C21_55_59_Sep_P,C21_55_59_Div_M,C21_55_59_Div_F,C21_55_59_Div_P,C21_55_59_Wid_M,C21_55_59_Wid_F,C21_55_59_Wid_P,C21_55_59_Nvr_marrd_M,C21_55_59_Nvr_marrd_F,C21_55_59_Nvr_marrd_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Married_M,C21_60_64_Married_F,C21_60_64_Married_P,C21_60_64_Sep_M,C21_60_64_Sep_F,C21_60_64_Sep_P,C21_60_64_Div_M,C21_60_64_Div_F,C21_60_64_Div_P,C21_60_64_Wid_M,C21_60_64_Wid_F,C21_60_64_Wid_P,C21_60_64_Nvr_marrd_M,C21_60_64_Nvr_marrd_F,C21_60_64_Nvr_marrd_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_69_Married_M,C21_65_69_Married_F,C21_65_69_Married_P,C21_65_69_Sep_M,C21_65_69_Sep_F,C21_65_69_Sep_P,C21_65_69_Div_M,C21_65_69_Div_F,C21_65_69_Div_P,C21_65_69_Wid_M,C21_65_69_Wid_F,C21_65_69_Wid_P,C21_65_69_Nvr_marrd_M,C21_65_69_Nvr_marrd_F,C21_65_69_Nvr_marrd_P,C21_65_69_Tot_M,C21_65_69_Tot_F,C21_65_69_Tot_P,C21_70_74_Married_M,C21_70_74_Married_F,C21_70_74_Married_P,C21_70_74_Sep_M,C21_70_74_Sep_F,C21_70_74_Sep_P,C21_70_74_Div_M,C21_70_74_Div_F,C21_70_74_Div_P,C21_70_74_Wid_M,C21_70_74_Wid_F,C21_70_74_Wid_P,C21_70_74_Nvr_marrd_M,C21_70_74_Nvr_marrd_F,C21_70_74_Nvr_marrd_P,C21_70_74_Tot_M,C21_70_74_Tot_F,C21_70_74_Tot_P,C21_75_79_Married_M,C21_75_79_Married_F,C21_75_79_Married_P,C21_75_79_Sep_M,C21_75_79_Sep_F,C21_75_79_Sep_P,C21_75_79_Div_M,C21_75_79_Div_F
501,0,0,0,5,3,7,4053,3586,7637,4170,3777,7948,771,1161,1935,41,97,133,26,60,88,6,3,11,3710,3344,7048,4562,4659,9216,2007,2595,4603,114,203,317,100,192,287,0,21,27,2969,2545,5518,5193,5556,10748,3011,3642,6647,216,326,539,246,405,652,6,30,33,2153,1908,4063,5630,6307,11934,3430,3607,7037,291,412,698,413,533,946,17,64,83,1762,1573,3337,5920,6184,12102,3592,3741,7329,334,416,750,635,807,1449,21,84,101,1596,1342,2941,6177,6395,12567,3818,3855,7669,371,420,795,754,1092,1849,37,152,190,1345,1129,2477,6333,6646,12977,3783,3949,7727,328,338,654,964,1257,2217,75,231,309,1042,775,1820,6191,6543,12730,4173,4290,8468,288,304,593,1042,1354,2398,127,348,478,686,525,1211,6318,6831,13149,4043,3923,7965,246,210,449,966,1163,2135,205,562,767,470,291,759,5928,6145,12073,4031,3434,7465,173,146,324,834,882,1715,283,827,1103,257,153,410,5577,5445,11021,2588,2037,4627,90,62,151,436,462
502,0,8,4,3,3,5,2569,2559,5129,2623,2686,5306,390,621,1011,23,72,97,19,35,53,6,0,10,2059,1963,4015,2493,2692,5188,1005,1351,2360,85,163,249,64,140,202,0,13,17,1521,1353,2870,2677,3020,5700,1491,1670,3157,130,213,336,145,251,396,3,21,22,1172,1079,2251,2935,3228,6170,1411,1672,3086,160,228,389,241,320,563,10,21,27,897,770,1671,2715,3019,5736,1726,1844,3573,185,248,437,357,517,875,22,58,82,794,643,1441,3089,3308,6404,1874,1954,3827,200,234,430,475,731,1206,33,81,116,642,533,1174,3225,3521,6745,2062,2157,4219,204,211,410,576,781,1361,55,131,183,535,422,952,3428,3690,7124,2229,2358,4583,140,201,348,584,833,1421,58,227,285,321,249,569,3332,3875,7206,2350,2480,4835,182,161,349,608,780,1385,119,357,478,244,157,398,3500,3940,7443,2592,2375,4959,127,124,249,624,600,1227,190,615,809,135,75,211,3666,3793,7461,1972,1615,3584,90,62,153,311,370
503,7,14,20,0,0,0,6248,6724,12968,6339,6927,13265,752,1271,2024,43,70,115,33,72,108,0,3,10,6902,6421,13324,7721,7841,15567,2581,3177,5757,103,146,250,145,255,396,4,10,14,5001,4239,9238,7834,7825,15654,3692,4164,7860,203,218,425,299,381,683,13,23,29,2927,2212,5143,7139,7001,14136,3731,3882,7609,200,236,437,367,464,827,8,20,31,1784,1374,3158,6093,5978,12071,3718,3783,7495,241,291,530,472,660,1131,25,53,74,1268,1089,2353,5720,5868,11587,3761,3797,7559,301,261,564,654,852,1507,29,89,114,1110,912,2022,5857,5910,11760,3334,3315,6645,234,218,447,707,894,1607,47,154,200,997,755,1753,5320,5333,10649,3091,2976,6066,187,167,352,691,1007,1701,60,246,305,784,595,1374,4808,4986,9792,2769,2656,5425,149,127,273,699,930,1628,95,320,419,542,429,973,4249,4465,8713,2549,2203,4754,131,118,248,565,779,1345,133,565,694,389,275,666,3763,3939,7705,1865,1430,3293,77,50,127,360,476
504,4,13,14,5,6,8,8348,7560,15907,8574,7993,16571,1669,2715,4389,61,182,248,55,123,179,10,10,18,7655,6563,14214,9450,9597,19045,4594,5840,10438,242,400,642,267,387,657,16,21,34,5787,4639,10426,10908,11294,22203,6277,6561,12840,396,546,941,457,651,1111,12,45,55,3950,3048,6997,11093,10850,21946,5603,5664,11272,454,546,998,625,929,1556,23,77,100,2696,2181,4880,9403,9395,18798,5375,5343,10720,461,622,1079,889,1331,2218,33,119,149,2171,1857,4033,8928,9271,18197,5476,5318,10788,481,545,1020,1093,1591,2693,65,213,277,1878,1439,3314,8991,9101,18094,5302,5047,10354,433,517,947,1245,1634,2878,100,317,408,1382,1028,2411,8463,8536,17004,4758,4541,9295,401,377,779,1128,1598,2723,147,500,649,963,724,1685,7399,7741,15138,4106,3752,7853,272,246,517,987,1372,2361,202,725,929,588,453,1046,6155,6554,12707,3595,3055,6649,226,203,426,722,1090,1811,274,1030,1304,376,253,631,5193,5627,10821,2456,1884,4341,121,96,218,470,645
505,8,18,30,9,12,19,17231,16084,33314,17578,16927,34506,2764,4599,7369,113,274,390,89,221,308,15,14,25,15033,13655,28688,18015,18760,36779,8357,11145,19499,370,701,1070,438,760,1200,20,32,59,11219,9578,20799,20408,22219,42622,12843,14177,27024,612,981,1600,918,1427,2338,20,79,96,7460,6146,13609,21854,22810,44661,12496,13068,25564,808,1022,1835,1198,1838,3040,34,157,197,4694,4138,8830,19235,20224,39464,12679,12858,25531,885,1125,2009,1684,2452,4142,79,239,315,3989,3283,7273,19315,19950,39264,12581,12337,24928,915,1065,1985,2109,3120,5232,126,351,475,3063,2563,5622,18802,19436,38237,11452,11144,22600,793,857,1649,2216,3344,5565,198,591,790,2164,1785,3949,16828,17719,34542,10633,10180,20814,541,720,1256,2128,3278,5411,227,945,1175,1444,1143,2591,14976,16261,31239,9355,8892,18256,493,535,1024,1775,2875,4654,340,1486,1828,848,709,1558,12817,14501,27317,8625,7371,15994,341,355,694,1414,2301,3716,548,2177,2720,477,467,944,11405,12669,24073,5752,4485,10231,194,190,385,818,1408
506,16,22,37,6,7,18,18063,16222,34283,18590,17408,35999,3659,5882,9543,165,289,456,113,225,336,13,16,26,15792,12700,28488,19738,19115,38852,9151,11763,20914,396,683,1077,448,709,1159,19,43,62,10482,8275,18763,20505,21471,41977,13242,14216,27461,694,900,1594,878,1189,2069,21,90,114,6635,5342,11978,21474,21740,43219,12328,12040,24369,717,856,1571,1147,1545,2696,27,140,171,4607,3747,8357,18828,18331,37162,10911,10518,21426,785,934,1715,1515,1962,3474,61,230,290,3635,2952,6586,16904,16595,33501,10138,9677,19818,801,922,1721,1905,2527,4428,115,375,497,3211,2354,5568,16175,15856,32031,9315,9002,18317,666,783,1454,2118,2819,4933,185,586,768,2321,1587,3910,14599,14783,29384,8518,8309,16824,537,626,1167,1974,2809,4782,295,985,1275,1716,1132,2848,13034,13861,26897,7784,7348,15130,467,497,962,1702,2492,4187,372,1409,1781,939,745,1677,11264,12478,23749,7116,5970,13090,356,329,686,1459,2007,3463,509,1962,2468,605,402,1003,10040,10674,20707,4638,3441,8083,234,174,408,810,1082
507,9,9,15,8,0,11,13325,12926,26254,13576,13401,26979,1995,3261,5257,98,210,304,89,131,224,9,12,21,11946,10664,22613,14142,14274,28418,6061,7955,14018,322,554,877,385,551,936,12,25,39,8595,7432,16028,15373,16525,31895,9258,10283,19540,576,818,1393,742,1073,1816,15,75,90,5607,4852,10460,16192,17106,33300,9313,9678,18990,641,881,1523,994,1349,2350,32,107,140,3900,3367,7268,14875,15383,30261,9209,9241,18449,742,912,1659,1332,1969,3299,61,182,244,3160,2751,5910,14500,15057,29564,9100,9093,18196,785,864,1643,1736,2428,4166,103,294,398,2595,2191,4784,14318,14865,29180,8555,8482,17037,601,736,1336,1871,2656,4527,161,432,590,1912,1615,3530,13098,13913,27014,7958,7601,15553,484,589,1072,1753,2490,4242,220,753,972,1350,1010,2358,11757,12446,24199,6978,6749,13725,372,429,806,1537,2230,3765,293,1142,1429,832,646,1474,10011,11196,21202,6209,5470,11678,300,293,596,1191,1758,2943,455,1547,2001,443,397,840,8589,9472,18058,4461,3358,7820,200,154,357,712,1027
509,0,0,0,4,3,13,2979,2407,5385,3099,2607,5712,643,860,1499,33,53,82,20,32,52,0,5,7,2710,2213,4922,3402,3164,6566,1450,1735,3186,84,105,189,67,111,177,5,15,23,2037,1649,3683,3640,3613,7257,2007,2249,4252,118,179,299,135,219,359,9,26,37,1530,1200,2734,3802,3865,7664,2156,2263,4418,209,217,426,232,298,531,17,48,60,1173,1007,2180,3787,3826,7612,2399,2559,4960,236,270,504,389,454,844,30,70,99,1176,955,2128,4230,4310,8542,2733,2833,5561,252,270,513,608,740,1353,46,112,151,1169,848,2016,4798,4797,9597,3108,3217,6324,318,269,587,770,890,1664,76,181,258,1021,666,1685,5296,5223,10518,3317,3388,6703,272,226,499,963,932,1893,121,313,430,730,436,1168,5408,5293,10700,3369,3165,6532,253,186,438,866,775,1639,186,487,672,482,251,733,5153,4867,10019,3045,2579,5630,215,121,335,791,637,1431,253,650,907,283,157,440,4591,4143,8732,2065,1576,3641,111,65,174,413,395
510,0,8,11,4,0,7,2551,2349,4897,2731,2534,5265,546,756,1300,31,56,86,18,27,43,6,8,17,3299,2952,6248,3907,3796,7702,1699,1809,3506,102,140,241,89,118,206,8,7,15,2909,2498,5401,4810,4572,9378,2293,2205,4498,171,153,323,204,170,376,6,20,27,2042,1633,3679,4716,4185,8902,2130,1612,3744,174,154,333,264,232,488,16,26,42,1384,1074,2459,3966,3099,7066,1914,1468,3383,187,138,328,315,276,590,17,35,47,1173,889,2061,3602,2797,6404,1719,1260,2979,213,161,371,470,333,806,23,52,77,915,772,1691,3337,2578,5914,1520,1059,2587,176,144,320,509,353,857,54,93,151,690,492,1183,2952,2140,5096,1197,788,1986,155,111,270,386,350,741,55,124,179,443,326,762,2234,1693,3936,678,423,1096,78,53,129,224,212,434,60,150,207,229,140,373,1272,970,2242,318,214,534,53,30,82,136,75,214,47,139,194,90,82,171,649,548,1195,166,112,271,15,12,30,53,42
511,4,10,12,0,3,4,3385,2963,6348,3514,3161,6674,679,861,1539,49,52,96,31,35,68,0,9,6,3444,2749,6194,4197,3710,7904,1527,1774,3301,88,118,210,110,121,229,7,12,22,2347,1938,4287,4081,3969,8049,2065,2165,4234,162,201,358,193,221,413,3,25,28,1745,1334,3080,4169,3950,8117,2006,1979,3984,175,210,384,274,340,613,20,28,48,1334,1104,2437,3810,3659,7464,2141,2059,4207,274,241,516,353,418,773,28,78,103,1311,966,2283,4106,3764,7875,2357,2241,4597,265,228,493,566,620,1184,33,101,135,1179,801,1980,4396,3992,8387,2368,2217,4584,253,219,479,612,689,1299,77,152,229,971,576,1544,4283,3856,8135,2365,2165,4528,248,169,417,725,613,1338,120,290,409,715,388,1103,4174,3624,7791,1901,1774,3676,174,122,296,612,525,1134,150,382,538,395,195,590,3234,2998,6236,1690,1336,3023,174,103,283,466,349,819,181,489,673,240,96,335,2759,2369,5131,1126,847,1978,91,49,139,238,217
