SA4_CODE_2021,C11_0_4_Need_asst_M,C11_0_4_Need_asst_F,C11_0_4_Need_asst_P,C11_0_4_No_need_asst_M,C11_0_4_No_need_asst_F,C11_0_4_No_need_asst_P,C11_0_4_Need_asst_ns_M,C11_0_4_Need_asst_ns_F,C11_0_4_Need_asst_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_14_Need_asst_M,C11_5_14_Need_asst_F,C11_5_14_Need_asst_P,C11_5_14_No_need_asst_M,C11_5_14_No_need_asst_F,C11_5_14_No_need_asst_P,C11_5_14_Need_asst_ns_M,C11_5_14_Need_asst_ns_F,C11_5_14_Need_asst_ns_P,C11_5_14_Tot_M,C11_5_14_Tot_F,C11_5_14_Tot_P,C11_15_19_Need_asst_M,C11_15_19_Need_asst_F,C11_15_19_Need_asst_P,C11_15_19_No_need_asst_M,C11_15_19_No_need_asst_F,C11_15_19_No_need_asst_P,C11_15_19_Need_asst_ns_M,C11_15_19_Need_asst_ns_F,C11_15_19_Need_asst_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Need_asst_M,C11_20_24_Need_asst_F,C11_20_24_Need_asst_P,C11_20_24_No_need_asst_M,C11_20_24_No_need_asst_F,C11_20_24_No_need_asst_P,C11_20_24_Need_asst_ns_M,C11_20_24_Need_asst_ns_F,C11_20_24_Need_asst_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_34_Need_asst_M,C11_25_34_Need_asst_F,C11_25_34_Need_asst_P,C11_25_34_No_need_asst_M,C11_25_34_No_need_asst_F,C11_25_34_No_need_asst_P,C11_25_34_Need_asst_ns_M,C11_25_34_Need_asst_ns_F,C11_25_34_Need_asst_ns_P,C11_25_34_Tot_M,C11_25_34_Tot_F,C11_25_34_Tot_P,C11_35_44_Need_asst_M,C11_35_44_Need_asst_F,C11_35_44_Need_asst_P,C11_35_44_No_need_asst_M,C11_35_44_No_need_asst_F,C11_35_44_No_need_asst_P,C11_35_44_Need_asst_ns_M,C11_35_44_Need_asst_ns_F,C11_35_44_Need_asst_ns_P,C11_35_44_Tot_M,C11_35_44_Tot_F,C11_35_44_Tot_P,C11_45_54_Need_asst_M,C11_45_54_Need_asst_F,C11_45_54_Need_asst_P,C11_45_54_No_need_asst_M,C11_45_54_No_need_asst_F,C11_45_54_No_need_asst_P,C11_45_54_Need_asst_ns_M,C11_45_54_Need_asst_ns_F,C11_45_54_Need_asst_ns_P,C11_45_54_Tot_M,C11_45_54_Tot_F,C11_45_54_Tot_P,C11_55_64_Need_asst_M,C11_55_64_Need_asst_F,C11_55_64_Need_asst_P,C11_55_64_No_need_asst_M,C11_55_64_No_need_asst_F,C11_55_64_No_need_asst_P,C11_55_64_Need_asst_ns_M,C11_55_64_Need_asst_ns_F,C11_55_64_Need_asst_ns_P,C11_55_64_Tot_M,C11_55_64_Tot_F,C11_55_64_Tot_P,C11_65_74_Need_asst_M,C11_65_74_Need_asst_F,C11_65_74_Need_asst_P,C11_65_74_No_need_asst_M,C11_65_74_No_need_asst_F,C11_65_74_No_need_asst_P,C11_65_74_Need_asst_ns_M,C11_65_74_Need_asst_ns_F,C11_65_74_Need_asst_ns_P,C11_65_74_Tot_M,C11_65_74_Tot_F,C11_65_74_Tot_P,C11_75_84_Need_asst_M,C11_75_84_Need_asst_F,C11_75_84_Need_asst_P,C11_75_84_No_need_asst_M,C11_75_84_No_need_asst_F,C11_75_84_No_need_asst_P,C11_75_84_Need_asst_ns_M,C11_75_84_Need_asst_ns_F,C11_75_84_Need_asst_ns_P,C11_75_84_Tot_M,C11_75_84_Tot_F,C11_75_84_Tot_P,C11_85over_Need_asst_M,C11_85over_Need_asst_F,C11_85over_Need_asst_P,C11_85over_No_need_asst_M,C11_85over_No_need_asst_F,C11_85over_No_need_asst_P,C11_85over_Need_asst_ns_M,C11_85over_Need_asst_ns_F,C11_85over_Need_asst_ns_P,C11_85over_Tot_M,C11_85over_Tot_F,C11_85over_Tot_P,C11_Tot_Need_asst_M,C11_Tot_Need_asst_F,C11_Tot_Need_asst_P,C11_Tot_No_need_asst_M,C11_Tot_No_need_asst_F,C11_Tot_No_need_asst_P,C11_Tot_Need_asst_ns_M,C11_Tot_Need_asst_ns_F,C11_Tot_Need_asst_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Need_asst_M,C16_0_4_Need_asst_F,C16_0_4_Need_asst_P,C16_0_4_No_need_asst_M,C16_0_4_No_need_asst_F,C16_0_4_No_need_asst_P,C16_0_4_Need_asst_ns_M,C16_0_4_Need_asst_ns_F,C16_0_4_Need_asst_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_14_Need_asst_M,C16_5_14_Need_asst_F,C16_5_14_Need_asst_P,C16_5_14_No_need_asst_M,C16_5_14_No_need_asst_F,C16_5_14_No_need_asst_P,C16_5_14_Need_asst_ns_M,C16_5_14_Need_asst_ns_F,C16_5_14_Need_asst_ns_P,C16_5_14_Tot_M,C16_5_14_Tot_F,C16_5_14_Tot_P,C16_15_19_Need_asst_M,C16_15_19_Need_asst_F,C16_15_19_Need_asst_P,C16_15_19_No_need_asst_M,C16_15_19_No_need_asst_F,C16_15_19_No_need_asst_P,C16_15_19_Need_asst_ns_M,C16_15_19_Need_asst_ns_F,C16_15_19_Need_asst_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Need_asst_M,C16_20_24_Need_asst_F,C16_20_24_Need_asst_P,C16_20_24_No_need_asst_M,C16_20_24_No_need_asst_F,C16_20_24_No_need_asst_P,C16_20_24_Need_asst_ns_M,C16_20_24_Need_asst_ns_F,C16_20_24_Need_asst_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_34_Need_asst_M,C16_25_34_Need_asst_F,C16_25_34_Need_asst_P,C16_25_34_No_need_asst_M,C16_25_34_No_need_asst_F,C16_25_34_No_need_asst_P,C16_25_34_Need_asst_ns_M,C16_25_34_Need_asst_ns_F
501,51,37,83,5223,4870,10096,391,398,784,5665,5305,10971,317,159,469,10717,10320,21037,624,607,1234,11658,11086,22738,121,51,169,5053,4584,9637,296,239,528,5470,4874,10331,84,60,145,3663,3601,7266,349,208,552,4096,3869,7957,114,121,235,8189,8649,16835,823,496,1317,9126,9266,18389,179,166,345,9998,10973,20966,830,588,1415,11007,11727,22733,322,310,634,10468,10680,21144,747,517,1268,11537,11507,23042,486,412,899,9026,9203,18232,572,422,994,10084,10037,20122,467,381,849,5495,5582,11078,319,264,587,6281,6227,12510,492,737,1231,2474,2761,5240,183,212,390,3149,3710,6858,325,813,1134,501,648,1146,78,98,174,904,1559,2453,2952,3243,6190,70804,71866,142667,5210,4041,9245,78966,79150,158106,70,33,103,5277,4958,10237,409,370,781,5756,5361,11116,419,199,617,11297,11089,22388,850,797,1643,12566,12085,24646,163,74,247,5111,4729,9840,403,377,785,5677,5180,10870,118,63,188,3643,3556,7201,330,307,628,4091,3926,8015,178,156,332,8419,9353,17779,950,793
502,34,17,51,2427,2268,4700,266,225,489,2727,2510,5238,162,90,253,4858,4747,9598,347,354,697,5367,5191,10554,63,46,102,2595,2478,5070,187,133,320,2845,2657,5498,32,36,69,2004,2092,4094,177,121,294,2213,2249,4457,84,59,142,3701,4088,7792,323,255,579,4108,4402,8519,115,109,221,4405,4885,9294,390,300,686,4910,5294,10196,179,166,346,4715,5257,9970,372,272,642,5266,5695,10952,369,277,640,4560,5172,9733,355,281,632,5284,5730,11008,403,278,686,4117,4242,8359,253,216,468,4773,4736,9514,400,482,880,2111,2205,4317,195,238,430,2706,2925,5629,212,470,683,399,466,865,72,111,190,683,1047,1731,2052,2033,4080,35893,37893,73786,2925,2499,5423,40870,42425,83294,38,30,70,2640,2514,5156,178,166,344,2856,2710,5570,263,126,388,5502,5428,10926,338,336,675,6103,5890,11993,96,54,150,2662,2688,5343,178,152,328,2936,2894,5820,72,49,127,2350,2322,4676,169,155,326,2591,2526,5128,120,84,205,4420,4946,9367,429,350
503,30,13,44,3750,3612,7364,320,269,591,4100,3894,8005,119,82,202,7394,7370,14757,477,398,874,7990,7850,15837,63,35,96,4164,4464,8635,314,238,552,4541,4737,9285,47,32,81,6300,6394,12691,660,538,1196,7007,6964,13969,92,73,167,12796,12268,25065,1732,1321,3054,14620,13662,28281,131,118,249,9808,10017,19825,992,662,1658,10931,10797,21729,173,168,342,9590,9760,19348,720,588,1302,10483,10516,20997,231,235,466,7897,7912,15812,697,508,1202,8825,8655,17475,271,331,603,4640,4604,9244,335,294,627,5246,5229,10478,410,771,1183,2213,2818,5033,222,248,472,2845,3837,6685,401,1174,1573,604,1057,1658,120,259,373,1125,2490,3611,1981,3032,5013,69163,70277,139435,6590,5314,11905,77734,78623,156350,37,30,63,3889,3660,7551,315,247,567,4241,3937,8179,179,104,278,8503,8147,16649,481,392,872,9163,8643,17807,64,53,124,4264,4555,8821,232,274,512,4560,4882,9448,71,64,128,5939,6088,12027,573,620,1192,6583,6772,13352,108,101,213,14214,14068,28286,1888,1775
504,102,50,147,7020,6571,13592,566,500,1065,7688,7121,14809,402,197,603,13724,12901,26625,822,759,1586,14948,13857,28815,149,80,236,7119,6758,13872,462,377,838,7730,7215,14948,119,83,200,6990,6673,13668,737,384,1120,7846,7140,14981,194,172,359,13875,14247,28119,1615,858,2477,15684,15277,30954,247,263,513,14952,15758,30709,1409,895,2307,16608,16916,33524,363,421,789,14109,14566,28675,1074,746,1814,15546,15733,31278,563,509,1072,11012,11414,22424,710,573,1284,12285,12496,24783,563,610,1178,6202,6466,12667,416,381,798,7181,7457,14641,631,1025,1659,2804,3043,5848,255,314,574,3690,4382,8076,467,1068,1529,529,723,1254,84,217,298,1080,2008,3089,3805,4482,8286,98341,99110,197455,8155,6002,14158,110301,109594,219894,115,64,183,8007,7512,15515,528,516,1041,8650,8092,16744,661,302,959,14866,14156,29025,897,833,1733,16424,15291,31719,207,104,309,7374,6882,14256,463,408,871,8044,7394,15437,157,96,261,7565,7308,14871,806,595,1404,8528,7999,16533,268,232,501,17361,18049,35413,2041,1422
505,179,121,302,15836,15236,31070,1127,1129,2253,17142,16486,33623,919,416,1336,30140,28970,59111,1575,1538,3114,32634,30924,63556,308,177,483,16090,15369,31459,850,749,1603,17248,16295,33541,216,129,344,15963,15768,31731,1142,874,2022,17321,16771,34094,333,299,630,31888,32626,64515,2560,1878,4435,34781,34803,69583,466,434,894,33179,34998,68178,2175,1631,3807,35820,37063,72880,540,734,1273,30034,31904,61940,1733,1324,3058,32307,33962,66269,921,964,1882,23357,25121,48484,1239,1056,2291,25517,27141,52662,976,1032,2007,13149,14394,27541,729,690,1419,14854,16116,30966,1246,2104,3351,6313,7596,13908,518,682,1198,8077,10382,18457,934,2307,3242,1363,1910,3272,247,553,797,2544,4770,7311,7035,8718,15750,217319,223892,441206,13892,12102,25997,238246,244712,482951,209,125,337,17181,16261,33443,1091,993,2079,18481,17379,35862,1188,584,1776,32822,31777,64599,1656,1670,3330,35666,34031,69693,438,264,699,16080,15606,31689,840,740,1582,17358,16610,33969,313,175,490,16322,15783,32111,1032,962,1997,17667,16920,34598,491,435,927,37415,38403,75813,2983,2594
506,187,101,283,13497,12703,26199,1145,1047,2190,14829,13851,28676,768,367,1134,24655,23724,48376,1631,1472,3099,27054,25563,52615,269,170,440,14319,13575,27893,957,790,1743,15545,14535,30073,217,138,359,17011,16664,33673,1735,1034,2764,18963,17836,36798,355,313,669,31726,30811,62539,3050,1964,5016,35131,33088,68227,459,476,927,27742,28190,55934,2386,1604,3994,30587,30270,60856,612,710,1329,25395,26587,51979,1883,1387,3268,27890,28684,56572,930,955,1884,21589,22513,44107,1409,1132,2543,23928,24600,48539,1018,1073,2091,12060,12611,24666,758,721,1475,13836,14405,28232,1158,1959,3116,5386,6601,11982,509,648,1157,7053,9208,16258,836,2297,3139,1146,1688,2839,274,538,805,2256,4523,6781,6813,8558,15370,194523,195664,390194,15723,12340,28065,217059,216562,433627,209,113,324,15724,15054,30778,1072,1032,2102,17005,16199,33200,1089,519,1608,28070,26959,55027,1658,1461,3114,30817,28939,59751,421,216,632,14460,13595,28051,817,731,1553,15698,14542,30240,288,218,503,17622,16271,33892,1466,1199,2665,19376,17688,37060,506,402,907,38067,37754,75821,3679,2812
507,115,95,207,11643,11028,22669,827,768,1595,12585,11891,24473,711,328,1035,21712,21113,42822,1217,1126,2338,23640,22567,46200,253,149,403,11496,11271,22770,625,602,1234,12374,12022,24404,164,125,287,11577,11514,23094,931,576,1509,12672,12215,24890,262,233,499,21995,22638,44635,1871,1156,3026,24128,24027,48162,351,413,766,23442,25010,48450,1720,1290,3009,25513,26713,52234,524,580,1102,21978,23398,45371,1483,978,2463,23985,24956,48935,825,785,1614,17011,18265,35272,1038,789,1827,18874,19839,38718,858,818,1675,10173,10888,21059,561,534,1092,11592,12240,23828,1103,1757,2860,5200,6170,11373,413,540,950,6716,8467,15183,723,1908,2628,1082,1525,2611,187,296,489,1992,3729,5732,5895,7193,13083,157313,162815,320129,10881,8657,19532,174089,178665,352746,193,91,288,12754,12483,25238,851,781,1634,13798,13355,27158,1024,520,1543,24522,23746,48267,1389,1444,2835,26935,25710,52642,345,216,559,11699,11489,23196,759,702,1461,12803,12407,25209,258,164,421,12124,12104,24228,1212,906,2116,13594,13174,26764,399,352,757,25941,27518,53462,2851,2186
509,65,29,93,4108,3887,7995,276,260,536,4449,4176,8626,261,128,394,8582,8267,16843,494,461,955,9337,8856,18188,92,58,158,3606,3200,6801,273,159,438,3971,3417,7390,61,42,99,2791,2509,5300,341,128,468,3193,2679,5867,108,115,223,5769,6304,12075,621,296,919,6498,6715,13214,183,185,368,7615,8107,15726,706,424,1130,8504,8716,17220,282,306,591,9064,8834,17899,669,414,1084,10015,9554,19577,455,420,885,8546,8124,16668,537,366,910,9538,8910,18458,451,370,821,5548,5202,10749,308,221,525,6307,5793,12101,455,600,1055,2583,2528,5105,202,193,396,3240,3321,6558,337,706,1038,440,592,1032,72,102,171,849,1400,2240,2757,2959,5721,58653,57539,116192,4503,3028,7527,65913,63526,129439,35,36,73,3684,3414,7098,357,331,689,4076,3781,7862,353,127,481,7849,7614,15463,748,699,1441,8950,8440,17383,116,70,188,3474,3048,6521,329,254,580,3919,3372,7292,75,55,127,2843,2354,5198,382,242,626,3300,2651,5951,151,118,268,5823,6301,12118,1107,615
510,29,13,39,3287,3039,6320,581,562,1145,3897,3614,7505,107,46,152,5477,5161,10635,908,864,1770,6492,6071,12558,34,19,52,2156,1865,4022,426,303,738,2616,2187,4808,25,17,40,3252,2748,6002,1139,451,1590,4416,3216,7633,41,40,81,8830,7048,15877,2995,1142,4137,11866,8230,20094,70,66,133,8264,5700,13962,2449,939,3390,10783,6705,17485,98,96,192,6741,4436,11181,1869,693,2554,8708,5225,13919,143,137,280,3875,2398,6275,930,354,1287,4948,2889,7841,124,115,242,976,589,1568,183,85,267,1283,789,2067,83,110,184,197,148,352,39,25,66,319,283,600,46,58,104,24,18,42,5,7,17,75,83,163,784,712,1497,43083,33158,76238,11525,5424,16946,55392,39294,94682,36,20,58,3451,3173,6623,488,499,985,3975,3692,7660,126,72,202,5702,5463,11164,721,693,1412,6549,6228,12774,40,17,59,1997,1814,3806,290,225,514,2327,2056,4381,29,22,53,2432,2290,4726,548,399,946,3009,2711,5724,47,54,101,9273,7414,16678,2310,1248
511,32,18,56,4113,3942,8054,496,479,972,4641,4439,9080,212,111,326,7866,7740,15604,722,743,1466,8800,8594,17394,66,37,102,3573,3391,6963,365,262,627,4004,3690,7694,59,38,93,3503,3256,6753,530,335,862,4092,3629,7716,84,70,148,7621,7283,14903,1242,686,1922,8947,8039,16979,116,144,260,8393,7812,16202,1056,635,1686,9565,8591,18146,204,199,401,8152,7413,15567,968,579,1547,9324,8191,17513,353,287,643,6249,5504,11753,651,404,1055,7253,6195,13450,337,274,612,3439,2972,6413,315,242,559,4091,3488,7586,337,392,730,1336,1299,2632,173,177,346,1846,1868,3707,144,380,517,206,245,451,58,67,122,408,692,1097,1942,1947,3886,54447,50858,105301,6569,4605,11173,62958,57410,120363,36,29,66,3705,3555,7260,486,412,892,4227,3996,8223,242,110,353,7254,7146,14401,801,739,1541,8297,7995,16303,96,57,150,3222,3096,6323,382,318,700,3700,3471,7174,74,47,117,3011,2762,5774,446,355,800,3531,3164,6689,122,81,208,7223,7099,14320,1258,964
