SA4_CODE_2021,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Not_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Not_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Not_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Not_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Not_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Not_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Not_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Not_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Not_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Not_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Not_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Not_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75over_Em_FT,C11_M_75over_Em_PT,C11_M_75over_Em_AFW,C11_M_75over_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Look_FT,C11_M_75over_Unem_Look_PT,C11_M_75over_Unem_Tot,C11_M_75over_Tot_LF,C11_M_75ove_Not_LF,C11_M_75over_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_Tot_Tot_labo_for,C11_M_Tot_Not_LF,C11_M_Tot_LF_NS,C11_M_Tot_Tot,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Not_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Not_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot
501,1274,1104,131,111,2617,234,152,388,3004,2181,276,5461,2408,515,144,88,3158,248,41,291,3443,366,283,4095,2838,430,168,103,3536,188,24,209,3748,325,347,4415,3215,408,190,108,3931,138,31,168,4093,298,316,4709,3573,467,214,120,4381,139,17,158,4531,362,320,5212,4005,528,258,121,4905,121,28,147,5051,366,370,5787,3955,512,240,116,4818,111,21,132,4951,498,361,5800,3786,594,249,89,4722,115,22,136,4851,548,332,5733,2944,640,282,60,3930,112,24,136,4068,866,284,5214,1791,762,222,51,2817,76,36,115,2934,1678,259,4875,536,447,98,21,1117,12,19,28,1152,2322,184,3647,146,194,27,14,391,0,4,4,390,2073,170,2635,73,132,23,23,244,0,3,6,251,3388,406,4042,30551,6740,2252,1032,40569,1488,416,1907,42475,15261,3900,61639,849,1302,83,79,2311,252,262,515,2823,2495,358,5678,2128,591,107,79,2907,344,89,432,3339,473,285,4094,2726,559,128,71,3493,252,52,298
502,572,628,48,53,1294,167,124,294,1587,1070,179,2838,1148,345,83,68,1651,166,15,187,1837,192,180,2208,1323,190,86,61,1669,151,11,159,1828,142,159,2137,1275,169,84,55,1577,100,9,111,1689,135,160,1982,1559,188,112,55,1915,89,12,97,2010,182,184,2373,1683,211,93,41,2030,72,17,89,2126,208,206,2536,1751,216,133,35,2137,77,10,89,2220,277,175,2674,1588,236,137,44,2010,68,16,84,2090,314,179,2581,1340,237,144,39,1762,67,12,78,1836,466,205,2510,845,361,97,24,1329,56,26,80,1407,1205,154,2771,257,251,40,10,554,4,12,17,577,1784,156,2519,57,121,16,6,193,3,0,4,195,1923,135,2256,10,39,9,3,59,0,0,0,59,2928,408,3393,13412,3188,1077,502,18180,1022,256,1279,19457,10835,2479,32775,343,699,29,23,1101,204,215,419,1520,1255,156,2934,1125,516,48,41,1735,290,80,368,2104,324,168,2595,1384,249,96,43,1770,204,19,224
503,278,1171,87,40,1570,44,223,264,1838,2421,289,4549,2290,1939,200,89,4524,153,266,408,4937,1440,634,7011,4815,1122,198,88,6218,181,94,273,6497,749,946,8193,4247,667,157,60,5136,120,35,156,5295,419,718,6433,3849,431,143,63,4491,95,29,125,4605,308,489,5412,3941,467,133,64,4601,120,20,139,4742,325,453,5521,3789,463,159,54,4466,104,27,132,4598,351,327,5275,3691,467,122,52,4330,95,14,113,4442,399,360,5206,2861,568,156,40,3621,85,26,112,3731,586,369,4680,1861,685,134,37,2721,63,37,95,2816,1030,295,4141,707,559,56,17,1344,15,12,24,1360,1479,224,3068,198,336,29,7,567,3,10,13,581,1459,144,2184,65,226,18,16,326,0,0,6,325,3176,471,3973,32600,9095,1587,634,43910,1078,785,1862,45768,14144,5723,65634,124,1153,51,30,1365,52,350,402,1765,2588,212,4564,1570,2103,116,90,3879,212,367,578,4454,1597,524,6578,4489,1369,160,93,6117,252,152,409
504,1446,1694,116,148,3405,277,249,524,3928,3410,402,7737,3909,1420,186,214,5730,381,136,514,6245,1111,487,7841,5203,853,215,171,6438,238,67,298,6737,757,559,8053,5148,698,221,130,6200,188,49,243,6442,716,476,7630,5743,669,229,175,6816,195,29,229,7046,635,487,8163,5860,736,248,169,7019,182,41,226,7244,698,507,8440,5749,696,282,142,6870,163,25,189,7052,671,435,8163,4919,685,279,117,6001,126,34,164,6166,761,459,7383,3975,715,209,81,4974,126,30,156,5134,976,345,6448,2561,863,196,73,3698,99,52,148,3849,1691,298,5837,826,570,63,32,1492,13,12,31,1523,2395,260,4175,147,215,20,11,394,6,7,13,407,2395,202,3009,55,96,12,13,177,0,3,3,179,4128,473,4775,45541,9914,2278,1477,59213,2001,732,2731,61939,20343,5381,87664,799,1841,77,77,2800,353,625,976,3775,3908,360,8046,3398,2049,145,165,5747,663,277,938,6688,1317,526,8529,5498,1274,213,181,7161,478,122,600
505,2742,4295,309,271,7607,528,720,1251,8857,7606,785,17248,8417,3717,514,412,13066,686,342,1028,14093,2112,1121,17325,11981,2118,551,329,14986,562,128,688,15670,1207,1362,18235,11851,1474,521,287,14134,417,82,499,14633,835,1082,16550,12936,1466,589,325,15315,373,75,450,15768,879,1021,17666,13281,1599,509,303,15694,366,64,426,16117,1057,970,18146,12357,1480,527,276,14631,349,63,406,15041,1080,884,17005,10779,1418,538,205,12939,328,67,392,13334,1234,744,15303,8477,1514,480,167,10643,265,64,326,10968,1783,638,13390,5354,2016,401,130,7898,175,93,265,8163,3409,555,12127,1577,1273,176,75,3095,33,36,71,3162,4877,415,8454,296,551,42,20,913,6,14,28,940,5064,395,6397,84,275,16,21,396,0,8,8,407,9179,1037,10620,100129,23188,5188,2805,131308,4088,1753,5837,137149,40320,11000,188472,1550,4463,200,151,6367,617,1457,2070,8435,8219,707,17357,6710,5051,326,320,12397,1169,724,1893,14289,2450,926,17669,11849,2866,467,349,15535,1042,281,1321
506,2802,3381,227,240,6654,505,624,1130,7783,6925,823,15543,8161,3811,439,420,12834,817,572,1387,14217,3294,1447,18965,11764,2270,492,367,14905,585,175,754,15659,1660,1432,18753,11275,1503,465,296,13541,415,95,512,14053,1190,1140,16383,10650,1304,442,303,12702,368,71,441,13145,1180,1027,15345,10662,1276,461,297,12702,353,55,411,13113,1149,982,15242,10194,1199,444,266,12093,310,49,357,12452,1158,908,14514,9143,1210,458,196,11013,283,64,347,11358,1239,776,13375,7617,1243,479,180,9519,271,60,334,9854,1739,723,12321,5295,1721,381,134,7536,181,78,259,7791,3223,600,11613,1547,1124,142,53,2862,25,29,51,2914,4641,440,8000,295,469,42,29,832,14,15,25,861,4590,384,5832,93,222,26,23,364,0,4,9,370,7903,1031,9309,89507,20732,4514,2804,117559,4133,1892,6027,123583,39893,11716,175186,1457,3561,151,153,5323,541,1249,1781,7111,7893,695,15698,6684,4966,337,305,12289,1193,923,2114,14399,3818,1153,19377,11531,3188,441,356,15512,1161,353,1510
507,2176,3008,221,239,5638,466,555,1020,6658,5129,585,12379,6174,2467,324,263,9223,561,262,826,10049,1815,810,12673,8087,1214,456,235,9990,425,129,551,10543,925,828,12301,8392,909,391,212,9905,340,64,401,10305,792,734,11834,9050,939,434,264,10681,293,44,340,11022,750,708,12479,9376,968,454,208,11011,287,49,337,11347,921,764,13034,8835,974,477,212,10501,269,40,309,10806,904,693,12412,8023,1017,424,157,9618,225,41,266,9884,1067,625,11581,6127,1023,362,127,7627,213,51,260,7889,1474,515,9881,3797,1304,302,98,5495,137,61,198,5693,2856,445,8992,1143,929,133,42,2245,30,36,63,2310,4029,319,6664,197,369,34,21,620,3,12,16,635,3968,325,4929,63,173,26,22,283,0,3,4,286,7642,784,8715,71429,15297,4039,2088,92841,3237,1357,4592,97437,32285,8149,137869,1225,3309,155,95,4792,509,963,1474,6270,5896,639,12803,5311,3182,276,242,9020,1006,473,1485,10497,2171,923,13595,8430,1784,310,202,10726,831,189,1017
509,887,623,64,61,1630,175,83,257,1890,1834,247,3971,1728,340,104,75,2245,185,38,229,2477,458,261,3196,2044,274,110,70,2495,122,24,145,2642,280,236,3159,2179,286,137,61,2670,108,20,126,2796,307,229,3339,2574,358,166,76,3172,132,29,158,3335,338,257,3927,2979,417,204,98,3697,130,25,156,3852,408,317,4574,3251,485,203,82,4020,111,28,140,4159,472,301,4935,3148,537,208,109,4002,116,32,145,4139,619,322,5083,2782,538,209,59,3587,100,36,132,3720,837,264,4821,1928,691,193,58,2866,68,38,102,2974,1512,241,4724,738,445,103,34,1325,17,22,29,1354,2022,182,3564,304,271,52,18,644,9,7,12,660,1922,165,2748,187,198,39,22,441,8,3,9,446,3263,375,4082,24724,5462,1794,817,32798,1262,385,1652,34453,14272,3400,52127,696,670,44,64,1468,147,125,275,1740,1876,299,3919,1656,443,84,67,2249,203,57,259,2510,555,238,3299,2018,310,98,46,2466,167,11,184
510,627,301,48,60,1036,103,51,150,1194,1017,408,2619,2193,288,119,88,2685,133,28,157,2841,644,931,4417,3594,303,234,104,4230,104,13,124,4354,701,1302,6349,3242,273,205,112,3829,74,12,91,3922,612,989,5517,3327,264,221,82,3906,89,12,105,4010,537,1020,5572,3127,254,210,75,3668,63,18,82,3753,450,1001,5210,2721,234,161,76,3195,56,9,67,3264,376,916,4558,2555,206,185,68,3012,52,9,63,3072,287,783,4146,1787,168,135,37,2140,30,9,38,2181,305,554,3041,997,126,73,35,1233,21,9,28,1257,317,326,1903,273,70,23,11,378,3,6,8,386,335,137,865,56,35,3,3,103,0,0,4,112,237,65,410,19,12,3,3,37,0,0,0,43,289,69,401,24528,2540,1629,757,29455,740,171,918,30371,6116,8517,45007,320,351,26,25,719,112,59,178,896,1163,270,2330,1378,256,64,67,1774,219,42,255,2032,497,479,3013,3220,297,198,73,3780,179,37,217
511,1126,622,99,82,1931,155,88,247,2176,1481,343,3999,2358,360,121,105,2943,188,46,240,3183,444,462,4095,2962,298,153,110,3519,139,30,175,3698,371,574,4642,2818,262,176,86,3339,139,23,159,3498,317,492,4302,3158,318,198,117,3789,124,10,135,3926,357,462,4741,3256,369,171,92,3885,100,13,119,4000,339,478,4815,3149,336,206,77,3768,120,20,141,3905,367,487,4762,2960,358,174,79,3578,89,10,101,3674,443,441,4562,2280,350,177,60,2869,71,17,97,2963,545,351,3860,1470,370,129,48,2016,56,29,85,2104,995,299,3402,505,268,61,18,851,12,16,27,875,1276,192,2347,148,136,29,11,315,0,7,4,321,1247,170,1741,59,77,21,13,171,0,0,5,169,1789,278,2248,26244,4121,1720,890,32968,1211,315,1530,34505,9967,5044,49510,609,699,38,47,1395,166,119,290,1676,1658,362,3701,1808,362,94,62,2330,269,71,339,2665,476,396,3536,2497,301,133,59,2990,217,30,248
