SA4_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
501,36,20,3,17,82,231,60,26,7,322,479,30,757,1596,48,37,9,0,92,99,10,90,290,22090,19909,7400,521,49914,18165,1882,5119,75085
502,0,9,0,12,20,102,12,14,3,132,273,4,134,548,14,0,7,0,21,24,0,15,59,13452,10582,4930,349,29308,11472,957,1857,43597
503,38,25,15,9,82,19,13,7,0,38,28,15,438,514,14,11,11,0,29,62,0,41,133,20113,19262,4869,794,45033,23592,4130,3945,76713
504,19,14,0,5,42,70,16,14,3,98,163,6,521,786,23,25,13,3,64,51,6,57,175,26043,33900,11754,1247,72943,24102,3232,4090,104364
505,24,11,10,0,46,93,21,14,3,127,222,15,285,644,28,20,6,5,57,63,5,54,184,55295,74748,23478,2259,155787,49311,6281,6989,218372
506,99,50,10,22,174,196,50,37,3,289,439,25,313,1072,46,37,26,3,112,115,10,73,313,47909,65086,20120,2854,135972,46211,7864,7851,197902
507,43,41,3,15,101,199,16,28,8,252,395,13,462,1122,47,35,11,0,93,97,6,61,252,42519,55159,18611,1669,117964,39468,4982,6313,168725
509,35,28,0,16,82,162,28,23,0,213,378,12,738,1342,72,45,11,6,132,113,5,102,353,16956,12772,4600,401,34723,14949,1194,5713,56577
510,73,24,10,60,163,311,82,37,13,434,405,37,6385,7274,100,48,17,5,169,191,18,1009,1383,5771,8585,2806,386,17542,6039,850,12360,36799
511,51,35,6,32,122,324,81,37,9,455,522,29,4822,5833,97,67,28,7,189,178,13,563,943,11805,11151,4342,446,27754,11867,1220,10779,51619
597,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,11,13
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
