SA4_CODE_2021,Per_age_15over_C11_M,Per_age_15over_C11_F,Per_age_15over_C11_P,Per_age_15over_C16_M,Per_age_15over_C16_F,Per_age_15over_C16_P,Per_age_15over_C21_M,Per_age_15over_C21_F,Per_age_15over_C21_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_FT_C21_M,Lfs_Em_FT_C21_F,Lfs_Em_FT_C21_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_PT_C21_M,Lfs_Em_PT_C21_F,Lfs_Em_PT_C21_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Em_AFWr_C21_M,Lfs_Em_AFWr_C21_F,Lfs_Em_AFWr_C21_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Unem_LFW_C21_M,Lfs_Unem_LFW_C21_F,Lfs_Unem_LFW_C21_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,Lfs_Tot_LForc_C21_M,Lfs_Tot_LForc_C21_F,Lfs_Tot_LForc_C21_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,N_LForc_C21_M,N_LForc_C21_F,N_LForc_C21_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_Unemp_C21_M,Pcnt_Unemp_C21_F,Pcnt_Unemp_C21_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_LForc_prt_C21_M,Pcnt_LForc_prt_C21_F,Pcnt_LForc_prt_C21_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,Pcnt_Emp_to_pop_C21_M,Pcnt_Emp_to_pop_C21_F,Pcnt_Emp_to_pop_C21_P,H_no_sc_qu_Po_De_C11_M,H_no_sc_qu_Po_De_C11_F,H_no_sc_qu_Po_De_C11_P,H_no_sc_qu_Po_De_C16_M,H_no_sc_qu_Po_De_C16_F,H_no_sc_qu_Po_De_C16_P,H_no_sc_qu_Po_De_C21_M,H_no_sc_qu_Po_De_C21_F,H_no_sc_qu_Po_De_C21_P,H_n_s_q_Gr_D_G_Ce_C11_M,H_n_s_q_Gr_D_G_Ce_C11_F,H_n_s_q_Gr_D_G_Ce_C11_P,H_n_s_q_Gr_D_G_Ce_C16_M,H_n_s_q_Gr_D_G_Ce_C16_F,H_n_s_q_Gr_D_G_Ce_C16_P,H_n_s_q_Gr_D_G_Ce_C21_M,H_n_s_q_Gr_D_G_Ce_C21_F,H_n_s_q_Gr_D_G_Ce_C21_P,H_n_s_q_BD_C11_M,H_n_s_q_BD_C11_F,H_n_s_q_BD_C11_P,H_n_s_q_BD_C16_M,H_n_s_q_BD_C16_F,H_n_s_q_BD_C16_P,H_n_s_q_BD_C21_M,H_n_s_q_BD_C21_F,H_n_s_q_BD_C21_P,H_n_s_q_AdDip_DL_C11_M,H_n_s_q_AdDip_DL_C11_F,H_n_s_q_AdDip_DL_C11_P,H_n_s_q_AdDip_DL_C16_M,H_n_s_q_AdDip_DL_C16_F,H_n_s_q_AdDip_DL_C16_P,H_n_s_q_AdDip_DL_C21_M,H_n_s_q_AdDip_DL_C21_F,H_n_s_q_AdDip_DL_C21_P,H_n_s_q_Cert_III_IV_C11_M,H_n_s_q_Cert_III_IV_C11_F,H_n_s_q_Cert_III_IV_C11_P,H_n_s_q_Cert_III_IV_C16_M,H_n_s_q_Cert_III_IV_C16_F,H_n_s_q_Cert_III_IV_C16_P,H_n_s_q_Cert_III_IV_C21_M,H_n_s_q_Cert_III_IV_C21_F,H_n_s_q_Cert_III_IV_C21_P,H_n_s_q_Cert_I_II_C11_M,H_n_s_q_Cert_I_II_C11_F,H_n_s_q_Cert_I_II_C11_P,H_n_s_q_Cert_I_II_C16_M,H_n_s_q_Cert_I_II_C16_F,H_n_s_q_Cert_I_II_C16_P,H_n_s_q_Cert_I_II_C21_M,H_n_s_q_Cert_I_II_C21_F,H_n_s_q_Cert_I_II_C21_P,H_n_s_q_Cert_Lev_nfd_C11_M,H_n_s_q_Cert_Lev_nfd_C11_F,H_n_s_q_Cert_Lev_nfd_C11_P,H_n_s_q_Cert_Lev_nfd_C16_M,H_n_s_q_Cert_Lev_nfd_C16_F,H_n_s_q_Cert_Lev_nfd_C16_P,H_n_s_q_Cert_Lev_nfd_C21_M,H_n_s_q_Cert_Lev_nfd_C21_F,H_n_s_q_Cert_Lev_nfd_C21_P,H_n_s_q_Cert_Lev_Tot_C11_M,H_n_s_q_Cert_Lev_Tot_C11_F,H_n_s_q_Cert_Lev_Tot_C11_P,H_n_s_q_Cert_Lev_Tot_C16_M,H_n_s_q_Cert_Lev_Tot_C16_F,H_n_s_q_Cert_Lev_Tot_C16_P,H_n_s_q_Cert_Lev_Tot_C21_M,H_n_s_q_Cert_Lev_Tot_C21_F,H_n_s_q_Cert_Lev_Tot_C21_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_SA_1yr_ag_C21_M,Mi_Liv_SA_1yr_ag_C21_F,Mi_Liv_SA_1yr_ag_C21_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C21_M,Mi_Liv_DA_1yr_ag_C21_F,Mi_Liv_DA_1yr_ag_C21_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_SA_5yrs_ag_C21_M,Mi_Liv_SA_5yrs_ag_C21_F,Mi_Liv_SA_5yrs_ag_C21_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C21_M,Mi_Liv_DA_5yrs_ag_C21_F,Mi_Liv_DA_5yrs_ag_C21_P
501,61639,62761,124401,68862,71705,140568,74828,78232,153058,30551,13522,44074,30024,14174,44201,32392,16708,49101,6740,17273,24012,8017,20049,28070,9252,22397,31646,3281,2491,5770,2953,2435,5389,3519,3184,6702,1907,1731,3639,3278,2566,5840,2023,1847,3867,42475,35017,77493,44272,39227,83503,47182,44134,91320,15261,24528,39794,19091,27117,46209,22144,29502,51642,4.5,4.9,4.7,7.4,6.5,7,4.3,4.2,4.2,68.9,55.8,62.3,64.3,54.7,59.4,63.1,56.4,59.7,65.8,53,59.4,59.5,51.1,55.2,60.4,54.1,57.1,743,587,1330,1009,1089,2096,1490,1708,3197,489,1001,1489,630,1425,2052,802,2011,2808,4227,6654,10880,5157,8591,13752,6193,10825,17015,3412,5433,8846,4441,6848,11290,5211,7868,13078,18566,8214,26781,20082,9563,29648,22276,12543,34820,591,1331,1922,762,1601,2362,1205,1999,3205,702,1531,2227,1188,2031,3219,1072,1936,3005,19858,11073,30925,22031,13197,35229,24560,16472,41031,60598,61620,122220,65637,67146,132785,72330,74951,147279,12588,13017,25603,12130,13229,25364,12917,13966,26879,37952,37910,75860,42087,42153,84235,48829,49785,98613,30147,31945,62096,31900,34739,66635,31856,34874,66730
502,32775,34726,67502,38182,40991,79178,42513,46298,88811,13412,6250,19661,14337,7143,21485,15662,8465,24125,3188,7717,10909,3873,9209,13088,4646,11005,15656,1582,1050,2630,1420,1130,2552,1882,1534,3413,1279,1184,2467,2396,2047,4443,1689,1515,3206,19457,16204,35664,22026,19531,41559,23882,22518,46404,10835,16373,27214,13279,18865,32144,15493,21130,36622,6.6,7.3,6.9,10.9,10.5,10.7,7.1,6.7,6.9,59.4,46.7,52.8,57.7,47.6,52.5,56.2,48.6,52.2,55.5,43.2,49.2,51.4,42.7,46.9,52.2,45.4,48.6,345,249,594,553,517,1066,740,763,1505,189,386,579,267,647,914,352,924,1276,1651,2603,4247,2225,3779,5997,2657,4797,7454,1913,2698,4615,2618,3913,6526,3163,4712,7875,9546,3834,13382,11587,5278,16864,12843,7116,19957,322,585,908,423,734,1160,638,1038,1677,356,795,1154,651,1229,1884,592,1201,1794,10223,5221,15443,12659,7241,19903,14075,9356,23430,30296,31575,61869,34515,36490,71000,40538,43879,84415,7328,8134,15465,7677,8436,16109,7260,8181,15442,17634,18403,36035,20287,20856,41147,26103,27682,53784,17441,18883,36327,20367,22559,42926,19230,21887,41115
503,65634,66871,132512,70205,73112,143315,75953,78909,154860,32600,19192,51792,32331,19908,52241,36406,23347,59750,9095,16295,25384,10557,18344,28900,12788,22226,35017,2223,2326,4552,1739,2159,3892,2040,2638,4678,1862,1593,3451,3240,2744,5982,2369,2138,4505,45768,39407,85173,47865,43148,91017,53601,50351,103951,14144,22747,36899,16148,23999,40151,17628,24704,42329,4.1,4,4.1,6.8,6.4,6.6,4.4,4.2,4.3,69.7,58.9,64.3,68.2,59,63.5,70.6,63.8,67.1,66.9,56.5,61.7,63.6,55.3,59.3,67.5,61.1,64.2,6763,5084,11842,8431,7064,15490,11432,10143,21570,1594,2821,4416,1897,3274,5172,2366,4076,6439,17919,18830,36746,20622,22371,42996,23606,25629,49237,5171,6716,11890,5652,7029,12686,6141,7677,13821,6958,2872,9831,6965,3241,10207,7320,4034,11352,333,514,848,328,526,849,507,699,1207,519,973,1495,692,1270,1967,659,1335,1999,7809,4364,12172,7987,5040,13032,8484,6074,14556,55144,57076,112218,57361,59412,116771,67674,69844,137514,15504,15691,31192,16972,17384,34356,16501,17474,33975,32828,35063,67889,33516,35738,69257,38919,40985,79904,34302,34246,68543,38897,39242,78136,41652,42966,84620
504,87664,88609,176270,100532,102027,202558,110313,112749,223065,45541,24877,70410,47845,27352,75196,53605,31644,85241,9914,22182,32099,12310,26027,38333,14919,30905,45824,3756,3352,7106,3295,3165,6459,3955,4208,8162,2731,2552,5285,5684,4663,10349,3901,3644,7539,61939,52959,114897,69133,61200,130341,76374,70404,146773,20343,31017,51356,24713,34365,59077,27711,37352,65060,4.4,4.8,4.6,8.2,7.6,7.9,5.1,5.2,5.1,70.7,59.8,65.2,68.8,60,64.3,69.2,62.4,65.8,67.5,56.9,62.2,63.1,55.4,59.2,65.7,59.2,62.4,2002,1807,3807,2964,3208,6165,4270,5007,9274,993,1628,2618,1334,2303,3634,1622,3202,4831,8620,11221,19839,11200,15431,26630,13901,19186,33085,6253,8238,14494,8181,10412,18591,9515,11950,21462,21671,8553,30224,25089,11351,36441,27529,14941,42467,698,1378,2077,969,1620,2587,1586,2140,3732,882,2042,2927,1409,2647,4061,1432,2718,4146,23250,11974,35224,27470,15622,43092,30542,19801,50346,86382,87784,174171,93832,95296,189129,110834,113309,224142,14968,15165,30135,18153,18584,36739,16626,17480,34104,56067,57072,113133,59735,60622,120358,73484,74788,148279,38514,39483,78002,47316,48529,95840,46037,48766,94801
505,188472,197300,385765,209459,220100,429556,225736,239995,465735,100129,53518,153646,102469,56738,159206,111375,64496,175865,23188,53102,76288,28207,60827,89035,32715,70710,103429,7991,7547,15539,6650,7047,13693,7810,8856,16664,5837,5399,11239,11758,9726,21483,8023,7375,15402,137149,119560,256710,149087,134337,283427,159921,151443,311368,40320,68226,108548,48126,73742,121872,54294,79091,133386,4.3,4.5,4.4,7.9,7.2,7.6,5,4.9,4.9,72.8,60.6,66.5,71.2,61,66,70.8,63.1,66.9,69.7,57.9,63.6,65.6,56.6,61,67.3,60,63.5,6199,4646,10849,8608,7682,16289,11943,11718,23662,2586,4298,6884,3287,5830,9113,4057,7989,12046,24431,30485,54920,30219,39904,70118,35933,48114,84047,15627,20214,35849,19144,24110,43258,21503,27310,48810,45856,18381,64235,50887,22037,72924,53457,27450,80907,1530,2867,4398,1809,3126,4937,2672,4042,6709,1836,4599,6440,3079,6034,9112,3030,5889,8931,49226,25845,75069,55775,31201,86975,59159,37379,96546,187120,194340,381459,201548,208625,410176,231643,242797,474441,35317,36496,71811,38732,40082,78809,34960,37364,72325,115908,121372,237278,127829,133125,260951,154001,160642,314642,91419,94885,186308,102202,105986,208186,97229,104764,201997
506,175186,177143,352333,197138,198252,395396,211086,215211,426298,89507,48589,138095,91427,50070,141502,100959,57049,158009,20732,42381,63121,26077,48526,74606,30850,57674,88519,7312,6415,13730,6049,5941,11984,7140,7481,14627,6027,5470,11494,12207,10040,22249,8112,7648,15763,123583,102861,226439,135762,114579,250338,147058,129852,276911,39893,64487,104380,48152,71325,119478,51636,74825,126458,4.9,5.3,5.1,9,8.8,8.9,5.5,5.9,5.7,70.5,58.1,64.3,68.9,57.8,63.3,69.7,60.3,65,67.1,55,61,62.7,52.7,57.7,65.8,56.8,61.3,6478,5116,11592,9677,8791,18468,13254,13057,26315,2089,3324,5411,2673,4493,7162,3283,6009,9295,21653,25850,47505,27765,34528,62294,33236,42178,75407,12875,16495,29371,16259,19581,35839,18670,22144,40814,40148,16484,56635,43618,19418,63035,45580,25067,70645,1473,2560,4033,1804,2904,4708,2884,3866,6748,1700,3844,5542,2750,4727,7487,2575,4395,6967,43315,22889,66208,48177,27045,75227,51035,33328,84363,164534,167361,331891,180692,181902,362598,210436,214374,424808,35168,35278,70454,39712,39585,79301,35238,35690,70929,100216,103388,203601,110939,113002,223940,134555,137224,271779,86178,86864,173043,99673,99071,198749,96473,98833,195305
507,137869,144208,282072,157869,165657,323531,173340,183300,356647,71429,37219,108651,74897,40619,115518,84011,47838,131854,15297,37186,52481,18895,43423,62320,22704,52257,74961,6120,5421,11539,5010,5179,10191,6384,6707,13089,4592,4336,8929,9296,7680,16982,6497,6003,12506,97437,84165,181599,108099,96904,205007,119598,112808,232407,32285,53234,85521,38486,58084,96572,43549,62489,106035,4.7,5.2,4.9,8.6,7.9,8.3,5.4,5.3,5.4,70.7,58.4,64.4,68.5,58.5,63.4,69,61.5,65.2,67.3,55.4,61.2,62.6,53.9,58.1,65.2,58.3,61.7,4697,3884,8587,6717,6275,12987,9396,9490,18885,1805,3229,5034,2359,4566,6927,3012,6178,9190,16809,21688,38496,20837,28590,49422,25429,35601,61034,10476,13718,24189,13056,16778,29834,15032,19530,34559,33725,13417,47148,39259,17679,56937,42521,23129,65653,1213,2274,3488,1434,2630,4063,2463,3506,5971,1391,3076,4470,2442,4229,6670,2396,4181,6572,36329,18770,55099,43129,24539,67669,47379,30819,78202,134141,140087,274228,147638,153898,301540,173386,181998,355383,27696,28685,56380,30237,32045,62285,29046,31763,60806,82844,86883,169731,91149,95267,186415,112533,117181,229704,67748,71263,139016,78962,83159,162117,77644,85289,162931
509,52127,50502,102626,56038,54072,110109,57378,55894,113275,24724,11672,36397,23874,11641,35510,23779,12384,36165,5462,12672,18133,6002,13374,19371,6543,14251,20794,2617,2134,4749,2263,1908,4170,2453,2209,4662,1652,1194,2847,2022,1391,3412,1499,1121,2616,34453,27677,62124,34148,28316,62462,34270,29961,64234,14272,20383,34654,16697,21072,37770,17491,21124,38614,4.8,4.3,4.6,5.9,4.9,5.5,4.4,3.7,4.1,66.1,54.8,60.5,60.9,52.4,56.7,59.7,53.6,56.7,62.9,52.4,57.8,57.3,49.8,53.6,57.1,51.6,54.4,536,457,990,654,734,1384,868,1100,1969,323,864,1192,403,1034,1437,469,1271,1738,2801,5064,7862,3174,5876,9046,3655,6967,10617,2577,4250,6829,3024,5047,8069,3297,5494,8791,12156,5056,17213,13749,6104,19852,14286,7302,21589,531,1014,1544,627,1128,1752,845,1376,2222,582,1148,1727,967,1422,2386,782,1222,2003,13268,7216,20488,15339,8654,23991,15914,9899,25812,51818,50947,102762,51927,50568,102490,52902,52303,105202,9053,9127,18179,8557,8694,17250,8459,8714,17164,34650,33372,68020,35567,34125,69689,37491,36217,73704,22174,22871,45047,21972,22443,44418,20824,21906,42725
510,45007,29615,74618,42788,30699,73481,37300,31785,69087,24528,11264,35793,23418,10746,34164,18379,11223,29601,2540,4635,7175,2726,5108,7833,2675,5610,8287,2381,1423,3809,2124,1419,3543,1980,1601,3578,918,743,1662,1542,1255,2796,973,816,1786,30371,18064,48437,29812,18522,48336,24001,19251,43255,6116,7485,13603,5743,8092,13844,5978,7614,13602,3,4.1,3.4,5.2,6.8,5.8,4,4.2,4.1,67.5,61,64.9,69.7,60.3,65.8,64.3,60.6,62.6,65.4,58.5,62.7,66.1,56.3,62,61.7,58,60,529,440,968,674,651,1327,683,959,1640,297,536,836,326,646,972,345,796,1139,2766,3673,6439,2911,4034,6943,2405,4520,6925,2069,2257,4324,2401,2640,5041,2048,2647,4698,12507,2922,15423,13101,3478,16575,10437,3922,14362,450,705,1157,521,771,1290,532,833,1370,357,549,911,617,664,1277,405,535,941,13313,4176,17489,14231,4907,19137,11378,5293,16666,30307,24221,54528,31968,25248,57216,29752,26611,56362,13194,9410,22602,12000,9701,21702,8667,8607,17276,14611,11912,26512,15175,12085,27267,15487,13327,28822,25617,18862,44476,25759,20044,45804,19819,19097,38916
511,49510,44378,93894,48869,45179,94046,49699,45919,95614,26244,12548,38789,23019,11804,34822,22692,12774,35468,4121,10022,14142,4240,10349,14588,4629,10736,15359,2605,1874,4479,2093,1670,3765,2257,1847,4110,1530,1310,2840,2338,1648,3981,1410,1008,2420,34505,25751,60253,31690,25464,57158,30986,26362,57351,9967,15198,25160,11364,15107,26475,11648,14463,26111,4.4,5.1,4.7,7.4,6.5,7,4.6,3.8,4.2,69.7,58,64.2,64.8,56.4,60.8,62.4,57.4,60,66.6,55.1,61.1,60.1,52.7,56.5,59.5,55.2,57.5,515,407,928,665,589,1260,816,929,1744,308,646,955,349,794,1138,334,970,1300,2520,4159,6681,2664,4600,7268,2896,5294,8186,2182,3211,5391,2466,3667,6132,2557,3827,6380,13315,4281,17605,13504,5114,18618,13549,6176,19728,533,1001,1533,619,1031,1650,783,1226,2013,424,873,1301,758,1122,1875,563,864,1429,14282,6159,20436,14883,7262,22149,14892,8273,23165,44174,41579,85751,43447,41007,84460,43041,41333,84380,11789,10859,22650,9332,9133,18468,8989,8741,17733,26184,24476,50661,27568,25490,53058,28635,26803,55435,25536,23956,49496,22320,21957,44272,20312,20310,40630
