SA4_CODE_2021,C11_15_19_Mar_RegM_M,C11_15_19_Mar_RegM_F,C11_15_19_Mar_RegM_P,C11_15_19_Mar_DFM_M,C11_15_19_Mar_DFM_F,C11_15_19_Mar_DFM_P,C11_15_19_N_mar_M,C11_15_19_N_mar_F,C11_15_19_N_mar_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Mar_RegM_M,C11_20_24_Mar_RegM_F,C11_20_24_Mar_RegM_P,C11_20_24_Mar_DFM_M,C11_20_24_Mar_DFM_F,C11_20_24_Mar_DFM_P,C11_20_24_N_mar_M,C11_20_24_N_mar_F,C11_20_24_N_mar_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Mar_RegM_M,C11_25_29_Mar_RegM_F,C11_25_29_Mar_RegM_P,C11_25_29_Mar_DFM_M,C11_25_29_Mar_DFM_F,C11_25_29_Mar_DFM_P,C11_25_29_N_mar_M,C11_25_29_N_mar_F,C11_25_29_N_mar_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Mar_RegM_M,C11_30_34_Mar_RegM_F,C11_30_34_Mar_RegM_P,C11_30_34_Mar_DFM_M,C11_30_34_Mar_DFM_F,C11_30_34_Mar_DFM_P,C11_30_34_N_mar_M,C11_30_34_N_mar_F,C11_30_34_N_mar_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Mar_RegM_M,C11_35_39_Mar_RegM_F,C11_35_39_Mar_RegM_P,C11_35_39_Mar_DFM_M,C11_35_39_Mar_DFM_F,C11_35_39_Mar_DFM_P,C11_35_39_N_mar_M,C11_35_39_N_mar_F,C11_35_39_N_mar_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Mar_RegM_M,C11_40_44_Mar_RegM_F,C11_40_44_Mar_RegM_P,C11_40_44_Mar_DFM_M,C11_40_44_Mar_DFM_F,C11_40_44_Mar_DFM_P,C11_40_44_N_mar_M,C11_40_44_N_mar_F,C11_40_44_N_mar_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Mar_RegM_M,C11_45_49_Mar_RegM_F,C11_45_49_Mar_RegM_P,C11_45_49_Mar_DFM_M,C11_45_49_Mar_DFM_F,C11_45_49_Mar_DFM_P,C11_45_49_N_mar_M,C11_45_49_N_mar_F,C11_45_49_N_mar_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Mar_RegM_M,C11_50_54_Mar_RegM_F,C11_50_54_Mar_RegM_P,C11_50_54_Mar_DFM_M,C11_50_54_Mar_DFM_F,C11_50_54_Mar_DFM_P,C11_50_54_N_mar_M,C11_50_54_N_mar_F,C11_50_54_N_mar_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Mar_RegM_M,C11_55_59_Mar_RegM_F,C11_55_59_Mar_RegM_P,C11_55_59_Mar_DFM_M,C11_55_59_Mar_DFM_F,C11_55_59_Mar_DFM_P,C11_55_59_N_mar_M,C11_55_59_N_mar_F,C11_55_59_N_mar_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Mar_RegM_M,C11_60_64_Mar_RegM_F,C11_60_64_Mar_RegM_P,C11_60_64_Mar_DFM_M,C11_60_64_Mar_DFM_F,C11_60_64_Mar_DFM_P,C11_60_64_N_mar_M,C11_60_64_N_mar_F,C11_60_64_N_mar_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Mar_RegM_M,C11_65_69_Mar_RegM_F,C11_65_69_Mar_RegM_P,C11_65_69_Mar_DFM_M,C11_65_69_Mar_DFM_F,C11_65_69_Mar_DFM_P,C11_65_69_N_mar_M,C11_65_69_N_mar_F,C11_65_69_N_mar_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Mar_RegM_M,C11_70_74_Mar_RegM_F,C11_70_74_Mar_RegM_P,C11_70_74_Mar_DFM_M,C11_70_74_Mar_DFM_F,C11_70_74_Mar_DFM_P,C11_70_74_N_mar_M,C11_70_74_N_mar_F,C11_70_74_N_mar_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Mar_RegM_M,C11_75_79_Mar_RegM_F,C11_75_79_Mar_RegM_P,C11_75_79_Mar_DFM_M,C11_75_79_Mar_DFM_F,C11_75_79_Mar_DFM_P,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_N_mar_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_RegM_P,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_Mar_DFM_P,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_N_mar_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Mar_RegM_M,C11_85_over_Mar_RegM_F,C11_85_over_Mar_RegM_P,C11_85_over_Mar_DFM_M,C11_85_over_Mar_DFM_F,C11_85_over_Mar_DFM_P,C11_85_over_N_mar_M,C11_85_over_N_mar_F,C11_85_over_N_mar_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Marr_reg_marr_M,C11_Tot_Marr_reg_marr_F,C11_Tot_Marr_reg_marr_P,C11_Tot_Mar_de_fa_mar_M,C11_Tot_Mar_de_fa_mar_F,C11_Tot_Mar_de_fa_mar_P,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_N_mar_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Mar_RegM_M,C16_15_19_Mar_RegM_F,C16_15_19_Mar_RegM_P,C16_15_19_Mar_DFM_M,C16_15_19_Mar_DFM_F,C16_15_19_Mar_DFM_P,C16_15_19_N_mar_M,C16_15_19_N_mar_F
501,4,16,17,77,208,281,4737,4165,8904,4815,4385,9203,146,378,521,701,1101,1803,2472,1877,4352,3323,3351,6674,884,1483,2370,1060,1189,2248,1598,1248,2842,3540,3921,7464,1848,2426,4269,953,905,1852,1157,1094,2248,3954,4421,8374,2595,3168,5765,786,865,1645,1055,1134,2190,4429,5166,9597,3097,3543,6638,737,783,1517,1104,1351,2456,4936,5677,10615,3146,3413,6560,635,643,1277,1190,1226,2411,4971,5282,10250,3265,3385,6648,528,522,1049,1110,1231,2340,4901,5132,10034,2986,3156,6142,441,338,779,1005,1118,2122,4433,4615,9045,2976,2850,5827,247,207,454,865,1038,1900,4088,4096,8189,2290,1970,4261,141,100,240,590,894,1484,3019,2968,5985,1717,1402,3118,74,49,122,416,878,1297,2202,2330,4538,1173,912,2084,34,21,52,344,834,1180,1547,1759,3314,801,475,1278,8,5,18,296,856,1149,1111,1331,2441,411,148,560,10,10,15,282,857,1132,699,1010,1713,27330,28716,56054,6425,6938,13357,18217,19796,38010,51973,55455,107426,3,9,10,63,128,192,4973,4442
502,4,16,16,42,108,145,2530,2303,4835,2571,2422,4996,102,199,301,370,590,955,1356,1180,2536,1822,1966,3790,411,667,1077,526,609,1133,823,713,1539,1761,1991,3754,742,1074,1816,390,399,794,513,545,1063,1650,2018,3668,1110,1354,2472,373,365,737,530,617,1144,2014,2333,4350,1271,1543,2816,301,316,612,553,704,1254,2123,2561,4683,1388,1552,2935,269,334,599,641,733,1375,2293,2621,4906,1383,1612,3000,234,256,488,569,715,1281,2190,2581,4771,1404,1569,2969,182,188,367,501,656,1156,2085,2410,4496,1676,1793,3466,172,139,310,506,643,1146,2348,2575,4927,1533,1489,3024,94,76,175,422,619,1040,2052,2189,4240,1475,1222,2697,73,48,116,370,619,988,1914,1893,3800,1040,827,1865,33,24,55,263,602,864,1347,1449,2792,711,429,1139,20,12,32,225,607,832,956,1053,2004,323,154,480,3,4,8,194,522,717,522,681,1206,14579,15497,30072,3070,3468,6540,10003,11776,21774,27649,30740,58394,0,4,5,47,104,147,2656,2563
503,0,9,14,28,55,87,3819,3733,7546,3848,3803,7647,80,293,376,531,880,1409,5002,4630,9633,5615,5802,11416,920,1438,2359,1487,1767,3251,4151,3253,7403,6554,6458,13009,2005,2453,4460,1132,938,2070,2181,1758,3942,5316,5153,10472,2582,3025,5612,661,560,1220,1345,1159,2505,4594,4748,9337,3015,3437,6447,489,490,980,1196,1166,2367,4701,5091,9797,2962,3209,6171,497,455,951,1176,1240,2420,4631,4907,9541,2923,2946,5867,435,369,804,1189,1409,2598,4546,4725,9271,2539,2513,5049,326,265,590,1157,1346,2505,4021,4128,8149,2367,2176,4544,223,170,387,998,1251,2252,3589,3596,7183,1782,1482,3269,135,67,201,700,972,1677,2622,2529,5149,1315,1095,2409,57,28,91,508,920,1428,1884,2042,3925,972,771,1738,37,16,55,351,937,1289,1356,1722,3079,720,448,1168,8,8,19,324,1052,1379,1055,1512,2572,505,244,745,13,0,13,340,1347,1685,851,1590,2439,24684,25540,50223,6056,6075,12132,24443,26179,50622,55187,57796,112981,4,7,5,22,44,72,3803,3793
504,5,16,23,63,156,217,7094,6525,13628,7159,6701,13861,237,659,894,823,1359,2183,5648,4418,10065,6706,6431,13139,1626,2622,4249,1540,1667,3207,3571,2531,6103,6741,6823,13565,3055,3974,7026,1274,1371,2648,2150,1780,3937,6480,7127,13608,4236,4810,9044,1032,1056,2090,1797,1887,3685,7064,7747,14817,4591,5017,9606,983,959,1944,1816,2096,3911,7389,8073,15462,4657,4836,9495,783,798,1575,1810,2080,3890,7246,7714,14956,4230,4342,8577,613,588,1201,1666,2042,3711,6510,6976,13488,3851,3903,7755,438,364,800,1498,1881,3381,5791,6144,11934,3683,3409,7090,309,222,533,1279,1788,3066,5270,5420,10688,2745,2296,5042,166,131,297,832,1396,2237,3745,3823,7571,2061,1705,3775,78,53,136,591,1233,1820,2736,2991,5725,1423,1028,2452,32,18,48,529,1164,1693,1993,2202,4195,941,528,1475,9,13,21,362,1127,1480,1314,1662,2981,491,222,714,8,3,13,358,1114,1466,850,1337,2188,37836,39375,77211,8144,8757,16905,31011,33051,64057,76995,81182,158173,5,7,12,51,118,164,7388,6743
505,11,53,58,112,301,414,15991,14835,30826,16111,15190,31298,478,1249,1729,1720,2928,4648,13078,10996,24076,15278,15177,30457,3544,5789,9333,3720,4112,7830,8476,6334,14810,15739,16233,31974,7237,9231,16466,2710,2607,5319,4635,3948,8579,14584,15781,30369,10042,11506,21542,2167,1990,4155,3614,3725,7340,15829,17218,33043,11171,12116,23285,1783,1756,3539,3419,4011,7426,16372,17885,34255,10817,11303,22123,1318,1312,2622,3226,4270,7496,15355,16890,32243,9915,10194,20109,1002,982,1983,2968,4106,7076,13886,15278,29165,8896,8919,17812,779,667,1449,2551,3848,6402,12226,13433,25659,8542,7743,16281,524,391,919,2003,3740,5743,11062,11874,22939,6039,5242,11279,246,178,421,1423,2842,4265,7708,8254,15967,4591,3803,8400,135,86,219,1083,2662,3748,5811,6561,12368,3267,2492,5759,53,38,95,917,2678,3591,4239,5204,9446,2225,1376,3592,40,17,62,733,2511,3248,3001,3902,6902,1238,566,1808,17,13,24,735,2555,3290,1988,3129,5119,88012,91577,179591,16320,17372,33701,64846,73064,137909,169180,182018,351199,8,26,31,89,207,302,16194,15286
506,10,45,58,142,337,481,13886,12822,26704,14040,13208,27245,534,1412,1948,1775,2881,4655,13922,11487,25409,16223,15786,32009,3646,5870,9521,3312,3645,6950,9092,6219,15310,16047,15736,31777,6919,8297,15220,2423,2332,4755,4923,3925,8842,14261,14552,28812,7869,8875,16745,1845,1671,3514,3729,3537,7262,13440,14080,27524,8415,9030,17444,1533,1542,3073,3483,3632,7118,13428,14205,27633,8252,8666,16919,1245,1254,2501,3339,3647,6983,12835,13565,26400,7780,8334,16112,1012,980,1993,3113,3882,6992,11907,13194,25096,7584,7716,15300,750,699,1448,2660,3621,6280,10988,12037,23028,7549,6793,14344,557,410,968,2327,3469,5799,10431,10670,21103,5340,4462,9805,261,184,449,1598,2633,4234,7199,7283,14478,3973,3218,7185,146,85,234,1128,2564,3694,5244,5869,11114,2734,2025,4761,51,40,91,851,2464,3321,3642,4532,8173,1847,1138,2987,45,21,61,752,2282,3035,2642,3441,6087,986,444,1432,18,3,21,713,2422,3134,1719,2870,4588,73447,76325,149768,15102,16092,31193,65510,68602,134108,154058,161013,315069,6,27,34,124,272,393,14145,13000
507,4,16,21,109,282,396,11407,10769,22170,11517,11065,22584,331,759,1087,1358,2287,3650,9004,7955,16968,10700,11006,21708,2345,3902,6246,2597,2945,5545,5385,4214,9598,10331,11058,21387,4891,6280,11172,2091,2009,4100,3175,2799,5970,10152,11089,21235,6709,7770,14477,1588,1697,3292,2603,2722,5326,10905,12194,23093,7366,8379,15750,1436,1431,2871,2614,3040,5651,11418,12852,24274,7353,7948,15304,1114,1209,2320,2468,3169,5640,10941,12322,23264,6918,7133,14047,914,872,1784,2416,3128,5548,10247,11136,21380,6160,6441,12603,657,579,1241,1995,2854,4845,8814,9876,18692,5884,5534,11418,470,362,830,1678,2549,4230,8033,8447,16480,4522,3838,8358,241,164,406,1205,2142,3343,5965,6144,12106,3402,2853,6254,120,70,192,892,2094,2984,4404,5018,9423,2664,1985,4645,59,35,96,778,2091,2867,3497,4113,7613,1776,1151,2930,32,16,47,659,2136,2798,2465,3304,5770,927,454,1378,14,10,16,623,2091,2714,1559,2552,4108,61247,64437,125679,12809,13980,26791,46895,53766,100658,120944,132179,253125,3,15,19,87,199,287,11766,11172
509,0,6,3,66,156,221,3096,2641,5732,3157,2803,5963,108,285,390,467,692,1157,1812,1286,3094,2389,2262,4651,696,1140,1830,700,861,1557,1059,886,1945,2449,2884,5337,1400,1802,3203,584,587,1171,717,747,1468,2709,3133,5838,1875,2346,4221,577,613,1185,774,791,1571,3228,3751,6981,2322,2714,5033,543,593,1138,949,960,1905,3803,4263,8074,2562,2756,5315,519,534,1054,1069,930,1998,4145,4219,8367,2655,2916,5569,447,462,915,1159,1015,2175,4265,4394,8663,2700,2764,5465,359,301,664,1020,934,1949,4080,3999,8077,2778,2578,5353,267,191,459,947,917,1870,3995,3687,7681,2192,1910,4103,148,89,239,710,782,1491,3056,2780,5835,1704,1378,3080,79,62,141,570,795,1359,2348,2232,4580,1166,816,1979,37,29,71,423,747,1168,1622,1591,3209,729,440,1170,12,9,22,342,746,1091,1083,1196,2281,362,163,527,10,6,13,270,740,1013,639,907,1549,23240,23999,47237,4812,5183,9997,14919,14923,29840,42972,44103,87073,4,9,10,43,98,139,3041,2636
510,6,23,31,41,108,146,1873,1572,3446,1926,1696,3620,121,245,368,507,775,1278,1526,1249,2770,2146,2268,4417,610,933,1551,934,1024,1957,1184,1052,2233,2730,3006,5738,1095,1382,2473,750,734,1482,818,714,1534,2665,2831,5490,1493,1567,3061,628,563,1191,698,596,1296,2817,2729,5546,1348,1310,2658,523,514,1036,747,599,1347,2613,2426,5034,1111,1086,2203,434,384,818,693,546,1237,2238,2015,4255,1057,992,2049,325,314,646,748,553,1305,2133,1865,3997,873,748,1625,204,175,383,607,446,1053,1686,1374,3060,601,428,1032,126,51,182,414,309,722,1145,787,1935,292,201,488,37,22,58,269,192,458,596,409,1007,126,76,201,16,6,22,161,128,295,304,207,513,63,32,98,3,0,10,84,75,156,149,114,267,26,12,40,0,5,3,61,64,125,81,82,165,7,4,10,0,0,0,30,43,72,43,48,85,8842,9036,17875,4528,4675,9206,9897,8145,18040,23270,21853,45122,13,30,41,48,103,153,1830,1586
511,5,22,28,82,236,311,3165,2799,5965,3251,3054,6307,149,339,487,667,1003,1665,1989,1592,3580,2809,2926,5738,731,1180,1913,1026,1125,2152,1330,1080,2401,3082,3382,6466,1371,1770,3140,765,765,1527,887,828,1720,3024,3360,6387,1923,2209,4133,700,703,1409,934,852,1788,3559,3768,7329,2062,2281,4345,606,608,1217,948,908,1856,3623,3801,7413,2044,2174,4217,508,553,1066,1052,941,1997,3609,3671,7271,2029,2116,4140,455,421,872,974,835,1809,3454,3364,6822,1823,1852,3673,287,283,574,856,765,1621,2972,2900,5867,1654,1492,3140,214,142,359,843,727,1565,2708,2358,5065,1273,1076,2349,98,78,173,576,578,1152,1945,1734,3676,925,723,1645,54,27,80,461,512,973,1436,1261,2703,593,439,1035,24,14,37,288,498,783,902,946,1852,377,200,579,12,6,18,219,399,621,611,609,1215,156,70,222,4,0,10,140,370,510,302,442,745,17128,17936,35063,5498,5957,11457,14668,13678,28340,37290,37570,74855,10,12,20,52,141,197,3016,2769
