SA4_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
501,9477,1698,759,11934,5816,3127,428,152,9519,193,131,324,9843,1458,802,12102,6284,3114,457,144,10001,187,115,304,10301,1422,847,12567,6280,3021,550,138,9981,189,123,314,10294,1798,884,12977,5349,2936,636,116,9032,194,115,308,9341,2619,765,12730,3790,2926,627,76,7414,164,145,312,7726,4681,740,13149,1439,1800,278,42,3566,41,53,97,3661,7748,665,12073,464,863,112,47,1486,9,16,23,1509,8833,675,11021,234,428,64,64,785,0,13,13,796,13405,1435,15629,49101,31646,5178,1530,87452,2106,1759,3867,91320,51642,10095,153058
502,4644,1077,449,6170,2622,1290,197,78,4190,161,88,245,4434,896,405,5736,3070,1373,239,93,4770,164,89,251,5018,929,454,6404,3165,1389,260,55,4874,183,72,258,5130,1189,424,6745,2911,1468,325,54,4763,146,98,243,5003,1719,401,7124,1847,1364,310,55,3577,132,112,247,3825,3033,342,7206,687,755,120,28,1589,39,41,84,1672,5431,338,7443,155,358,29,12,562,10,21,31,592,6511,364,7461,50,173,21,27,268,4,7,9,279,10874,1193,12346,24125,15656,2561,852,43190,1848,1359,3206,46404,36622,5785,88811
503,11892,1471,773,14136,6728,2694,273,95,9797,204,136,342,10139,1302,635,12071,6613,2581,203,70,9466,230,103,332,9793,1286,504,11587,6486,2599,241,81,9404,240,106,344,9750,1485,530,11760,5300,2299,269,49,7924,232,105,336,8260,1904,488,10649,3380,2261,245,38,5931,152,106,258,6187,3171,430,9792,1460,1796,154,31,3443,51,52,102,3539,4698,471,8713,555,1068,69,14,1699,18,33,50,1753,5559,387,7705,237,670,50,33,991,13,10,23,1009,11613,1154,13775,59750,35017,3557,1119,99451,2195,2304,4505,103951,42329,8581,154860
504,17663,3163,1111,21946,9940,4204,496,224,14865,325,208,533,15406,2483,913,18798,9815,3821,413,180,14231,393,222,608,14837,2425,932,18197,9676,3653,545,174,14050,353,174,533,14583,2651,861,18094,8226,3557,564,145,12491,326,171,499,12989,3259,751,17004,5316,3073,493,94,8975,289,194,481,9459,5028,651,15138,2046,1901,220,35,4208,78,89,170,4378,7842,482,12707,512,836,68,25,1450,12,33,44,1491,8865,460,10821,164,419,29,28,648,3,7,13,657,14655,1421,16732,85241,45824,5878,2288,139231,4078,3462,7539,146773,65060,11227,223065
505,37321,5202,2140,44661,21222,9537,975,372,32105,659,506,1162,33263,4465,1736,39464,21911,9040,877,373,32205,710,407,1120,33321,4259,1684,39264,20833,8594,1019,339,30785,746,367,1108,31902,4787,1551,38237,16611,7909,1152,289,25962,619,367,986,26951,6258,1334,34542,10805,7229,1005,190,19229,542,411,949,20186,9926,1129,31239,3868,4333,510,100,8810,143,202,347,9151,17205,958,27317,939,2061,167,46,3220,21,52,80,3297,19855,926,24073,264,909,78,57,1316,9,32,40,1357,34509,2725,38589,175865,103429,12275,4391,295961,7628,7772,15402,311368,133386,20990,465735
506,34696,6230,2296,43219,19633,8140,804,388,28965,827,509,1342,30300,5007,1854,37162,18017,6999,761,391,26164,766,399,1164,27325,4523,1648,33501,16810,6359,828,330,24323,746,367,1113,25434,4965,1627,32031,13890,5934,917,265,21002,629,347,973,21975,5994,1414,29384,9230,5463,779,179,15655,504,323,826,16476,9233,1185,26897,3542,3479,391,84,7494,161,174,337,7832,14942,975,23749,904,1758,136,56,2844,18,53,76,2921,16857,929,20707,260,779,58,64,1154,5,18,23,1180,28065,3131,32377,158009,88519,10131,4487,261148,8316,7445,15763,276911,126458,22928,426298
507,27063,4429,1808,33300,16070,7070,769,293,24201,562,387,945,25147,3642,1466,30261,16126,6535,739,247,23648,608,347,947,24604,3539,1422,29564,15594,6050,915,266,22830,566,330,897,23726,4133,1321,29180,12742,5787,974,202,19707,484,316,796,20503,5329,1175,27014,8141,5105,830,143,14219,411,310,720,14941,8277,982,24199,2926,3160,391,77,6547,112,160,273,6823,13521,862,21202,697,1438,118,36,2291,18,63,83,2374,14943,743,18058,211,656,53,42,963,11,18,28,994,26584,2535,30117,131854,74961,9931,3157,219901,6271,6234,12506,232407,106035,18202,356647
509,5818,1175,671,7664,3537,1829,216,97,5676,136,66,204,5879,998,737,7612,4218,1816,256,105,6400,161,76,230,6630,1086,822,8542,4507,2043,400,111,7068,153,81,235,7305,1390,907,9597,4437,2228,449,104,7219,160,81,238,7455,2069,997,10518,3486,2321,443,94,6342,136,116,247,6592,3287,814,10700,1626,1472,276,70,3444,51,66,114,3558,5651,811,10019,705,805,105,59,1674,0,17,20,1694,6330,715,8732,375,566,81,86,1105,8,5,11,1116,10400,1513,13030,36165,20794,3392,1272,61621,1538,1079,2616,64234,38614,10424,113275
510,6190,1188,1520,8902,3516,906,254,96,4772,105,62,163,4940,895,1230,7066,3260,719,218,71,4276,85,45,130,4409,848,1151,6404,2990,586,220,76,3867,74,48,124,3990,839,1089,5914,2445,477,229,69,3218,77,30,109,3328,827,940,5096,1672,421,173,48,2312,42,31,68,2381,856,692,3936,643,244,80,14,974,6,12,24,999,865,380,2242,167,98,16,13,294,5,0,4,296,701,199,1195,43,47,3,7,104,0,4,5,109,829,214,1156,29601,8287,2592,986,41467,1118,669,1786,43255,13602,12233,69087
511,5900,1082,1136,8117,3713,1317,198,106,5338,136,76,211,5549,910,1009,7464,4069,1322,262,108,5755,135,70,202,5958,923,986,7875,4143,1424,312,115,5994,161,57,215,6208,1147,1033,8387,3718,1427,346,104,5598,119,84,205,5796,1410,924,8135,2758,1365,289,79,4497,110,84,190,4689,2239,858,7791,1169,804,159,32,2164,36,39,71,2234,3355,648,6236,352,389,43,21,806,6,11,15,817,3722,588,5131,177,223,26,49,476,0,9,8,487,5807,1004,7293,35468,15359,2917,1193,54931,1447,974,2420,57351,26111,12154,95614
597,52,0,39,92,36,0,0,0,40,0,0,0,43,0,39,82,30,0,0,0,29,0,0,0,29,3,29,57,24,0,0,0,29,0,0,0,29,5,18,54,8,0,4,0,13,0,0,5,15,0,11,26,12,0,5,0,15,0,0,0,15,3,14,34,3,0,0,0,3,0,0,0,3,9,3,13,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,243,18,13,5,277,5,0,3,277,18,220,516
599,236,167,364,769,90,45,22,0,163,35,13,46,208,126,435,770,78,29,20,0,125,38,8,47,168,122,390,680,84,25,10,3,126,24,10,35,161,132,339,631,71,34,12,0,124,16,9,24,145,165,248,552,47,37,14,0,94,17,7,22,123,230,236,588,16,16,6,0,35,5,0,5,40,296,137,478,4,7,0,0,10,0,6,6,13,176,96,281,0,0,0,0,0,0,0,0,3,101,79,189,915,484,181,33,1614,274,117,392,2000,1955,3326,7285
