SA4_CODE_2021,C11_Neg_Ni_inc_CF_1C,C11_Neg_Ni_inc_CF_2C,C11_Neg_Ni_inc_CF_3C,C11_Neg_Ni_inc_Cou_fa_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_Tot,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_Tot,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_Tot,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_Tot,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_Tot,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_Tot,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_Tot,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_Tot,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_Tot,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_Tot,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_Tot,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_Tot,C11_4000more_CF_1C,C11_4000more_CF_2C,C11_4000more_CF_3C,C11_4000more_Cou_fa_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_Tot,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_CF_1C,C16_Neg_Ni_inc_CF_2C,C16_Neg_Ni_inc_CF_3C,C16_Neg_Ni_inc_Cou_fa_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_Tot,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_Tot,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_Tot,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_Tot,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_Tot,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_Tot,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_Tot,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_Tot,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_Tot,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_Tot,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_Tot,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_Tot,C16_4000more_CF_1C,C16_4000more_CF_2C,C16_4000more_CF_3C,C16_4000more_Cou_fa_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_Tot,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_CF_1C,C21_Neg_Ni_inc_CF_2C,C21_Neg_Ni_inc_CF_3C,C21_Neg_Ni_inc_Cou_fa_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_CF_1C,C21_1_149_CF_2C,C21_1_149_CF_3C,C21_1_149_CF_4mC,C21_1_149_Tot,C21_150_299_CF_1C,C21_150_299_CF_2C,C21_150_299_CF_3C,C21_150_299_CF_4mC,C21_150_299_Tot,C21_300_399_CF_1C,C21_300_399_CF_2C,C21_300_399_CF_3C,C21_300_399_CF_4mC,C21_300_399_Tot,C21_400_499_CF_1C,C21_400_499_CF_2C,C21_400_499_CF_3C,C21_400_499_CF_4mC,C21_400_499_Tot,C21_500_649_CF_1C,C21_500_649_CF_2C,C21_500_649_CF_3C,C21_500_649_CF_4mC,C21_500_649_Tot
501,31,37,6,0,81,16,7,5,0,28,30,22,5,3,66,25,19,17,6,57,35,33,20,8,106,148,84,31,18,287,195,166,63,35,452,285,317,124,49,761,962,1137,512,194,2805,983,1328,516,179,3008,796,930,329,106,2165,746,1112,442,133,2436,640,858,318,76,1898,227,263,107,27,619,1011,1330,596,225,3161,69,100,34,18,219,6199,7752,3124,1081,18149,21,22,7,0,55,19,7,8,3,41,30,15,10,3,59,11,10,6,0,29,63,52,19,8,141,69,53,36,16,173,181,123,51,24,376,257,197,93,44,587,947,939,372,136,2394,1045,1296,496,168,3009,976,1311,550,150,2987,705,1014,346,103,2164,773,959,418,92,2239,504,747,268,77,1605,1126,1426,658,247,3454,65,79,22,7,171,6790,8256,3359,1077,19485,27,17,0,6,57,10,5,3,0,16,16,4,4,0,23,13,4,0,0,21,29,19,3,0,56,48,22,8,10,87
502,10,12,0,0,20,4,9,3,0,20,12,12,5,3,28,11,13,0,5,27,26,11,9,5,47,62,47,32,11,151,89,59,31,17,197,138,122,47,16,320,396,457,182,77,1114,406,586,203,65,1265,353,423,143,57,967,375,552,218,57,1202,356,426,121,37,936,111,133,63,19,326,628,680,294,111,1713,46,49,14,9,116,3000,3588,1363,491,8450,27,11,6,3,40,9,10,0,0,21,10,9,3,0,19,13,9,5,0,23,42,25,17,8,87,51,37,11,3,97,97,56,18,6,176,146,94,42,25,309,501,406,163,59,1135,448,523,180,68,1218,515,587,256,88,1448,364,495,174,50,1076,420,520,187,57,1183,299,525,178,59,1060,694,783,321,153,1947,36,40,8,0,90,3671,4116,1566,590,9933,13,18,3,0,32,5,0,0,0,5,3,4,0,0,6,10,6,0,0,15,19,5,0,3,30,38,16,9,3,76
503,34,37,10,0,77,7,15,5,0,28,24,4,4,0,32,20,8,0,0,31,40,24,8,0,72,50,40,14,0,106,100,52,15,5,170,150,98,30,10,286,459,306,95,33,892,471,450,154,29,1104,447,435,129,24,1036,930,1517,610,142,3200,1059,1674,588,117,3434,919,1454,627,115,3115,805,981,453,122,2361,38,57,12,4,106,5542,7148,2749,603,16044,41,31,13,0,89,11,9,5,0,26,18,15,3,0,35,7,10,0,0,28,40,22,4,0,66,50,40,10,3,98,90,40,16,3,154,146,84,35,4,265,405,304,81,15,804,462,389,138,26,1016,606,616,186,29,1442,507,553,155,29,1250,1021,1310,469,74,2867,1958,3313,1398,245,6913,833,1037,457,103,2433,51,54,25,3,132,6251,7829,2991,539,17616,35,15,7,0,55,13,3,5,0,20,12,16,0,0,27,15,5,0,0,20,22,13,5,0,45,45,23,7,5,71
504,44,39,13,10,109,24,14,7,3,46,48,48,18,11,130,39,31,17,15,96,63,46,25,11,138,165,116,54,52,385,261,238,91,44,633,423,438,176,61,1097,1420,1545,581,219,3767,1519,1901,662,223,4305,1350,1519,481,154,3505,1159,1667,628,167,3622,1173,1504,511,137,3323,466,677,215,80,1441,1470,1638,734,309,4153,97,146,55,26,337,9720,11577,4264,1522,27081,72,62,27,9,156,25,29,9,5,66,40,23,13,13,94,36,21,10,0,76,83,56,34,32,203,134,99,45,34,308,279,173,75,39,558,405,367,127,72,965,1519,1477,461,197,3652,1727,1877,642,230,4470,1853,2142,706,198,4902,1299,1564,498,159,3511,1525,1815,587,161,4083,1072,1519,553,133,3282,1463,1748,642,293,4142,82,105,50,25,267,11609,13087,4471,1586,30750,49,24,16,13,98,9,7,3,0,17,18,17,4,5,46,18,18,12,3,50,39,37,19,16,112,81,58,25,17,180
505,114,113,46,24,297,48,38,23,10,121,89,107,43,31,271,62,77,34,29,198,106,96,33,24,248,299,243,140,96,783,481,427,176,86,1181,806,812,269,156,2047,2768,3033,1080,405,7288,3141,3917,1364,439,8854,2993,3491,1070,286,7846,2879,4838,1665,395,9776,3109,4556,1520,298,9487,1488,2140,774,197,4602,3091,4057,1676,628,9448,236,263,129,70,705,21703,28215,10055,3184,63154,145,127,54,31,362,39,49,17,12,123,102,79,23,23,234,53,48,26,11,131,177,136,74,46,440,268,234,90,70,662,476,359,155,95,1090,720,571,235,129,1651,2886,2526,920,370,6701,3185,3638,1195,387,8398,3606,4625,1496,382,10105,2832,3842,1172,272,8117,3588,5163,1643,318,10713,3151,5602,1913,435,11095,3322,4254,1613,545,9734,201,245,97,35,576,24755,31488,10731,3158,70133,108,87,25,18,246,35,13,6,8,55,63,26,14,8,113,55,29,7,13,102,91,93,35,19,234,152,89,50,44,337
506,103,97,43,11,255,59,39,17,16,131,104,91,38,28,268,66,54,35,16,171,114,89,45,38,283,301,203,90,87,680,533,378,169,116,1192,829,706,269,153,1953,2745,2687,1046,389,6873,2788,3097,1192,474,7547,2568,2617,901,299,6387,2339,3285,1159,367,7154,2397,2924,974,270,6559,1024,1375,578,168,3143,2653,3058,1391,575,7675,216,244,86,51,604,18842,20941,8035,3065,50879,156,157,62,35,410,53,42,10,15,110,103,67,45,15,223,82,49,13,14,156,235,166,77,64,546,327,263,89,68,736,507,394,161,79,1145,828,703,276,146,1944,3125,2761,979,433,7300,3211,3443,1254,495,8402,3386,3858,1301,437,8983,2334,2836,873,244,6285,2854,3513,1123,324,7813,2266,3289,1135,316,7014,2662,3178,1292,576,7703,204,174,84,32,495,22333,24877,8766,3285,59261,114,86,26,23,247,38,17,9,0,69,57,34,26,4,118,44,40,14,7,105,112,103,40,30,279,178,128,70,41,413
507,66,76,27,8,180,33,19,16,3,65,55,43,13,5,117,37,34,18,7,92,73,42,26,13,150,199,142,50,29,418,341,234,92,43,707,554,442,168,73,1232,1990,2009,780,266,5045,2117,2742,989,303,6150,1943,2402,752,248,5347,2158,3280,1219,333,6989,2261,3130,1053,252,6701,1085,1535,593,148,3361,2476,3189,1361,490,7505,179,166,67,31,441,15559,19484,7216,2244,44499,90,85,18,13,206,39,31,8,5,80,67,49,13,7,141,39,20,8,5,74,129,86,23,10,256,202,137,45,31,411,343,197,83,28,652,505,388,150,79,1120,2007,1834,666,224,4729,2347,2585,894,354,6172,2548,3380,1121,349,7405,2073,2651,822,204,5746,2607,3561,1115,274,7554,2444,3844,1383,322,7998,2771,3380,1344,436,7928,134,149,52,20,353,18345,22372,7755,2356,50825,56,56,18,10,140,15,14,7,3,43,28,19,3,3,55,33,20,6,0,65,75,43,15,8,146,106,66,25,13,210
509,53,37,17,4,114,18,6,4,0,33,54,43,22,9,128,27,45,23,4,95,54,48,20,14,119,170,148,70,47,435,234,215,111,49,605,333,363,185,71,947,910,971,512,218,2607,656,892,406,155,2105,533,576,226,100,1433,363,462,183,58,1071,316,366,156,57,893,131,133,66,26,362,843,975,486,238,2540,82,76,36,22,218,4766,5362,2516,1060,13704,20,18,0,0,46,14,12,16,3,40,16,13,6,0,35,15,0,3,5,30,49,49,22,10,135,68,61,34,17,180,142,110,59,22,335,223,215,96,47,577,719,754,349,147,1965,683,794,403,159,2037,657,758,327,116,1850,413,548,238,90,1289,399,533,245,59,1236,351,388,169,66,977,799,897,444,184,2326,81,61,17,18,173,4655,5211,2425,941,13233,18,18,9,7,50,5,9,3,0,17,17,9,3,0,28,12,8,0,0,16,32,17,5,3,60,33,28,15,3,82
510,12,9,6,3,31,4,8,0,4,17,38,18,14,9,73,18,19,7,4,55,10,11,16,11,50,87,81,52,44,258,48,54,33,44,173,67,62,32,41,209,181,183,89,73,525,247,277,123,65,717,211,264,104,52,629,456,726,356,106,1640,511,662,234,70,1476,364,402,145,50,961,387,484,204,126,1206,51,69,33,26,179,2679,3325,1463,724,8193,4,8,0,4,19,4,4,0,0,14,18,14,7,0,35,6,4,3,0,20,61,56,31,16,159,47,38,20,20,124,84,56,32,20,183,75,70,41,33,223,176,173,98,65,513,247,252,109,56,663,415,536,247,84,1275,289,375,178,55,901,516,638,288,94,1534,553,797,300,87,1737,368,419,229,152,1168,45,54,35,17,154,2917,3487,1623,701,8731,4,10,0,0,14,9,3,9,0,21,11,7,0,0,18,7,0,6,0,14,68,44,28,13,154,50,39,16,12,112
511,22,25,13,6,70,7,9,5,4,24,40,22,13,10,77,23,15,9,4,62,29,31,13,8,81,118,72,38,35,263,111,121,69,24,324,158,198,81,34,477,578,660,303,128,1660,641,777,338,127,1881,502,581,230,96,1412,562,761,326,122,1774,562,590,260,66,1479,184,258,123,40,604,738,890,439,213,2280,83,89,52,30,259,4366,5093,2318,940,12721,20,14,6,3,50,11,4,5,0,24,16,16,3,6,40,4,6,3,0,17,56,28,14,7,114,60,50,26,13,150,105,57,43,20,227,116,104,49,26,301,472,466,217,111,1260,531,655,267,109,1561,573,768,365,113,1821,470,585,255,73,1382,607,671,284,85,1637,426,564,231,64,1284,714,839,369,170,2096,73,66,35,13,196,4275,4886,2178,821,12172,19,16,7,0,36,5,5,0,0,12,10,3,0,5,20,3,7,0,0,11,24,17,8,5,56,28,14,15,10,66
