SA4_CODE_2021,C16_F_NatPhy_sci_15_19,C16_F_NatPhy_sci_20_24,C16_F_NatPhy_sci_25_34,C16_F_NatPhy_sci_35_44,C16_F_NatPhy_sci_45_54,C16_F_NatPhy_sci_55_64,C16_F_NatPhy_sci_65_74,C16_F_NatPhy_sci_75_84,C16_F_NatPhy_sci_85over,C16_F_NatPhy_sci_Tot,C16_F_InfTec_15_19,C16_F_InfTec_20_24,C16_F_InfTec_25_34,C16_F_InfTec_35_44,C16_F_InfTec_45_54,C16_F_InfTec_55_64,C16_F_InfTec_65_74,C16_F_InfTec_75_84,C16_F_InfTec_85over,C16_F_InfTec_Tot,C16_F_EngRT_15_19,C16_F_EngRT_20_24,C16_F_EngRT_25_34,C16_F_EngRT_35_44,C16_F_EngRT_45_54,C16_F_EngRT_55_64,C16_F_EngRT_65_74,C16_F_EngRT_75_84,C16_F_EngRT_85over,C16_F_EngRT_Tot,C16_F_ArchBuild_15_19,C16_F_ArchBuild_20_24,C16_F_ArchBuild_25_34,C16_F_ArchBuild_35_44,C16_F_ArchBuild_45_54,C16_F_ArchBuild_55_64,C16_F_ArchBuild_65_74,C16_F_ArchBuild_75_84,C16_F_ArchBuild_85over,C16_F_ArchBuild_Tot,C16_F_AgEnv_RS_15_19,C16_F_AgEnv_RS_20_24,C16_F_AgEnv_RS_25_34,C16_F_AgEnv_RS_35_44,C16_F_AgEnv_RS_45_54,C16_F_AgEnv_RS_55_64,C16_F_AgEnv_RS_65_74,C16_F_AgEnv_RS_75_84,C16_F_AgEnv_RS_85over,C16_F_AgEnv_RS_Tot,C16_F_Health_15_19,C16_F_Health_20_24,C16_F_Health_25_34,C16_F_Health_35_44,C16_F_Health_45_54,C16_F_Health_55_64,C16_F_Health_65_74,C16_F_Health_75_84,C16_F_Health_85over,C16_F_Health_Tot,C16_F_Educ_15_19,C16_F_Educ_20_24,C16_F_Educ_25_34,C16_F_Educ_35_44,C16_F_Educ_45_54,C16_F_Educ_55_64,C16_F_Educ_65_74,C16_F_Educ_75_84,C16_F_Educ_85over,C16_F_Educ_Tot,C16_F_MngtCom_15_19,C16_F_MngtCom_20_24,C16_F_MngtCom_25_34,C16_F_MngtCom_35_44,C16_F_MngtCom_45_54,C16_F_MngtCom_55_64,C16_F_MngtCom_65_74,C16_F_MngtCom_75_84,C16_F_MngtCom_85over,C16_F_MngtCom_Tot,C16_F_Soc_cult_15_19,C16_F_Soc_cult_20_24,C16_F_Soc_cult_25_34,C16_F_Soc_cult_35_44,C16_F_Soc_cult_45_54,C16_F_Soc_cult_55_64,C16_F_Soc_cult_65_74,C16_F_Soc_cult_75_84,C16_F_Soc_cult_85over,C16_F_Soc_cult_Tot,C16_F_Creative_art_15_19,C16_F_Creative_art_20_24,C16_F_Creative_art_25_34,C16_F_Creative_art_35_44,C16_F_Creative_art_45_54,C16_F_Creative_art_55_64,C16_F_Creative_art_65_74,C16_F_Creative_art_75_84,C16_F_Creative_art_85over,C16_F_Creative_art_Tot,C16_F_FoodHos_PS_15_19,C16_F_FoodHos_PS_20_24,C16_F_FoodHos_PS_25_34,C16_F_FoodHos_PS_35_44,C16_F_FoodHos_PS_45_54,C16_F_FoodHos_PS_55_64,C16_F_FoodHos_PS_65_74,C16_F_FoodHos_PS_75_84,C16_F_FoodHos_PS_85over,C16_F_FoodHos_PS_Tot,C16_F_MixFld_pr_15_19,C16_F_MixFld_pr_20_24,C16_F_MixFld_pr_25_34,C16_F_MixFld_pr_35_44,C16_F_MixFld_pr_45_54,C16_F_MixFld_pr_55_64,C16_F_MixFld_pr_65_74,C16_F_MixFld_pr_75_84,C16_F_MixFld_pr_85over,C16_F_MixFld_pr_Tot,C16_F_FldStu_ID_15_19,C16_F_FldStu_ID_20_24,C16_F_FldStu_ID_25_34,C16_F_FldStu_ID_35_44,C16_F_FldStu_ID_45_54,C16_F_FldStu_ID_55_64,C16_F_FldStu_ID_65_74,C16_F_FldStu_ID_75_84,C16_F_FldStu_ID_85over,C16_F_FldStu_ID_Tot,C16_F_FldStu_NS_15_19,C16_F_FldStu_NS_20_24,C16_F_FldStu_NS_25_34,C16_F_FldStu_NS_35_44,C16_F_FldStu_NS_45_54,C16_F_FldStu_NS_55_64,C16_F_FldStu_NS_65_74,C16_F_FldStu_NS_75_84,C16_F_FldStu_NS_85over,C16_F_FldStu_NS_Tot,C16_F_Tot_15_19,C16_F_Tot_20_24,C16_F_Tot_25_34,C16_F_Tot_35_44,C16_F_Tot_45_54,C16_F_Tot_55_64,C16_F_Tot_65_74,C16_F_Tot_75_84,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_NatPhy_sci_15_19,C21_F_NatPhy_sci_20_24,C21_F_NatPhy_sci_25_34,C21_F_NatPhy_sci_35_44,C21_F_NatPhy_sci_45_54,C21_F_NatPhy_sci_55_64,C21_F_NatPhy_sci_65_74,C21_F_NatPhy_sci_75_84,C21_F_NatPhy_sci_85over,C21_F_NatPhy_sci_Tot,C21_F_InfTec_15_19,C21_F_InfTec_20_24,C21_F_InfTec_25_34,C21_F_InfTec_35_44,C21_F_InfTec_45_54,C21_F_InfTec_55_64,C21_F_InfTec_65_74,C21_F_InfTec_75_84,C21_F_InfTec_85over,C21_F_InfTec_Tot,C21_F_EngRT_15_19,C21_F_EngRT_20_24,C21_F_EngRT_25_34,C21_F_EngRT_35_44,C21_F_EngRT_45_54,C21_F_EngRT_55_64,C21_F_EngRT_65_74,C21_F_EngRT_75_84,C21_F_EngRT_85over,C21_F_EngRT_Tot,C21_F_ArchBuild_15_19,C21_F_ArchBuild_20_24,C21_F_ArchBuild_25_34,C21_F_ArchBuild_35_44,C21_F_ArchBuild_45_54,C21_F_ArchBuild_55_64,C21_F_ArchBuild_65_74,C21_F_ArchBuild_75_84,C21_F_ArchBuild_85over,C21_F_ArchBuild_Tot,C21_F_AgEnv_RS_15_19,C21_F_AgEnv_RS_20_24,C21_F_AgEnv_RS_25_34,C21_F_AgEnv_RS_35_44,C21_F_AgEnv_RS_45_54,C21_F_AgEnv_RS_55_64,C21_F_AgEnv_RS_65_74,C21_F_AgEnv_RS_75_84,C21_F_AgEnv_RS_85over,C21_F_AgEnv_RS_Tot
501,4,49,202,283,188,100,32,8,3,877,12,12,61,73,52,36,22,0,0,261,17,49,197,180,127,80,51,32,25,751,3,24,87,89,66,34,14,4,0,323,20,60,208,246,174,97,36,10,0,852,74,225,968,1135,1202,1391,820,367,92,6283,44,149,839,1344,1314,1224,639,218,46,5813,196,570,1628,1663,1449,1050,583,209,49,7400,166,333,961,1216,1151,977,422,101,19,5344,41,94,278,289,209,157,118,51,18,1250,98,306,790,654,508,317,222,47,24,2974,11,12,17,8,13,15,18,21,12,121,6,16,58,75,78,47,41,15,0,329,584,346,807,921,1013,1077,1014,872,545,7177,1271,2243,7099,8164,7557,6605,4033,1956,840,39762,0,41,186,281,274,171,97,20,8,1076,4,11,47,75,51,51,43,9,0,290,19,66,193,219,144,115,66,32,17,872,7,18,95,101,93,53,17,6,0,400,51,82,197,304,231,160,61,16,0,1107
502,0,30,91,91,79,44,21,9,3,377,9,8,41,43,27,19,8,0,0,154,9,24,73,87,55,47,43,42,24,400,3,10,32,33,19,11,7,4,0,116,5,22,68,86,47,31,9,6,0,276,35,163,474,489,568,610,454,241,58,3094,29,113,420,596,610,551,309,149,37,2808,98,263,741,859,819,641,478,212,50,4169,86,243,596,639,628,518,272,74,18,3071,10,66,120,96,72,59,39,42,9,513,88,230,485,358,292,226,200,53,13,1954,0,9,0,4,8,15,26,21,7,82,0,3,27,22,42,22,17,13,0,151,246,178,380,405,459,512,596,576,335,3698,616,1377,3556,3798,3733,3307,2495,1441,550,20868,0,35,84,104,82,66,44,17,3,442,0,6,31,49,30,32,18,8,0,181,9,46,85,93,77,56,46,32,16,467,5,3,27,31,20,21,16,10,0,130,9,18,55,93,74,54,21,0,0,321
503,4,432,802,525,453,309,134,60,32,2754,5,29,177,173,136,75,17,3,0,615,7,152,577,423,221,91,37,52,20,1586,0,86,334,224,175,84,43,4,5,955,0,42,173,111,83,33,21,10,3,484,18,515,2292,1658,1744,1488,911,526,249,9403,11,139,739,766,1104,1356,922,399,155,5591,69,750,3144,2583,2096,1165,653,269,144,10877,43,598,2195,1744,1519,1213,769,268,99,8451,44,397,926,592,391,235,162,68,30,2860,48,199,565,309,278,163,108,50,33,1758,21,29,21,10,8,3,10,12,6,118,8,66,163,142,142,103,65,42,5,743,330,649,1817,929,798,751,638,597,533,7031,615,4077,13925,10193,9156,7082,4500,2364,1329,53245,9,496,865,626,532,387,241,96,41,3288,0,43,193,213,153,123,37,8,0,771,13,148,693,545,303,164,63,39,21,1982,0,70,394,240,218,141,67,19,0,1169,4,57,159,148,96,55,26,12,3,564
504,5,176,521,515,299,185,72,11,9,1786,12,50,248,184,115,67,29,4,0,708,15,99,395,318,226,173,103,90,19,1439,5,63,183,132,71,31,13,3,4,508,17,58,206,217,139,77,26,11,5,753,70,553,2007,1632,1471,1285,692,318,71,8092,40,259,1261,1535,1546,1247,620,233,58,6804,182,909,3535,3078,2347,1467,732,261,80,12582,127,643,2194,2101,1636,1270,563,117,18,8672,63,285,796,556,372,191,113,40,9,2427,189,536,1323,905,649,402,232,57,26,4327,16,16,33,22,18,22,25,31,8,187,4,38,193,154,124,78,30,18,5,642,568,645,1502,1333,1237,1001,1000,848,747,8886,1302,4334,14397,12677,10270,7489,4260,2031,1057,57815,7,228,603,584,419,226,130,29,10,2236,10,36,271,265,156,88,39,12,0,870,26,105,466,435,278,180,116,60,37,1702,3,49,226,190,120,65,21,12,3,678,20,72,251,221,180,116,49,8,3,914
505,11,466,1272,1092,729,375,158,46,11,4168,12,81,425,483,318,160,45,6,0,1532,28,197,778,714,519,334,188,170,84,3016,19,155,470,353,225,118,32,12,0,1389,18,98,345,334,208,83,23,11,0,1108,165,1427,5120,4364,4015,3049,1687,711,208,20751,95,687,3161,3704,3777,3018,1579,576,160,16763,374,1908,7690,7791,5931,3452,1941,813,283,30187,320,1454,4798,4438,3391,2431,1130,278,64,18308,148,603,1576,1089,663,348,238,113,36,4814,340,1026,2780,1984,1713,926,560,168,55,9542,25,30,49,55,41,44,58,58,16,376,14,91,326,279,236,167,85,36,15,1249,1034,1071,2809,2331,2148,1863,1719,1656,1392,16032,2598,9292,31596,29013,23925,16366,9438,4663,2328,129233,8,513,1252,1371,965,576,289,78,22,5070,9,97,462,568,442,257,84,15,0,1936,29,184,915,889,597,406,279,128,100,3545,15,120,549,454,306,177,66,12,9,1702,21,113,399,443,235,138,48,7,9,1409
506,22,477,1478,1173,700,382,168,37,17,4447,25,114,772,537,299,126,39,11,0,1916,40,291,1249,941,515,276,148,138,69,3668,13,160,453,236,158,95,28,10,0,1137,35,138,415,383,204,119,53,17,5,1370,171,1388,4747,3396,2813,2529,1466,662,168,17329,85,574,2360,2654,2610,2307,1272,505,121,12497,390,2046,7963,6481,4548,2893,1511,629,202,26666,275,1293,4390,3673,2909,2246,1036,283,64,16168,131,548,1354,875,479,282,201,83,32,3993,297,956,2284,1498,1113,718,437,111,55,7473,38,33,48,29,26,39,59,48,18,343,14,105,340,307,221,140,75,41,20,1266,976,1307,2987,2238,1937,1903,1713,1700,1563,16327,2499,9423,30845,24411,18534,14066,8212,4277,2333,114594,20,562,1480,1532,928,536,278,73,15,5422,21,115,873,996,350,213,64,13,5,2649,56,260,1366,1302,654,390,209,105,62,4401,20,127,485,368,183,124,63,13,6,1390,30,147,404,459,277,175,75,19,7,1593
507,11,369,940,846,579,356,145,37,11,3286,17,61,295,316,222,125,44,6,4,1090,31,173,655,589,380,243,141,126,64,2399,8,107,324,256,167,82,26,3,4,983,8,106,363,353,234,121,49,12,9,1252,152,1087,3702,3167,3074,2336,1260,616,217,15601,86,505,2165,2624,2688,2269,1126,457,128,12041,317,1476,5207,5201,4108,2591,1356,531,234,21033,250,1114,3412,3398,2867,2141,984,267,56,14489,108,465,1111,822,548,331,211,72,41,3698,257,867,1962,1479,1163,638,381,129,66,6944,25,24,26,24,36,46,53,32,13,274,12,71,198,231,193,136,53,33,10,940,894,964,2263,1887,1853,1569,1453,1589,1316,13794,2188,7385,22624,21180,18107,12981,7278,3920,2160,97823,9,395,949,1007,773,530,246,90,18,4024,10,73,294,463,255,188,72,18,0,1385,55,217,790,831,489,304,184,97,52,3018,3,81,350,364,215,127,61,10,3,1213,18,124,379,406,288,162,74,19,7,1475
509,0,30,108,159,104,88,38,6,0,535,7,15,33,43,31,27,16,3,0,184,5,32,93,89,86,76,50,47,21,493,0,10,40,34,40,19,7,6,0,147,48,89,292,288,242,122,41,15,0,1143,57,168,704,686,849,1074,717,314,88,4656,19,129,587,788,916,962,531,209,57,4199,108,318,937,990,992,727,471,141,46,4736,75,204,636,728,736,793,344,69,18,3607,22,36,139,140,153,129,92,33,6,752,74,163,428,355,315,217,146,36,18,1757,14,5,8,4,13,19,16,18,7,107,3,5,26,49,51,47,20,6,4,213,399,284,668,733,975,1064,992,721,400,6230,826,1486,4701,5092,5504,5372,3484,1634,658,28751,0,37,102,178,136,112,61,19,0,648,3,9,25,38,43,35,16,5,0,174,14,20,117,76,86,85,57,35,18,505,0,6,43,49,41,30,21,0,0,201,57,96,251,324,278,208,81,16,5,1308
510,0,19,137,115,53,28,3,0,0,355,0,8,38,51,15,15,0,0,0,124,13,63,230,149,48,27,4,0,0,546,4,9,40,28,12,10,0,0,0,110,3,24,123,112,55,31,5,0,0,349,18,104,685,551,411,356,95,12,0,2232,13,135,636,592,423,270,80,15,0,2162,70,305,1225,871,552,296,49,12,3,3385,29,129,691,519,352,217,65,9,0,2015,7,28,153,116,60,34,16,0,0,409,36,144,502,315,185,71,21,0,0,1267,5,3,18,9,4,9,4,0,0,46,3,11,65,37,57,23,3,0,0,196,422,488,1403,993,963,587,241,83,31,5211,612,1479,5941,4467,3184,1973,572,130,41,18408,0,35,119,121,69,22,7,0,0,374,3,3,41,42,20,4,3,0,0,124,24,47,258,175,73,29,8,0,0,611,0,5,37,36,25,13,0,0,0,123,19,26,98,93,67,27,0,0,0,340
511,4,29,170,146,82,50,16,0,0,492,3,10,34,43,28,27,9,0,0,151,6,38,141,105,70,37,23,22,6,450,6,11,43,25,25,12,6,0,0,130,19,53,123,148,91,57,16,3,4,528,20,182,688,670,657,612,355,147,25,3362,8,157,655,744,755,552,234,79,16,3209,111,319,1035,981,829,533,228,81,22,4129,70,199,632,581,501,414,176,31,4,2604,16,50,151,125,91,55,32,15,4,533,79,200,514,376,294,167,88,34,7,1759,10,9,11,7,9,5,19,17,0,90,8,11,31,41,43,27,11,5,0,178,488,398,1042,912,949,859,631,413,189,5886,864,1670,5269,4904,4421,3416,1839,848,276,23514,3,40,193,180,82,44,21,4,0,563,4,3,26,42,33,22,12,4,0,152,24,47,155,114,98,50,27,16,10,534,3,8,29,35,28,21,8,0,0,138,24,56,165,166,113,79,32,6,0,643
