SA4_CODE_2021,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85over,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85over,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85over,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85over,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85over,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85over,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85over,C11_M_CL_CL_nfd_Tot,C11_M_CL_Tot_15_19,C11_M_CL_Tot_20_24,C11_M_CL_Tot_25_34,C11_M_CL_Tot_35_44,C11_M_CL_Tot_45_54,C11_M_CL_Tot_55_64,C11_M_CL_Tot_65_74,C11_M_CL_Tot_75_84,C11_M_CL_Tot_85over,C11_M_CL_Tot_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85over,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85over,C11_M_LE_NS_Tot,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85over,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85over,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85over,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85over,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85over,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85over,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85over,C16_M_CL_CL_nfd_Tot,C16_M_CL_Tot_15_19,C16_M_CL_Tot_20_24,C16_M_CL_Tot_25_34,C16_M_CL_Tot_35_44,C16_M_CL_Tot_45_54,C16_M_CL_Tot_55_64,C16_M_CL_Tot_65_74,C16_M_CL_Tot_75_84,C16_M_CL_Tot_85over,C16_M_CL_Tot_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85over,C16_M_LE_ID_Tot
501,0,9,75,150,196,173,111,26,3,743,0,3,49,130,140,113,39,14,4,489,0,111,803,1082,936,780,388,115,17,4227,16,114,407,688,798,768,436,154,30,3412,502,1496,3339,3780,3938,2933,1614,763,213,18566,111,106,116,93,81,52,27,8,0,591,23,38,101,160,131,135,82,30,4,702,633,1639,3549,4031,4143,3121,1727,793,214,19858,18,48,156,142,174,174,146,69,23,946,438,370,849,915,893,725,525,370,134,5218,1106,2296,5885,7137,7287,5854,3361,1539,423,34891,0,4,109,228,217,192,199,50,8,1009,0,4,66,142,149,161,82,25,4,630,3,103,913,1215,1025,1017,641,205,46,5157,15,126,539,800,996,928,720,261,54,4441,348,1366,3653,4007,4019,3396,2209,888,201,20082,172,154,136,106,81,70,32,7,0,762,31,49,148,214,201,215,227,80,18,1188,549,1566,3930,4333,4305,3689,2465,973,227,22031,7,15,66,85,74,61,89,38,16,458
502,0,3,42,66,91,76,49,18,0,345,0,4,12,36,46,53,27,7,0,189,0,49,271,362,357,298,209,87,18,1651,8,52,180,298,376,428,365,165,34,1913,204,659,1434,1648,1835,1571,1402,671,124,9546,69,60,69,49,25,22,24,12,3,322,10,27,34,56,67,65,57,31,5,356,284,745,1538,1744,1932,1658,1480,714,130,10223,7,34,61,88,86,109,123,73,23,601,320,223,417,485,473,509,504,471,197,3600,620,1108,2529,3084,3364,3127,2751,1538,403,18522,0,5,63,127,128,93,99,28,8,553,0,0,23,44,64,66,47,5,6,267,0,82,345,491,446,374,300,140,35,2225,18,75,289,388,538,493,513,252,58,2618,177,736,1924,1865,2157,1873,1635,982,231,11587,94,89,86,60,31,37,23,10,0,423,20,30,89,89,96,113,134,62,19,651,295,856,2102,2012,2284,2021,1796,1049,250,12659,9,4,21,41,42,34,66,35,6,265
503,0,73,1469,1577,1564,1170,630,224,61,6763,0,31,330,427,416,252,99,26,5,1594,4,1382,5396,3740,3309,2445,1097,418,126,17919,27,419,1045,851,933,940,585,274,94,5171,123,744,1685,1140,1289,954,606,292,128,6958,51,66,81,52,29,26,23,4,0,333,8,53,107,71,99,90,60,27,16,519,182,857,1874,1267,1415,1069,678,323,142,7809,16,67,211,155,171,167,148,100,46,1087,437,705,1797,1053,820,816,519,440,238,6824,667,3539,12123,9067,8634,6867,3761,1805,714,47172,0,77,1799,2045,1834,1357,882,350,86,8431,0,40,410,411,445,358,172,49,10,1897,11,1697,6110,4094,3543,2763,1625,576,204,20622,35,401,1250,935,942,895,729,362,101,5652,95,535,1833,1081,1175,1028,680,404,135,6965,48,63,70,41,41,29,16,9,3,328,10,58,132,108,109,111,93,64,15,692,153,652,2036,1227,1329,1176,785,475,149,7987,15,41,135,93,97,80,79,41,20,603
504,0,34,486,508,441,337,161,28,11,2002,0,8,179,302,265,160,59,19,0,993,3,601,2439,2214,1592,1093,480,154,43,8620,41,375,1249,1381,1338,1061,553,197,51,6253,459,1832,3905,4419,4528,3559,1970,808,192,21671,94,120,170,127,86,67,23,9,0,698,23,69,152,169,174,177,78,34,7,882,573,2024,4232,4712,4786,3803,2070,855,200,23250,8,93,242,248,255,235,169,99,41,1389,810,876,1768,1673,1361,1046,796,607,242,9177,1442,4009,10595,11032,10035,7743,4287,1950,587,51686,0,36,776,846,568,417,227,63,16,2964,0,24,254,345,328,233,110,27,3,1334,9,739,3246,2849,1973,1304,782,250,50,11200,50,421,1766,1822,1660,1315,786,284,70,8181,411,1966,5348,4563,4835,4058,2544,1120,241,25089,206,188,224,143,108,67,30,5,0,969,38,86,248,254,287,226,182,80,17,1409,655,2234,5820,4958,5228,4352,2755,1208,260,27470,18,39,146,139,131,105,86,41,18,717
505,0,61,1327,1713,1544,985,405,139,22,6199,0,48,445,795,630,454,164,43,6,2586,9,1722,6700,6359,4603,3134,1321,460,119,24431,96,975,2844,3403,3265,2833,1462,593,153,15627,1014,3839,8781,9356,9543,6929,3984,1905,494,45856,235,272,376,253,188,126,57,24,7,1530,42,149,324,404,318,331,176,84,21,1836,1293,4264,9480,10014,10042,7380,4212,2011,526,49226,57,239,572,631,571,558,394,245,99,3363,1358,1353,2885,2522,2157,1731,1261,1130,528,14919,2814,8667,24254,25441,22805,17081,9214,4625,1456,116354,0,94,1795,2498,1925,1325,683,231,52,8608,4,42,602,806,872,603,283,67,12,3287,15,2131,8248,7590,5523,3714,2112,689,190,30219,122,941,3773,4058,4004,3108,2114,818,213,19144,812,3709,11200,9539,9845,7833,4927,2455,575,50887,356,313,428,282,202,134,71,15,7,1809,56,163,478,578,614,526,398,210,61,3079,1219,4187,12104,10396,10660,8490,5396,2680,648,55775,27,96,380,386,334,249,221,118,32,1851
506,0,125,1918,1721,1266,906,414,98,27,6478,0,49,450,533,504,374,132,31,6,2089,13,1954,7178,4987,3459,2506,1067,375,100,21653,115,1279,2808,2454,2352,2186,1153,423,106,12875,1008,3712,7683,7404,7774,6664,3741,1737,429,40148,252,250,390,236,154,118,44,27,3,1473,58,156,319,302,308,304,181,58,9,1700,1314,4112,8393,7935,8236,7082,3961,1832,451,43315,40,222,550,499,473,456,370,207,83,2897,1335,1905,3318,2680,2233,1921,1319,1106,563,16382,2821,9662,24626,20815,18524,15437,8408,4078,1324,105688,0,97,2731,2990,1852,1112,650,212,36,9677,0,55,562,653,599,497,248,51,10,2673,15,2305,9011,6745,4339,2957,1678,550,157,27765,129,1249,3954,3368,2807,2350,1632,624,146,16259,724,3621,9538,7759,7900,6797,4573,2150,552,43618,376,390,411,261,178,110,61,13,5,1804,64,187,461,504,516,463,337,172,42,2750,1169,4200,10416,8523,8593,7371,4973,2334,592,48177,38,113,335,322,256,206,192,87,35,1584
507,0,49,756,1178,1227,946,416,108,10,4697,0,28,305,487,473,338,127,40,5,1805,11,1258,4450,4028,3242,2349,970,387,112,16809,69,585,1762,2425,2250,1851,931,474,122,10476,656,2795,6567,6965,6973,4936,2970,1507,347,33725,228,238,273,178,130,105,45,10,0,1213,51,112,237,280,262,233,127,73,17,1391,939,3145,7076,7430,7368,5272,3140,1589,372,36329,42,144,390,469,409,405,296,201,70,2427,1090,1046,2172,2083,1883,1451,1155,1043,510,12436,2150,6257,16921,18102,16845,12624,7028,3844,1199,84970,0,59,1224,1803,1541,1159,686,203,45,6717,0,45,386,537,602,483,232,60,11,2359,4,1383,5319,5160,3856,2789,1591,566,165,20837,101,662,2364,2815,2808,2208,1405,538,155,13056,619,3002,8289,7583,7720,5852,3737,1934,512,39259,298,283,339,186,161,90,59,13,10,1434,65,133,365,443,471,382,336,187,60,2442,984,3416,8993,8214,8356,6326,4134,2135,577,43129,27,51,217,268,219,212,161,82,31,1269
509,0,3,36,102,131,141,84,27,11,536,0,0,33,73,94,83,28,4,4,323,0,90,549,690,595,518,253,94,22,2801,3,57,259,474,598,680,374,118,18,2577,270,950,1994,2275,2606,2170,1320,485,86,12156,116,88,111,70,63,41,29,5,3,531,17,21,75,110,120,131,74,30,0,582,402,1065,2177,2455,2792,2344,1419,525,95,13268,11,17,87,104,147,189,147,76,21,798,444,409,708,863,884,798,604,501,185,5401,866,1640,3853,4753,5238,4751,2907,1348,351,25707,0,0,66,94,129,164,148,43,6,654,0,3,37,86,76,112,70,12,0,403,0,107,566,679,639,612,401,133,35,3174,16,72,293,497,631,751,550,164,46,3024,269,953,2338,2261,2597,2651,1813,715,156,13749,138,111,120,71,71,63,27,21,0,627,27,56,92,147,154,206,176,80,19,967,438,1122,2548,2474,2822,2920,2021,812,174,15339,0,13,30,46,59,57,74,42,14,336
510,0,8,153,151,121,65,17,3,0,529,0,8,73,94,68,47,8,0,0,297,0,197,1070,767,415,259,43,11,0,2766,7,83,484,610,524,305,45,5,0,2069,135,1128,3592,3297,2689,1347,258,50,4,12507,46,99,134,87,53,23,5,0,0,450,14,46,96,78,62,56,6,6,0,357,191,1270,3819,3462,2811,1424,272,52,4,13313,8,43,130,133,114,76,31,8,0,552,577,1229,3159,2680,2044,1074,267,79,27,11134,790,2835,8899,7899,6103,3245,686,153,35,30653,0,3,200,227,132,68,24,8,0,674,0,8,82,93,81,48,12,0,0,326,5,114,1048,839,504,315,82,11,3,2911,3,66,575,729,566,356,82,14,0,2401,122,771,4115,3384,2687,1580,356,75,8,13101,53,86,171,98,71,28,3,0,0,521,15,37,149,164,135,95,26,0,0,617,190,894,4432,3649,2896,1704,384,77,8,14231,4,16,40,50,42,22,10,0,0,180
511,0,13,131,148,112,82,24,8,0,515,0,10,65,93,74,52,15,0,0,308,0,186,708,716,473,298,99,28,6,2520,11,91,330,548,545,426,171,61,9,2182,261,1199,2914,2946,2753,1957,911,305,62,13315,76,107,120,103,71,28,19,3,0,533,13,35,78,100,81,69,32,14,0,424,354,1348,3117,3150,2909,2056,963,324,63,14282,18,43,121,139,141,153,98,52,9,763,561,623,1360,1230,1249,904,585,362,112,6982,936,2299,5830,6024,5500,3974,1957,840,197,27552,0,0,146,191,143,117,46,15,0,665,0,10,74,80,77,75,27,7,0,349,0,134,783,654,542,324,172,45,13,2664,15,76,426,526,583,490,245,91,16,2466,211,1087,2955,2600,2757,2266,1164,396,80,13504,96,111,130,94,90,66,28,10,0,619,12,36,114,141,148,144,106,47,7,758,319,1225,3195,2832,2991,2476,1299,446,89,14883,6,12,37,42,48,62,39,21,4,272
