SA4_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
501,1230,532,576,747,739,721,607,253,69,5464,38,20,20,26,33,32,30,16,4,210,10387,5539,4701,7713,10559,12675,13082,7839,2722,75222,159,41,147,176,70,21,25,15,0,653,303,88,208,226,103,77,32,9,0,1049,11,4,0,13,15,14,11,13,4,85,10,3,0,4,3,3,6,0,0,19,61,8,105,63,11,4,4,0,0,254,60,54,103,125,109,101,45,20,4,623,126,65,209,193,123,107,51,17,4,902,21973,11609,12524,13172,12016,10650,7904,2707,727,93287,2535,1481,1965,2232,2361,2100,1809,1019,517,16029,35689,18914,19963,24032,25548,25879,23091,11650,3986,188747
502,674,363,336,434,432,402,370,163,33,3211,23,4,17,12,11,17,8,14,3,103,5684,3728,2772,4011,5663,7351,9095,6360,1971,46632,130,55,119,135,49,23,13,4,4,529,107,33,56,87,47,41,20,7,0,393,3,0,3,8,0,8,8,11,0,46,0,5,0,0,0,0,0,0,0,3,36,8,72,30,7,4,6,0,0,163,60,47,92,78,58,57,44,19,0,446,96,59,168,113,65,55,44,19,0,615,11438,6526,6754,6291,5992,5673,4681,2064,627,50053,1253,816,926,1060,1141,1026,941,762,490,8404,18829,11296,10886,11904,13147,14327,14903,9248,3095,107641
503,608,493,695,669,502,453,387,148,44,3988,5,9,10,12,12,17,14,14,10,97,9886,7836,7367,8305,10257,10145,8911,6129,3138,71977,711,444,1181,912,301,152,99,40,12,3839,510,335,644,608,257,135,88,25,15,2610,130,83,112,112,118,130,129,78,31,932,0,3,0,0,4,0,0,0,0,9,43,27,104,61,27,13,13,11,0,304,88,98,173,153,113,109,79,29,8,852,128,130,280,217,142,124,92,39,8,1163,14043,12591,17490,12854,10153,8056,5587,2162,694,83633,1432,1490,2668,1891,1457,1270,1088,731,464,12501,27405,23439,31226,26204,23348,20445,16415,9364,4406,182267
504,2113,1222,1374,1539,1353,1032,744,305,80,9762,60,37,58,47,60,64,49,24,4,399,18763,11888,11339,14157,16242,16398,14016,8283,2992,114085,1884,553,1458,1815,495,272,155,51,10,6684,2594,1239,1590,1338,832,558,238,107,28,8539,95,69,75,82,98,116,129,60,10,739,4,3,0,3,4,4,0,0,0,18,983,200,1000,753,92,93,91,16,0,3218,107,118,203,241,204,162,82,36,11,1173,1091,330,1209,990,301,254,170,55,16,4406,25255,15528,20963,17654,14367,11382,6751,2582,786,115262,3024,2128,3595,3354,2761,2100,1369,886,581,19796,53519,32391,41245,40744,36289,32139,23530,12238,4488,276573
505,4268,2573,2566,3153,2894,2162,1510,608,193,19930,63,53,42,65,88,89,95,25,15,534,41711,27210,23656,31560,37221,36120,31892,19542,7748,256651,2830,1223,2663,2785,1148,598,392,132,19,11799,4528,2404,2800,2529,1654,1096,539,158,42,15755,490,359,237,284,416,406,444,246,165,3044,5,3,0,4,3,0,0,0,0,20,688,307,1110,543,165,104,76,26,10,3023,224,256,350,458,373,379,232,84,25,2372,918,560,1465,995,540,480,309,113,29,5414,53923,32117,40952,37874,29748,21737,13945,5329,1744,237366,5439,3692,5373,5276,4556,3578,2582,1783,1043,33316,111561,68940,79404,84122,77506,65784,51388,27668,10928,577297
506,4782,2836,3017,3463,2722,2232,1499,603,179,21335,127,107,90,103,130,140,91,54,23,867,33457,22488,20321,26293,28320,28454,26384,15496,5958,207174,5535,2191,4255,5368,1900,911,443,128,22,20754,9792,4628,5259,5411,2995,1491,737,266,48,30626,26,31,39,37,37,51,55,21,3,296,7,4,6,7,10,4,6,0,0,42,2336,911,3278,1790,333,283,182,52,14,9171,211,245,372,431,291,341,195,76,24,2189,2559,1160,3658,2225,640,617,384,120,37,11397,43385,29878,37489,31287,24313,19132,12379,4828,1566,204258,6016,4187,6586,5842,4670,3676,2545,1876,1403,36811,103171,66450,80825,80385,65525,56276,44457,23222,9154,529466
507,3292,1821,1984,2306,1998,1596,1068,452,132,14652,96,50,43,58,81,75,43,24,10,490,30471,19540,16775,22689,27048,27045,23522,14634,5912,187636,1563,499,1092,1560,638,361,245,84,19,6051,1308,559,871,1042,547,342,192,88,23,4972,43,34,47,49,55,39,71,25,6,375,5,7,0,8,4,5,0,0,0,30,571,173,677,421,86,86,78,19,6,2103,213,226,311,339,302,262,184,62,23,1921,788,407,993,758,391,357,259,81,32,4055,47144,28386,34561,31116,24891,19096,11872,4616,1521,203202,4659,3382,5059,4815,3876,3064,2221,1583,1185,29844,86762,53437,60317,63557,58745,51211,39261,21356,8752,443407
509,1000,424,495,569,608,632,515,252,80,4566,27,0,7,17,18,25,17,10,9,129,6891,3664,3742,5140,7306,9984,10384,6192,2305,55603,65,21,74,73,40,24,22,6,3,328,167,101,94,133,93,86,60,29,10,758,3,7,9,0,13,12,11,8,0,58,11,6,4,7,0,3,0,0,0,25,23,11,33,19,0,6,0,0,0,86,36,52,57,83,108,98,61,26,0,527,59,70,85,107,113,107,67,26,0,644,14130,7656,7875,7726,8192,8545,6140,2334,588,63191,2501,1444,1831,1962,2204,2303,1969,1098,397,15707,23900,13030,13823,15284,18137,21212,18757,9724,3308,137175
510,713,378,459,456,360,256,116,28,13,2788,9,4,9,10,12,15,0,0,0,63,6528,3173,4311,5140,4714,3933,1656,525,102,30082,171,36,203,223,78,28,4,0,0,746,258,70,217,198,110,84,43,11,6,999,7,4,13,0,5,8,4,0,0,45,189,113,127,104,70,58,17,16,4,693,28,3,48,19,9,3,0,0,0,108,23,22,47,47,26,24,9,0,0,209,238,142,226,170,100,80,34,16,3,1009,10084,4414,8131,6634,4514,2939,1011,200,31,37972,3596,2165,3792,3292,2611,1853,662,191,54,18217,21036,10097,17080,15963,12321,9031,3443,949,204,90128
511,974,456,547,618,544,463,285,127,25,4041,10,16,11,18,30,27,7,6,0,127,7223,4150,4173,5173,6951,7911,6549,3617,1182,46925,164,37,148,199,55,23,15,3,0,643,257,108,193,185,90,99,29,23,3,994,3,0,10,8,10,3,3,5,0,44,50,38,36,40,27,20,6,0,0,224,40,3,38,40,13,5,0,0,0,135,24,44,62,56,57,35,23,9,0,319,115,89,130,138,101,66,29,11,3,682,12163,6748,8423,7114,6403,5592,3277,1173,304,51204,3083,2005,2718,2514,2416,2102,1381,698,249,17164,23139,13225,15956,15584,16262,15931,11367,5542,1749,118758
597,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,14,44,41,16,7,0,0,124,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,46,41,19,15,3,0,0,144,0,18,46,78,49,24,3,0,0,227,0,42,116,170,109,62,18,0,0,514
599,48,18,31,36,26,15,7,0,0,178,0,0,0,0,4,0,0,0,0,7,176,112,175,235,211,291,284,59,12,1550,0,5,11,0,0,0,0,0,0,23,21,8,16,0,5,0,3,0,0,57,0,6,5,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,5,5,3,4,6,0,0,30,0,0,10,6,7,7,6,0,0,40,377,344,598,434,334,322,212,32,4,2652,205,357,688,839,747,510,253,65,13,3674,772,820,1512,1543,1313,1144,758,155,30,8055
