SA4_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
501,372,278,94,34,776,527,249,75,33,891,953,494,159,58,1660,484,257,80,26,848,324,204,58,12,603,151,70,19,8,242,101,66,30,7,203,65,42,17,5,125,329,233,92,36,689,61,29,11,3,100,4144,2387,795,274,7592
502,244,169,77,28,511,328,138,75,38,578,589,292,94,45,1010,314,160,39,22,537,202,125,42,13,378,93,56,16,13,184,78,58,13,10,155,54,41,13,5,116,190,126,60,26,409,45,22,5,3,69,2728,1548,539,239,5062
503,161,58,9,6,233,227,88,17,4,337,488,226,47,6,772,419,220,49,10,693,366,196,36,0,605,168,62,14,0,241,177,100,34,0,320,316,235,67,17,639,193,145,51,6,398,13,11,4,0,30,2970,1497,373,63,4905
504,521,267,132,55,969,705,339,112,61,1216,1439,761,229,79,2504,963,494,137,43,1643,750,406,111,38,1305,364,169,56,15,612,269,186,54,18,528,153,109,35,12,304,384,314,120,61,886,81,52,16,6,155,6767,3686,1200,486,12137
505,935,572,184,69,1760,1364,613,214,89,2282,2877,1455,373,149,4858,1994,1064,257,95,3416,1514,894,224,65,2693,642,365,105,37,1148,556,436,94,38,1133,371,369,118,27,874,805,699,258,99,1862,158,73,25,14,269,13365,7737,2180,842,24122
506,830,502,209,100,1637,1197,485,216,98,1988,2539,1196,387,151,4270,1611,822,194,88,2721,1240,666,172,54,2125,549,269,85,35,936,428,365,99,26,918,293,251,67,30,641,688,531,236,90,1553,188,77,25,18,303,11617,6227,2070,865,20778
507,762,471,173,69,1475,1082,520,183,85,1869,2122,1118,354,128,3721,1487,858,215,60,2618,1080,629,151,62,1923,495,273,79,19,859,420,344,87,25,879,310,293,72,17,693,640,500,229,88,1454,156,70,32,4,267,10412,6058,1943,668,19086
509,219,150,58,38,470,334,125,47,32,541,573,267,94,45,975,278,167,52,33,525,191,83,26,9,315,86,38,9,4,138,68,30,7,3,111,50,19,3,0,76,205,142,53,36,434,76,28,10,6,117,2624,1340,487,254,4707
510,113,68,29,14,228,105,59,30,23,221,215,125,53,40,440,176,130,49,15,370,156,87,24,15,288,51,22,6,6,90,89,52,11,4,156,54,41,14,4,111,85,77,62,38,266,72,45,15,9,141,1531,926,431,233,3120
511,215,93,47,22,382,267,113,42,36,452,410,218,84,48,769,289,163,44,24,519,235,101,35,18,383,126,41,8,9,182,103,50,14,10,181,64,42,11,3,119,181,137,65,24,409,79,24,16,11,130,2472,1307,479,266,4518
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
