SA4_CODE_2021,Age_19_C11_P,Age_19_C16_M,Age_19_C16_F,Age_19_C16_P,Age_19_C21_M,Age_19_C21_F,Age_19_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_C11_M,Age_20_C11_F,Age_20_C11_P,Age_20_C16_M,Age_20_C16_F,Age_20_C16_P,Age_20_C21_M,Age_20_C21_F,Age_20_C21_P,Age_21_C11_M,Age_21_C11_F,Age_21_C11_P,Age_21_C16_M,Age_21_C16_F,Age_21_C16_P,Age_21_C21_M,Age_21_C21_F,Age_21_C21_P,Age_22_C11_M,Age_22_C11_F,Age_22_C11_P,Age_22_C16_M,Age_22_C16_F,Age_22_C16_P,Age_22_C21_M,Age_22_C21_F,Age_22_C21_P,Age_23_C11_M,Age_23_C11_F,Age_23_C11_P,Age_23_C16_M,Age_23_C16_F,Age_23_C16_P,Age_23_C21_M,Age_23_C21_F,Age_23_C21_P,Age_24_C11_M,Age_24_C11_F,Age_24_C11_P,Age_24_C16_M,Age_24_C16_F,Age_24_C16_P,Age_24_C21_M,Age_24_C21_F,Age_24_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_C11_M,Age_25_C11_F,Age_25_C11_P,Age_25_C16_M,Age_25_C16_F,Age_25_C16_P,Age_25_C21_M,Age_25_C21_F,Age_25_C21_P,Age_26_C11_M,Age_26_C11_F,Age_26_C11_P,Age_26_C16_M,Age_26_C16_F,Age_26_C16_P,Age_26_C21_M,Age_26_C21_F,Age_26_C21_P,Age_27_C11_M,Age_27_C11_F,Age_27_C11_P,Age_27_C16_M,Age_27_C16_F,Age_27_C16_P,Age_27_C21_M,Age_27_C21_F,Age_27_C21_P,Age_28_C11_M,Age_28_C11_F,Age_28_C11_P,Age_28_C16_M,Age_28_C16_F,Age_28_C16_P,Age_28_C21_M,Age_28_C21_F,Age_28_C21_P,Age_29_C11_M,Age_29_C11_F,Age_29_C11_P,Age_29_C16_M,Age_29_C16_F,Age_29_C16_P,Age_29_C21_M,Age_29_C21_F,Age_29_C21_P,Age_25_29_C11_M,Age_25_29_C11_F,Age_25_29_C11_P,Age_25_29_C16_M,Age_25_29_C16_F,Age_25_29_C16_P,Age_25_29_C21_M,Age_25_29_C21_F,Age_25_29_C21_P,Age_30_C11_M,Age_30_C11_F,Age_30_C11_P,Age_30_C16_M,Age_30_C16_F,Age_30_C16_P,Age_30_C21_M,Age_30_C21_F,Age_30_C21_P,Age_31_C11_M,Age_31_C11_F,Age_31_C11_P,Age_31_C16_M,Age_31_C16_F,Age_31_C16_P,Age_31_C21_M,Age_31_C21_F,Age_31_C21_P,Age_32_C11_M,Age_32_C11_F,Age_32_C11_P,Age_32_C16_M,Age_32_C16_F,Age_32_C16_P,Age_32_C21_M,Age_32_C21_F,Age_32_C21_P,Age_33_C11_M,Age_33_C11_F,Age_33_C11_P,Age_33_C16_M,Age_33_C16_F,Age_33_C16_P,Age_33_C21_M,Age_33_C21_F,Age_33_C21_P,Age_34_C11_M,Age_34_C11_F,Age_34_C11_P,Age_34_C16_M,Age_34_C16_F,Age_34_C16_P,Age_34_C21_M,Age_34_C21_F,Age_34_C21_P,Age_30_34_C11_M,Age_30_34_C11_F,Age_30_34_C11_P,Age_30_34_C16_M,Age_30_34_C16_F,Age_30_34_C16_P,Age_30_34_C21_M,Age_30_34_C21_F,Age_30_34_C21_P,Age_35_C11_M,Age_35_C11_F,Age_35_C11_P,Age_35_C16_M,Age_35_C16_F,Age_35_C16_P,Age_35_C21_M,Age_35_C21_F,Age_35_C21_P,Age_36_C11_M,Age_36_C11_F,Age_36_C11_P,Age_36_C16_M,Age_36_C16_F,Age_36_C16_P,Age_36_C21_M,Age_36_C21_F,Age_36_C21_P,Age_37_C11_M,Age_37_C11_F,Age_37_C11_P,Age_37_C16_M
501,1629,898,785,1686,852,829,1678,5461,4871,10331,5678,5188,10870,5592,5373,10963,873,795,1665,778,734,1513,878,736,1618,797,762,1558,799,756,1555,834,729,1561,841,725,1567,832,740,1576,835,772,1604,767,753,1521,838,813,1654,793,729,1529,818,834,1652,841,874,1715,831,808,1633,4095,3863,7957,4094,3922,8015,4170,3777,7948,915,815,1729,864,910,1769,828,821,1647,846,897,1749,865,923,1783,897,902,1801,898,877,1780,950,897,1846,947,928,1878,849,888,1736,900,951,1856,924,986,1908,896,921,1823,937,1030,1960,960,1023,1984,4415,4395,8810,4511,4707,9216,4562,4659,9216,971,937,1904,1009,1081,2095,1025,1074,2102,945,951,1893,943,1115,2056,987,1061,2051,918,983,1898,1036,1086,2122,1067,1130,2197,948,1011,1959,1016,1134,2156,1043,1165,2208,930,990,1920,1031,1179,2216,1065,1126,2190,4709,4863,9582,5040,5600,10637,5193,5556,10748,927,1058,1981,1112,1102,2218,1119,1213,2336,982,1063,2042,1020,1160,2182,1027,1280,2312,1025,1151,2175,1113
502,984,553,546,1097,563,524,1087,2838,2655,5498,2934,2888,5820,3015,2971,5986,463,460,924,553,528,1079,566,537,1108,453,462,918,553,513,1064,530,615,1143,444,446,891,532,472,1003,527,506,1036,422,449,876,497,511,1012,502,519,1026,423,428,855,469,507,969,496,498,993,2208,2249,4457,2595,2530,5128,2623,2686,5306,450,444,896,453,493,941,496,501,1001,430,447,873,475,510,986,506,544,1050,411,399,807,485,507,987,522,531,1052,456,502,959,450,561,1010,489,556,1048,389,416,797,515,532,1051,480,556,1035,2137,2209,4344,2376,2601,4974,2493,2692,5188,404,445,850,551,595,1145,540,568,1106,396,426,819,519,520,1044,495,586,1081,391,427,823,500,545,1041,558,600,1158,372,438,810,509,587,1088,511,644,1157,413,458,867,522,544,1064,575,621,1196,1982,2197,4174,2595,2789,5380,2677,3020,5700,422,475,898,515,562,1076,628,661,1293,423,459,889,516,529,1043,564,664,1233,459,476,937,479
503,2277,1046,1213,2265,1089,1204,2295,4549,4737,9285,4564,4890,9448,5030,5143,10172,1230,1244,2472,1236,1188,2423,1189,1348,2531,1275,1352,2626,1198,1271,2465,1228,1302,2527,1424,1401,2827,1225,1278,2507,1228,1351,2581,1508,1535,3040,1427,1493,2919,1291,1406,2704,1572,1426,2999,1495,1545,3036,1407,1518,2930,7011,6961,13969,6578,6766,13352,6339,6927,13265,1658,1568,3233,1678,1610,3292,1537,1506,3045,1741,1576,3325,1666,1673,3339,1588,1520,3106,1565,1570,3134,1619,1694,3313,1538,1603,3149,1689,1535,3218,1712,1763,3471,1488,1592,3081,1541,1403,2946,1647,1589,3234,1570,1619,3185,8193,7654,15849,8325,8329,16653,7721,7841,15567,1455,1394,2852,1726,1728,3453,1574,1584,3157,1372,1220,2592,1586,1592,3176,1629,1609,3241,1318,1199,2520,1559,1524,3083,1543,1567,3107,1185,1096,2285,1531,1421,2957,1616,1607,3219,1102,1085,2196,1485,1348,2835,1477,1455,2930,6433,5998,12437,7889,7610,15500,7834,7825,15654,1124,988,2110,1406,1315,2718,1532,1415,2948,1063,1043,2104,1280,1181,2459,1456,1405,2863,1016,1026,2038,1196
504,2866,1625,1523,3149,1582,1466,3048,7737,7212,14948,8046,7391,15437,8253,7566,15820,1560,1484,3050,1723,1501,3228,1705,1507,3216,1578,1459,3038,1730,1533,3269,1720,1570,3294,1534,1382,2916,1715,1556,3279,1685,1578,3262,1538,1356,2896,1653,1658,3310,1714,1571,3289,1623,1461,3089,1711,1748,3455,1745,1765,3509,7841,7139,14981,8529,8003,16533,8574,7993,16571,1674,1464,3136,1722,1833,3559,1825,1714,3532,1552,1579,3132,1872,1874,3747,1904,1896,3797,1598,1501,3106,1859,1943,3801,1845,1890,3738,1649,1488,3138,1948,2002,3950,1920,2000,3927,1577,1510,3087,1997,2040,4036,1960,2093,4048,8053,7552,15602,9405,9688,19091,9450,9597,19045,1590,1577,3173,2084,2047,4135,2063,2209,4267,1504,1538,3042,2039,2079,4114,2207,2213,4416,1521,1564,3087,2057,1994,4051,2177,2292,4467,1542,1515,3058,2094,1978,4068,2218,2277,4496,1467,1529,2999,1993,1924,3922,2245,2305,4551,7630,7721,15354,10268,10022,20288,10908,11294,22203,1577,1574,3152,1986,1913,3895,2265,2291,4559,1567,1565,3128,1801,1810,3611,2249,2256,4510,1576,1593,3165,1788
505,6643,3588,3359,6940,3323,3135,6457,17248,16292,33541,17357,16607,33969,17773,16665,34435,3419,3339,6758,3438,3335,6775,3478,3352,6828,3507,3324,6832,3648,3365,7009,3522,3379,6903,3377,3369,6749,3539,3293,6841,3539,3395,6935,3434,3310,6748,3482,3388,6871,3441,3382,6825,3586,3429,7013,3564,3544,7099,3596,3419,7015,17325,16768,34094,17669,16926,34598,17578,16927,34506,3567,3564,7131,3815,3725,7533,3473,3494,6968,3733,3587,7321,3821,3909,7732,3711,3660,7375,3656,3603,7262,3878,4042,7922,3566,3749,7321,3682,3577,7255,4001,4093,8090,3549,3893,7443,3593,3492,7083,4214,4378,8593,3715,3961,7677,18235,17825,36062,19716,20148,39865,18015,18760,36779,3384,3448,6829,4222,4368,8597,3864,4212,8078,3319,3444,6758,4294,4295,8597,4019,4330,8347,3245,3403,6646,4273,4302,8573,4012,4501,8511,3279,3390,6669,4205,4168,8372,4127,4422,8549,3328,3289,6617,4167,4148,8321,4381,4765,9148,16550,16973,33523,21170,21287,42456,20408,22219,42622,3350,3569,6914,3945,4008,7950,4278,4635,8914,3389,3517,6908,3811,3905,7724,4375,4671,9047,3539,3585,7120,3577
506,6538,3355,3187,6546,3136,3069,6202,15543,14537,30073,15698,14537,30240,15601,14847,30444,3619,3485,7105,3806,3468,7278,3483,3181,6667,3833,3575,7408,3925,3463,7388,3693,3505,7199,3884,3763,7652,3893,3587,7485,3912,3551,7470,3827,3508,7332,3909,3621,7525,3786,3542,7325,3804,3499,7304,3838,3549,7383,3717,3622,7338,18965,17836,36798,19377,17687,37060,18590,17408,35999,3873,3483,7357,4027,3772,7801,4014,3735,7754,3790,3548,7339,4251,3958,8212,3980,3830,7808,3810,3469,7278,4186,4107,8294,3973,3818,7792,3674,3412,7083,4249,4130,8383,3873,3858,7731,3601,3411,7019,4126,4189,8313,3901,3867,7766,18753,17317,36071,20843,20160,41002,19738,19115,38852,3551,3400,6952,4393,4297,8694,3962,4170,8130,3316,3242,6551,4224,4195,8418,4101,4245,8352,3293,3145,6438,4240,4208,8451,4122,4365,8485,3232,3025,6260,4266,4149,8412,4216,4296,8516,2994,2966,5954,4287,3952,8239,4101,4391,8495,16383,15779,32160,21409,20799,42209,20505,21471,41977,3065,2943,6005,4032,3859,7891,4264,4436,8703,3055,2993,6049,3832,3673,7505,4394,4388,8786,2961,3048,6009,3617
507,4982,2682,2483,5158,2680,2529,5212,12379,12023,24404,12803,12408,25209,13464,12995,26454,2509,2534,5043,2672,2521,5193,2723,2624,5347,2611,2436,5042,2731,2665,5394,2659,2737,5393,2598,2467,5070,2760,2691,5446,2719,2775,5491,2495,2428,4923,2674,2681,5352,2786,2667,5461,2456,2344,4807,2764,2615,5377,2691,2602,5290,12673,12212,24890,13595,13170,26764,13576,13401,26979,2503,2369,4871,2706,2740,5445,2772,2703,5474,2457,2420,4870,2920,2859,5778,2804,2742,5546,2426,2484,4912,2852,2871,5719,2892,2979,5877,2501,2467,4971,2825,3060,5885,2766,2925,5686,2415,2377,4786,2914,2995,5912,2916,2924,5842,12301,12109,24411,14218,14522,28743,14142,14274,28418,2371,2528,4904,3007,3050,6055,2961,3225,6189,2377,2367,4742,3028,3043,6072,3101,3203,6302,2429,2374,4808,2965,3228,6186,3083,3343,6423,2317,2225,4542,3026,3177,6200,3048,3430,6474,2341,2418,4763,2959,3037,5998,3182,3328,6510,11834,11920,23752,14979,15533,30513,15373,16525,31895,2424,2439,4859,2877,3022,5899,3245,3456,6703,2368,2581,4949,2845,2912,5765,3313,3444,6757,2415,2524,4936,2809
509,1099,641,525,1165,672,519,1192,3971,3421,7390,3919,3372,7292,3866,3451,7320,647,477,1126,671,483,1152,581,496,1075,683,515,1203,690,520,1216,607,480,1080,629,545,1177,682,550,1229,594,519,1115,600,551,1149,640,569,1206,655,554,1212,631,580,1213,618,529,1154,660,571,1226,3196,2672,5867,3299,2652,5951,3099,2607,5712,611,640,1245,651,600,1251,675,559,1233,650,656,1304,718,708,1430,683,607,1289,637,633,1264,709,637,1348,685,652,1328,639,635,1272,661,644,1306,725,718,1441,631,710,1341,720,699,1415,635,638,1274,3159,3271,6429,3458,3289,6745,3402,3164,6566,669,648,1312,734,759,1485,731,684,1412,687,647,1330,736,713,1447,743,766,1508,627,717,1348,714,737,1454,725,714,1438,671,703,1376,734,749,1478,681,699,1374,687,732,1422,705,784,1490,764,753,1523,3339,3448,6783,3616,3742,7355,3640,3613,7257,750,784,1533,751,714,1463,730,752,1491,724,770,1496,751,742,1491,794,761,1553,763,830,1596,728
510,1028,437,351,784,463,453,919,2619,2191,4808,2330,2050,4381,2526,2308,4829,640,478,1124,493,449,949,475,417,895,725,556,1283,532,451,989,462,444,904,841,657,1495,543,507,1048,544,503,1046,1032,743,1775,667,658,1326,603,570,1172,1173,788,1962,772,644,1417,651,601,1254,4417,3220,7633,3013,2714,5724,2731,2534,5265,1224,860,2087,879,767,1645,703,694,1398,1282,848,2130,1005,821,1831,785,776,1566,1272,937,2212,1144,839,1986,812,814,1628,1300,941,2237,1185,897,2083,741,767,1505,1275,788,2062,1279,883,2159,858,750,1607,6349,4375,10725,5498,4212,9703,3907,3796,7702,1185,787,1968,1280,984,2267,940,923,1857,1163,812,1972,1245,967,2212,885,910,1796,1058,787,1849,1206,913,2117,985,901,1896,1098,733,1830,1231,840,2075,1000,921,1916,1013,741,1761,1180,798,1974,999,919,1919,5517,3851,9368,6139,4504,10637,4810,4572,9378,1107,682,1789,1148,793,1939,997,923,1920,1140,724,1869,1076,741,1822,905,840,1743,1083,681,1766,999
511,1374,618,595,1212,633,550,1184,3999,3690,7694,3701,3471,7174,3438,3120,6553,738,625,1363,675,538,1209,616,531,1151,803,712,1510,648,611,1262,702,594,1292,791,749,1542,672,615,1285,739,616,1348,863,722,1590,722,670,1394,708,699,1415,893,820,1713,817,721,1535,746,719,1465,4095,3626,7716,3536,3161,6689,3514,3161,6674,972,815,1787,832,703,1538,848,708,1554,975,832,1802,832,831,1663,805,743,1544,897,807,1704,770,798,1569,830,720,1549,936,821,1763,903,772,1682,825,766,1597,862,831,1691,847,870,1717,889,773,1658,4642,4105,8748,4190,3973,8166,4197,3710,7904,870,769,1641,896,900,1798,812,771,1584,876,782,1657,878,832,1712,832,829,1658,870,810,1682,893,834,1729,817,805,1616,858,793,1655,896,826,1721,838,760,1596,821,772,1595,847,784,1629,789,805,1596,4302,3933,8229,4413,4171,8582,4081,3969,8049,869,841,1708,765,777,1539,866,799,1669,908,834,1746,810,767,1580,842,831,1672,889,837,1731,778
