SA4_CODE_2021,C16_M_Health_15_19,C16_M_Health_20_24,C16_M_Health_25_34,C16_M_Health_35_44,C16_M_Health_45_54,C16_M_Health_55_64,C16_M_Health_65_74,C16_M_Health_75_84,C16_M_Health_85over,C16_M_Health_Tot,C16_M_Educ_15_19,C16_M_Educ_20_24,C16_M_Educ_25_34,C16_M_Educ_35_44,C16_M_Educ_45_54,C16_M_Educ_55_64,C16_M_Educ_65_74,C16_M_Educ_75_84,C16_M_Educ_85over,C16_M_Educ_Tot,C16_M_MngtCom_15_19,C16_M_MngtCom_20_24,C16_M_MngtCom_25_34,C16_M_MngtCom_35_44,C16_M_MngtCom_45_54,C16_M_MngtCom_55_64,C16_M_MngtCom_65_74,C16_M_MngtCom_75_84,C16_M_MngtCom_85over,C16_M_MngtCom_Tot,C16_M_Soc_cult_15_19,C16_M_Soc_cult_20_24,C16_M_Soc_cult_25_34,C16_M_Soc_cult_35_44,C16_M_Soc_cult_45_54,C16_M_Soc_cult_55_64,C16_M_Soc_cult_65_74,C16_M_Soc_cult_75_84,C16_M_Soc_cult_85over,C16_M_Soc_cult_Tot,C16_M_Creative_art_15_19,C16_M_Creative_art_20_24,C16_M_Creative_art_25_34,C16_M_Creative_art_35_44,C16_M_Creative_art_45_54,C16_M_Creative_art_55_64,C16_M_Creative_art_65_74,C16_M_Creative_art_75_84,C16_M_Creative_art_85over,C16_M_Creative_art_Tot,C16_M_FoodHos_PS_15_19,C16_M_FoodHos_PS_20_24,C16_M_FoodHos_PS_25_34,C16_M_FoodHos_PS_35_44,C16_M_FoodHos_PS_45_54,C16_M_FoodHos_PS_55_64,C16_M_FoodHos_PS_65_74,C16_M_FoodHos_PS_75_84,C16_M_FoodHos_PS_85over,C16_M_Foodhos_PS_Tot,C16_M_MixFld_pr_15_19,C16_M_MixFld_pr_20_24,C16_M_MixFld_pr_25_34,C16_M_MixFld_pr_35_44,C16_M_MixFld_pr_45_54,C16_M_MixFld_pr_55_64,C16_M_MixFld_pr_65_74,C16_M_MixFld_pr_75_84,C16_M_MixFld_pr_85overer,C16_M_MixFld_pr_Tot,C16_M_FldStu_ID_15_19,C16_M_FldStu_ID_20_24,C16_M_FldStu_ID_25_34,C16_M_FldStu_ID_35_44,C16_M_FldStu_ID_45_54,C16_M_FldStu_ID_55_64,C16_M_FldStu_ID_65_74,C16_M_FldStu_ID_75_84,C16_M_FldStu_ID_85over,C16_M_FldStu_ID_Tot,C16_M_FldStu_NS_15_19,C16_M_FldStu_NS_20_24,C16_M_FldStu_NS_25_34,C16_M_FldStu_NS_35_44,C16_M_FldStu_NS_45_54,C16_M_FldStu_NS_55_64,C16_M_FldStu_NS_65_74,C16_M_FldStu_NS_75_84,C16_M_FldStu_NS_85over,C16_M_FldStu_NS_Tot,C16_M_Tot_15_19,C16_M_Tot_20_24,C16_M_Tot_25_34,C16_M_Tot_35_44,C16_M_Tot_45_54,C16_M_Tot_55_64,C16_M_Tot_65_74,C16_M_Tot_75_84,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_NatPhy_sci_15_19,C21_M_NatPhy_sci_20_24,C21_M_NatPhy_sci_25_34,C21_M_NatPhy_sci_35_44,C21_M_NatPhy_sci_45_54,C21_M_NatPhy_sci_55_64,C21_M_NatPhy_sci_65_74,C21_M_NatPhy_sci_75_84,C21_M_NatPhy_sci_85over,C21_M_NatPhy_sci_Tot,C21_M_InfTec_15_19,C21_M_InfTec_20_24,C21_M_InfTec_25_34,C21_M_InfTec_35_44,C21_M_InfTec_45_54,C21_M_InfTec_55_64,C21_M_InfTec_65_74,C21_M_InfTec_75_84,C21_M_InfTec_85over,C21_M_InfTec_Tot,C21_M_EngRT_15_19,C21_M_EngRT_20_24,C21_M_EngRT_25_34,C21_M_EngRT_35_44,C21_M_EngRT_45_54,C21_M_EngRT_55_64,C21_M_EngRT_65_74,C21_M_EngRT_75_84,C21_M_EngRT_85over,C21_M_EngRT_Tot,C21_M_ArchBuild_15_19,C21_M_ArchBuild_20_24,C21_M_ArchBuild_25_34,C21_M_ArchBuild_35_44,C21_M_ArchBuild_45_54,C21_M_ArchBuild_55_64,C21_M_ArchBuild_65_74,C21_M_ArchBuild_75_84,C21_M_ArchBuild_85over,C21_M_ArchBuild_Tot,C21_M_AgEnv_RS_15_19,C21_M_AgEnv_RS_20_24,C21_M_AgEnv_RS_25_34,C21_M_AgEnv_RS_35_44,C21_M_AgEnv_RS_45_54,C21_M_AgEnv_RS_55_64,C21_M_AgEnv_RS_65_74,C21_M_AgEnv_RS_75_84,C21_M_AgEnv_RS_85over,C21_M_AgEnv_RS_Tot,C21_M_Health_15_19,C21_M_Health_20_24,C21_M_Health_25_34,C21_M_Health_35_44,C21_M_Health_45_54,C21_M_Health_55_64,C21_M_Health_65_74,C21_M_Health_75_84,C21_M_Health_85over,C21_M_Health_Tot,C21_M_Educ_15_19,C21_M_Educ_20_24,C21_M_Educ_25_34,C21_M_Educ_35_44,C21_M_Educ_45_54,C21_M_Educ_55_64,C21_M_Educ_65_74,C21_M_Educ_75_84,C21_M_Educ_85over,C21_M_Educ_Tot,C21_M_MngtCom_15_19,C21_M_MngtCom_20_24,C21_M_MngtCom_25_34,C21_M_MngtCom_35_44,C21_M_MngtCom_45_54,C21_M_MngtCom_55_64,C21_M_MngtCom_65_74,C21_M_MngtCom_75_84,C21_M_MngtCom_85over,C21_M_MngtCom_Tot,C21_M_Soc_cult_15_19,C21_M_Soc_cult_20_24,C21_M_Soc_cult_25_34,C21_M_Soc_cult_35_44,C21_M_Soc_cult_45_54,C21_M_Soc_cult_55_64,C21_M_Soc_cult_65_74,C21_M_Soc_cult_75_84,C21_M_Soc_cult_85over,C21_M_Soc_cult_Tot,C21_M_Creative_art_15_19,C21_M_Creative_art_20_24,C21_M_Creative_art_25_34,C21_M_Creative_art_35_44,C21_M_Creative_art_45_54,C21_M_Creative_art_55_64,C21_M_Creative_art_65_74,C21_M_Creative_art_75_84,C21_M_Creative_art_85over,C21_M_Creative_art_Tot
501,15,26,233,334,337,319,180,66,21,1524,7,19,142,267,356,449,299,108,19,1670,52,111,453,679,717,583,485,126,32,3239,54,76,214,278,260,251,226,68,23,1449,25,54,102,112,93,92,66,18,10,569,23,102,379,476,372,225,122,44,14,1752,16,6,10,13,11,8,20,13,4,93,3,13,71,101,92,80,44,22,4,433,651,408,1069,1191,1292,1159,1019,669,285,7749,1202,2200,6701,7974,8042,7242,5310,2278,653,41600,4,29,117,229,228,207,227,83,6,1132,44,102,205,222,121,90,51,13,0,856,194,710,2385,2868,2984,2939,2396,1028,208,15707,55,296,983,949,842,928,734,306,88,5180,59,90,286,436,468,402,297,141,37,2213,20,48,229,374,386,373,264,119,33,1840,17,33,152,279,367,437,456,169,30,1939,111,159,522,703,836,750,628,264,46,4024,63,141,295,339,345,326,312,128,31,1985,36,77,138,144,114,106,88,36,7,738
502,4,21,83,130,179,154,100,37,10,717,4,15,70,111,155,207,121,81,23,790,20,67,223,292,359,302,361,181,26,1831,33,77,147,138,139,134,133,59,9,870,26,44,43,32,35,35,43,28,3,287,16,54,160,191,181,143,78,42,14,878,5,8,0,7,6,3,14,11,4,67,4,10,42,51,59,42,41,24,5,287,228,213,492,520,593,555,574,477,212,3850,539,1243,3327,3613,4082,3658,3468,2036,590,22545,0,25,37,82,56,82,93,29,5,409,21,83,140,122,81,65,39,19,0,561,133,384,1321,1467,1562,1827,1751,906,220,9565,52,140,458,407,482,481,450,297,68,2830,22,36,82,122,131,109,91,62,16,676,7,40,94,124,196,208,145,74,18,910,9,20,92,114,156,199,231,105,26,941,52,98,228,326,403,424,430,264,41,2280,43,101,183,189,181,175,205,81,16,1172,22,65,58,38,41,34,44,29,11,345
503,4,176,978,846,804,689,480,249,85,4306,3,36,216,223,267,377,265,105,40,1538,37,594,2453,2187,2255,1505,898,359,102,10384,35,347,1328,979,933,868,609,219,57,5365,31,255,660,327,236,188,113,31,9,1845,21,126,495,245,192,140,80,20,10,1328,16,26,20,9,8,10,6,3,5,113,4,32,117,116,113,81,45,26,12,540,290,595,1958,1139,966,828,674,433,217,7093,512,3510,13708,9930,9165,7521,4999,2342,830,52525,0,400,887,701,606,640,505,261,62,4059,12,178,628,720,412,252,87,22,0,2311,52,546,2847,2529,1971,1758,1339,653,224,11915,13,144,685,588,509,501,416,183,79,3114,4,52,202,171,177,155,101,82,27,976,15,157,1234,1013,957,838,570,354,109,5252,9,25,258,280,231,313,358,180,53,1708,101,749,2458,2686,2599,1943,1236,575,146,12491,59,383,1403,1219,1129,912,837,369,87,6400,50,310,734,490,254,207,163,61,8,2270
504,17,121,503,464,422,265,154,63,22,2026,11,55,282,364,390,441,270,109,29,1942,91,423,1917,1785,1469,1006,565,180,48,7477,83,277,808,796,654,534,334,93,29,3619,47,238,472,369,261,197,90,29,12,1716,38,167,703,544,434,309,177,64,9,2448,19,16,17,19,27,17,18,23,4,168,13,41,176,167,166,116,75,32,10,804,655,895,2203,1942,1736,1303,945,669,339,10689,1357,4375,14203,12886,11613,9031,5774,2575,773,62593,5,139,420,479,438,329,233,107,15,2168,42,219,708,963,517,252,86,14,0,2797,244,1035,4636,4516,4032,3841,2783,1203,247,22539,112,353,1386,1160,965,834,645,327,82,5851,13,77,271,264,280,205,150,73,10,1344,19,143,662,604,462,379,223,93,29,2608,11,63,377,372,405,435,358,182,42,2252,175,565,1833,2450,1725,1310,775,303,55,9198,148,370,1047,999,861,619,487,168,19,4715,91,294,609,521,296,191,153,44,8,2200
505,28,327,1327,1316,1167,800,427,184,75,5642,23,90,646,778,894,995,646,289,83,4442,240,983,4578,4703,4269,2803,1861,633,165,20225,185,649,1885,1815,1418,1217,685,230,69,8165,122,464,984,741,424,321,167,77,16,3323,50,300,1232,1060,909,573,309,124,36,4584,34,38,38,36,39,25,31,34,15,291,13,90,322,339,360,226,138,94,22,1593,1152,1206,3338,2749,2568,1936,1506,1141,628,16219,2511,8632,30171,28468,25854,19510,12466,5864,1848,135323,10,380,975,1074,1078,834,586,272,44,5271,84,494,1359,2160,1396,694,272,46,0,6507,375,1858,8400,8848,8161,7696,5960,2678,712,44696,226,802,3658,3556,3011,2468,1667,783,229,16402,22,118,431,648,520,438,256,109,30,2570,47,479,1624,1562,1398,992,590,275,67,7030,41,168,811,900,926,993,844,416,121,5224,430,1317,4096,5694,5029,3553,2503,1084,225,23940,263,879,2127,2066,1887,1446,1028,384,79,10156,210,656,1102,954,585,367,221,88,23,4207
506,20,304,1359,1050,865,669,345,144,51,4801,13,108,490,604,620,738,530,235,53,3377,207,1356,5005,4145,3092,2146,1289,419,110,17766,154,635,1802,1432,1177,978,648,226,51,7107,132,380,863,520,286,218,123,56,23,2607,68,400,1550,978,714,439,291,109,28,4569,43,49,46,50,36,34,35,25,7,318,18,82,338,333,332,222,125,56,31,1528,1122,1606,4099,3190,2602,2107,1631,1254,678,18285,2449,9623,30998,25759,21082,16648,11158,5191,1689,124589,14,402,1047,1041,973,740,561,245,51,5069,125,599,1772,2470,1096,514,202,31,3,6808,406,2201,8936,9759,8008,6815,5172,2318,580,44187,159,663,2388,1997,1535,1417,1228,609,193,10182,39,142,446,499,470,389,272,132,37,2426,43,472,1556,1477,1062,755,477,225,63,6135,41,135,629,632,684,733,700,334,82,3974,414,1454,4535,5503,3935,2704,1814,684,135,21176,269,785,1858,1844,1434,1140,878,390,72,8661,151,549,993,731,417,231,185,74,24,3351
507,25,224,1041,1162,955,647,356,157,43,4608,15,83,459,525,659,746,452,202,53,3189,129,732,2674,2995,2739,1992,1217,423,128,13040,162,462,1292,1175,1069,866,544,200,54,5825,91,332,644,476,342,239,127,39,15,2307,65,246,858,765,681,371,238,113,27,3372,25,23,34,23,21,30,34,31,9,225,7,59,224,276,261,200,111,60,24,1219,1005,1314,3126,2679,2411,1778,1407,1171,581,15469,2105,6904,21606,21425,19773,15035,9738,4843,1623,103044,4,272,697,821,801,700,583,229,51,4160,92,373,950,1436,839,413,155,37,4,4306,439,1698,7040,7884,7253,6500,4617,2163,566,38153,157,593,2108,1882,1720,1496,1072,605,199,9821,21,120,364,527,492,387,262,122,32,2333,44,288,1326,1324,1192,851,542,237,63,5863,46,120,604,639,654,800,682,318,65,3922,242,880,2655,3702,3400,2555,1735,669,157,15996,222,632,1576,1453,1393,1056,755,341,87,7508,158,439,749,674,417,277,231,59,12,3011
509,5,29,127,151,206,221,104,45,11,901,0,18,91,135,206,308,185,65,11,1015,53,81,281,348,409,416,319,82,24,2012,47,64,157,220,232,272,190,50,14,1249,12,35,59,61,50,83,69,14,0,388,14,54,140,199,219,168,129,40,10,989,10,8,4,5,4,14,21,13,7,77,6,11,47,54,84,68,45,29,5,359,527,447,1202,1134,1234,1292,1047,685,251,7832,974,1766,4730,4991,5605,5934,4406,1954,567,30923,3,30,69,103,113,102,119,55,7,609,23,53,105,90,78,69,45,11,0,460,123,424,1531,1477,1639,1897,1603,643,133,9475,49,152,523,439,450,503,445,209,56,2828,76,176,363,531,557,555,421,175,45,2897,10,29,159,156,198,260,161,84,12,1075,0,13,102,143,232,258,316,106,19,1190,92,121,293,385,428,470,387,159,30,2359,35,72,178,218,239,298,271,76,16,1405,20,29,77,84,78,70,86,36,7,482
510,0,14,198,211,201,131,33,0,0,791,0,26,163,180,152,158,52,9,0,739,20,48,419,503,347,222,46,0,4,1610,15,54,267,233,178,118,32,3,3,905,4,24,92,63,40,38,4,0,0,273,4,33,236,235,183,95,30,4,0,834,0,6,9,6,8,8,0,0,0,49,3,18,74,100,89,52,9,0,0,342,537,657,2537,2123,1673,1058,345,95,21,9049,715,1731,8882,7653,5880,3574,957,196,38,29635,0,22,92,93,64,34,15,3,0,322,11,23,65,69,23,16,5,0,0,212,84,428,2294,2373,1667,1078,326,59,3,8319,16,87,585,551,362,262,101,30,5,1987,9,41,134,171,139,91,30,7,0,624,0,26,178,174,147,121,44,3,0,687,4,22,149,179,173,118,57,8,0,716,23,58,328,469,352,220,83,7,0,1539,22,53,231,223,169,144,55,11,0,902,0,14,82,66,35,12,21,4,0,244
511,0,24,153,181,191,149,65,21,10,791,0,27,155,175,196,182,94,27,5,856,18,62,333,391,363,298,126,51,8,1652,24,48,227,188,200,142,71,20,10,935,5,28,74,56,50,28,22,6,0,278,16,70,187,191,211,116,75,20,3,893,6,10,8,9,9,8,13,17,0,72,3,15,70,70,77,61,21,13,3,331,550,532,1407,1261,1357,1126,740,387,155,7521,865,1989,6053,5588,5738,4682,2641,1061,287,28901,0,46,164,137,108,76,44,13,4,593,13,44,96,89,55,26,18,0,0,346,146,592,2266,2065,2008,1800,1122,378,96,10469,28,171,552,448,393,451,332,124,19,2514,23,69,165,220,263,220,157,61,13,1201,4,38,164,172,211,180,107,23,6,912,3,24,114,166,188,208,127,43,8,879,34,110,283,417,418,340,183,64,15,1868,27,65,209,226,180,155,98,36,7,997,14,36,69,62,39,33,27,8,0,293
