SA4_CODE_2021,C11_70_74_Married_P,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Sep_P,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Div_P,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Wid_P,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_Nvr_marrd_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Married_P,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Sep_P,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Div_P,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Wid_P,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_Nvr_marrd_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Married_P,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Sep_P,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Div_P,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Wid_P,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_Nvr_marrd_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Married_M,C11_85_over_Married_F,C11_85_over_Married_P,C11_85_over_Seprtd_M,C11_85_over_Seprtd_F,C11_85_over_Seprtd_P,C11_85_over_Divorce_M,C11_85_over_Divorce_F,C11_85_over_Divorce_P,C11_85_over_Wid_M,C11_85_over_Wid_F,C11_85_over_Wid_P,C11_85_over_Nvr_mard_M,C11_85_over_Nvr_mard_F,C11_85_over_Nvr_mard_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Married_M,C11_Tot_Married_F,C11_Tot_Married_P,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Sep_P,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Div_P,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_Wid_P,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_nver_marrie_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Married_P,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Sep_P,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Div_P,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Wid_P,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_Nvr_marrd_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Married_P,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Sep_P,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Div_P,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Wid_P,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_Nvr_marrd_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Married_P,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Sep_P,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Div_P,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Wid_P,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_Nvr_marrd_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Married_P,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Sep_P,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Div_P,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Wid_P,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_Nvr_marrd_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Married_P,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Sep_P,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Div_P,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Wid_P,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_Nvr_marrd_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Married_P,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Sep_P,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Div_P,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Wid_P,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_Nvr_marrd_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Married_P,C16_45_49_Sep_M
501,3743,60,50,111,261,279,542,134,654,789,107,60,163,2635,2718,5355,1391,1073,2468,40,37,76,134,157,290,186,755,930,71,50,115,1814,2067,3884,954,575,1531,26,11,38,57,85,144,232,936,1167,66,27,96,1331,1643,2972,513,209,723,14,8,20,28,45,77,305,1261,1574,28,29,62,891,1561,2453,32316,32410,64726,1914,2246,4159,5078,6117,11194,1273,4940,6216,21061,17042,38106,61639,62761,124401,5,11,20,0,3,3,5,0,5,0,0,0,5670,5166,10839,5678,5188,10870,154,318,477,9,38,41,0,8,5,0,0,4,3923,3562,7484,4094,3922,8015,976,1557,2533,67,117,181,25,61,88,5,12,17,3434,2960,6392,4511,4707,9216,2281,3053,5337,147,215,362,98,195,297,5,21,27,2510,2119,4622,5040,5600,10637,3114,3402,6517,210,300,517,237,316,550,5,20,25,1827,1579,3407,5399,5614,11014,3571,3806,7376,260,362,622,422,605,1022,11,43,53,1562,1392,2955,5826,6201,12030,3797,3938,7733,342
502,3169,76,43,115,250,212,462,128,458,587,58,26,84,2256,2163,4420,1238,948,2188,27,18,49,135,107,245,159,561,719,35,16,52,1592,1654,3245,820,521,1342,15,5,23,76,60,133,185,658,844,17,13,37,1111,1267,2381,402,220,620,9,3,10,32,44,77,230,763,991,11,14,31,693,1044,1731,17306,17632,34944,1130,1325,2453,3018,3672,6687,976,3252,4228,10352,8842,19193,32775,34726,67502,5,5,7,0,3,4,0,0,5,0,0,0,2923,2882,5801,2934,2888,5820,95,185,277,8,18,27,4,10,13,0,4,3,2494,2318,4807,2595,2530,5128,542,874,1419,34,95,130,17,50,72,0,7,8,1778,1573,3352,2376,2601,4974,1159,1397,2565,90,162,252,64,125,184,3,8,8,1283,1091,2379,2595,2789,5380,1288,1565,2853,126,182,310,134,198,329,3,16,17,892,750,1635,2446,2710,5154,1696,1831,3529,169,217,388,206,363,572,12,26,35,797,635,1435,2879,3076,5960,1795,1868,3664,203
503,2756,49,56,114,297,357,651,100,489,595,232,183,416,2184,2344,4532,1103,862,1965,42,28,69,144,227,365,157,710,862,141,161,303,1583,1983,3570,839,538,1372,38,18,54,89,165,252,199,987,1192,99,144,248,1264,1857,3116,621,337,962,16,8,23,50,103,154,380,1850,2235,58,181,242,1126,2485,3611,28698,28963,57662,1528,1579,3108,4560,5753,10315,1157,5058,6213,29691,25524,55217,65634,66871,132512,12,21,32,3,0,4,4,0,0,0,3,3,4544,4856,9404,4564,4890,9448,170,292,461,3,11,17,3,7,16,12,9,13,6389,6453,12845,6578,6766,13352,1123,1764,2890,41,72,118,24,92,119,6,9,13,7125,6389,13518,8325,8329,16653,3100,3571,6674,102,142,248,164,228,389,8,14,19,4517,3660,8173,7889,7610,15500,3384,3602,6987,133,146,277,241,333,579,4,17,22,2395,1783,4170,6155,5880,12033,3461,3727,7189,161,198,363,266,496,765,17,37,47,1412,1198,2607,5325,5652,10974,3707,3849,7553,217
504,4131,78,75,159,345,452,800,161,786,949,161,95,259,3009,3284,6289,1548,1134,2686,59,40,95,223,289,505,256,937,1194,118,44,154,2204,2436,4638,1064,609,1678,23,20,41,94,158,257,261,1104,1365,43,49,91,1493,1945,3441,599,302,895,10,14,31,56,72,130,373,1567,1941,43,46,90,1078,2007,3089,42684,42729,85417,2559,3080,5639,6681,9021,15703,1595,6314,7912,34138,27462,61606,87664,88609,176270,23,27,47,9,8,8,4,4,10,6,0,5,8013,7359,15370,8046,7391,15437,364,737,1107,20,58,77,9,19,30,0,5,10,8133,7179,15314,8529,8003,16533,2328,3566,5893,119,200,320,59,134,191,6,7,15,6895,5783,12675,9405,9688,19091,5015,5655,10672,231,327,559,246,396,639,7,21,33,4765,3622,8389,10268,10022,20288,5336,5538,10873,309,395,703,396,580,973,10,61,71,2949,2399,5352,9007,8973,17979,5486,5572,11055,422,542,959,636,1020,1655,34,78,110,2299,1937,4245,8874,9150,18023,5565,5406,10981,438
505,9215,180,149,331,606,984,1591,364,1644,2013,200,182,387,6397,7136,13531,3572,2782,6354,121,99,215,363,554,920,498,2181,2678,122,135,256,4672,5756,10427,2498,1585,4083,60,46,113,185,335,520,581,2567,3152,75,92,171,3403,4624,8027,1512,741,2256,35,19,58,95,213,308,839,3660,4500,57,133,188,2544,4770,7311,97380,98572,195950,4456,5873,10334,12185,18456,30635,3370,13943,17314,71076,60460,131532,188472,197300,385765,33,50,82,0,10,10,8,5,10,3,4,11,17309,16548,33853,17357,16607,33969,532,1314,1844,22,72,93,15,24,37,7,11,14,17095,15503,32604,17669,16926,34598,4186,6556,10735,188,389,581,121,259,386,14,20,29,15209,12930,28138,19716,20148,39865,10316,12168,22487,440,649,1095,438,686,1122,19,51,69,9964,7727,17686,21170,21287,42456,11822,12703,24520,542,847,1388,741,1108,1852,37,93,130,5490,4616,10109,18628,19365,37992,12771,13261,26030,724,925,1650,1240,1851,3086,39,120,164,4297,3501,7796,19066,19664,38728,12901,12853,25758,867
506,7916,170,148,316,631,912,1546,354,1633,1989,299,203,504,5832,6435,12266,3007,2260,5260,106,89,198,346,549,888,424,2020,2442,164,158,325,4036,5076,9112,2063,1322,3386,65,53,116,217,291,510,547,2357,2906,123,106,236,3015,4132,7141,1237,639,1869,36,21,62,101,203,309,791,3503,4288,85,160,246,2253,4531,6781,83645,83614,167257,4672,5425,10095,12256,16900,29156,3154,13248,16407,71453,57957,129415,175186,177143,352333,55,93,143,4,3,8,13,8,16,12,0,8,15624,14440,30059,15698,14537,30240,813,1713,2527,25,87,112,14,34,52,7,7,20,18509,15843,34349,19377,17687,37060,5071,7524,12593,201,321,525,160,243,402,16,25,36,15398,12036,27435,20843,20160,41002,11141,12552,23691,428,640,1065,455,622,1080,16,55,72,9371,6933,16301,21409,20799,42209,11752,11588,23341,589,742,1332,685,990,1681,30,80,116,5409,4274,9683,18466,17678,36147,10755,10505,21261,639,826,1466,1061,1505,2568,47,154,196,3995,3225,7222,16499,16214,32718,10245,9969,20217,749
507,6951,126,128,256,518,748,1266,325,1302,1634,163,154,324,4929,5492,10425,2918,2237,5155,90,76,165,316,417,736,423,1788,2209,134,89,224,3884,4609,8491,1999,1342,3342,56,33,84,170,249,424,527,2164,2688,79,67,150,2831,3859,6689,1155,616,1772,34,31,64,71,145,222,679,2827,3509,58,111,165,1999,3729,5732,69351,70057,139408,3752,4525,8275,9996,13822,23817,2844,10866,13710,51921,44937,96861,137869,144208,282072,26,26,52,4,3,7,4,7,10,0,6,3,12769,12369,25137,12803,12408,25209,391,744,1136,34,60,92,8,24,33,8,13,21,13148,12330,25480,13595,13170,26764,3001,4650,7656,136,292,426,93,169,262,22,21,38,10962,9391,20353,14218,14522,28743,7251,8720,15971,339,556,894,298,504,805,12,37,51,7079,5722,12797,14979,15533,30513,8679,9199,17880,446,628,1074,613,829,1439,10,70,78,4300,3545,7849,14039,14276,28318,9112,9277,18389,552,838,1389,968,1396,2366,37,92,125,3415,2902,6319,14080,14504,28588,9197,9253,18451,663
509,3634,98,49,143,300,265,566,198,599,793,155,41,200,2748,2578,5325,1409,985,2396,49,20,65,184,158,343,211,678,889,93,35,130,1945,1875,3816,876,522,1402,34,11,44,81,66,147,236,811,1051,67,35,105,1299,1444,2743,452,223,674,21,8,26,31,44,76,290,1095,1386,47,29,72,842,1394,2240,27792,27290,55089,1693,1578,3278,4491,4671,9162,1417,4372,5790,16723,12591,29311,52127,50502,102626,17,15,25,0,0,0,0,0,3,3,0,5,3903,3357,7259,3919,3372,7292,136,214,346,6,13,16,9,0,8,0,0,4,3154,2421,5571,3299,2652,5951,774,1102,1878,46,72,117,16,40,57,3,10,11,2621,2067,4689,3458,3289,6745,1653,1981,3631,97,142,244,67,122,184,6,25,33,1794,1473,3270,3616,3742,7355,2097,2243,4335,155,181,337,138,192,337,11,26,27,1309,1047,2358,3705,3692,7400,2441,2592,5034,237,234,466,250,338,588,15,37,52,1193,954,2144,4139,4155,8292,2746,2877,5622,287
510,299,28,18,48,79,27,97,38,93,133,73,39,115,410,276,692,92,56,145,7,5,13,25,14,39,35,62,90,36,28,64,199,162,358,37,26,64,10,0,4,11,4,15,43,75,116,26,17,41,124,122,241,27,9,37,5,0,9,3,10,9,36,51,85,7,15,25,81,83,163,18235,12208,30448,1694,943,2633,3387,2017,5400,445,805,1251,21245,13651,34890,45007,29615,74618,26,44,71,3,7,9,0,3,0,0,0,5,2301,2001,4293,2330,2050,4381,179,229,409,22,20,41,6,6,14,4,3,3,2798,2455,5253,3013,2714,5724,1186,1232,2417,79,69,144,40,39,83,5,11,13,4188,2862,7049,5498,4212,9703,2654,2103,4751,166,111,283,139,105,246,3,9,19,3173,2170,5342,6139,4504,10637,2784,1922,4709,207,123,331,234,164,394,11,16,27,1972,1370,3339,5209,3597,8808,2771,1669,4431,238,117,352,349,223,568,9,33,40,1544,1025,2570,4910,3053,7960,2429,1413,3842,229
511,1982,94,45,135,268,168,435,126,370,501,121,41,159,1741,1472,3212,699,542,1245,53,21,73,120,63,180,137,474,605,74,26,98,1083,1124,2206,471,239,709,19,15,34,62,44,103,159,437,595,45,19,61,762,751,1507,210,97,304,8,4,7,20,23,39,150,551,696,25,20,43,406,694,1097,22433,21073,43506,1833,1537,3368,4161,3687,7856,960,3014,3976,20122,15061,35186,49510,44378,93894,23,34,55,3,0,6,5,0,5,0,0,0,3665,3437,7107,3701,3471,7174,184,265,449,14,25,42,10,3,16,7,3,13,3322,2855,6176,3536,3161,6689,869,1231,2099,69,97,167,28,35,62,4,10,13,3222,2598,5821,4190,3973,8166,1877,2135,4012,106,150,254,101,124,226,4,10,12,2318,1758,4077,4413,4171,8582,2060,2185,4241,143,198,338,160,194,352,15,23,33,1507,1211,2724,3885,3802,7689,2314,2304,4616,207,207,415,272,323,593,13,46,61,1434,1092,2524,4244,3971,8210,2549,2375,4922,219
