SA4_CODE_2021,Age_37_C16_F,Age_37_C16_P,Age_37_C21_M,Age_37_C21_F,Age_37_C21_P,Age_38_C11_M,Age_38_C11_F,Age_38_C11_P,Age_38_C16_M,Age_38_C16_F,Age_38_C16_P,Age_38_C21_M,Age_38_C21_F,Age_38_C21_P,Age_39_C11_M,Age_39_C11_F,Age_39_C11_P,Age_39_C16_M,Age_39_C16_F,Age_39_C16_P,Age_39_C21_M,Age_39_C21_F,Age_39_C21_P,Age_35_39_C11_M,Age_35_39_C11_F,Age_35_39_C11_P,Age_35_39_C16_M,Age_35_39_C16_F,Age_35_39_C16_P,Age_35_39_C21_M,Age_35_39_C21_F,Age_35_39_C21_P,Age_40_C11_M,Age_40_C11_F,Age_40_C11_P,Age_40_C16_M,Age_40_C16_F,Age_40_C16_P,Age_40_C21_M,Age_40_C21_F,Age_40_C21_P,Age_41_C11_M,Age_41_C11_F,Age_41_C11_P,Age_41_C16_M,Age_41_C16_F,Age_41_C16_P,Age_41_C21_M,Age_41_C21_F,Age_41_C21_P,Age_42_C11_M,Age_42_C11_F,Age_42_C11_P,Age_42_C16_M,Age_42_C16_F,Age_42_C16_P,Age_42_C21_M,Age_42_C21_F,Age_42_C21_P,Age_43_C11_M,Age_43_C11_F,Age_43_C11_P,Age_43_C16_M,Age_43_C16_F,Age_43_C16_P,Age_43_C21_M,Age_43_C21_F,Age_43_C21_P,Age_44_C11_M,Age_44_C11_F,Age_44_C11_P,Age_44_C16_M,Age_44_C16_F,Age_44_C16_P,Age_44_C21_M,Age_44_C21_F,Age_44_C21_P,Age_40_44_C11_M,Age_40_44_C11_F,Age_40_44_C11_P,Age_40_44_C16_M,Age_40_44_C16_F,Age_40_44_C16_P,Age_40_44_C21_M,Age_40_44_C21_F,Age_40_44_C21_P,Age_45_C11_M,Age_45_C11_F,Age_45_C11_P,Age_45_C16_M,Age_45_C16_F,Age_45_C16_P,Age_45_C21_M,Age_45_C21_F,Age_45_C21_P,Age_46_C11_M,Age_46_C11_F,Age_46_C11_P,Age_46_C16_M,Age_46_C16_F,Age_46_C16_P,Age_46_C21_M,Age_46_C21_F,Age_46_C21_P,Age_47_C11_M,Age_47_C11_F,Age_47_C11_P,Age_47_C16_M,Age_47_C16_F,Age_47_C16_P,Age_47_C21_M,Age_47_C21_F,Age_47_C21_P,Age_48_C11_M,Age_48_C11_F,Age_48_C11_P,Age_48_C16_M,Age_48_C16_F,Age_48_C16_P,Age_48_C21_M,Age_48_C21_F,Age_48_C21_P,Age_49_C11_M,Age_49_C11_F,Age_49_C11_P,Age_49_C16_M,Age_49_C16_F,Age_49_C16_P,Age_49_C21_M,Age_49_C21_F,Age_49_C21_P,Age_45_49_C11_M,Age_45_49_C11_F,Age_45_49_C11_P,Age_45_49_C16_M,Age_45_49_C16_F,Age_45_49_C16_P,Age_45_49_C21_M,Age_45_49_C21_F,Age_45_49_C21_P,Age_50_C11_M,Age_50_C11_F,Age_50_C11_P,Age_50_C16_M,Age_50_C16_F,Age_50_C16_P,Age_50_C21_M,Age_50_C21_F,Age_50_C21_P,Age_51_C11_M,Age_51_C11_F,Age_51_C11_P,Age_51_C16_M,Age_51_C16_F,Age_51_C16_P,Age_51_C21_M,Age_51_C21_F,Age_51_C21_P,Age_52_C11_M,Age_52_C11_F,Age_52_C11_P,Age_52_C16_M,Age_52_C16_F,Age_52_C16_P,Age_52_C21_M,Age_52_C21_F,Age_52_C21_P,Age_53_C11_M,Age_53_C11_F,Age_53_C11_P,Age_53_C16_M,Age_53_C16_F,Age_53_C16_P,Age_53_C21_M,Age_53_C21_F,Age_53_C21_P,Age_54_C11_M,Age_54_C11_F,Age_54_C11_P,Age_54_C16_M,Age_54_C16_F,Age_54_C16_P,Age_54_C21_M,Age_54_C21_F,Age_54_C21_P,Age_50_54_C11_M,Age_50_54_C11_F,Age_50_54_C11_P,Age_50_54_C16_M,Age_50_54_C16_F,Age_50_54_C16_P,Age_50_54_C21_M,Age_50_54_C21_F,Age_50_54_C21_P,Age_55_C11_M,Age_55_C11_F,Age_55_C11_P,Age_55_C16_M,Age_55_C16_F,Age_55_C16_P
501,1125,2237,1144,1225,2368,1117,1084,2199,1073,1124,2195,1175,1288,2463,1167,1249,2412,1089,1093,2182,1160,1304,2458,5212,5605,10818,5399,5614,11014,5630,6307,11934,1260,1346,2601,1031,1160,2185,1201,1228,2431,1154,1186,2336,1057,1220,2280,1150,1292,2446,1152,1209,2361,1180,1220,2396,1224,1259,2481,1119,1197,2314,1242,1269,2511,1160,1203,2367,1108,1186,2291,1315,1336,2653,1177,1197,2376,5787,6127,11916,5826,6201,12030,5920,6184,12102,1149,1106,2249,1323,1460,2785,1143,1219,2361,1177,1132,2305,1231,1273,2502,1168,1291,2457,1168,1129,2296,1202,1262,2466,1253,1264,2510,1199,1217,2414,1188,1235,2425,1309,1242,2553,1116,1199,2316,1175,1225,2404,1303,1387,2688,5800,5783,11581,6114,6460,12579,6177,6395,12567,1209,1206,2415,1234,1222,2456,1356,1467,2829,1101,1170,2269,1220,1198,2415,1311,1326,2638,1205,1159,2371,1208,1214,2421,1229,1280,2511,1083,1145,2227,1282,1249,2531,1179,1301,2477,1133,1040,2171,1132,1247,2385,1260,1267,2527,5733,5724,11462,6069,6139,12203,6333,6646,12977,1117,1151,2273,1213,1334,2540
502,542,1017,549,608,1165,502,508,1016,477,532,1005,617,669,1290,558,605,1165,465,542,1010,569,623,1192,2373,2529,4900,2446,2710,5154,2935,3228,6170,530,578,1108,522,631,1154,550,628,1177,519,524,1042,565,570,1135,565,575,1141,516,605,1127,559,574,1133,540,594,1138,453,541,997,588,605,1192,531,618,1148,518,514,1033,644,691,1338,537,600,1130,2536,2766,5299,2879,3076,5960,2715,3019,5736,502,525,1025,603,653,1255,543,635,1180,524,547,1072,654,644,1296,593,630,1223,591,610,1200,629,656,1282,618,636,1253,549,568,1111,542,651,1189,647,654,1299,510,605,1118,583,630,1216,700,750,1451,2674,2850,5523,3004,3224,6230,3089,3308,6404,525,607,1137,609,614,1223,649,659,1300,530,567,1100,624,609,1238,672,742,1414,497,567,1059,649,721,1371,667,746,1415,522,566,1087,631,646,1283,615,715,1328,507,535,1046,594,650,1243,622,663,1289,2581,2849,5427,3104,3249,6351,3225,3521,6745,526,589,1110,574,696,1269
503,1167,2365,1388,1401,2786,1031,1046,2081,1174,1118,2292,1387,1451,2838,1183,1125,2308,1101,1096,2198,1371,1331,2699,5412,5234,10645,6155,5880,12033,7139,7001,14136,1129,1210,2337,1047,1030,2084,1307,1265,2575,1139,1077,2216,1053,1076,2123,1228,1198,2427,1111,1134,2242,995,1157,2154,1238,1158,2396,1068,1081,2147,1041,1180,2218,1155,1199,2358,1075,1070,2141,1182,1214,2397,1160,1151,2314,5521,5567,11082,5325,5652,10974,6093,5978,12071,1036,1058,2097,1189,1243,2428,1125,1101,2222,1060,1053,2113,1107,1148,2260,1132,1176,2303,1057,1103,2162,1124,1189,2310,1127,1169,2293,1098,1106,2201,1115,1118,2233,1108,1199,2311,1024,1045,2066,1071,1070,2140,1231,1229,2459,5275,5362,10638,5603,5769,11369,5720,5868,11587,1057,1052,2109,1040,1085,2119,1213,1322,2536,1071,1054,2124,1046,1054,2100,1177,1199,2375,992,1040,2032,1089,1084,2172,1204,1183,2382,1016,1004,2026,1062,1048,2110,1189,1133,2321,1064,1008,2068,979,1021,2004,1074,1075,2152,5206,5157,10364,5215,5291,10504,5857,5910,11760,1093,962,2052,964,1021,1983
504,1806,3594,2256,2122,4384,1681,1751,3434,1757,1712,3472,2224,2134,4359,1767,1829,3596,1675,1727,3405,2096,2043,4138,8163,8310,16478,9007,8973,17979,11093,10850,21946,1769,1734,3503,1795,1767,3562,2132,2005,4141,1618,1743,3356,1696,1744,3440,1866,1893,3761,1712,1711,3425,1724,1743,3459,1883,1888,3773,1669,1739,3402,1772,1878,3656,1841,1797,3636,1681,1679,3363,1886,2023,3907,1677,1816,3489,8440,8601,17048,8874,9150,18023,9403,9395,18798,1567,1627,3195,1925,1875,3799,1783,1782,3566,1580,1595,3170,1711,1779,3482,1734,1805,3537,1711,1683,3397,1832,1811,3644,1743,1767,3508,1640,1708,3346,1776,1740,3518,1776,1894,3668,1667,1645,3309,1751,1747,3500,1890,2022,3911,8163,8254,16414,9001,8954,17949,8928,9271,18197,1613,1642,3255,1666,1685,3354,1958,1933,3897,1534,1535,3067,1613,1634,3249,1712,1791,3498,1490,1519,3008,1727,1738,3460,1827,1830,3661,1403,1419,2820,1644,1688,3334,1749,1789,3537,1341,1364,2707,1737,1691,3434,1741,1758,3502,7383,7475,14856,8397,8430,16827,8991,9101,18094,1360,1355,2712,1606,1674,3280
505,3864,7440,4471,4605,9078,3629,3688,7319,3639,3887,7528,4429,4504,8929,3765,3882,7651,3652,3703,7357,4302,4394,8692,17666,18240,35914,18628,19365,37992,21854,22810,44661,3935,4066,8000,3746,3924,7670,4048,4298,8341,3730,3860,7587,3705,3817,7522,3926,4095,8020,3642,3826,7470,3787,3865,7648,3767,4049,7819,3429,3541,6972,3879,3915,7788,3799,3981,7781,3408,3529,6940,3947,4147,8098,3692,3799,7497,18146,18821,36968,19066,19664,38728,19235,20224,39464,3331,3566,6896,4070,4310,8376,3866,3972,7841,3316,3573,6887,3855,3966,7824,3733,3964,7691,3448,3562,7008,3840,3879,7724,3830,3941,7767,3496,3628,7126,3614,3688,7300,3933,3958,7894,3411,3457,6875,3461,3660,7125,3946,4120,8072,17005,17787,34788,18837,19506,38342,19315,19950,39264,3247,3420,6663,3432,3535,6972,4149,4254,8404,3160,3285,6444,3422,3557,6983,3841,3998,7832,3116,3182,6299,3418,3596,7014,3824,3892,7717,2908,3104,6010,3414,3559,6964,3540,3645,7187,2878,3186,6059,3373,3444,6819,3454,3643,7093,15303,16175,31481,17059,17692,34753,18802,19436,38237,2827,3079,5902,3237,3369,6602
506,3552,7172,4224,4442,8666,3043,2954,5991,3663,3347,7009,4304,4337,8646,3225,3178,6401,3330,3241,6573,4284,4139,8420,15345,15111,30455,18466,17678,36147,21474,21740,43219,3282,3269,6560,3299,3250,6551,4138,4048,8179,3117,3101,6211,3308,3188,6493,3886,3814,7701,3060,3019,6077,3216,3270,6479,3667,3680,7347,2908,2926,5834,3311,3141,6452,3665,3409,7069,2874,2845,5721,3372,3373,6741,3480,3388,6870,15242,15154,30401,16499,16214,32718,18828,18331,37162,2891,2857,5745,3458,3298,6763,3402,3312,6717,2866,2869,5741,3261,3224,6491,3427,3328,6751,2877,2862,5737,3192,3180,6374,3267,3298,6560,2901,2997,5904,3035,3076,6115,3355,3211,6567,2972,2934,5901,3012,2921,5937,3458,3445,6902,14514,14517,29031,15961,15713,31674,16904,16595,33501,2796,2997,5789,2962,2935,5894,3502,3367,6871,2681,2870,5553,2945,2943,5887,3312,3271,6585,2658,2816,5475,2963,2877,5841,3314,3248,6563,2651,2747,5405,2934,3073,6003,3041,3006,6054,2589,2732,5325,2977,2911,5881,3004,2959,5961,13375,14166,27543,14776,14740,29511,16175,15856,32031,2599,2711,5312,2856,2962,5815
507,2834,5645,3227,3529,6750,2569,2664,5237,2716,2666,5381,3267,3390,6654,2710,2820,5532,2792,2843,5634,3143,3290,6432,12479,13028,25511,14039,14276,28318,16192,17106,33300,2794,2963,5753,2790,2797,5588,3139,3312,6452,2657,2737,5392,2762,2856,5621,3047,3125,6174,2601,2813,5411,2755,2887,5637,2961,3062,6027,2515,2619,5131,2793,2938,5729,2878,2852,5727,2473,2560,5033,2983,3025,6011,2851,3026,5878,13034,13694,26722,14080,14504,28588,14875,15383,30261,2423,2589,5016,3014,3235,6248,2868,2949,5815,2413,2684,5096,2895,2873,5769,2797,2952,5742,2543,2579,5120,2818,2940,5752,2829,2950,5782,2576,2603,5184,2715,2782,5501,2908,3080,5988,2457,2604,5063,2634,2715,5352,3093,3136,6226,12412,13066,25476,14072,14545,28618,14500,15057,29564,2441,2473,4911,2605,2732,5338,3105,3368,6479,2439,2491,4928,2533,2737,5269,2940,2928,5869,2354,2400,4754,2675,2702,5372,2864,3001,5862,2225,2296,4517,2643,2683,5332,2737,2825,5564,2119,2236,4357,2572,2667,5236,2666,2746,5413,11581,11888,23461,13030,13513,26548,14318,14865,29180,2217,2290,4513,2455,2567,5021
509,759,1481,768,768,1541,782,817,1604,740,728,1466,790,771,1562,901,886,1783,740,750,1489,709,814,1522,3927,4088,8009,3705,3692,7400,3802,3865,7664,898,906,1804,782,783,1565,766,799,1562,886,954,1839,754,786,1539,762,735,1492,930,967,1900,811,839,1651,744,794,1538,967,902,1876,846,844,1691,765,732,1502,886,909,1797,942,901,1847,755,772,1525,4574,4634,9209,4139,4155,8292,3787,3826,7612,1024,917,1946,951,967,1914,805,819,1624,939,919,1859,887,951,1841,794,811,1604,959,877,1830,975,996,1968,816,847,1660,1030,939,1966,948,888,1835,872,871,1749,985,989,1970,935,893,1828,947,953,1904,4935,4641,9572,4691,4700,9395,4230,4310,8542,1056,1058,2117,1031,934,1972,972,977,1948,1010,986,2000,968,979,1951,938,941,1874,1006,1005,2009,986,900,1883,996,1003,1999,1029,933,1967,1059,1035,2097,978,966,1937,983,932,1912,1042,1100,2141,910,923,1834,5083,4918,10003,5088,4951,10042,4798,4797,9597,1013,980,1995,1128,1128,2258
510,681,1683,972,840,1812,1088,728,1823,1004,699,1699,926,803,1735,1152,731,1886,981,677,1661,921,772,1693,5572,3556,9126,5209,3597,8808,4716,4185,8902,1185,756,1937,952,606,1557,911,701,1615,1075,632,1703,915,626,1543,823,611,1434,1030,613,1644,1018,604,1622,745,649,1399,992,600,1592,1033,601,1641,722,581,1304,930,555,1486,991,618,1600,765,553,1316,5210,3150,8357,4910,3053,7960,3966,3099,7066,911,538,1444,963,653,1613,697,527,1220,939,521,1458,884,554,1444,710,565,1273,936,523,1457,875,544,1421,718,585,1301,858,582,1439,808,566,1374,720,525,1251,914,534,1451,802,521,1320,759,592,1354,4558,2698,7256,4334,2838,7173,3602,2797,6404,920,556,1473,780,499,1279,807,611,1415,818,542,1360,727,530,1259,704,495,1200,823,500,1321,830,510,1346,624,504,1131,799,445,1244,800,559,1356,595,511,1102,793,481,1274,787,499,1293,612,463,1069,4146,2524,6670,3924,2600,6528,3337,2578,5914,694,410,1102,783,507,1289
511,787,1567,839,804,1640,1010,849,1861,741,756,1493,805,807,1614,1059,915,1979,785,725,1508,812,707,1519,4741,4284,9028,3885,3802,7689,4169,3950,8117,1028,944,1968,798,749,1545,792,787,1585,991,879,1867,829,795,1622,758,750,1512,926,875,1805,795,815,1609,774,732,1504,985,805,1784,851,766,1619,746,716,1460,892,804,1695,978,843,1819,733,671,1407,4815,4302,9124,4244,3971,8210,3810,3659,7464,876,818,1696,927,862,1787,818,687,1506,969,867,1841,932,866,1801,755,781,1536,961,908,1868,914,855,1772,744,751,1494,1027,837,1866,946,771,1718,838,749,1590,924,808,1727,870,728,1602,949,796,1746,4762,4241,9000,4596,4082,8679,4106,3764,7875,984,810,1794,893,788,1677,929,861,1796,868,821,1692,939,797,1736,875,809,1686,902,802,1704,898,881,1782,827,815,1645,913,776,1691,913,838,1753,955,788,1743,899,740,1639,876,791,1668,808,712,1526,4562,3950,8510,4516,4097,8615,4396,3992,8387,849,754,1607,953,793,1751
