SA4_CODE_2021,C16_F_a_4_8_FH_One_PFam,C16_F_a_4_8_FH_oth_fa,C16_F_a_4_8_FH_Tot,C16_F_a_4_8_LP_H,C16_F_a_4_8_GH,C16_F_a_4_8_OH,C16_F_a_4_8_Tot,C16_F_a_9m_FH_CF_no_ch,C16_F_a_9m_FH_CF_w_ch,C16_F_a_9m_FH_One_PFam,C16_F_a_9m_FH_oth_fa,C16_F_a_9m_FH_Tot,C16_F_a_9m_LP_H,C16_F_a_9m_GH,C16_F_a_9m_OH,C16_F_a_9m_Tot,C16_F_a_a_h_FH_CF_no_ch,C16_F_a_a_h_FH_CF_w_ch,C16_F_a_a_h_FH_One_PFam,C16_F_a_a_h_FH_oth_fa,C16_F_a_a_h_FH_Tot,C16_F_a_a_h_LP_H,C16_F_a_a_h_GH,C16_F_a_a_h_OH,C16_F_a_a_h_Tot,C16_F_a_Tot_FH_CF_no_ch,C16_F_a_Tot_FH_CF_w_ch,C16_F_a_Tot_FH_One_PFam,C16_F_a_Tot_FH_oth_fa,C16_F_a_Tot_FH_Tot,C16_F_a_Tot_LP_H,C16_F_a_Tot_GH,C16_F_a_Tot_OH,C16_F_a_Tot_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_Tot_FH_CF_no_ch,C16_OD_Tot_FH_CF_w_ch,C16_OD_Tot_FH_One_PFam,C16_OD_Tot_FH_oth_fa,C16_OD_Tot_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_Tot_Tot,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_Tot,C16_Tot_FH_CF_no_ch,C16_Tot_FH_CF_w_ch,C16_Tot_FH_One_PFam,C16_Tot_FH_oth_fa,C16_Tot_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_Tot_Tot,C21_S_h_FH_CF_no_ch,C21_S_h_FH_CF_w_ch,C21_S_h_FH_One_PFam,C21_S_h_FH_oth_fa,C21_S_h_FH_Tot,C21_S_h_LP_H,C21_S_h_GH,C21_S_h_OH,C21_S_h_Tot,C21_SDRTHT1S_FH_CF_no_ch,C21_SDRTHT1S_FH_CF_w_ch,C21_SDRTHT1S_FH_One_PFam,C21_SDRTHT1S_FH_oth_fa,C21_SDRTHT1S_FH_Tot,C21_SDRTHT1S_LP_H,C21_SDRTHT1S_GH,C21_SDRTHT1S_OH,C21_SDRTHT1S_Tot,C21_SDRTHT2S_FH_CF_no_ch,C21_SDRTHT2S_FH_CF_w_ch,C21_SDRTHT2S_FH_One_PFam,C21_SDRTHT2S_FH_oth_fa,C21_SDRTHT2S_FH_Tot,C21_SDRTHT2S_LP_H,C21_SDRTHT2S_GH,C21_SDRTHT2S_OH,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_FH_CF_no_ch,C21_SDRTHT_Tot_FH_CF_w_ch,C21_SDRTHT_Tot_FH_One_PFam,C21_SDRTHT_Tot_FH_oth_fa,C21_SDRTHT_Tot_FH_Tot,C21_SDRTHT_Tot_LP_H,C21_SDRTHT_Tot_GH,C21_SDRTHT_Tot_OH,C21_SDRTHT_Tot_Tot,C21_F_a_1_2_FH_CF_no_ch,C21_F_a_1_2_FH_CF_w_ch,C21_F_a_1_2_FH_One_PFam,C21_F_a_1_2_FH_oth_fa,C21_F_a_1_2_FH_Tot,C21_F_a_1_2_LP_H,C21_F_a_1_2_GH,C21_F_a_1_2_OH,C21_F_a_1_2_Tot,C21_F_a_3_FH_CF_no_ch,C21_F_a_3_FH_CF_w_ch,C21_F_a_3_FH_One_PFam,C21_F_a_3_FH_oth_fa,C21_F_a_3_FH_Tot,C21_F_a_3_LP_H,C21_F_a_3_GH,C21_F_a_3_OH,C21_F_a_3_Tot,C21_F_a_4_8_FH_CF_no_ch,C21_F_a_4_8_FH_CF_w_ch,C21_F_a_4_8_FH_One_PFam,C21_F_a_4_8_FH_oth_fa,C21_F_a_4_8_FH_Tot,C21_F_a_4_8_LP_H,C21_F_a_4_8_GH,C21_F_a_4_8_OH,C21_F_a_4_8_Tot,C21_F_a_9m_FH_CF_no_ch,C21_F_a_9m_FH_CF_w_ch,C21_F_a_9m_FH_One_PFam,C21_F_a_9m_FH_oth_fa,C21_F_a_9m_FH_Tot,C21_F_a_9m_LP_H,C21_F_a_9m_GH,C21_F_a_9m_OH,C21_F_a_9m_Tot,C21_F_a_a_h_FH_CF_no_ch,C21_F_a_a_h_FH_CF_w_ch,C21_F_a_a_h_FH_One_PFam,C21_F_a_a_h_FH_oth_fa,C21_F_a_a_h_FH_Tot,C21_F_a_a_h_LP_H,C21_F_a_a_h_GH,C21_F_a_a_h_OH,C21_F_a_a_h_Tot,C21_F_a_Tot_FH_CF_no_ch,C21_F_a_Tot_FH_CF_w_ch,C21_F_a_Tot_FH_One_PFam,C21_F_a_Tot_FH_oth_fa,C21_F_a_Tot_FH_Tot,C21_F_a_Tot_LP_H,C21_F_a_Tot_GH,C21_F_a_Tot_OH,C21_F_a_Tot_Tot,C21_OD_C_c_hb_FH_CF_no_ch,C21_OD_C_c_hb_FH_CF_w_ch,C21_OD_C_c_hb_FH_One_PFam,C21_OD_C_c_hb_FH_oth_fa,C21_OD_C_c_hb_FH_Tot,C21_OD_C_c_hb_LP_H,C21_OD_C_c_hb_GH,C21_OD_C_c_hb_OH,C21_OD_C_c_hb_Tot,C21_OD_Ih_t_s_FH_CF_no_ch,C21_OD_Ih_t_s_FH_CF_w_ch,C21_OD_Ih_t_s_FH_One_PFam,C21_OD_Ih_t_s_FH_oth_fa,C21_OD_Ih_t_s_FH_Tot,C21_OD_Ih_t_s_LP_H,C21_OD_Ih_t_s_GH,C21_OD_Ih_t_s_OH,C21_OD_Ih_t_s_Tot,C21_OD_H_f_so_FH_CF_no_ch,C21_OD_H_f_so_FH_CF_w_ch,C21_OD_H_f_so_FH_One_PFam,C21_OD_H_f_so_FH_oth_fa
501,4,0,23,13,4,17,51,..,..,..,..,..,..,..,..,..,5,0,0,0,4,4,0,0,6,242,60,71,7,389,787,28,138,1340,285,30,27,5,351,464,22,439,1272,21,22,5,3,47,32,5,54,135,35,16,5,0,52,28,0,16,99,341,68,38,7,447,520,26,503,1503,86,68,17,4,177,115,6,51,345,19763,19397,6674,442,46272,15167,1703,5149,68297,20444,19306,6798,476,47026,13802,1643,3636,66102,962,319,438,27,1745,2935,129,400,5211,224,118,71,4,411,305,41,102,869,1182,436,509,30,2159,3241,173,503,6076,125,49,42,7,219,435,22,89,759,10,8,13,5,35,65,5,19,123,18,0,0,0,18,13,0,10,42,20,4,0,0,17,12,0,6,38,12,11,0,0,24,23,0,4,53,185,72,55,6,312,545,32,126,1017,199,36,18,4,264,430,24,517,1240,14,9,3,0,23,29,0,225,277,13,16,6,0
502,14,0,156,86,3,35,280,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,4,449,79,57,6,583,656,31,124,1395,92,9,13,4,118,236,7,187,549,8,5,8,0,20,7,5,50,81,5,0,0,0,10,0,0,0,12,106,16,21,0,146,243,12,242,640,27,12,5,0,48,36,3,3,84,11922,9859,4092,269,26149,9085,964,2335,38529,11668,10239,4462,296,26674,7948,817,1343,36786,1002,163,251,27,1444,2223,70,203,3937,324,87,114,8,536,518,37,71,1163,1323,243,374,36,1973,2737,105,277,5097,73,17,29,5,122,290,14,43,474,90,22,18,0,125,62,5,13,203,82,14,17,0,121,77,3,13,212,86,16,7,4,114,46,0,13,170,10,3,4,5,21,20,0,3,45,340,77,71,15,506,487,31,85,1105,98,5,15,3,125,258,4,79,463,5,4,0,0,9,11,0,51,68,0,0,0,0
503,349,180,4955,4738,972,2086,12753,..,..,..,..,..,..,..,..,..,6,0,0,0,9,7,0,4,16,6265,1747,783,347,9140,10064,1945,3679,24830,4,0,0,0,9,3,0,10,19,0,0,0,0,0,9,0,274,289,22,19,6,0,48,41,10,17,116,33,14,7,0,55,55,11,301,427,51,31,11,0,93,86,12,29,225,17854,17568,4152,895,40480,19543,4331,6281,70629,9829,14946,2721,313,27810,5850,1336,757,35752,1064,807,361,61,2294,1929,241,194,4654,1944,1234,618,108,3896,2334,541,281,7048,3008,2042,979,162,6191,4261,779,476,11707,1063,434,249,67,1806,2420,339,317,4880,1777,524,293,77,2677,3869,524,526,7598,2422,681,378,93,3566,4423,638,776,9402,1968,605,247,87,2907,2662,500,619,6692,8,13,0,0,22,16,3,4,38,7243,2256,1157,313,10973,13387,2002,2243,28606,0,0,0,0,0,4,0,3,6,0,0,0,0,0,0,0,427,429,19,13,7,0
504,21,12,226,297,43,99,665,..,..,..,..,..,..,..,..,..,0,0,0,0,0,6,0,0,8,652,281,175,49,1158,1568,205,370,3296,68,8,7,0,79,155,8,82,328,14,13,0,0,28,0,0,64,96,8,12,5,0,32,14,5,11,61,90,30,12,0,141,172,14,161,485,50,52,25,3,124,74,13,17,229,23573,30417,10170,1136,65297,19416,3186,4952,92854,22856,31968,10129,1031,65980,16100,2446,2561,87087,1618,1188,1020,111,3930,4201,339,474,8949,695,418,331,48,1491,1348,225,208,3269,2308,1608,1343,157,5422,5547,564,682,12221,387,135,138,34,694,1109,95,134,2035,183,57,71,15,331,561,60,61,1012,102,40,29,8,179,342,23,48,596,83,25,13,3,124,182,24,23,348,28,18,5,0,49,55,0,3,115,782,276,259,57,1377,2249,202,272,4099,59,6,6,0,71,141,3,83,303,0,3,0,0,3,4,0,432,440,9,7,3,3
505,39,24,355,344,63,64,829,..,..,..,..,..,..,..,..,..,0,0,0,0,5,12,0,0,19,1395,441,363,90,2284,3277,362,610,6532,76,8,18,0,95,224,4,150,481,3,3,0,0,9,3,0,22,38,8,21,8,0,33,3,6,9,57,90,31,21,4,143,231,9,183,568,81,82,22,3,186,106,20,26,333,50429,69588,19964,2344,142328,40825,6448,9459,199060,44440,68091,18942,1705,133170,28669,4034,4283,170161,6753,4507,3191,360,14812,13375,1337,1374,30893,2158,1533,828,93,4609,2647,499,372,8128,8906,6045,4019,451,19422,16017,1835,1745,39021,1023,343,299,59,1721,2793,208,346,5067,325,92,94,22,529,766,87,133,1523,379,86,91,18,575,631,79,105,1388,62,19,7,0,87,60,17,15,176,46,36,15,5,102,88,0,15,209,1833,574,501,100,3014,4338,393,615,8363,63,10,13,0,82,197,0,93,377,16,4,0,0,19,15,0,192,230,16,8,0,0
506,81,58,1331,1223,180,495,3235,..,..,..,..,..,..,..,..,..,3,3,0,0,4,3,0,0,9,2180,919,421,200,3726,3703,610,1265,9303,45,7,13,0,70,182,6,173,432,8,13,0,0,20,0,0,60,82,52,57,18,3,129,34,14,7,185,106,74,35,3,218,217,24,241,698,98,99,39,8,249,147,41,53,479,44423,58575,17824,2921,123745,38360,8022,10343,180468,38791,59514,17029,2100,117426,28861,5363,5045,156692,3930,3091,1885,342,9246,8545,1098,1133,20019,2117,1235,570,200,4121,2767,685,425,8008,6040,4325,2454,549,13362,11315,1783,1560,28025,818,579,284,66,1738,2012,226,313,4284,559,192,101,59,909,1345,176,192,2618,684,171,88,43,989,1181,149,216,2536,717,180,88,36,1022,849,128,128,2136,50,40,18,7,112,94,8,17,228,2836,1164,576,206,4781,5479,692,854,11811,147,9,27,0,182,379,9,133,715,0,11,5,0,10,12,0,162,184,50,32,14,3
507,99,21,920,838,91,427,2275,..,..,..,..,..,..,..,..,..,0,0,0,0,0,7,0,3,14,1511,424,384,91,2408,3417,289,1115,7227,119,21,17,0,158,232,14,130,536,0,7,0,0,8,3,0,74,87,32,38,16,5,89,33,4,41,168,152,68,35,3,259,269,19,244,792,106,85,25,0,219,188,16,74,494,37923,50464,15617,1643,105648,31768,4694,8693,150808,35661,51807,15883,1330,104675,24507,3778,4000,136965,3057,1863,1554,164,6634,7117,529,704,14982,1235,824,501,66,2629,1858,241,264,4992,4290,2685,2056,225,9256,8979,766,966,19970,558,167,239,45,1008,2157,135,262,3563,471,156,183,25,836,1387,120,210,2557,1052,228,148,21,1456,1564,124,304,3444,195,30,38,4,262,300,17,35,623,61,41,25,4,126,76,7,18,228,2328,619,640,104,3689,5493,403,828,10410,166,12,25,3,206,346,12,196,758,0,4,0,0,4,3,0,250,261,33,3,0,4
509,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4,0,3,0,5,10,0,3,14,58,24,32,0,113,247,22,78,460,127,20,14,0,162,283,3,448,898,32,19,0,0,52,46,4,38,146,41,20,9,0,77,71,4,27,170,205,59,25,0,291,398,15,519,1220,136,97,26,5,262,136,10,97,502,16444,13136,4457,383,34422,13699,1222,5130,54465,16278,12524,4376,373,33556,12861,1112,4508,52037,373,149,164,16,701,1389,51,287,2433,42,12,7,0,58,85,3,36,185,413,165,174,16,761,1479,54,322,2617,21,12,9,0,48,109,0,39,195,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,3,9,3,0,0,13,11,0,3,32,40,13,15,0,66,121,8,44,234,117,9,15,0,145,317,11,516,988,17,6,4,0,27,35,5,212,269,24,7,9,0
510,4,0,45,46,8,86,183,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,5,8,374,145,78,11,607,620,77,642,1940,295,39,28,4,367,513,20,4538,5442,35,12,8,0,55,85,7,891,1035,52,44,11,0,105,49,14,33,198,379,93,51,9,525,649,44,5458,6682,74,35,22,5,129,139,11,207,491,5957,8541,2558,388,17449,5613,880,9824,33763,4423,7774,2365,311,14871,3538,597,3514,22525,489,440,272,47,1251,1028,92,723,3098,180,138,53,0,373,276,47,172,867,679,572,323,55,1617,1305,139,905,3965,145,71,55,5,273,359,44,346,1025,55,11,7,4,76,95,6,49,224,32,17,4,0,53,58,6,89,204,32,10,5,0,40,85,6,58,192,0,0,0,0,3,4,0,5,7,264,108,68,12,448,601,63,546,1653,254,49,28,3,338,352,25,5900,6614,12,11,0,3,29,35,3,433,499,42,21,8,6
511,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,3,143,59,50,6,262,476,41,209,990,252,32,18,3,292,583,15,3743,4638,35,12,8,0,55,52,10,417,528,42,42,23,3,115,35,9,32,189,327,85,49,3,465,671,25,4192,5356,93,69,21,3,191,167,6,500,862,11411,12037,4210,440,28092,10728,1247,9151,49219,10480,10486,3849,370,25181,8417,982,4282,38856,598,363,338,54,1343,2020,139,743,4249,206,120,54,8,392,261,32,167,854,807,478,392,61,1742,2283,171,916,5102,102,43,33,5,184,439,22,181,829,0,0,0,0,0,16,0,13,25,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,4,0,0,7,10,5,4,25,102,44,40,5,192,465,23,197,875,276,55,29,9,371,465,25,4418,5279,19,7,7,0,32,29,0,370,435,22,20,5,0
597,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
