SA4_CODE_2021,CFNC_FI_H_MI_C11_Fam,CFNC_FI_H_MI_C11_Per,CFNC_FI_H_MI_C16_Fam,CFNC_FI_H_MI_C16_Per,CFNC_FI_H_MI_C21_Fam,CFNC_FI_H_MI_C21_Per,CFNC_FI_S_MI_C11_Fam,CFNC_FI_S_MI_C11_Per,CFNC_FI_S_MI_C16_Fam,CFNC_FI_S_MI_C16_Per,CFNC_FI_S_MI_C21_Fam,CFNC_FI_S_MI_C21_Per,CFNC_FI_L_MI_C11_Fam,CFNC_FI_L_MI_C11_Per,CFNC_FI_L_MI_C16_Fam,CFNC_FI_L_MI_C16_Per,CFNC_FI_L_MI_C21_Fam,CFNC_FI_L_MI_C21_Per,CF_CU15_DS_FI_H_MI_C11_Fam,CF_CU15_DS_FI_H_MI_C11_Per,CF_CU15_DS_FI_H_MI_C16_Fam,CF_CU15_DS_FI_H_MI_C16_Per,CF_CU15_DS_FI_H_MI_C21_Fam,CF_CU15_DS_FI_H_MI_C21_Per,CF_CU15_DS_FI_S_MI_C11_Fam,CF_CU15_DS_FI_S_MI_C11_Per,CF_CU15_DS_FI_S_MI_C16_Fam,CF_CU15_DS_FI_S_MI_C16_Per,CF_CU15_DS_FI_S_MI_C21_Fam,CF_CU15_DS_FI_S_MI_C21_Per,CF_CU15_DS_FI_L_MI_C11_Fam,CF_CU15_DS_FI_L_MI_C11_Per,CF_CU15_DS_FI_L_MI_C16_Fam,CF_CU15_DS_FI_L_MI_C16_Per,CF_CU15_DS_FI_L_MI_C21_Fam,CF_CU15_DS_FI_L_MI_C21_Per,CF_CU15noDS_FI_H_MI_C11_Fam,CF_CU15noDS_FI_H_MI_C11_Per,CF_CU15noDS_FI_H_MI_C16_Fam,CF_CU15noDS_FI_H_MI_C16_Per,CF_CU15noDS_FI_H_MI_C21_Fam,CF_CU15noDS_FI_H_MI_C21_Per,CF_CU15noDS_FI_S_MI_C11_Fam,CF_CU15noDS_FI_S_MI_C11_Per,CF_CU15noDS_FI_S_MI_C16_Fam,CF_CU15noDS_FI_S_MI_C16_Per,CF_CU15noDS_FI_S_MI_C21_Fam,CF_CU15noDS_FI_S_MI_C21_Per,CF_CU15noDS_FI_L_MI_C11_Fam,CF_CU15noDS_FI_L_MI_C11_Per,CF_CU15noDS_FI_L_MI_C16_Fam,CF_CU15noDS_FI_L_MI_C16_Per,CF_CU15noDS_FI_L_MI_C21_Fam,CF_CU15noDS_FI_L_MI_C21_Per,CFNCU15_DS_FI_H_MI_C11_Fam,CFNCU15_DS_FI_H_MI_C11_Per,CFNCU15_DS_FI_H_MI_C16_Fam,CFNCU15_DS_FI_H_MI_C16_Per,CFNCU15_DS_FI_H_MI_C21_Fam,CFNCU15_DS_FI_H_MI_C21_Per,CFNCU15_DS_FI_S_MI_C11_Fam,CFNCU15_DS_FI_S_MI_C11_Per,CFNCU15_DS_FI_S_MI_C16_Fam,CFNCU15_DS_FI_S_MI_C16_Per,CFNCU15_DS_FI_S_MI_C21_Fam,CFNCU15_DS_FI_S_MI_C21_Per,CFNCU15_DS_FI_L_MI_C11_Fam,CFNCU15_DS_FI_L_MI_C11_Per,CFNCU15_DS_FI_L_MI_C16_Fam,CFNCU15_DS_FI_L_MI_C16_Per,CFNCU15_DS_FI_L_MI_C21_Fam,CFNCU15_DS_FI_L_MI_C21_Per,CF_nonDC_FI_H_MI_C11_Fam,CF_nonDC_FI_H_MI_C11_Per,CF_nonDC_FI_H_MI_C16_Fam,CF_nonDC_FI_H_MI_C16_Per,CF_nonDC_FI_H_MI_C21_Fam,CF_nonDC_FI_H_MI_C21_Per,CF_nonDC_FI_S_MI_C11_Fam,CF_nonDC_FI_S_MI_C11_Per,CF_nonDC_FI_S_MI_C16_Fam,CF_nonDC_FI_S_MI_C16_Per,CF_nonDC_FI_S_MI_C21_Fam,CF_nonDC_FI_S_MI_C21_Per,CF_nonDC_FI_L_MI_C11_Fam,CF_nonDC_FI_L_MI_C11_Per,CF_nonDC_FI_L_MI_C16_Fam,CF_nonDC_FI_L_MI_C16_Per,CF_nonDC_FI_L_MI_C21_Fam,CF_nonDC_FI_L_MI_C21_Per,Tot_CF_FI_H_MI_C11_Fam,Tot_CF_FI_H_MI_C11_Per,Tot_CF_FI_H_MI_C16_Fam,Tot_CF_FI_H_MI_C16_Per,Tot_CF_FI_H_MI_C21_Fam,Tot_CF_FI_H_MI_C21_Per,Tot_CF_FI_S_MI_C11_Fam,Tot_CF_FI_S_MI_C11_Per,Tot_CF_FI_S_MI_C16_Fam,Tot_CF_FI_S_MI_C16_Per,Tot_CF_FI_S_MI_C21_Fam,Tot_CF_FI_S_MI_C21_Per,Tot_CF_FI_L_MI_C11_Fam,Tot_CF_FI_L_MI_C11_Per,Tot_CF_FI_L_MI_C16_Fam,Tot_CF_FI_L_MI_C16_Per,Tot_CF_FI_L_MI_C21_Fam,Tot_CF_FI_L_MI_C21_Per,Tot_CF_Tot_C11_Fam,Tot_CF_Tot_C11_Per,Tot_CF_Tot_C16_Fam,Tot_CF_Tot_C16_Per,Tot_CF_Tot_C21_Fam,Tot_CF_Tot_C21_Per
501,1957,12.2,2689,15.1,3369,16.5,6369,39.7,6751,37.9,7508,36.8,7724,48.1,8380,47,9541,46.7,189,10.6,261,13.3,267,12.8,285,16.4,281,14.2,298,14.2,1280,72.9,1418,72.5,1525,73,824,8.2,1184,11.3,1279,12.1,1310,13,1242,11.9,1218,11.4,7958,78.8,8032,76.8,8131,76.5,165,11.1,275,15.2,286,15.3,295,20.3,306,17.1,301,15.9,1005,68.6,1215,67.7,1301,68.8,276,11.2,434,15.7,496,17,708,28.3,724,26.4,741,25.6,1506,60.5,1594,57.9,1666,57.4,3409,10.7,4841,13.9,5701,15,8971,28.2,9308,26.8,10063,26.5,19474,61.1,20639,59.3,22157,58.4,31858,100,34789,100,37919,100
502,976,10.2,1431,13.3,1803,14.6,4389,45.9,4440,41.3,4912,39.9,4191,43.8,4871,45.3,5605,45.5,84,10.4,138,14.5,134,13.3,125,15.2,95,9.6,97,9.9,612,74.4,749,76,770,76.8,405,9.5,573,12,571,11.4,504,11.8,475,10,493,9.9,3358,78.7,3723,78,3923,78.8,84,11,157,14.6,203,17.9,139,18.2,174,15.9,187,16.4,540,70.8,760,69.5,748,65.8,147,11.8,220,13.9,297,16.5,329,27.2,395,24.6,444,24.9,747,61,974,61.5,1047,58.6,1697,10.2,2528,13.2,2996,14.1,5491,33,5570,29.1,6135,28.9,9449,56.8,11075,57.8,12096,57,16631,100,19174,100,21229,100
503,2269,15.8,3242,20.6,3858,21.1,4839,33.7,4384,27.8,4978,27.3,7267,50.6,8114,51.6,9405,51.6,130,8.5,209,12.2,261,12.2,351,22.9,324,19,448,20.8,1049,68.5,1188,68.8,1428,67,785,9.2,1162,12.3,1459,13.8,1649,19.3,1537,16.2,1826,17.3,6097,71.5,6757,71.5,7286,68.9,261,10,426,15.5,492,15,623,24.2,544,19.7,697,21.1,1701,65.8,1789,64.9,2115,64,215,12.3,338,17.6,400,19.2,557,31.7,502,26.2,568,27.1,986,56,1076,56.2,1121,53.7,3663,12.7,5379,17,6472,17.8,8018,27.9,7291,23.1,8512,23.4,17103,59.4,18925,59.9,21355,58.8,28783,100,31597,100,36334,100
504,2997,15.6,4121,19,4909,20.2,6976,36.2,6806,31.3,7437,30.6,9279,48.2,10792,49.7,11988,49.3,297,11.1,456,14.9,515,15.5,493,18.4,419,13.8,469,14.2,1900,70.5,2175,71.3,2320,70.2,1390,9.9,2064,12.8,2444,13.4,1898,13.5,1848,11.4,2059,11.3,10766,76.6,12271,75.8,13686,75.3,450,14.8,644,17.7,688,17.6,649,21.5,625,17.2,642,16.6,1921,63.7,2369,65.1,2556,65.8,603,13.9,877,18.3,980,18.2,1332,30.7,1303,27.1,1387,25.7,2405,55.4,2623,54.6,3032,56.2,5728,13.2,8167,16.5,9526,17.3,11348,26.2,10998,22.3,11998,21.8,26265,60.6,30230,61.2,33576,60.9,43350,100,49391,100,55097,100
505,6388,15,8502,18.2,10167,19.5,15037,35.3,14455,31,15871,30.4,21143,49.7,23660,50.7,26202,50.2,670,10.4,991,13.9,1099,14.5,1141,17.6,1115,15.7,1101,14.5,4658,72,4996,70.4,5383,71,2991,9.2,4422,12.2,5354,13.7,4383,13.5,4114,11.4,4687,12,25077,77.3,27642,76.4,29068,74.3,1018,12.8,1559,16.7,1614,16.4,1540,19.3,1566,16.7,1580,16,5408,67.9,6226,66.6,6646,67.6,1264,13.3,1754,16.7,2152,18.2,2685,28.2,2618,24.9,2831,23.9,5559,58.5,6124,58.3,6847,57.9,12336,12.5,17233,15.7,20386,16.9,24789,25,23865,21.7,26076,21.6,61856,62.5,68646,62.5,74141,61.5,98977,100,109748,100,120605,100
506,5764,15,7805,18.8,9096,20,13582,35.3,12817,30.9,13814,30.3,19148,49.7,20923,50.4,22669,49.7,528,10.4,897,15.1,1058,15.3,870,17.3,846,14.2,888,12.9,3649,72.3,4199,70.7,4953,71.7,2642,10,4301,13.5,5008,14,3476,13.2,3581,11.2,3992,11.2,20190,76.7,23977,75.3,26789,74.9,749,13.1,1260,18.3,1382,18.1,1158,20.2,1102,16,1122,14.7,3829,66.7,4526,65.7,5161,67.3,1094,13.4,1557,17.7,1769,18.7,2274,27.8,2278,25.8,2404,25.4,4811,58.9,4978,56.5,5282,55.9,10775,12.9,15822,16.6,18320,17.4,21364,25.5,20622,21.7,22220,21.1,51632,61.6,58607,61.7,64856,61.5,83771,100,95047,100,105397,100
507,4262,13.7,6120,17.7,7449,18.7,11301,36.3,10927,31.6,12032,30.2,15610,50.1,17562,50.7,20339,51.1,451,10.5,651,13.3,721,13,623,14.4,574,11.7,692,12.4,3234,75.1,3671,75,4149,74.6,1973,8.7,3135,12,3779,13,2712,11.9,2662,10.2,3196,11,18054,79.4,20368,77.9,22063,76,590,11.2,1025,16.3,1075,16,997,18.9,974,15.5,1058,15.7,3697,69.9,4284,68.2,4607,68.3,802,12,1218,16,1414,16.7,1899,28.6,1867,24.5,2002,23.6,3943,59.3,4529,59.5,5061,59.7,8086,11.5,12150,15.3,14441,16.1,17534,25,17010,21.4,18973,21.2,44536,63.5,50418,63.4,56213,62.7,70159,100,79575,100,89631,100
509,2204,15.5,2418,16.2,2770,17.8,6533,45.9,6571,44,6500,41.7,5479,38.5,5952,39.8,6312,40.5,219,16.1,208,15.7,219,15.5,304,22.6,285,21.7,309,22.2,825,61.3,820,62.6,868,62.3,1084,13.8,954,13,946,13.8,1472,18.7,1266,17.3,1120,16.4,5299,67.5,5095,69.7,4767,69.8,143,15.2,199,18.7,199,17.8,293,30.4,272,25.1,284,25.1,520,54.4,603,56.2,647,57.1,261,14.1,348,16.8,353,16.5,694,37.8,731,35.7,715,33.8,888,48.2,981,47.6,1044,49.6,3912,14.9,4120,15.4,4482,16.6,9292,35.5,9127,34.2,8923,33,13017,49.6,13448,50.4,13642,50.4,26221,100,26699,100,27046,100
510,646,12.7,914,17,952,18.3,1467,28.7,1374,25.5,1348,26,3005,58.7,3098,57.5,2891,55.6,69,12.4,113,15.9,128,16.4,101,17.9,105,15,129,17.3,394,69.7,486,69.1,509,66.3,629,11.4,800,13.5,791,13.5,904,16.4,870,14.6,927,15.8,3995,72.3,4284,72,4179,70.8,20,6.8,64,14.6,61,14.3,75,22.1,84,19.5,65,15.2,253,71.1,290,65.9,295,70.5,75,9.5,129,17.9,120,16.8,227,29.5,192,26.3,192,26.1,464,61,398,55.8,422,57.1,1443,11.7,2025,15.3,2059,15.8,2778,22.5,2620,19.9,2672,20.5,8112,65.8,8564,64.8,8285,63.7,12331,100,13210,100,13008,100
511,1230,12.2,1566,15.5,1840,17.2,3799,37.7,3714,36.6,3725,34.8,5051,50.1,4852,47.9,5131,48,133,12.6,150,12.7,148,13.8,206,19.1,191,16.6,199,18.7,734,68.3,830,70.7,716,67.6,741,9.9,777,11.4,806,12.5,1115,14.9,900,13.1,814,12.7,5649,75.3,5156,75.5,4793,74.7,111,14,114,12.1,112,13.3,199,25.6,188,20.1,173,20.8,466,60.5,645,67.8,548,65.9,187,11.7,244,14.9,242,15.4,481,29.8,454,28,430,27.1,936,58.5,926,57.2,906,57.5,2404,11.4,2847,13.8,3145,15.3,5799,27.6,5445,26.3,5339,26,12839,61,12404,59.9,12096,58.8,21039,100,20701,100,20577,100
