SA4_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
501,898,278,961,1242,115,94,212,3510,3616,7127,1536,981,2521,50,26,79,183,228,414,307,1092,1404,60,52,113,2139,2381,4526,945,456,1405,23,21,39,95,148,240,485,1702,2185,49,53,105,1602,2381,3986,37841,37858,75698,2561,2989,5552,6713,8580,15290,1863,6071,7940,25849,22731,48578,74828,78232,153058
502,684,227,711,941,59,35,95,2665,2793,5461,1342,896,2239,35,31,73,171,204,380,242,794,1031,44,25,65,1836,1951,3783,772,405,1180,22,11,26,66,117,188,422,1251,1665,20,19,38,1301,1794,3095,21266,21502,42772,1590,1975,3560,4251,5693,9937,1386,4283,5671,14021,12845,26869,42513,46298,88811
503,834,171,675,844,218,196,416,2689,2823,5513,1209,838,2046,35,37,70,182,248,431,176,847,1025,147,139,282,1751,2098,3852,962,506,1471,40,19,53,102,223,326,448,1849,2292,92,176,268,1644,2769,4406,34106,34174,68277,1941,1975,3915,5281,7255,12535,1205,4843,6053,33426,30663,64089,75953,78909,154860
504,1119,260,1032,1292,185,117,300,3494,3786,7274,1559,1026,2587,57,35,89,250,348,598,326,1211,1538,95,68,159,2277,2689,4967,1017,513,1532,34,16,51,125,227,354,482,1946,2429,70,55,132,1725,2763,4488,51999,51673,103674,3650,4342,7993,8318,11948,20272,1950,7254,9199,44399,37531,81923,110313,112749,223065
505,2228,604,2378,2980,271,257,526,7642,8714,16350,3680,2541,6217,116,88,206,405,827,1234,594,2767,3360,139,165,301,4931,6382,11314,2534,1333,3868,74,43,120,229,477,707,1234,4767,5996,85,144,228,4162,6762,10928,114088,114917,229008,6294,8006,14298,15440,24353,39799,4058,15986,20044,85850,76737,162588,225736,239995,465735
506,1896,535,2117,2656,321,275,602,6544,7097,13641,2965,2032,4990,97,68,167,393,675,1066,610,2399,3008,187,164,352,4249,5334,9583,2047,1078,3116,49,47,104,227,400,622,1093,3962,5053,127,134,256,3540,5616,9154,102305,102386,204687,6003,7199,13203,14715,20452,35167,3869,14328,18200,84201,70841,155038,211086,215211,426298
507,1739,490,1789,2286,227,192,412,6092,6523,12613,2774,1899,4677,78,71,149,356,606,961,608,2133,2737,117,102,223,3935,4814,8744,1937,1020,2960,49,34,85,218,346,568,1118,3830,4946,93,105,203,3417,5338,8752,84040,84520,168566,5270,6592,11867,12923,18641,31565,3570,12325,15902,67533,61223,128754,173340,183300,356647
509,806,256,745,1005,151,77,230,2996,2861,5854,1294,841,2136,55,26,75,204,180,386,266,905,1165,80,29,106,1894,1974,3867,824,412,1237,26,11,44,97,133,232,429,1302,1727,45,26,72,1416,1888,3308,28527,27860,56383,2180,2015,4196,5573,5805,11375,1698,4858,6554,19405,15362,34770,57378,55894,113275
510,95,49,96,141,43,32,70,326,291,619,84,43,120,12,9,12,20,19,42,36,74,111,30,15,46,179,153,332,31,4,38,4,0,7,10,7,19,26,79,107,16,13,26,91,113,204,14480,11962,26438,1383,1172,2556,2708,2215,4929,415,910,1322,18312,15528,33843,37300,31785,69087
511,460,183,512,692,129,51,178,1765,1672,3442,620,428,1049,41,14,54,141,99,240,191,491,683,54,22,78,1050,1056,2106,394,208,600,17,4,25,53,46,104,231,740,966,34,14,49,734,1015,1749,21371,20236,41609,2028,1761,3791,4369,4306,8680,1230,3309,4541,20698,16300,37003,49699,45919,95614
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,12,217,30,0,25,37,10,44,3,0,3,189,33,227,455,61,516
599,25,12,8,19,11,0,11,88,26,114,9,3,15,0,0,0,12,3,14,5,8,13,0,0,3,29,15,42,0,0,0,4,0,4,9,3,5,0,9,14,7,4,3,14,16,30,861,791,1648,371,175,548,524,385,909,83,93,175,2408,1589,3998,4247,3030,7285
