SA4_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
501,3736,5514,2197,649,12093,1314,1211,441,202,3167,5048,6729,2636,853,15260,2256,1548,513,182,4502,7301,8276,3150,1037,19767,3970,5935,2377,674,12949,1440,1334,484,174,3422,5408,7265,2854,844,16372,2361,1725,579,215,4878,7773,8987,3433,1056,21248,4000,5932,2346,592,12867,1618,1506,536,209,3863,5615,7434,2879,798,16727,2535,1847,605,190,5175,8149,9284,3477,986,21900
502,1780,2439,901,282,5392,686,573,222,102,1582,2461,3006,1118,381,6973,1323,833,338,117,2613,3785,3846,1456,502,9587,2143,2751,1033,317,6244,777,691,281,111,1856,2916,3441,1313,432,8102,1433,1022,342,148,2950,4355,4457,1658,582,11053,2166,2868,1088,303,6430,847,834,340,124,2150,3019,3704,1434,429,8582,1613,1221,405,162,3402,4635,4926,1836,590,11982
503,4213,5919,2270,461,12869,636,394,111,27,1176,4850,6312,2386,497,14041,1481,835,227,36,2574,6327,7148,2605,534,16613,4735,6425,2458,401,14015,721,538,141,29,1429,5455,6957,2597,429,15447,1505,928,230,38,2697,6957,7889,2830,471,18153,5103,7292,2526,395,15320,878,656,177,36,1745,5986,7948,2700,431,17065,1814,1185,298,42,3337,7797,9131,2995,484,20401
504,6633,8316,2898,910,18762,1487,1281,414,204,3383,8119,9593,3317,1121,22152,3221,1988,684,281,6168,11339,11583,3998,1400,28316,7904,9357,3092,950,21300,1869,1530,509,197,4112,9775,10887,3601,1144,25409,3529,2268,771,293,6863,13308,13157,4370,1437,32273,8371,10576,3266,1026,23247,2305,1854,626,220,5001,10675,12431,3895,1251,28249,3916,2642,871,294,7730,14593,15069,4766,1545,35977
505,15450,21441,7076,2052,46017,2959,2351,771,298,6384,18408,23797,7848,2354,52403,6687,4069,1245,494,12489,25093,27869,9095,2842,64895,17297,23650,7607,2053,50604,3675,2916,903,327,7815,20973,26563,8508,2375,58424,7076,4635,1338,540,13587,28049,31199,9848,2915,72006,17913,25241,7717,1953,52820,4217,3712,1149,373,9456,22127,28954,8866,2325,62270,7966,5618,1549,516,15653,30092,34571,10407,2841,77920
506,13014,15345,5522,1908,35785,2618,2118,767,299,5796,15629,17462,6289,2200,41583,6037,3633,1171,481,11328,21674,21096,7463,2689,52913,15750,18853,6283,2077,42962,2979,2380,825,314,6493,18735,21231,7103,2391,49455,6301,3927,1303,528,12060,25033,25157,8405,2918,61515,16880,21734,7031,2288,47932,3242,2776,969,368,7347,20117,24510,8000,2658,55286,6733,4450,1478,580,13243,26843,28959,9482,3237,68522
507,10622,14363,4897,1345,31226,2566,2127,710,275,5683,13185,16489,5613,1622,36911,5062,3162,1014,349,9581,18238,19653,6629,1975,46491,12238,16304,5444,1428,35413,3016,2641,848,341,6847,15246,18945,6294,1770,42254,5442,3741,1216,398,10794,20696,22683,7509,2167,53055,12835,17947,5725,1385,37885,3641,3200,1098,395,8335,16478,21147,6821,1781,46222,6342,4434,1398,464,12638,22822,25581,8215,2245,58864
509,2851,3931,1799,670,9254,908,875,383,206,2361,3756,4799,2185,874,11610,1539,1040,394,217,3193,5295,5835,2582,1093,14803,2561,3632,1717,587,8496,930,914,390,161,2391,3491,4543,2109,742,10892,1490,1005,392,203,3094,4983,5552,2503,946,13981,2371,3445,1714,539,8067,958,972,333,154,2418,3330,4413,2049,690,10479,1427,1004,400,187,3020,4751,5424,2446,881,13500
510,1619,2232,925,337,5120,851,740,354,217,2159,2464,2975,1283,551,7273,1010,584,260,174,2030,3479,3561,1540,726,9305,1686,2362,1060,339,5443,964,880,409,215,2475,2645,3242,1475,554,7918,1031,665,297,192,2188,3682,3906,1765,746,10105,1610,2361,1063,343,5373,1011,945,407,187,2561,2620,3308,1473,530,7930,1105,747,332,141,2321,3727,4058,1802,667,10250
511,2546,3527,1501,520,8101,1097,988,415,229,2736,3645,4517,1920,752,10838,1610,1045,421,195,3263,5253,5563,2342,946,14100,2421,3331,1424,442,7619,1079,961,425,198,2665,3509,4290,1849,638,10283,1486,1037,384,216,3117,4991,5321,2233,856,13402,2139,2996,1279,401,6814,1074,992,384,167,2619,3217,3989,1668,563,9431,1511,987,370,194,3056,4730,4969,2032,758,12487
